Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,label,class
ABL1,25,0,0,0,12,2,1,0,1,160,16,0,0,99,3,0,17,3,0,299,0,242,11.07108252,0.451685141,18.94737069,7.727920455,-0.018357472,0.024898643,0.04647865,0.010449998,-0.10911096,0.031004455,0.145104696,0.006650564,9,133589268,133763060,505505.7,211,2.43E-06,0.4654867,0.02867805,8,49.08108,91.27027,0.8753249,111.6492,13.1082,53.9179,0.001863735,180,1.81,1,1
AKT1,0,6,0,10,0,0,0,0,0,124,2,0,0,35,0,0,0,0,0,177,0,158,11.9013899,0.30947372,19.44105809,7.95419631,-0.01604805,0.031938437,0.052286148,0.017221581,-0.117894985,0.036542855,0.09060703,0.000982732,14,105235689,105262080,711772.2,247,2.72E-06,0.60383,0.03599851,12,40.51351,80.45946,0.8555161,71.94426,2.514754,61.99387,0.002771845,253,3.5,1,1
ALK,0,19,0,0,12,3,2,0,6,358,25,0,0,176,10,0,14,4,0,593,0,443,2.759224244,5.601346627,17.62541919,9.786269628,0.02325528,0.014714645,0.052760005,0.012351356,-0.056865532,0.012350625,0.145018186,0.040757847,2,29415641,30144432,202198.4,882,2.56E-06,0.429635,0.01878041,9,51.48649,93.97297,0.8414963,117.6033,13.40984,53.27906,0.000155371,62,2.237288136,1,1
ARAF,0,7,0,0,21,1,1,0,0,110,7,0,0,38,3,0,22,1,0,165,0,159,10.34066856,0.311896361,19.56423733,8.594903589,0.0029176,0.013779471,0.023430929,0.010637551,-0.063676976,0.018181428,0.28682916,0.035087619,23,47420516,47431319,775214.2,443.4357224,2.73E-06,0.47047,0.03801457,16,28.05405,60,0.9316594,36.09508,0.4,58.62421,0.000282272,80,3.102564103,0,1
ATM,0,13,0,0,75,21,8,0,6,553,107,1,0,118,37,0,86,21,0,832,0,635,9.812150526,0.808548907,18.66566312,9.187352073,-0.031743772,0.032444723,0.040505476,0.010243551,-0.14058605,0.046182755,0.134311695,0.00162483,11,108093559,108239826,415837.3,582,2.49E-06,0.3894167,0.01619721,10,44.86486,94.13514,0.8988393,129.0492,15.40656,35.17429,0.001447922,135,6.033613445,1,1
BRAF,0,9,0,0,7,1,7,0,0,837,17,0,0,44,7,0,15,2,0,912,0,797,7.151150957,0.645679798,18.2193562,9.269126679,0.055483073,0.03476184,0.09798444,0.031567186,-0.07273199,0.02251437,0.332247826,0.005149957,7,140433815,140624564,305190.7,616,3.16E-06,0.40297,0.02459647,10,48.67568,93.32432,0.8873112,134.6033,15.04262,38.43735,4.78E-05,42,19.15555556,1,1
BRCA1,5,1,0,1,19,8,2,0,2,244,39,0,0,62,9,1,21,9,0,363,0,314,8.20034468,1.562260115,20.48368,7.658211483,-0.002437814,0.02484179,0.053351436,0.011905657,-0.09858228,0.03253014,2.628634602,0.106627125,17,41196313,41277500,1466229,201,2.17E-06,0.46607,0.02652095,38,58.97297,98.67568,0.9199338,169.882,30.20984,39.3769,0.011628643,560,4.761904762,1,1
BRCA2,0,6,0,3,50,25,4,0,1,554,72,0,0,115,8,0,54,25,0,759,0,515,6.535125331,2.934555414,17.75565044,8.854868383,-0.033364106,0.042727545,0.053478934,0.01960151,-0.14494678,0.050303634,0.867041903,0.0268838,13,32889617,32973809,221300,462,2.48E-06,0.394025,0.04401204,5,50.13514,97.48649,0.9404518,113.8426,10.00328,34.61398,0.000313968,67,5.681034483,1,1
CDK4,0,8,0,1,2,2,2,0,0,58,2,0,0,18,0,0,4,2,0,87,0,80,11.44164312,0.656208633,20.14675013,8.430452552,0.04389504,0.06937762,0.08832624,0.08941204,-0.05320592,0.011855687,0.290734886,0.004255677,12,58142005,58146164,1160849,344,2.39E-06,0.46755,0.03909095,39,56.10811,98.7027,0.9091528,169.3148,26.49508,50.919,0.001104291,138,3.263157895,0,1
CDKN2A,3,27,1,1,55,19,15,1,0,174,150,0,0,31,36,0,75,23,0,415,0,443,6.681498285,2.688949838,17.78216319,8.483815777,-0.13693155,0.25531632,0.04049112,0.011707412,-0.34221733,0.45863917,0.499665852,0.078922908,9,21967752,21994490,225404.5,357,2.76E-06,0.39023,-0.01478296,20,25.94595,53.35135,0.9382202,104.5311,15.19016,60.59624,0.000959249,141,11.875,1,1
