gene	transcript	protein_change	score	pvalue	qvalue	info
TTN	.	.	.	0	0	FILTER=PASS
TP53	.	.	.	0	0	FILTER=PASS
KMT2D	.	.	.	0	0	FILTER=PASS
MUC16	.	.	.	0	0	FILTER=PASS
ARID1A	.	.	.	0	0	FILTER=PASS
KDM6A	.	.	.	0	0	FILTER=PASS
RYR2	.	.	.	0	0	FILTER=PASS
RB1	.	.	.	0	0	FILTER=PASS
KMT2C	.	.	.	0	0	FILTER=PASS
PIK3CA	.	.	.	0	0	FILTER=PASS
FLG	.	.	.	0	0	FILTER=PASS
STAG2	.	.	.	0	0	FILTER=PASS
EP300	.	.	.	0	0	FILTER=PASS
ELF3	.	.	.	0	0	FILTER=PASS
FGFR3	.	.	.	0	0	FILTER=PASS
ERBB2	.	.	.	0	0	FILTER=PASS
CREBBP	.	.	.	0	0	FILTER=PASS
SPTAN1	.	.	.	0	0	FILTER=PASS
ZFHX4	.	.	.	0	0	FILTER=PASS
ERBB3	.	.	.	0	0	FILTER=PASS
AHNAK2	.	.	.	0	0	FILTER=PASS
CDKN1A	.	.	.	0	0	FILTER=PASS
SACS	.	.	.	0	0	FILTER=PASS
ASXL2	.	.	.	0	0	FILTER=PASS
ZFP36L1	.	.	.	0	0	FILTER=PASS
FBXW7	.	.	.	0	0	FILTER=PASS
ERCC2	.	.	.	0	0	FILTER=PASS
HRNR	.	.	.	0	0	FILTER=PASS
NFE2L2	.	.	.	0	0	FILTER=PASS
RHOB	.	.	.	0	0	FILTER=PASS
CDKN2A	.	.	.	0	0	FILTER=PASS
ATM	.	.	.	0	0	FILTER=PASS
FAT4	.	.	.	0	0	FILTER=PASS
CSMD3	.	.	.	7.87826909159017e-21	5.52869119192181e-18	FILTER=PASS
FOXA1	.	.	.	1.3517413323168e-19	9.21501376830824e-17	FILTER=PASS
RHOA	.	.	.	1.40085491648448e-19	9.28455508536658e-17	FILTER=PASS
FREM2	.	.	.	4.80454650040999e-19	3.09828322972385e-16	FILTER=PASS
ZNF626	.	.	.	1.06147558162967e-17	6.66494930991682e-15	FILTER=PASS
ANKRD11	.	.	.	1.66524713549149e-17	1.01878965776479e-14	FILTER=PASS
TSC1	.	.	.	3.09461361495899e-17	1.84593702132304e-14	FILTER=PASS
SYNE1	.	.	.	6.26357216738606e-17	3.64509346131296e-14	FILTER=LGF
ZNF292	.	.	.	9.41766526871396e-17	5.35013079313131e-14	FILTER=LGF
ZNF99	.	.	.	1.62648386206669e-16	9.0250941741654e-14	FILTER=LGF
FOXQ1	.	.	.	2.09143268426873e-16	1.13412690560572e-13	FILTER=PASS
KIAA2018	.	.	.	9.09155387091249e-16	4.82054389688827e-13	FILTER=LGF
HMCN1	.	.	.	1.04419036033044e-15	5.41616999945311e-13	FILTER=LGF
KLF5	.	.	.	1.11131329178156e-15	5.64168832806554e-13	FILTER=PASS
CUBN	.	.	.	4.10700099979345e-15	2.04152174698066e-12	FILTER=LGF
KRAS	.	.	.	6.52396782116822e-15	3.17677290230763e-12	FILTER=PASS
XIRP2	.	.	.	7.33839944710273e-15	3.50188421615742e-12	FILTER=LGF
BIRC6	.	.	.	2.2932359894748e-14	1.07287471978174e-11	FILTER=LGF
DNAH11	.	.	.	4.16764977033262e-14	1.91231006769493e-11	FILTER=LGF
FAT1	.	.	.	1.43367755834905e-13	6.45425406456761e-11	FILTER=PASS
AMER3	.	.	.	3.70862411800946e-13	1.60886857192192e-10	FILTER=LGF
ARHGAP35	.	.	.	3.65785488426599e-13	1.60886857192192e-10	FILTER=LGF
FMN2	.	.	.	3.94375337555514e-13	1.68032063465617e-10	FILTER=PASS
AMER1	.	.	.	5.04420337232961e-13	2.11148583269797e-10	FILTER=LGF
RXRA	.	.	.	5.25679409291916e-13	2.16253632856985e-10	FILTER=PASS
NHLRC1	.	.	.	1.09163889557995e-12	4.41466170314197e-10	FILTER=PASS
DNAH5	.	.	.	1.76765825230358e-12	7.0293876499939e-10	FILTER=LGF
PCLO	.	.	.	4.24609679752171e-12	1.66085032112898e-09	FILTER=LGF
KMT2A	.	.	.	4.39749862517186e-12	1.69232769671936e-09	FILTER=LGF
HRAS	.	.	.	4.47820358740289e-12	1.69603075548306e-09	FILTER=PASS
ZNF208	.	.	.	1.10152466976923e-11	4.10662165948341e-09	FILTER=PASS
BRCA2	.	.	.	1.56780284154876e-11	5.75504243066976e-09	FILTER=LGF
FAT3	.	.	.	2.34314297589532e-11	8.4708168795246e-09	FILTER=LGF
ZNF492	.	.	.	4.60834668848224e-11	1.64112167145054e-08	FILTER=LGF
MACF1	.	.	.	5.01542062679987e-11	1.75982259052125e-08	FILTER=LGF
TXNIP	.	.	.	5.49085451795526e-11	1.89872157678859e-08	FILTER=PASS
PSIP1	.	.	.	8.84937687745254e-11	3.01637331851454e-08	FILTER=LGF
RAI1	.	.	.	1.23768854222826e-10	4.10156230799532e-08	FILTER=LGF
ZFP36L2	.	.	.	1.2332026646349e-10	4.10156230799532e-08	FILTER=PASS
EPHA2	.	.	.	1.43069126582298e-10	4.67620460308716e-08	FILTER=LGF
MUC5B	.	.	.	1.45613276469347e-10	4.69504429264678e-08	FILTER=LGF
SALL2	.	.	.	2.21091324736303e-10	7.03365201094425e-08	FILTER=LGF
MAP1A	.	.	.	3.07783575229602e-10	9.53729364282897e-08	FILTER=LGF
TCHH	.	.	.	3.06129528849569e-10	9.53729364282897e-08	FILTER=LGF
TENM3	.	.	.	3.65867090791948e-10	1.11917804952511e-07	FILTER=PASS
MUC17	.	.	.	3.87607476370062e-10	1.17067270711262e-07	FILTER=LGF
SPTA1	.	.	.	4.27065085625865e-10	1.27372161787914e-07	FILTER=LGF
VCAN	.	.	.	7.05598028400962e-10	2.0784653034132e-07	FILTER=LGF
DMD	.	.	.	8.89556806967603e-10	2.58839334320085e-07	FILTER=LGF
ZNF91	.	.	.	1.06055315969202e-09	3.04877089039176e-07	FILTER=PASS
DIAPH2	.	.	.	1.13898569900904e-09	3.23526175932806e-07	FILTER=LGF
PLEC	.	.	.	1.31806928544187e-09	3.69989801772271e-07	FILTER=LGF
ACTB	.	.	.	1.79504020673187e-09	4.98019294565377e-07	FILTER=PASS
ARID2	.	.	.	1.96521169644347e-09	5.38964954909669e-07	FILTER=LGF
DCHS2	.	.	.	2.21606181238579e-09	6.00854941403693e-07	FILTER=LGF
RYR3	.	.	.	2.53387742117933e-09	6.79306913138638e-07	FILTER=LGF
AHR	.	.	.	3.69233373423077e-09	9.78878698874957e-07	FILTER=LGF
DENND5B	.	.	.	3.77937954059313e-09	9.90945009214858e-07	FILTER=LGF
HCN1	.	.	.	4.28926890072833e-09	1.11241256490628e-06	FILTER=LGF
USP34	.	.	.	4.47113693920494e-09	1.14711104698312e-06	FILTER=LGF
LRRK2	.	.	.	6.03846720880906e-09	1.53274284683175e-06	FILTER=LGF
LRP1B	.	.	.	7.37796796689766e-09	1.85303490200188e-06	FILTER=LGF
ABCA13	.	.	.	7.47588581713291e-09	1.85806912079991e-06	FILTER=LGF
AKAP9	.	.	.	1.11454292877035e-08	2.74154580210933e-06	FILTER=FAIL
MAGEE1	.	.	.	1.17929162196046e-08	2.87121409183434e-06	FILTER=FAIL
HSP90AA1	.	.	.	1.55926851560946e-08	3.75799462448906e-06	FILTER=FAIL
FLRT2	.	.	.	2.11598802144033e-08	5.04874741915663e-06	FILTER=FAIL
ANK2	.	.	.	2.54144548284731e-08	6.00385041789473e-06	FILTER=FAIL
FAM83H	.	.	.	2.57417850785995e-08	6.02155874485671e-06	FILTER=FAIL
CHD7	.	.	.	2.68963997747723e-08	6.23056406433075e-06	FILTER=FAIL
ZNF423	.	.	.	2.85947260373737e-08	6.5602900312667e-06	FILTER=FAIL
CUL1	.	.	.	2.99879353907381e-08	6.81440131831439e-06	FILTER=FAIL
ASXL1	.	.	.	3.04157780551612e-08	6.84641947543534e-06	FILTER=FAIL
PCDH9	.	.	.	3.54549101938336e-08	7.90611361892402e-06	FILTER=FAIL
PCDH15	.	.	.	3.60267822650627e-08	7.9592502300407e-06	FILTER=FAIL
ZNF607	.	.	.	3.69239715731934e-08	8.08262350216876e-06	FILTER=FAIL
MED13	.	.	.	3.92555204604925e-08	8.51487925624865e-06	FILTER=FAIL
ATAD2	.	.	.	4.44855572003245e-08	9.56239094414182e-06	FILTER=FAIL
NCOR1	.	.	.	4.53330801292978e-08	9.65756510611648e-06	FILTER=FAIL
DNAH6	.	.	.	4.86086351238074e-08	1.01737020531057e-05	FILTER=FAIL
SEMA3D	.	.	.	4.843745065743e-08	1.01737020531057e-05	FILTER=FAIL
CHD2	.	.	.	5.07012318999363e-08	1.05194034185433e-05	FILTER=FAIL
FLG2	.	.	.	7.07721950633654e-08	1.45571083983784e-05	FILTER=FAIL
BOD1L1	.	.	.	8.4537982459149e-08	1.72399680467974e-05	FILTER=FAIL
TDRD6	.	.	.	8.6274202562491e-08	1.74449362130596e-05	FILTER=FAIL
OBSCN	.	.	.	8.97648931764887e-08	1.79982382453027e-05	FILTER=FAIL
PKHD1L1	.	.	.	9.39744800966136e-08	1.86852591258767e-05	FILTER=FAIL
SORCS3	.	.	.	1.10069689410768e-07	2.17046511515779e-05	FILTER=FAIL
SOX5	.	.	.	1.12824508623834e-07	2.20655145554482e-05	FILTER=FAIL
DIDO1	.	.	.	1.33795186921484e-07	2.59540907312732e-05	FILTER=FAIL
GPR98	.	.	.	1.39044599189033e-07	2.67548720697607e-05	FILTER=FAIL
PCDHA9	.	.	.	1.45480614316714e-07	2.77693396607744e-05	FILTER=FAIL
HES1	.	.	.	1.47170294859407e-07	2.78689145662337e-05	FILTER=FAIL
SLC5A3	.	.	.	1.49119911538129e-07	2.80157566086595e-05	FILTER=FAIL
COL6A5	.	.	.	1.5291332783522e-07	2.8504000016784e-05	FILTER=FAIL
ZDBF2	.	.	.	1.70864845387147e-07	3.16033737281963e-05	FILTER=FAIL
ZNF665	.	.	.	2.14962149792504e-07	3.94538222619165e-05	FILTER=FAIL
TRIO	.	.	.	2.37281745516795e-07	4.32178812826773e-05	FILTER=FAIL
DCC	.	.	.	2.43247720553979e-07	4.39688682758935e-05	FILTER=FAIL
SCN1A	.	.	.	2.5992633760721e-07	4.66303941000604e-05	FILTER=FAIL
TAF1L	.	.	.	2.76707479922639e-07	4.92704512757774e-05	FILTER=FAIL
LMOD2	.	.	.	2.92292577602531e-07	5.16600066784918e-05	FILTER=FAIL
BDP1	.	.	.	3.02723700157187e-07	5.27225363923393e-05	FILTER=FAIL
KIAA0947	.	.	.	3.01100050788021e-07	5.27225363923393e-05	FILTER=FAIL
MAGEC1	.	.	.	3.22819809717263e-07	5.58150772453181e-05	FILTER=FAIL
FOXE1	.	.	.	3.74886777715711e-07	6.3899909966839e-05	FILTER=FAIL
NES	.	.	.	3.74936605002408e-07	6.3899909966839e-05	FILTER=FAIL
ZNF804A	.	.	.	3.93804783658422e-07	6.66395896318436e-05	FILTER=FAIL
MXRA5	.	.	.	3.97705530123873e-07	6.68257320334902e-05	FILTER=FAIL
HIST1H3B	.	.	.	4.17154251867904e-07	6.960349964733e-05	FILTER=FAIL
PTEN	.	.	.	4.33368310377263e-07	7.18067214277882e-05	FILTER=FAIL
RBM10	.	.	.	5.05481881314732e-07	8.31779150908242e-05	FILTER=FAIL
CCDC178	.	.	.	5.23144931378926e-07	8.5052170908381e-05	FILTER=FAIL
GOLGB1	.	.	.	5.24001220600671e-07	8.5052170908381e-05	FILTER=FAIL
IPO7	.	.	.	5.61069509660897e-07	9.04535033818176e-05	FILTER=FAIL
NRXN1	.	.	.	6.68622154470071e-07	0.000107069292655409	FILTER=FAIL
DCAF8L1	.	.	.	7.09741182666568e-07	0.000112793881824338	FILTER=FAIL
KANSL1	.	.	.	7.13825488494343e-07	0.000112793881824338	FILTER=FAIL
EPHA5	.	.	.	8.35482645743328e-07	0.000131148788996288	FILTER=FAIL
CPD	.	.	.	9.51036560476163e-07	0.000148311976032426	FILTER=FAIL
TET1	.	.	.	1.02587086888249e-06	0.0001589433696853	FILTER=FAIL
ZNF536	.	.	.	1.0579434063948e-06	0.000162855030171483	FILTER=FAIL
GPC5	.	.	.	1.12857539984225e-06	0.000172614160514334	FILTER=FAIL
TPTE	.	.	.	1.13613224235056e-06	0.000172663154792894	FILTER=FAIL
ZNF737	.	.	.	1.14479933917132e-06	0.000172879191345745	FILTER=FAIL
SMCHD1	.	.	.	1.16103206652763e-06	0.000174227830863832	FILTER=FAIL
PRX	.	.	.	1.25251723904902e-06	0.000185860159760826	FILTER=FAIL
SF3B1	.	.	.	1.25412764968537e-06	0.000185860159760826	FILTER=FAIL
COL6A6	.	.	.	1.26797791965509e-06	0.000186752797302287	FILTER=FAIL
DMXL2	.	.	.	1.27672403354327e-06	0.000186887333989831	FILTER=FAIL
CEP350	.	.	.	1.36147688269001e-06	0.000198078283054778	FILTER=FAIL
CACNA1A	.	.	.	1.45514545750265e-06	0.000210422852218262	FILTER=FAIL
OTOGL	.	.	.	1.57157151900642e-06	0.000225889737611405	FILTER=FAIL
LRRC7	.	.	.	1.58465603645278e-06	0.000226406545088403	FILTER=FAIL
LRRN1	.	.	.	1.7063648599057e-06	0.000242344437841369	FILTER=FAIL
RBM8A	.	.	.	1.77281631056648e-06	0.000250292290947433	FILTER=FAIL
AKAP6	.	.	.	1.80189048422069e-06	0.000252900629138269	FILTER=FAIL
NDC80	.	.	.	1.82397201065748e-06	0.000254039303009802	FILTER=FAIL
FAM135B	.	.	.	1.83129757408575e-06	0.000254039303009802	FILTER=FAIL
PPARG	.	.	.	1.85269216623934e-06	0.000255521590095206	FILTER=FAIL
ZNF28	.	.	.	1.97638312820807e-06	0.000271014376086463	FILTER=FAIL
RNF111	.	.	.	2.01516446630613e-06	0.000274753280948939	FILTER=FAIL
CCDC88A	.	.	.	2.04411863502543e-06	0.000277117446771061	FILTER=FAIL
DNAH3	.	.	.	2.05627935617284e-06	0.000277191104171096	FILTER=FAIL
INO80	.	.	.	2.08457249902158e-06	0.000279426403520533	FILTER=FAIL
HIST1H1E	.	.	.	2.1550936023945e-06	0.000287265549458842	FILTER=FAIL
NCKAP5	.	.	.	2.57031504950878e-06	0.000340709539340442	FILTER=FAIL
ARID1B	.	.	.	2.68372010001132e-06	0.000353776583349559	FILTER=FAIL
NEB	.	.	.	2.70191744241363e-06	0.00035421840756038	FILTER=FAIL
NF1	.	.	.	2.74190728059969e-06	0.000357496763470539	FILTER=FAIL
SORCS1	.	.	.	2.82389815392631e-06	0.000366185923655879	FILTER=FAIL
OR4K5	.	.	.	2.89108120005973e-06	0.000372871337477974	FILTER=FAIL
MBD1	.	.	.	2.98537890479601e-06	0.000382963121873295	FILTER=FAIL
DNAH7	.	.	.	3.15645507129421e-06	0.000402743411770481	FILTER=FAIL
AHNAK	.	.	.	3.37437461999879e-06	0.000428258395921123	FILTER=FAIL
EFCAB5	.	.	.	3.50744261895787e-06	0.000442791433271613	FILTER=FAIL
CD1E	.	.	.	3.56093602684594e-06	0.000447178597897601	FILTER=FAIL
PDE4DIP	.	.	.	3.63331461613358e-06	0.000453878988172499	FILTER=FAIL
GTF2I	.	.	.	3.75474496974775e-06	0.000465386846889852	FILTER=FAIL
MAGEB18	.	.	.	3.76444515715597e-06	0.000465386846889852	FILTER=FAIL
AUTS2	.	.	.	4.01337020855266e-06	0.000493603160701374	FILTER=FAIL
WAC	.	.	.	4.08327075259944e-06	0.000499624821318065	FILTER=FAIL
RUNX1	.	.	.	4.36759272804636e-06	0.000531687563730542	FILTER=FAIL
CLIP1	.	.	.	4.68096754754864e-06	0.000561245656706083	FILTER=FAIL
ADAM29	.	.	.	4.66725740100922e-06	0.000561245656706083	FILTER=FAIL
CSMD1	.	.	.	4.65492427103539e-06	0.000561245656706083	FILTER=FAIL
POTEG	.	.	.	4.77585749446378e-06	0.000569759799089529	FILTER=FAIL
DDX3X	.	.	.	4.92571406606979e-06	0.00058181949315062	FILTER=FAIL
OGDH	.	.	.	4.90166048705317e-06	0.00058181949315062	FILTER=FAIL
NAP1L3	.	.	.	5.57252247137874e-06	0.000654977271759097	FILTER=FAIL
LPHN3	.	.	.	5.64329777724305e-06	0.000660044534142251	FILTER=FAIL
SLC18A3	.	.	.	5.70074046168311e-06	0.0006635105727598	FILTER=FAIL
ANK3	.	.	.	5.89323907522309e-06	0.000682585846285548	FILTER=FAIL
RP1L1	.	.	.	5.97038940190883e-06	0.000688181116567849	FILTER=FAIL
CALD1	.	.	.	6.18001887676662e-06	0.000708919473075248	FILTER=FAIL
DNAH8	.	.	.	6.74539895231582e-06	0.00077007281819261	FILTER=FAIL
GPATCH8	.	.	.	6.79437197435312e-06	0.00077197007289555	FILTER=FAIL
CNTNAP4	.	.	.	7.32556703935828e-06	0.000828379287009898	FILTER=FAIL
OR10J3	.	.	.	7.54047365811875e-06	0.000848658969258082	FILTER=FAIL
DGKB	.	.	.	7.85458825724193e-06	0.000876546208502131	FILTER=FAIL
