gene	transcript	protein_change	score	pvalue	qvalue	info
PIK3CA	.	.	.	0	0	FILTER=PASS
KMT2C	.	.	.	0	0	FILTER=PASS
MUC4	.	.	.	0	0	FILTER=PASS
FBXW7	.	.	.	0	0	FILTER=PASS
EP300	.	.	.	0	0	FILTER=PASS
FLG	.	.	.	0	0	FILTER=PASS
TTN	.	.	.	0	0	FILTER=PASS
KRAS	.	.	.	4.49397631507119e-21	1.34032843596998e-17	FILTER=PASS
PTEN	.	.	.	1.74208187157205e-19	4.6184526061899e-16	FILTER=PASS
TP53	.	.	.	1.16195173245656e-18	2.77241683364135e-15	FILTER=PASS
KMT2D	.	.	.	3.2017446670851e-18	6.94487525060459e-15	FILTER=LGF
MUC16	.	.	.	7.35371279073824e-18	1.46216322655845e-14	FILTER=LGF
RB1	.	.	.	2.07569158772861e-16	3.80969240640036e-13	FILTER=LGF
STK11	.	.	.	2.58898094203093e-15	4.41236323406128e-12	FILTER=PASS
MAPK1	.	.	.	3.93455601453599e-14	5.94496292355945e-11	FILTER=PASS
HRNR	.	.	.	3.98656356986384e-14	5.94496292355945e-11	FILTER=LGF
FLG2	.	.	.	4.04662057229546e-13	5.6795509914688e-10	FILTER=LGF
DMD	.	.	.	7.00993501417385e-13	9.29205830212156e-10	FILTER=LGF
NFE2L2	.	.	.	1.77315999175111e-12	2.22671565279903e-09	FILTER=PASS
AHNAK2	.	.	.	3.41305170467e-12	4.07177068367131e-09	FILTER=LGF
ZNF91	.	.	.	4.45160117701925e-11	5.05786686112759e-08	FILTER=PASS
OR1S2	.	.	.	4.24479453950423e-10	4.60367262329868e-07	FILTER=PASS
RYR2	.	.	.	2.5789440692765e-09	2.67537415186684e-06	FILTER=LGF
MUC17	.	.	.	4.4512054901242e-09	4.42524012476514e-06	FILTER=LGF
LRP1B	.	.	.	9.30430999855939e-09	8.53849371406258e-06	FILTER=LGF
CDK12	.	.	.	1.28193031809261e-08	1.13284656998851e-05	FILTER=FAIL
ZNF750	.	.	.	2.38988576678209e-08	2.03652408555074e-05	FILTER=FAIL
CASP8	.	.	.	3.24814671484641e-08	2.67244071090467e-05	FILTER=FAIL
DSEL	.	.	.	3.41467508603149e-08	2.71580491842371e-05	FILTER=FAIL
