gene	transcript	protein_change	score	pvalue	qvalue	info
VHL	.	.	.	0	0	FILTER=PASS
PBRM1	.	.	.	0	0	FILTER=PASS
SETD2	.	.	.	0	0	FILTER=PASS
BAP1	.	.	.	0	0	FILTER=PASS
MTOR	.	.	.	0	0	FILTER=PASS
KDM5C	.	.	.	2.11701299838961e-18	8.41865502359602e-15	FILTER=LGF
TTN	.	.	.	1.52599727594912e-16	5.201470714878e-13	FILTER=LGF
PTEN	.	.	.	1.30629446905709e-13	3.89602325396277e-10	FILTER=PASS
FLG	.	.	.	9.2572249878762e-09	2.4541932023414e-05	FILTER=LGF
AHNAK2	.	.	.	1.74650028112488e-08	4.16714967076396e-05	FILTER=FAIL
SLITRK6	.	.	.	2.10189178453378e-08	4.55919436172509e-05	FILTER=FAIL
TP53	.	.	.	7.72895640049257e-08	0.000153677416429794	FILTER=FAIL
ERBB4	.	.	.	8.69205041588027e-08	0.000159532556094541	FILTER=FAIL
ARID1A	.	.	.	2.24771396538177e-07	0.000383074680100064	FILTER=FAIL
ATM	.	.	.	3.42318676918673e-07	0.000544514908751969	FILTER=FAIL
STAG2	.	.	.	1.17609395627404e-06	0.00175385011229366	FILTER=FAIL
XIRP2	.	.	.	2.81406707200175e-06	0.00394962590223304	FILTER=FAIL
EPPK1	.	.	.	3.16957111251133e-06	0.0042014425969178	FILTER=FAIL
DNAH9	.	.	.	3.3789084682984e-06	0.00424319768703157	FILTER=FAIL
FBN2	.	.	.	4.37553638414254e-06	0.00522001490628205	FILTER=FAIL
EMILIN1	.	.	.	5.64248154153279e-06	0.00641093378957011	FILTER=FAIL
MAX	.	.	.	8.33657848696831e-06	0.0090413983045029	FILTER=FAIL
OR10G7	.	.	.	9.27389635694944e-06	0.00962065943812233	FILTER=FAIL
CSMD3	.	.	.	1.01516676743549e-05	0.0100924496129212	FILTER=FAIL
COL6A6	.	.	.	1.88219857298703e-05	0.0179637031805882	FILTER=FAIL
PCDH15	.	.	.	2.51033623470029e-05	0.0230371625230573	FILTER=FAIL
TGM5	.	.	.	2.78071721275242e-05	0.0234451267202305	FILTER=FAIL
UBC	.	.	.	2.73592287197458e-05	0.0234451267202305	FILTER=FAIL
ADAMTS12	.	.	.	2.94783655325614e-05	0.0234451267202305	FILTER=FAIL
MUC16	.	.	.	2.85959921313668e-05	0.0234451267202305	FILTER=FAIL
RIMS4	.	.	.	3.21229268394065e-05	0.0247242914318787	FILTER=FAIL
ROS1	.	.	.	4.26002065426671e-05	0.0311064463779429	FILTER=FAIL
