gene	transcript	protein_change	score	pvalue	qvalue	info
MET	.	.	.	0	0	FILTER=PASS
SETD2	.	.	.	6.34670682210638e-14	7.57162123877291e-10	FILTER=PASS
BAP1	.	.	.	1.96306309782333e-11	1.56128951713549e-07	FILTER=PASS
CUL3	.	.	.	1.81998689517497e-10	1.08562218297187e-06	FILTER=PASS
KMT2C	.	.	.	1.4726049908459e-09	7.02727101631663e-06	FILTER=LGF
PCF11	.	.	.	4.77226386950988e-09	1.89777026544176e-05	FILTER=PASS
PTEN	.	.	.	3.41559672889477e-08	0.000116423054216327	FILTER=FAIL
PARD6B	.	.	.	5.49672873297211e-08	0.000163939934460893	FILTER=FAIL
ATP1B1	.	.	.	1.37207533142954e-07	0.000363752415643431	FILTER=FAIL
NF2	.	.	.	1.98670689566895e-07	0.000474028265306611	FILTER=FAIL
ARID1A	.	.	.	5.51770168305408e-07	0.00119683965597882	FILTER=FAIL
SAV1	.	.	.	9.06417641898343e-07	0.00180226041130787	FILTER=FAIL
KIAA1109	.	.	.	1.61481130073051e-06	0.00296379981811	FILTER=FAIL
KDM6A	.	.	.	2.33386536948278e-06	0.00397757340827565	FILTER=FAIL
ACTB	.	.	.	5.10759533717393e-06	0.00812448164966467	FILTER=FAIL
PBRM1	.	.	.	9.14664236236344e-06	0.0136399304228745	FILTER=FAIL
SMARCA4	.	.	.	1.55032248075807e-05	0.0217592319946397	FILTER=FAIL
FAM20C	.	.	.	1.7238574315157e-05	0.0228506879533137	FILTER=FAIL
WDR81	.	.	.	2.60583059979038e-05	0.0316506422359592	FILTER=FAIL
TTN	.	.	.	2.65302952522709e-05	0.0316506422359592	FILTER=FAIL
KRAS	.	.	.	3.0170526765784e-05	0.0333613324549108	FILTER=FAIL
SLC5A12	.	.	.	3.07606585921223e-05	0.0333613324549108	FILTER=FAIL
PCK1	.	.	.	4.18276763804728e-05	0.0433916677581774	FILTER=FAIL
MUC16	.	.	.	5.44506608097146e-05	0.0541330319549913	FILTER=FAIL
NFE2L2	.	.	.	6.29591314425552e-05	0.0600881950487747	FILTER=FAIL
HELZ2	.	.	.	6.82299038342405e-05	0.0626140579032684	FILTER=FAIL
EPPK1	.	.	.	7.18485178273209e-05	0.0634928013096251	FILTER=FAIL
SGK2	.	.	.	9.53668605059745e-05	0.0812661889883054	FILTER=FAIL
SRRM2	.	.	.	0.000100692971106783	0.0828460100209601	FILTER=FAIL
SMARCB1	.	.	.	0.000112874422568668	0.0887305538100893	FILTER=FAIL
ANPEP	.	.	.	0.000115282781563821	0.0887305538100893	FILTER=FAIL
