gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	.	.	.	0	0	FILTER=PASS
FLG2	.	.	.	0	0	FILTER=PASS
FLG	.	.	.	0	0	FILTER=PASS
AHNAK2	.	.	.	0	0	FILTER=PASS
TOP2A	.	.	.	0	0	FILTER=PASS
TTN	.	.	.	0	0	FILTER=PASS
NF1	.	.	.	0	0	FILTER=PASS
UBC	.	.	.	5.86356063131e-15	1.74880695828821e-11	FILTER=PASS
CSMD3	.	.	.	2.94400393584617e-14	7.80488154547662e-11	FILTER=LGF
HRNR	.	.	.	3.71868882665993e-13	8.87279154041059e-10	FILTER=LGF
ZNF12	.	.	.	1.41195899142718e-12	3.06266741231386e-09	FILTER=PASS
RB1	.	.	.	2.69404683919612e-12	5.35666313193495e-09	FILTER=LGF
AHNAK	.	.	.	1.16591867377072e-10	2.13990919662841e-07	FILTER=PASS
SI	.	.	.	1.88255042694717e-10	3.20840379906853e-07	FILTER=LGF
CDK12	.	.	.	2.23608408989621e-10	3.55686442566157e-07	FILTER=LGF
BRCA1	.	.	.	5.2283975887841e-10	7.79684790427429e-07	FILTER=LGF
MYH1	.	.	.	3.59914414283454e-09	5.05150466164895e-06	FILTER=LGF
ZNF665	.	.	.	6.2506440937158e-09	8.11810327696432e-06	FILTER=PASS
ZNF816	.	.	.	6.4645415868534e-09	8.11810327696432e-06	FILTER=PASS
USH2A	.	.	.	7.15057658504637e-09	8.53063786596032e-06	FILTER=LGF
APOB	.	.	.	5.60537878423512e-08	6.36877799008809e-05	FILTER=FAIL
HMCN1	.	.	.	1.18964552849475e-07	0.000129022465044931	FILTER=FAIL
OBSCN	.	.	.	1.30073490980848e-07	0.000134937108469697	FILTER=FAIL
RYR2	.	.	.	1.37912137058023e-07	0.000137107649591851	FILTER=FAIL
MYH4	.	.	.	1.73338362714299e-07	0.000159071282090891	FILTER=FAIL
FCGBP	.	.	.	1.67147089741724e-07	0.000159071282090891	FILTER=FAIL
NCOR2	.	.	.	3.36183236581415e-07	0.000297086371290095	FILTER=FAIL
CCDC80	.	.	.	7.38569482303482e-07	0.00062936670884861	FILTER=FAIL
PEG3	.	.	.	9.50436800456286e-07	0.000781980070996103	FILTER=FAIL
FAT3	.	.	.	1.00043501688597e-06	0.000795679316763308	FILTER=FAIL
PODN	.	.	.	1.30757374517232e-06	0.00100640998580037	FILTER=FAIL
HOXA7	.	.	.	1.49665782523752e-06	0.00111594549094273	FILTER=FAIL
NCAM2	.	.	.	1.99505487672123e-06	0.00144248513207783	FILTER=FAIL
DIO3	.	.	.	3.46407264785102e-06	0.00243096392287427	FILTER=FAIL
ANKRD11	.	.	.	4.80288240115969e-06	0.00327419354547629	FILTER=FAIL
TAS2R1	.	.	.	6.5251490141002e-06	0.00432472376323419	FILTER=FAIL
CYP7B1	.	.	.	7.79715519596234e-06	0.00477756145846062	FILTER=FAIL
IQSEC1	.	.	.	7.42061852954506e-06	0.00477756145846062	FILTER=FAIL
MUC16	.	.	.	7.80909039731619e-06	0.00477756145846062	FILTER=FAIL
LRP2	.	.	.	9.86653123968768e-06	0.0058853858844737	FILTER=FAIL
KRAS	.	.	.	1.19416596677781e-05	0.00694946340666306	FILTER=FAIL
PPM1F	.	.	.	1.34770657370327e-05	0.00763454372305459	FILTER=FAIL
L1TD1	.	.	.	1.37588172712216e-05	0.00763454372305459	FILTER=FAIL
USP7	.	.	.	1.50289182772142e-05	0.00796866644654068	FILTER=FAIL
IRS1	.	.	.	1.47744756746262e-05	0.00796866644654068	FILTER=FAIL
BSN	.	.	.	1.85049025154471e-05	0.00912738756332174	FILTER=FAIL
CDH10	.	.	.	1.80769847617065e-05	0.00912738756332174	FILTER=FAIL
DNAH3	.	.	.	1.87444254234185e-05	0.00912738756332174	FILTER=FAIL
ZNF133	.	.	.	2.17891799809779e-05	0.010219156555353	FILTER=FAIL
TG	.	.	.	2.18431259146272e-05	0.010219156555353	FILTER=FAIL
DUSP27	.	.	.	2.43759999161178e-05	0.0108956116482971	FILTER=FAIL
FRMPD3	.	.	.	2.40645314758003e-05	0.0108956116482971	FILTER=FAIL
RYR1	.	.	.	2.63969636866306e-05	0.0114514827920547	FILTER=FAIL
MAGEE1	.	.	.	2.6879844712395e-05	0.0114527338363883	FILTER=FAIL
CNTNAP5	.	.	.	2.83924998483663e-05	0.0118850008137196	FILTER=FAIL
ZNF781	.	.	.	3.1136250718135e-05	0.01280880934715	FILTER=FAIL
TSHZ1	.	.	.	3.47569589966118e-05	0.0140559498586298	FILTER=FAIL
MUC5B	.	.	.	3.69557680647417e-05	0.0146960771004123	FILTER=FAIL
SOX5	.	.	.	3.88551136339746e-05	0.0149529517952683	FILTER=FAIL
FZD7	.	.	.	3.84803959429693e-05	0.0149529517952683	FILTER=FAIL
TACC2	.	.	.	3.98765366430036e-05	0.0151024470524137	FILTER=FAIL
CNTNAP2	.	.	.	4.10392185301602e-05	0.0152999336582753	FILTER=FAIL
GLUD2	.	.	.	4.1889994986987e-05	0.0153768504675309	FILTER=FAIL
BRINP3	.	.	.	4.80722775329377e-05	0.016623254230955	FILTER=FAIL
TRIM51	.	.	.	4.71204757562214e-05	0.016623254230955	FILTER=FAIL
PPP1R3A	.	.	.	4.77279965708183e-05	0.016623254230955	FILTER=FAIL
LRRK2	.	.	.	4.69243522793537e-05	0.016623254230955	FILTER=FAIL
JAK3	.	.	.	5.30698778385826e-05	0.0180892469318369	FILTER=FAIL
PCSK9	.	.	.	5.41634671780295e-05	0.0182019764347575	FILTER=FAIL
CCDC71	.	.	.	5.57739345782838e-05	0.018482862208859	FILTER=FAIL
OR10C1	.	.	.	5.87817564519823e-05	0.0189531447154635	FILTER=FAIL
PXDNL	.	.	.	6.01125552985742e-05	0.0191238075923197	FILTER=FAIL
CHD5	.	.	.	6.39064090470518e-05	0.019301353415983	FILTER=FAIL
EMILIN1	.	.	.	6.36259144821342e-05	0.019301353415983	FILTER=FAIL
COL17A1	.	.	.	6.32438424824188e-05	0.019301353415983	FILTER=FAIL
COL6A3	.	.	.	6.26751801923344e-05	0.019301353415983	FILTER=FAIL
LRP1B	.	.	.	6.47855195800721e-05	0.0193222812147565	FILTER=FAIL
NPAS3	.	.	.	6.68064732599162e-05	0.0196790426170568	FILTER=FAIL
CREBBP	.	.	.	7.27987540357378e-05	0.021182661845033	FILTER=FAIL
ZNF536	.	.	.	7.44998727801421e-05	0.0214164694522192	FILTER=FAIL
RP1L1	.	.	.	8.32796349747224e-05	0.0221255325738437	FILTER=FAIL
MAB21L1	.	.	.	8.10185316919508e-05	0.0221255325738437	FILTER=FAIL
ABCB4	.	.	.	8.26753794906348e-05	0.0221255325738437	FILTER=FAIL
HIVEP3	.	.	.	8.34575830530569e-05	0.0221255325738437	FILTER=FAIL
SALL4	.	.	.	8.18098192011221e-05	0.0221255325738437	FILTER=FAIL
CSMD1	.	.	.	7.82384841207982e-05	0.0221255325738437	FILTER=FAIL
TSHZ2	.	.	.	7.94311269805666e-05	0.0221255325738437	FILTER=FAIL
ABCC3	.	.	.	8.50461597990741e-05	0.0222989161846803	FILTER=FAIL
TDRD6	.	.	.	8.89392453713892e-05	0.0230661999408842	FILTER=FAIL
OR2G6	.	.	.	9.12348049324788e-05	0.0234071230719241	FILTER=FAIL
TMPPE	.	.	.	9.51752356384222e-05	0.0241583098120506	FILTER=FAIL
MUC17	.	.	.	9.74650182751228e-05	0.0244791088004677	FILTER=FAIL
ZNF80	.	.	.	0.000105643794442151	0.0262568847436429	FILTER=FAIL
CACNA1C	.	.	.	0.000119544018652067	0.0294053637632816	FILTER=FAIL
KMT2C	.	.	.	0.000123131879874175	0.0299788434061002	FILTER=FAIL
IGSF21	.	.	.	0.000126438479677875	0.0304729507587283	FILTER=FAIL
CABS1	.	.	.	0.000132717835544052	0.0316664755608108	FILTER=FAIL
ALB	.	.	.	0.000138485333833519	0.0327154461907699	FILTER=FAIL
GRIA2	.	.	.	0.000143651394276915	0.0336031594847764	FILTER=FAIL
KIAA1462	.	.	.	0.000147811038099814	0.034240498728753	FILTER=FAIL
WDR6	.	.	.	0.000158806447630318	0.036433863850571	FILTER=FAIL
CERCAM	.	.	.	0.00016093162194611	0.0365697952346113	FILTER=FAIL
SH3PXD2B	.	.	.	0.000170008819719399	0.0382680230047628	FILTER=FAIL
MRVI1	.	.	.	0.000173221309685403	0.0386267331691001	FILTER=FAIL
PLEC	.	.	.	0.000190499261273852	0.0418413060500613	FILTER=FAIL
MYF5	.	.	.	0.000195994016853837	0.0418413060500613	FILTER=FAIL
FAT4	.	.	.	0.000196405124794923	0.0418413060500613	FILTER=FAIL
ANKRD35	.	.	.	0.000191204243657146	0.0418413060500613	FILTER=FAIL
OR4N2	.	.	.	0.000194564363606966	0.0418413060500613	FILTER=FAIL
ZNF208	.	.	.	0.000210045260974049	0.0443511497950514	FILTER=FAIL
ACTRT1	.	.	.	0.000211905244846978	0.044351395982885	FILTER=FAIL
NOTCH4	.	.	.	0.000222047397356647	0.0460700078341704	FILTER=FAIL
KLHDC7A	.	.	.	0.000252593944242498	0.0519559612898793	FILTER=FAIL
DIDO1	.	.	.	0.00025953148141287	0.0529266764659066	FILTER=FAIL
NRAS	.	.	.	0.000261754966037249	0.0529277414377014	FILTER=FAIL
TRIM56	.	.	.	0.000271349034046101	0.0541629473437698	FILTER=FAIL
NLRP3	.	.	.	0.000272403758644274	0.0541629473437698	FILTER=FAIL
FZD8	.	.	.	0.00028431178715416	0.0551518637520183	FILTER=FAIL
NPAP1	.	.	.	0.000284298811089901	0.0551518637520183	FILTER=FAIL
PRUNE2	.	.	.	0.000281895289532569	0.0551518637520183	FILTER=FAIL
MGAT4C	.	.	.	0.000300963303886341	0.0579111647639363	FILTER=FAIL
RBAK	.	.	.	0.000307561132658895	0.0587072690019299	FILTER=FAIL
AMER3	.	.	.	0.000317748886960528	0.060170543197446	FILTER=FAIL
PDYN	.	.	.	0.000320636167051452	0.060239204298013	FILTER=FAIL
ATRNL1	.	.	.	0.00033031466936972	0.0615727188371994	FILTER=FAIL
CHRM2	.	.	.	0.000337474064788042	0.0618753427613724	FILTER=FAIL
PCDH10	.	.	.	0.000339717933853302	0.0618753427613724	FILTER=FAIL
PAK3	.	.	.	0.000334949574266953	0.0618753427613724	FILTER=FAIL
RELN	.	.	.	0.000352645862977927	0.0637434112928283	FILTER=FAIL
GJA8	.	.	.	0.000371526088497137	0.0661538244144902	FILTER=FAIL
KDR	.	.	.	0.00037080382100923	0.0661538244144902	FILTER=FAIL
DYSF	.	.	.	0.000386774997125874	0.0683588994920248	FILTER=FAIL
SPOCD1	.	.	.	0.000390873886575132	0.0685753745123724	FILTER=FAIL
MYH15	.	.	.	0.000396864561489654	0.0691181637747675	FILTER=FAIL
ZNF804B	.	.	.	0.000414055474015244	0.0705401939302395	FILTER=FAIL
PTEN	.	.	.	0.000408880470466676	0.0705401939302395	FILTER=FAIL
PTPRZ1	.	.	.	0.000411982967356924	0.0705401939302395	FILTER=FAIL
PKHD1	.	.	.	0.000416855295228993	0.0705401939302395	FILTER=FAIL
TSC22D1	.	.	.	0.000435939433642288	0.0732501048359506	FILTER=FAIL
RBL2	.	.	.	0.000446606175764866	0.0734447076707832	FILTER=FAIL
EHD1	.	.	.	0.000446669918692953	0.0734447076707832	FILTER=FAIL
HIST1H2BI	.	.	.	0.000446409138709788	0.0734447076707832	FILTER=FAIL
HSPA12B	.	.	.	0.000449410197817869	0.0734447076707832	FILTER=FAIL
TUBGCP6	.	.	.	0.00045530664475961	0.0739021533603013	FILTER=FAIL
GEMIN4	.	.	.	0.000478453504584318	0.0768957971702951	FILTER=FAIL
KIAA2018	.	.	.	0.000480195883418859	0.0768957971702951	FILTER=FAIL
ZKSCAN4	.	.	.	0.000484992500551825	0.0771461404211103	FILTER=FAIL
SPAM1	.	.	.	0.00048867435723904	0.0772170209518112	FILTER=FAIL
ANKRD30A	.	.	.	0.000504902986593132	0.0792564819744219	FILTER=FAIL
CA6	.	.	.	0.000529872190414834	0.0826323559692676	FILTER=FAIL
EMR3	.	.	.	0.000545881782269448	0.0845762293827859	FILTER=FAIL
RUFY1	.	.	.	0.000556170493101392	0.0856143739703175	FILTER=FAIL
SLC5A3	.	.	.	0.000560383861241716	0.0857099931360727	FILTER=FAIL
ZNF791	.	.	.	0.000579799056705897	0.0870063238553629	FILTER=FAIL
TLN2	.	.	.	0.000575419870185772	0.0870063238553629	FILTER=FAIL
FASTK	.	.	.	0.000578075227069062	0.0870063238553629	FILTER=FAIL
NXPE4	.	.	.	0.000589746975359493	0.0879460177004844	FILTER=FAIL
LRRTM4	.	.	.	0.000604210367611404	0.0892603127805796	FILTER=FAIL
TENM1	.	.	.	0.000606042358359342	0.0892603127805796	FILTER=FAIL
ADRA2B	.	.	.	0.000613744825493857	0.0892923874163624	FILTER=FAIL
BRCA2	.	.	.	0.000612073625234052	0.0892923874163624	FILTER=FAIL
GFRA1	.	.	.	0.000624287901192982	0.0902758140755427	FILTER=FAIL
KRT6B	.	.	.	0.000634417084910777	0.0904383840748513	FILTER=FAIL
FOXA2	.	.	.	0.000639684189982858	0.0904383840748513	FILTER=FAIL
KRT6A	.	.	.	0.000640573634059089	0.0904383840748513	FILTER=FAIL
PLCH1	.	.	.	0.000639782041990768	0.0904383840748513	FILTER=FAIL
MEFV	.	.	.	0.000654889277985776	0.0919156363102389	FILTER=FAIL
RBM15B	.	.	.	0.000674851505193706	0.094163490724689	FILTER=FAIL
