gene	transcript	protein_change	score	pvalue	qvalue	info
KRAS	.	.	.	0	0	FILTER=PASS
TP53	.	.	.	0	0	FILTER=PASS
CDKN2A	.	.	.	0	0	FILTER=PASS
SMAD4	.	.	.	0	0	FILTER=PASS
RNF43	.	.	.	1.37713141184873e-14	6.57167109734214e-11	FILTER=PASS
ARID1A	.	.	.	3.05134964194022e-09	1.21342004094489e-05	FILTER=PASS
TTN	.	.	.	1.04272940880322e-08	3.55421767057783e-05	FILTER=FAIL
KDM6A	.	.	.	3.16754182993636e-07	0.000944719350778519	FILTER=FAIL
PRSS1	.	.	.	1.50493377296012e-06	0.00398974664698094	FILTER=FAIL
PMEPA1	.	.	.	1.78640082841035e-06	0.0042623523765871	FILTER=FAIL
KCNA6	.	.	.	4.05585802159404e-06	0.00855339925456172	FILTER=FAIL
PCDHB7	.	.	.	4.30179342224395e-06	0.00855339925456172	FILTER=FAIL
PCDH15	.	.	.	4.84680059193871e-06	0.00889574324028135	FILTER=FAIL
GNAS	.	.	.	6.047222332311e-06	0.0103061946320672	FILTER=FAIL
LCE4A	.	.	.	6.63501043218175e-06	0.0105540899274571	FILTER=FAIL
FLG	.	.	.	8.87116599340309e-06	0.0132291262876624	FILTER=FAIL
CSMD2	.	.	.	1.40314537371799e-05	0.0196935580099478	FILTER=FAIL
POM121L12	.	.	.	1.57687092442228e-05	0.0209023001426198	FILTER=FAIL
STK11	.	.	.	2.85617283469931e-05	0.0340741419179628	FILTER=FAIL
ADAMTS12	.	.	.	2.76311256736538e-05	0.0340741419179628	FILTER=FAIL
HECW2	.	.	.	3.32145201455805e-05	0.0377380214606453	FILTER=FAIL
APBA2	.	.	.	4.30855120491534e-05	0.0467281962496727	FILTER=FAIL
CHML	.	.	.	5.68290673641916e-05	0.0589539803178092	FILTER=FAIL
RREB1	.	.	.	6.5503606896383e-05	0.0625166424219079	FILTER=FAIL
ATP12A	.	.	.	6.42546688570083e-05	0.0625166424219079	FILTER=FAIL
TGFBR2	.	.	.	8.6463213205611e-05	0.0793466256571492	FILTER=FAIL
KCNA5	.	.	.	0.000105793868920407	0.0934904337941078	FILTER=FAIL
NLGN3	.	.	.	0.000120625705238453	0.102790333106767	FILTER=FAIL
BLOC1S3	.	.	.	0.000143350723200738	0.117943043295504	FILTER=FAIL
SCN5A	.	.	.	0.000157803044611221	0.121457440142701	FILTER=FAIL
HIST1H1B	.	.	.	0.000153310291320301	0.121457440142701	FILTER=FAIL
MUC16	.	.	.	0.000215561382417556	0.16072795576509	FILTER=FAIL
COL11A1	.	.	.	0.000351710703699322	0.24681815853723	FILTER=FAIL
P4HA1	.	.	.	0.000346234917919033	0.24681815853723	FILTER=FAIL
ZNF99	.	.	.	0.000376530747222106	0.256686389391984	FILTER=FAIL
PRL	.	.	.	0.000416121240443174	0.268341967485787	FILTER=FAIL
MYO18B	.	.	.	0.000414059557247488	0.268341967485787	FILTER=FAIL
CACNA1B	.	.	.	0.000459160392696052	0.288304393940205	FILTER=FAIL
KLRC3	.	.	.	0.000493931820154499	0.302184954586829	FILTER=FAIL
PRAMEF11	.	.	.	0.000533587699007716	0.310522012154246	FILTER=FAIL
PCDH9	.	.	.	0.000525205391319593	0.310522012154246	FILTER=FAIL
PDZRN3	.	.	.	0.000559579456337487	0.317894424481249	FILTER=FAIL
CR2	.	.	.	0.00067009705938687	0.363375359931153	FILTER=FAIL
TCF4	.	.	.	0.000658380531870956	0.363375359931153	FILTER=FAIL
DEFB119	.	.	.	0.000742960395319664	0.393934111829493	FILTER=FAIL
FLRT2	.	.	.	0.000782421187770446	0.405838468265279	FILTER=FAIL
SYT3	.	.	.	0.000835436288455007	0.406806323317071	FILTER=FAIL
SCN9A	.	.	.	0.000833184722946506	0.406806323317071	FILTER=FAIL
ZNRF4	.	.	.	0.000812894164388993	0.406806323317071	FILTER=FAIL
KCNA4	.	.	.	0.000861613220687429	0.411161828912041	FILTER=FAIL
TPO	.	.	.	0.000906545831738927	0.424121245986094	FILTER=FAIL
TMEM52	.	.	.	0.000970030653505667	0.445094834473946	FILTER=FAIL
KMT2C	.	.	.	0.0011334670756351	0.500645277529363	FILTER=FAIL
GLI3	.	.	.	0.00113768907759115	0.500645277529363	FILTER=FAIL
SACS	.	.	.	0.00116703816181888	0.500645277529363	FILTER=FAIL
ANKRD34B	.	.	.	0.00119029943114269	0.500645277529363	FILTER=FAIL
RNF38	.	.	.	0.00119600925478515	0.500645277529363	FILTER=FAIL
OR4A47	.	.	.	0.0012442762398498	0.503411954190147	FILTER=FAIL
RIMS4	.	.	.	0.00124481581295971	0.503411954190147	FILTER=FAIL
RYR1	.	.	.	0.00147469132486238	0.579565794329277	FILTER=FAIL
FBXW7	.	.	.	0.00158421160904994	0.579565794329277	FILTER=FAIL
ASB15	.	.	.	0.00158739689519616	0.579565794329277	FILTER=FAIL
ADAMTS16	.	.	.	0.00153800551387978	0.579565794329277	FILTER=FAIL
MLK4	.	.	.	0.00153035855204947	0.579565794329277	FILTER=FAIL
BTF3	.	.	.	0.00156791869861303	0.579565794329277	FILTER=FAIL
SGCD	.	.	.	0.00167600501947129	0.588080584773308	FILTER=FAIL
RYBP	.	.	.	0.00166691457419875	0.588080584773308	FILTER=FAIL
DHRS4	.	.	.	0.00179484156138205	0.603167882458813	FILTER=FAIL
ADAMTS19	.	.	.	0.00176448233996852	0.603167882458813	FILTER=FAIL
PDE10A	.	.	.	0.00177923083839276	0.603167882458813	FILTER=FAIL
NOS1	.	.	.	0.00188294885146714	0.607062210168646	FILTER=FAIL
U2AF1	.	.	.	0.0019082005768084	0.607062210168646	FILTER=FAIL
CDC73	.	.	.	0.00186384694700432	0.607062210168646	FILTER=FAIL
ARL17B	.	.	.	0.0018580973566743	0.607062210168646	FILTER=FAIL
ENC1	.	.	.	0.00193396062815411	0.607161849838909	FILTER=FAIL
TMEM198	.	.	.	0.00200758473363207	0.62209054213586	FILTER=FAIL
CNGA3	.	.	.	0.00215462397617635	0.658235443876219	FILTER=FAIL
ANXA1	.	.	.	0.00220859051039981	0.658712119726743	FILTER=FAIL
SLC8A2	.	.	.	0.00225169376439468	0.660046049978747	FILTER=FAIL
CACNA1H	.	.	.	0.00226838961015328	0.660046049978747	FILTER=FAIL
OR6C6	.	.	.	0.00230319890673626	0.662100312225628	FILTER=FAIL
ELK1	.	.	.	0.00233467281042045	0.663158253055142	FILTER=FAIL
TRDJ3	.	.	.	0.0024267865170468	0.673522201822665	FILTER=FAIL
NPAP1	.	.	.	0.00242761564781011	0.673522201822665	FILTER=FAIL
KLHDC8A	.	.	.	0.00248394492900321	0.681229034551915	FILTER=FAIL
SPTA1	.	.	.	0.00257736085132111	0.698816249005928	FILTER=FAIL
DIO3	.	.	.	0.00260787903848322	0.69914599840685	FILTER=FAIL
NELL2	.	.	.	0.00284856495740553	0.715439577723115	FILTER=FAIL
ADRA1A	.	.	.	0.00279799964567869	0.715439577723115	FILTER=FAIL
