gene,transcript,protein_change,score,pvalue,qvalue,info
TP53,.,.,.,16.0,0.0,FILTER=PASS
TTN,.,.,.,16.0,0.0,FILTER=PASS
MUC16,.,.,.,16.0,0.0,FILTER=PASS
CSMD3,.,.,.,16.0,0.0,FILTER=PASS
PIK3CA,.,.,.,16.0,0.0,FILTER=PASS
LRP1B,.,.,.,16.0,0.0,FILTER=PASS
DNAH5,.,.,.,16.0,0.0,FILTER=PASS
PCLO,.,.,.,16.0,0.0,FILTER=PASS
USH2A,.,.,.,16.0,0.0,FILTER=PASS
FLG,.,.,.,16.0,0.0,FILTER=PASS
SYNE1,.,.,.,16.0,0.0,FILTER=PASS
RYR2,.,.,.,16.0,0.0,FILTER=PASS
ZFHX4,.,.,.,16.0,0.0,FILTER=PASS
PTEN,.,.,.,16.0,0.0,FILTER=PASS
KMT2D,.,.,.,16.0,0.0,FILTER=PASS
OBSCN,.,.,.,16.0,0.0,FILTER=PASS
SPTA1,.,.,.,16.0,0.0,FILTER=PASS
CSMD1,.,.,.,16.0,0.0,FILTER=PASS
HMCN1,.,.,.,16.0,0.0,FILTER=PASS
XIRP2,.,.,.,16.0,0.0,FILTER=PASS
MUC17,.,.,.,16.0,0.0,FILTER=PASS
BRAF,.,.,.,16.0,0.0,FILTER=PASS
FAT3,.,.,.,16.0,0.0,FILTER=PASS
KMT2C,.,.,.,16.0,0.0,FILTER=PASS
FAT4,.,.,.,16.0,0.0,FILTER=PASS
ARID1A,.,.,.,16.0,0.0,FILTER=PASS
APC,.,.,.,16.0,0.0,FILTER=PASS
KRAS,.,.,.,16.0,0.0,FILTER=PASS
APOB,.,.,.,16.0,0.0,FILTER=PASS
GPR98,.,.,.,16.0,0.0,FILTER=PASS
DNAH8,.,.,.,16.0,0.0,FILTER=PASS
DNAH7,.,.,.,16.0,0.0,FILTER=PASS
DNAH9,.,.,.,16.0,0.0,FILTER=PASS
PKHD1L1,.,.,.,16.0,0.0,FILTER=PASS
RYR3,.,.,.,16.0,0.0,FILTER=PASS
PCDH15,.,.,.,16.0,0.0,FILTER=PASS
RYR1,.,.,.,16.0,0.0,FILTER=PASS
LRP2,.,.,.,16.0,0.0,FILTER=PASS
NEB,.,.,.,16.0,0.0,FILTER=PASS
DMD,.,.,.,16.0,0.0,FILTER=PASS
AHNAK2,.,.,.,16.0,0.0,FILTER=PASS
FAT1,.,.,.,16.0,0.0,FILTER=PASS
COL11A1,.,.,.,16.0,0.0,FILTER=PASS
FAM135B,.,.,.,16.0,0.0,FILTER=PASS
DNAH11,.,.,.,16.0,0.0,FILTER=PASS
IDH1,.,.,.,16.0,0.0,FILTER=PASS
CSMD2,.,.,.,16.0,0.0,FILTER=PASS
ABCA13,.,.,.,16.0,0.0,FILTER=PASS
PKHD1,.,.,.,16.0,0.0,FILTER=PASS
ATRX,.,.,.,16.0,0.0,FILTER=PASS
MUC5B,.,.,.,16.0,0.0,FILTER=PASS
HYDIN,.,.,.,16.0,0.0,FILTER=PASS
PAPPA2,.,.,.,16.0,0.0,FILTER=PASS
NAV3,.,.,.,16.0,0.0,FILTER=PASS
RP1,.,.,.,16.0,0.0,FILTER=PASS
AHNAK,.,.,.,16.0,0.0,FILTER=PASS
CUBN,.,.,.,16.0,0.0,FILTER=PASS
NF1,.,.,.,16.0,0.0,FILTER=PASS
SI,.,.,.,16.0,0.0,FILTER=PASS
RELN,.,.,.,16.0,0.0,FILTER=PASS
DNAH3,.,.,.,16.0,0.0,FILTER=PASS
ANK3,.,.,.,16.0,0.0,FILTER=PASS
ANK2,.,.,.,16.0,0.0,FILTER=PASS
