gene	transcript	protein_change	score	pvalue	qvalue	info
APC	.	.	.	0	0	FILTER=PASS
TP53	.	.	.	0	0	FILTER=PASS
KRAS	.	.	.	0	0	FILTER=PASS
FBXW7	.	.	.	0	0	FILTER=PASS
NRAS	.	.	.	6.07792146532128e-20	2.90038412325131e-16	FILTER=PASS
HRNR	.	.	.	1.78039655511251e-16	7.08004363416408e-13	FILTER=PASS
FLG	.	.	.	2.30534621624566e-15	7.85793724566021e-12	FILTER=LGF
SOX9	.	.	.	5.57032644026261e-15	1.66134986080832e-11	FILTER=PASS
TTN	.	.	.	1.54955824612376e-13	4.10805108361255e-10	FILTER=LGF
SMAD4	.	.	.	3.48908818989074e-11	8.32496442107931e-08	FILTER=PASS
SYNE1	.	.	.	6.2368142354449e-11	1.35282170597923e-07	FILTER=LGF
LRP1B	.	.	.	4.11438140814983e-09	8.18076169987125e-06	FILTER=LGF
AMER1	.	.	.	6.21733934147776e-09	1.14112089759738e-05	FILTER=PASS
TCF7L2	.	.	.	9.28419174610729e-09	1.582291536158e-05	FILTER=PASS
PIK3CA	.	.	.	9.99735882491159e-09	1.59024654374927e-05	FILTER=PASS
SACS	.	.	.	1.24684956963373e-08	1.8593644207163e-05	FILTER=FAIL
ZFP36L2	.	.	.	1.71340645225187e-08	2.40481635004292e-05	FILTER=FAIL
DSEL	.	.	.	2.41404191942608e-07	0.000319994667763924	FILTER=FAIL
RYR2	.	.	.	3.32574246569437e-07	0.000417643238060356	FILTER=FAIL
ZNF469	.	.	.	3.87615423272992e-07	0.000462425199964679	FILTER=FAIL
SNTG2	.	.	.	1.02673499132171e-06	0.00116656651871124	FILTER=FAIL
FGF13	.	.	.	1.78951383755672e-06	0.00194080909836833	FILTER=FAIL
SLITRK5	.	.	.	1.96762531469096e-06	0.00204119739167506	FILTER=FAIL
FAT4	.	.	.	5.76648094511012e-06	0.00573284313959698	FILTER=FAIL
FPR1	.	.	.	6.50234755778474e-06	0.00620584050914976	FILTER=FAIL
DCLK1	.	.	.	7.61472051416825e-06	0.00698797044107902	FILTER=FAIL
PCDH17	.	.	.	1.13125706574983e-05	0.00999696058844109	FILTER=FAIL
PCBP1	.	.	.	1.20060667833316e-05	0.0102308840517961	FILTER=FAIL
GRIA2	.	.	.	1.38385567319394e-05	0.011385791849106	FILTER=FAIL
EPPK1	.	.	.	1.70082732205916e-05	0.0132810633917215	FILTER=FAIL
HYDIN	.	.	.	1.72553631661092e-05	0.0132810633917215	FILTER=FAIL
RP1	.	.	.	1.81192125226074e-05	0.0135101378371691	FILTER=FAIL
DNM3	.	.	.	2.770450358253e-05	0.0196220747567452	FILTER=FAIL
MAGEC1	.	.	.	2.79610453365188e-05	0.0196220747567452	FILTER=FAIL
DCAF4L2	.	.	.	3.34781495892132e-05	0.0228225328342465	FILTER=FAIL
ZFPM2	.	.	.	3.481208534969e-05	0.0230726765678779	FILTER=FAIL
CSMD1	.	.	.	3.70214695215625e-05	0.0238738449401211	FILTER=FAIL
UNC80	.	.	.	4.09738690768759e-05	0.0257272767414279	FILTER=FAIL
ZMAT1	.	.	.	4.35874612330689e-05	0.0266665852569493	FILTER=FAIL
ZNF804B	.	.	.	5.82050678448591e-05	0.0347193229694585	FILTER=FAIL
PAPOLB	.	.	.	7.02516582058373e-05	0.0408830381656409	FILTER=FAIL
UBQLNL	.	.	.	9.72204515760366e-05	0.0552304755858151	FILTER=FAIL
SMARCA1	.	.	.	0.000106755816373768	0.059237064620421	FILTER=FAIL
OR1G1	.	.	.	0.000135171952150864	0.0733000631436276	FILTER=FAIL
OR5W2	.	.	.	0.000152469216947769	0.0808425670305282	FILTER=FAIL
FLRT2	.	.	.	0.000160279313879379	0.0831361832426518	FILTER=FAIL
CACNA2D3	.	.	.	0.000192686427835453	0.0919499633630782	FILTER=FAIL
