gene	transcript	protein_change	score	pvalue	qvalue	info
TTN	.	.	.	0	0	FILTER=PASS
TP53	.	.	.	0	0	FILTER=PASS
MUC16	.	.	.	0	0	FILTER=PASS
LRP1B	.	.	.	0	0	FILTER=PASS
CSMD3	.	.	.	0	0	FILTER=PASS
FLG	.	.	.	0	0	FILTER=PASS
PCLO	.	.	.	0	0	FILTER=PASS
SPTA1	.	.	.	0	0	FILTER=PASS
ARID1A	.	.	.	0	0	FILTER=PASS
FAT4	.	.	.	0	0	FILTER=PASS
SYNE1	.	.	.	0	0	FILTER=PASS
CSMD1	.	.	.	0	0	FILTER=PASS
PCDH15	.	.	.	0	0	FILTER=PASS
DMD	.	.	.	0	0	FILTER=PASS
ZFHX4	.	.	.	0	0	FILTER=PASS
LRRK2	.	.	.	0	0	FILTER=PASS
PIK3CA	.	.	.	0	0	FILTER=PASS
CDH1	.	.	.	0	0	FILTER=PASS
PREX2	.	.	.	0	0	FILTER=PASS
ERBB4	.	.	.	0	0	FILTER=PASS
PEG3	.	.	.	0	0	FILTER=PASS
AHNAK2	.	.	.	0	0	FILTER=PASS
CNTNAP5	.	.	.	0	0	FILTER=PASS
SMAD4	.	.	.	0	0	FILTER=PASS
SACS	.	.	.	0	0	FILTER=PASS
EDNRB	.	.	.	0	0	FILTER=PASS
KRAS	.	.	.	0	0	FILTER=PASS
HRNR	.	.	.	0	0	FILTER=PASS
TLR4	.	.	.	0	0	FILTER=PASS
ZNF208	.	.	.	0	0	FILTER=PASS
NPAP1	.	.	.	0	0	FILTER=PASS
RHOA	.	.	.	0	0	FILTER=PASS
TRIM49C	.	.	.	0	0	FILTER=PASS
ZNF99	.	.	.	0	0	FILTER=PASS
APC	.	.	.	0	0	FILTER=PASS
HMCN1	.	.	.	0	0	FILTER=PASS
DNAH5	.	.	.	0	0	FILTER=PASS
XIRP2	.	.	.	0	0	FILTER=PASS
FAT3	.	.	.	2.74796813742032e-22	1.68119281432946e-19	FILTER=PASS
RYR2	.	.	.	1.64551474305299e-20	9.81549544231109e-18	FILTER=PASS
PCDH17	.	.	.	4.23488322615865e-20	2.46449545795477e-17	FILTER=PASS
TRPS1	.	.	.	2.0584866267011e-19	1.16941645031162e-16	FILTER=PASS
DNAH11	.	.	.	2.47978638634527e-19	1.3759930971674e-16	FILTER=PASS
ACVR2A	.	.	.	3.17013929678937e-19	1.71908008230442e-16	FILTER=PASS
DCLK1	.	.	.	5.50646614501963e-19	2.91965071600374e-16	FILTER=PASS
DSEL	.	.	.	7.74623153923558e-19	4.01793662013393e-16	FILTER=PASS
BAI3	.	.	.	6.59351381773425e-18	3.34726041896041e-15	FILTER=PASS
RXFP3	.	.	.	1.47931892541375e-17	7.35344782507752e-15	FILTER=PASS
CDH11	.	.	.	3.39281383994383e-17	1.65209261675632e-14	FILTER=PASS
CYLC1	.	.	.	5.42450475936448e-17	2.58857367116873e-14	FILTER=PASS
MUC6	.	.	.	6.31021187897213e-17	2.95218932220147e-14	FILTER=PASS
MAGEC1	.	.	.	9.33138559557031e-17	4.28167039058284e-14	FILTER=LGF
SLITRK1	.	.	.	1.49594010720627e-16	6.73455301093238e-14	FILTER=LGF
KIF2B	.	.	.	2.25722434594615e-16	9.97358757301391e-14	FILTER=LGF
GLI3	.	.	.	3.76007704908827e-16	1.63118978893175e-13	FILTER=LGF
FLRT2	.	.	.	4.55853275917418e-16	1.942260564891e-13	FILTER=LGF
PCDH11X	.	.	.	1.70321024257915e-15	7.00665454964457e-13	FILTER=LGF
NBEA	.	.	.	1.70193366253251e-15	7.00665454964457e-13	FILTER=LGF
LAMA1	.	.	.	2.00907501173115e-15	8.12483555591614e-13	FILTER=LGF
ABCA13	.	.	.	5.31879142333486e-15	2.11510605601283e-12	FILTER=LGF
OR4N4	.	.	.	5.44389145442514e-15	2.12936475578006e-12	FILTER=PASS
NRK	.	.	.	6.30801748267314e-15	2.42756930865453e-12	FILTER=LGF
RIMS1	.	.	.	8.84367498819195e-15	3.34936643203587e-12	FILTER=LGF
CYP7B1	.	.	.	9.86966362341558e-15	3.67953396960462e-12	FILTER=LGF
PTPRT	.	.	.	1.12134903332454e-14	4.11621352848054e-12	FILTER=LGF
OR4C16	.	.	.	1.33594299304923e-14	4.78820268995258e-12	FILTER=PASS
CMYA5	.	.	.	1.3445497913949e-14	4.78820268995258e-12	FILTER=LGF
EPHA3	.	.	.	2.11388239399293e-14	7.41724028245166e-12	FILTER=LGF
TAF1L	.	.	.	2.98266930161105e-14	1.03139839907884e-11	FILTER=LGF
THSD7B	.	.	.	3.33153220337526e-14	1.13557654817905e-11	FILTER=LGF
NRXN1	.	.	.	3.8028851961245e-14	1.27798367295113e-11	FILTER=LGF
CNBD1	.	.	.	5.4310420471546e-14	1.7997869895154e-11	FILTER=PASS
SLIT2	.	.	.	5.88789147071798e-14	1.92445329440179e-11	FILTER=LGF
TPTE	.	.	.	6.34659240349493e-14	2.04634722631607e-11	FILTER=LGF
NAV3	.	.	.	6.80577458112693e-14	2.16514375340918e-11	FILTER=LGF
FMN2	.	.	.	6.92053361973622e-14	2.17268331798561e-11	FILTER=PASS
KCNT2	.	.	.	1.45475826262145e-13	4.50786131768153e-11	FILTER=LGF
MAP2	.	.	.	1.54118780939463e-13	4.71445399130204e-11	FILTER=LGF
EPB41L3	.	.	.	1.79310658346894e-13	5.41563583310999e-11	FILTER=PASS
PCDH10	.	.	.	3.42341156735236e-13	1.02103249996284e-10	FILTER=LGF
SLITRK6	.	.	.	3.48400265576046e-13	1.02627535020302e-10	FILTER=LGF
SPATA31A6	.	.	.	4.97695570301159e-13	1.44817272041288e-10	FILTER=LGF
COL11A1	.	.	.	7.2793950633278e-13	2.09260682181929e-10	FILTER=LGF
RIMS2	.	.	.	7.52313468754666e-13	2.13692849577218e-10	FILTER=LGF
CNTN6	.	.	.	9.04314921479885e-13	2.53846517958942e-10	FILTER=LGF
POM121L12	.	.	.	1.04418219853984e-12	2.89699851827449e-10	FILTER=PASS
OR4N2	.	.	.	1.36084347612072e-12	3.73215233795866e-10	FILTER=PASS
CDKN2A	.	.	.	1.47176694219766e-12	3.99049536827684e-10	FILTER=PASS
PXDN	.	.	.	1.50637877134924e-12	4.03844915554976e-10	FILTER=LGF
PTEN	.	.	.	1.83262622160534e-12	4.85849573861149e-10	FILTER=PASS
CNTNAP2	.	.	.	2.50416515493021e-12	6.5658659996302e-10	FILTER=LGF
OR2M5	.	.	.	3.007306405439e-12	7.79938378627984e-10	FILTER=PASS
SCN10A	.	.	.	3.28183894735127e-12	8.41985777245175e-10	FILTER=LGF
USH2A	.	.	.	3.90896079480774e-12	9.92210686852263e-10	FILTER=LGF
CDH12	.	.	.	4.96306081603439e-12	1.24651190600611e-09	FILTER=LGF
CPXCR1	.	.	.	6.42594045113618e-12	1.59711394962614e-09	FILTER=PASS
TUSC3	.	.	.	6.55840371294674e-12	1.61323208856607e-09	FILTER=PASS
KIAA2022	.	.	.	7.318917661991e-12	1.78193240219495e-09	FILTER=LGF
ADAMTS16	.	.	.	7.49175186990065e-12	1.80558787490737e-09	FILTER=LGF
GRM1	.	.	.	1.30100182608294e-11	3.10419035703389e-09	FILTER=LGF
SORCS3	.	.	.	1.86851101287319e-11	4.41412601654993e-09	FILTER=LGF
CTNNB1	.	.	.	2.71108372837042e-11	6.34180958420767e-09	FILTER=PASS
LRRC7	.	.	.	2.86596227049072e-11	6.63901551202996e-09	FILTER=PASS
BRINP3	.	.	.	2.90513684373976e-11	6.66505433573372e-09	FILTER=LGF
COL12A1	.	.	.	3.3441061539933e-11	7.52739366361133e-09	FILTER=LGF
KCNMB2	.	.	.	3.78556959281472e-11	8.44146640042609e-09	FILTER=PASS
FLG2	.	.	.	4.53792964641682e-11	1.00254630892135e-08	FILTER=LGF
KLHL4	.	.	.	4.79673017893074e-11	1.04999983549805e-08	FILTER=LGF
DOCK2	.	.	.	5.22872713261321e-11	1.13415844894683e-08	FILTER=LGF
DCAF12L2	.	.	.	6.39079209940194e-11	1.37373242785343e-08	FILTER=PASS
OR10K2	.	.	.	7.43868583414456e-11	1.58470575002401e-08	FILTER=PASS
AFF2	.	.	.	1.1803229157111e-10	2.49225705919176e-08	FILTER=LGF
ABCC9	.	.	.	1.29006401093552e-10	2.7000813421861e-08	FILTER=PASS
GRM5	.	.	.	1.4097449032118e-10	2.92491420788118e-08	FILTER=LGF
OR5D13	.	.	.	1.42794694502913e-10	2.93713914727543e-08	FILTER=PASS
AMY2B	.	.	.	1.84380872689101e-10	3.76010907894184e-08	FILTER=LGF
CTNND2	.	.	.	2.04220025920706e-10	4.12939815124411e-08	FILTER=LGF
ZNF804B	.	.	.	2.21610479079005e-10	4.44338321918072e-08	FILTER=LGF
OR4A5	.	.	.	2.34272555127743e-10	4.65811930445662e-08	FILTER=PASS
CHRM2	.	.	.	3.13279177916008e-10	6.17755469840988e-08	FILTER=PASS
ZNF98	.	.	.	3.34054098370584e-10	6.53322195665749e-08	FILTER=PASS
SLITRK2	.	.	.	3.68879829375303e-10	7.15566888528027e-08	FILTER=LGF
MAGEE1	.	.	.	3.89389399613779e-10	7.49260570547159e-08	FILTER=LGF
FAM47C	.	.	.	4.67918963532348e-10	8.8401996711257e-08	FILTER=LGF
AMPH	.	.	.	4.70538708396045e-10	8.8401996711257e-08	FILTER=LGF
ZNF536	.	.	.	4.65671050388719e-10	8.8401996711257e-08	FILTER=PASS
TSHZ2	.	.	.	5.07827760850573e-10	9.46622685460521e-08	FILTER=LGF
PXDNL	.	.	.	5.19684912551209e-10	9.60474921784461e-08	FILTER=LGF
TMEM132D	.	.	.	5.23309890326823e-10	9.60474921784461e-08	FILTER=LGF
RP1	.	.	.	5.62045650126006e-10	1.02369535969515e-07	FILTER=LGF
CDH9	.	.	.	5.82298853719481e-10	1.05254929164749e-07	FILTER=PASS
CDH8	.	.	.	6.26820725915593e-10	1.124506956417e-07	FILTER=LGF
ZCCHC5	.	.	.	6.32788581989616e-10	1.12674146016957e-07	FILTER=PASS
TRPA1	.	.	.	7.48819641888062e-10	1.32346938188512e-07	FILTER=LGF
PRDM9	.	.	.	7.80296122258268e-10	1.36896069684428e-07	FILTER=LGF
FAT2	.	.	.	1.15267623293013e-09	2.00750765822722e-07	FILTER=LGF
EPHA6	.	.	.	2.04275776228857e-09	3.53189856581198e-07	FILTER=LGF
RGS18	.	.	.	2.15945177513408e-09	3.70679995357548e-07	FILTER=PASS
MUC17	.	.	.	2.42203235468409e-09	4.12783514162588e-07	FILTER=LGF
LIN7A	.	.	.	4.51069174693856e-09	7.63298617602511e-07	FILTER=PASS
ADAMTS12	.	.	.	4.67205170055244e-09	7.85036292782966e-07	FILTER=LGF
ACAN	.	.	.	4.73741858958528e-09	7.90453199632901e-07	FILTER=LGF
CFH	.	.	.	4.84589644463002e-09	8.0293811922828e-07	FILTER=LGF
RNF43	.	.	.	6.2125496644478e-09	1.02228575857741e-06	FILTER=LGF
SOX9	.	.	.	7.28514131767613e-09	1.18247259754934e-06	FILTER=LGF
FSHR	.	.	.	7.25348992853341e-09	1.18247259754934e-06	FILTER=LGF
ZNF611	.	.	.	8.26329371941899e-09	1.33217694692795e-06	FILTER=LGF
CUBN	.	.	.	8.3386294402416e-09	1.33529998955815e-06	FILTER=LGF
ZNF676	.	.	.	9.87925958925692e-09	1.5714608919978e-06	FILTER=LGF
PKHD1	.	.	.	1.02011483207502e-08	1.61191654922583e-06	FILTER=FAIL
SCN9A	.	.	.	1.0735922470764e-08	1.6852573036344e-06	FILTER=FAIL
BCOR	.	.	.	1.11775942281758e-08	1.74312025022402e-06	FILTER=FAIL
TRIM49	.	.	.	1.12607261848925e-08	1.74468134267231e-06	FILTER=FAIL
ABCA12	.	.	.	1.13878266777133e-08	1.75299060987251e-06	FILTER=FAIL
TECTA	.	.	.	1.17044007368674e-08	1.7901730870619e-06	FILTER=FAIL
NALCN	.	.	.	1.21025175565148e-08	1.83927432419391e-06	FILTER=FAIL
EPHB1	.	.	.	1.23293693950111e-08	1.8618908466137e-06	FILTER=FAIL
APOB	.	.	.	1.24722959245427e-08	1.87162880980873e-06	FILTER=FAIL
CD1C	.	.	.	1.37432013216217e-08	2.04945489708684e-06	FILTER=FAIL
DCAF12L1	.	.	.	1.42330252897417e-08	2.10931666716296e-06	FILTER=FAIL
ZFPM2	.	.	.	1.45661070507001e-08	2.14535379154139e-06	FILTER=FAIL
ZNF479	.	.	.	1.54509910982528e-08	2.26172176444363e-06	FILTER=FAIL
CNTN3	.	.	.	1.58484765490001e-08	2.30576006377526e-06	FILTER=FAIL
HECW1	.	.	.	1.64855528305461e-08	2.36954994299295e-06	FILTER=FAIL
PLXNA4	.	.	.	1.64187902732549e-08	2.36954994299295e-06	FILTER=FAIL
DNAH9	.	.	.	1.69308434055295e-08	2.41898157877805e-06	FILTER=FAIL
SLITRK5	.	.	.	1.82307358158147e-08	2.58919855098416e-06	FILTER=FAIL
ADAMTS5	.	.	.	1.87776296214848e-08	2.6510901938972e-06	FILTER=FAIL
OR51A7	.	.	.	1.90534118664833e-08	2.6742023949076e-06	FILTER=FAIL
WBSCR17	.	.	.	1.96944294714611e-08	2.74800635783077e-06	FILTER=FAIL
ZWINT	.	.	.	2.05262487210885e-08	2.84742031677425e-06	FILTER=FAIL
FAM135B	.	.	.	2.10449878398388e-08	2.902505259298e-06	FILTER=FAIL
ELTD1	.	.	.	2.27711243844009e-08	3.1046801589246e-06	FILTER=FAIL
HCN1	.	.	.	2.26487214846584e-08	3.1046801589246e-06	FILTER=FAIL
OR2T12	.	.	.	2.42625109579691e-08	3.28922449691558e-06	FILTER=FAIL
MAGEB3	.	.	.	2.46852894940845e-08	3.29454302516844e-06	FILTER=FAIL
DCHS2	.	.	.	2.46028911746319e-08	3.29454302516844e-06	FILTER=FAIL
KMT2C	.	.	.	2.47159765928395e-08	3.29454302516844e-06	FILTER=FAIL
TGFBR2	.	.	.	2.51849074174398e-08	3.33839939433396e-06	FILTER=FAIL
MKRN3	.	.	.	2.57929487631055e-08	3.40010915739059e-06	FILTER=FAIL
MSR1	.	.	.	2.70646053218792e-08	3.54814001637383e-06	FILTER=FAIL
CCDC178	.	.	.	2.86286200360758e-08	3.73267144295502e-06	FILTER=FAIL
OR10J3	.	.	.	2.92600811756951e-08	3.7942692220222e-06	FILTER=FAIL
OR10J1	.	.	.	2.944378751878e-08	3.79745281188157e-06	FILTER=FAIL
ARID2	.	.	.	2.98270230137251e-08	3.82619768337355e-06	FILTER=FAIL
DCSTAMP	.	.	.	3.11089574070602e-08	3.96930333546768e-06	FILTER=FAIL
OR4C15	.	.	.	3.5401597174071e-08	4.49298993921986e-06	FILTER=FAIL
ANKRD30A	.	.	.	3.68618468678733e-08	4.65356437178549e-06	FILTER=FAIL
NLGN4X	.	.	.	3.70965642950463e-08	4.65854749515687e-06	FILTER=FAIL
TG	.	.	.	4.98844684232369e-08	6.23164092449441e-06	FILTER=FAIL
PIGR	.	.	.	5.23391927830386e-08	6.50423510314219e-06	FILTER=FAIL
SPEF2	.	.	.	5.36001471661779e-08	6.62642233878241e-06	FILTER=FAIL
NTNG1	.	.	.	5.46648786399447e-08	6.7232165172633e-06	FILTER=FAIL
CD1E	.	.	.	5.58312912325545e-08	6.83145953235257e-06	FILTER=FAIL
CDH2	.	.	.	5.91690754036543e-08	7.20292928128159e-06	FILTER=FAIL
PPP1R3A	.	.	.	5.99322112596383e-08	7.2587947241369e-06	FILTER=FAIL
FAM46D	.	.	.	7.71137032088278e-08	9.29259069981127e-06	FILTER=FAIL
PCDH20	.	.	.	7.76152143132815e-08	9.30602519354219e-06	FILTER=FAIL
EYS	.	.	.	7.98131405095536e-08	9.52170766278974e-06	FILTER=FAIL
AR	.	.	.	8.65776240797367e-08	1.02773239330474e-05	FILTER=FAIL
LCE2B	.	.	.	9.42270777904712e-08	1.11299904756467e-05	FILTER=FAIL
OR10K1	.	.	.	9.60749182562626e-08	1.12923524610563e-05	FILTER=FAIL
MMP16	.	.	.	9.66671567585193e-08	1.13062664718543e-05	FILTER=FAIL
DNAH7	.	.	.	1.11291723324781e-07	1.2953270822094e-05	FILTER=FAIL
ROBO1	.	.	.	1.16094645566016e-07	1.34466905009958e-05	FILTER=FAIL
PAPPA2	.	.	.	1.19123258287259e-07	1.37308258103092e-05	FILTER=FAIL
DPP10	.	.	.	1.22997462067919e-07	1.40417198322514e-05	FILTER=FAIL
UTRN	.	.	.	1.22731331552133e-07	1.40417198322514e-05	FILTER=FAIL
ESRRG	.	.	.	1.61492940886965e-07	1.83486741407761e-05	FILTER=FAIL
MAGEB18	.	.	.	1.6727350913827e-07	1.89153835452091e-05	FILTER=FAIL
TSHZ3	.	.	.	1.75700356989327e-07	1.97745779139875e-05	FILTER=FAIL
TENM4	.	.	.	1.77017051064709e-07	1.98292339831172e-05	FILTER=FAIL
PCDHB13	.	.	.	1.90612172240452e-07	2.12523664937252e-05	FILTER=FAIL
