gene	transcript	protein_change	score	pvalue	qvalue	info
GNAQ	.	.	.	0	0	FILTER=PASS
GNA11	.	.	.	0	0	FILTER=PASS
SF3B1	.	.	.	0	0	FILTER=PASS
BAP1	.	.	.	0	0	FILTER=PASS
EIF1AX	.	.	.	0	0	FILTER=PASS
SRSF2	.	.	.	3.05129623809877e-09	1.21339880401728e-05	FILTER=PASS
CYSLTR2	.	.	.	1.0616157094966e-06	0.0036185929755127	FILTER=FAIL
TYRP1	.	.	.	9.16971494567768e-06	0.0273486748254837	FILTER=FAIL
TCEB3CL	.	.	.	3.37831874399145e-05	0.0895629835907067	FILTER=FAIL
EIF1B	.	.	.	8.62723769497852e-05	0.205845891402188	FILTER=FAIL
RGAG4	.	.	.	0.000137460330458053	0.298163953157195	FILTER=FAIL
CD160	.	.	.	0.000210328586968753	0.418203340422871	FILTER=FAIL
PLCB4	.	.	.	0.000274176301673958	0.503218965995434	FILTER=FAIL
TMEM39A	.	.	.	0.000330918291618024	0.563979317000432	FILTER=FAIL
HDAC5	.	.	.	0.000432102000771107	0.687330249226574	FILTER=FAIL
MC2R	.	.	.	0.000550771538251991	0.821338056418282	FILTER=FAIL
CLPSL2	.	.	.	0.000714182042286552	0.896862290997744	FILTER=FAIL
SEL1L3	.	.	.	0.000659520647740741	0.896862290997744	FILTER=FAIL
RNF43	.	.	.	0.00070826353775322	0.896862290997744	FILTER=FAIL
MAP3K19	.	.	.	0.00163840620227507	1	FILTER=FAIL
SLC2A10	.	.	.	0.00179860624377414	1	FILTER=FAIL
DSCAML1	.	.	.	0.00294000823478511	1	FILTER=FAIL
RENBP	.	.	.	0.00247577431130035	1	FILTER=FAIL
PHLDB1	.	.	.	0.00210908307954952	1	FILTER=FAIL
ZNF423	.	.	.	0.000896087556627964	1	FILTER=FAIL
KCNH5	.	.	.	0.00234069709427767	1	FILTER=FAIL
CA7	.	.	.	0.00144265122639004	1	FILTER=FAIL
RASL12	.	.	.	0.00241509790745678	1	FILTER=FAIL
HIATL2	.	.	.	0.00352906001145152	1	FILTER=FAIL
UAP1L1	.	.	.	0.00397068808075177	1	FILTER=FAIL
PCGF6	.	.	.	0.00136115521954574	1	FILTER=FAIL
ASCC3	.	.	.	0.00691743290872524	1	FILTER=FAIL
GLIS3	.	.	.	0.00144967271917834	1	FILTER=FAIL
PLA2G6	.	.	.	0.00110288024081978	1	FILTER=FAIL
RPL36AL	.	.	.	0.00576562128347734	1	FILTER=FAIL
CHST2	.	.	.	0.00194469774444688	1	FILTER=FAIL
FLRT1	.	.	.	0.00362941171093658	1	FILTER=FAIL
TSHZ2	.	.	.	0.00293553961892109	1	FILTER=FAIL
HMX3	.	.	.	0.00167246475246121	1	FILTER=FAIL
ALKBH7	.	.	.	0.00722206300252002	1	FILTER=FAIL
TFDP3	.	.	.	0.00266638058911533	1	FILTER=FAIL
OR10G4	.	.	.	0.00265543172258712	1	FILTER=FAIL
CCDC126	.	.	.	0.00831010434882985	1	FILTER=FAIL
APEX2	.	.	.	0.00568172569542001	1	FILTER=FAIL
PCSK7	.	.	.	0.00210594908943922	1	FILTER=FAIL
PPP2R2A	.	.	.	0.0134160677530289	1	FILTER=FAIL
FAT1	.	.	.	0.0148464742632007	1	FILTER=FAIL
HSD17B7	.	.	.	0.0133509871485396	1	FILTER=FAIL
TPCN1	.	.	.	0.00345815439772277	1	FILTER=FAIL
PAGR1	.	.	.	0.00467260119219512	1	FILTER=FAIL
FASTK	.	.	.	0.00610684410724359	1	FILTER=FAIL
ALG1	.	.	.	0.0083558925634892	1	FILTER=FAIL
INPP5A	.	.	.	0.0158104711225283	1	FILTER=FAIL
ZNF281	.	.	.	0.0078718356642082	1	FILTER=FAIL
NFIC	.	.	.	0.00934053564529922	1	FILTER=FAIL
ARHGEF40	.	.	.	0.00759363631524433	1	FILTER=FAIL
FUT10	.	.	.	0.0151671817750638	1	FILTER=FAIL
DHTKD1	.	.	.	0.00642362226347073	1	FILTER=FAIL
NREP	.	.	.	0.00451706525957398	1	FILTER=FAIL
GAP43	.	.	.	0.0158541140921557	1	FILTER=FAIL
NME7	.	.	.	0.0128893792429043	1	FILTER=FAIL
AZI1	.	.	.	0.00609340602523493	1	FILTER=FAIL
WDR34	.	.	.	0.0145203231869085	1	FILTER=FAIL
DPCR1	.	.	.	0.00955600300851276	1	FILTER=FAIL
LRRC15	.	.	.	0.0059118196134847	1	FILTER=FAIL
TXN2	.	.	.	0.0122601310264151	1	FILTER=FAIL
ESR1	.	.	.	0.0154033135081642	1	FILTER=FAIL
NPAS1	.	.	.	0.00977067010974848	1	FILTER=FAIL
TLDC1	.	.	.	0.0181937501621096	1	FILTER=FAIL
SLFN11	.	.	.	0.0262232196110624	1	FILTER=FAIL
NUFIP2	.	.	.	0.0297012862157082	1	FILTER=FAIL
DSC1	.	.	.	0.00508644514864027	1	FILTER=FAIL
ZSCAN16	.	.	.	0.00397900971974635	1	FILTER=FAIL
CHMP7	.	.	.	0.0153901668179864	1	FILTER=FAIL
FBN1	.	.	.	0.00708389602378836	1	FILTER=FAIL
PDIA5	.	.	.	0.0218605132525089	1	FILTER=FAIL
KATNB1	.	.	.	0.0100226203286715	1	FILTER=FAIL
ZNF157	.	.	.	0.0126117644877791	1	FILTER=FAIL
PAX7	.	.	.	0.0176950355369473	1	FILTER=FAIL
CD4	.	.	.	0.0201511934381956	1	FILTER=FAIL
NCF2	.	.	.	0.0229545098235903	1	FILTER=FAIL
MYH6	.	.	.	0.0311930415565982	1	FILTER=FAIL
B3GAT3	.	.	.	0.00867645382320694	1	FILTER=FAIL
ANKK1	.	.	.	0.00925112106370197	1	FILTER=FAIL
DAPK1	.	.	.	0.00855360585697583	1	FILTER=FAIL
ARHGEF17	.	.	.	0.00272467198109665	1	FILTER=FAIL
PRDM11	.	.	.	0.00501926732640786	1	FILTER=FAIL
DLL1	.	.	.	0.0203719252992449	1	FILTER=FAIL
ANO10	.	.	.	0.0306894933101079	1	FILTER=FAIL
CPVL	.	.	.	0.0197044242583843	1	FILTER=FAIL
MROH1	.	.	.	0.0144251823519444	1	FILTER=FAIL
BTNL3	.	.	.	0.015291497608745	1	FILTER=FAIL
PROSER1	.	.	.	0.0293005842565051	1	FILTER=FAIL
ANKRD6	.	.	.	0.0153253248501775	1	FILTER=FAIL
OR4K1	.	.	.	0.0169550799260046	1	FILTER=FAIL
SERTM1	.	.	.	0.00601236957195402	1	FILTER=FAIL
CYP1A1	.	.	.	0.020675039395436	1	FILTER=FAIL
PAXBP1	.	.	.	0.0237689927445979	1	FILTER=FAIL
IGHG3	.	.	.	0.015629928177262	1	FILTER=FAIL
MICU1	.	.	.	0.012015794484734	1	FILTER=FAIL
PGAM4	.	.	.	0.0183602588565613	1	FILTER=FAIL
ZNF324	.	.	.	0.0178912521229686	1	FILTER=FAIL
BICC1	.	.	.	0.0119502403093529	1	FILTER=FAIL
ACSM4	.	.	.	0.0244680517525995	1	FILTER=FAIL
ODC1	.	.	.	0.0195468805312959	1	FILTER=FAIL
THBS1	.	.	.	0.0443352246369397	1	FILTER=FAIL
FKTN	.	.	.	0.0282229008405161	1	FILTER=FAIL
SNX20	.	.	.	0.0156185899511409	1	FILTER=FAIL
TGM4	.	.	.	0.0141464679003763	1	FILTER=FAIL
SAP30BP	.	.	.	0.0139444977470919	1	FILTER=FAIL
SCRIB	.	.	.	0.0337387461956754	1	FILTER=FAIL
FAM212A	.	.	.	0.00839871880055166	1	FILTER=FAIL
ESRRG	.	.	.	0.0211955474542524	1	FILTER=FAIL
FAM13B	.	.	.	0.0283930897736789	1	FILTER=FAIL
OR7D4	.	.	.	0.0182781895676702	1	FILTER=FAIL
NCAPH	.	.	.	0.0300350010734388	1	FILTER=FAIL
GPC5	.	.	.	0.0353886957650976	1	FILTER=FAIL
SLC13A1	.	.	.	0.0338632142471901	1	FILTER=FAIL
SERPIND1	.	.	.	0.0199465823652751	1	FILTER=FAIL
ILVBL	.	.	.	0.0249658246298103	1	FILTER=FAIL
SHANK1	.	.	.	0.0294457236284085	1	FILTER=FAIL
ARHGEF19	.	.	.	0.0144095581576998	1	FILTER=FAIL
AP1G2	.	.	.	0.0284425462581401	1	FILTER=FAIL
RADIL	.	.	.	0.0153546779729359	1	FILTER=FAIL
APC	.	.	.	0.00913669041119532	1	FILTER=FAIL
PKP3	.	.	.	0.0130680558128208	1	FILTER=FAIL
STK33	.	.	.	0.0260463887137163	1	FILTER=FAIL
ZNF525	.	.	.	0.0206098251851906	1	FILTER=FAIL
TRIM63	.	.	.	0.0257826282613662	1	FILTER=FAIL
PUS3	.	.	.	0.0241516400819532	1	FILTER=FAIL
ROBO2	.	.	.	0.040706448150817	1	FILTER=FAIL
UPK1A	.	.	.	0.00981801627180872	1	FILTER=FAIL
LMOD3	.	.	.	0.0112992220302394	1	FILTER=FAIL
PLD5	.	.	.	0.0303566043197303	1	FILTER=FAIL
RAB33A	.	.	.	0.015644034508013	1	FILTER=FAIL
THSD4	.	.	.	0.0358871897493789	1	FILTER=FAIL
DNAJC1	.	.	.	0.0327237550377028	1	FILTER=FAIL
LUC7L2	.	.	.	0.0188281156648364	1	FILTER=FAIL
MYO1F	.	.	.	0.00371843454536836	1	FILTER=FAIL
RPS6KA6	.	.	.	0.0284360062217904	1	FILTER=FAIL
OR5L2	.	.	.	0.0166992072357856	1	FILTER=FAIL
DNAJC8	.	.	.	0.0192790172436797	1	FILTER=FAIL
ZBTB11	.	.	.	0.0549616656471375	1	FILTER=FAIL
MYH11	.	.	.	0.0250829015822001	1	FILTER=FAIL
KIAA1549	.	.	.	0.0303909911956431	1	FILTER=FAIL
BBOX1	.	.	.	0.0221947040247059	1	FILTER=FAIL
INTS5	.	.	.	0.0228582705003849	1	FILTER=FAIL
LRRIQ3	.	.	.	0.0247221819698957	1	FILTER=FAIL
SPDL1	.	.	.	0.025499906348076	1	FILTER=FAIL
HRASLS5	.	.	.	0.0173214811452846	1	FILTER=FAIL
EYA3	.	.	.	0.0299244624515245	1	FILTER=FAIL
ADAMTSL1	.	.	.	0.0133775351190244	1	FILTER=FAIL
KIAA0196	.	.	.	0.0462566707600394	1	FILTER=FAIL
NFE2L2	.	.	.	0.0262794613281789	1	FILTER=FAIL
ARID1B	.	.	.	0.0248706589715687	1	FILTER=FAIL
DAK	.	.	.	0.00745557555210329	1	FILTER=FAIL
ELMO2	.	.	.	0.0022808420044856	1	FILTER=FAIL
MYO15A	.	.	.	0.0234650337319974	1	FILTER=FAIL
DGKQ	.	.	.	0.0139991352074664	1	FILTER=FAIL
SNX18	.	.	.	0.0153249750658477	1	FILTER=FAIL
DCAF8L2	.	.	.	0.000926532146750898	1	FILTER=FAIL
FRMD7	.	.	.	0.0377416956113323	1	FILTER=FAIL
PDE4D	.	.	.	0.0272972740563121	1	FILTER=FAIL
DRG1	.	.	.	0.0291870923725641	1	FILTER=FAIL
ABHD2	.	.	.	0.018149823993472	1	FILTER=FAIL
ELTD1	.	.	.	0.032144069704856	1	FILTER=FAIL
GAB1	.	.	.	0.0432636115987196	1	FILTER=FAIL
RPP38	.	.	.	0.0198648803284731	1	FILTER=FAIL
ZNF484	.	.	.	0.0315057071788643	1	FILTER=FAIL
TOX3	.	.	.	0.0196739702398286	1	FILTER=FAIL
CDHR1	.	.	.	0.032435331672179	1	FILTER=FAIL
RPS9	.	.	.	0.0242072612986092	1	FILTER=FAIL
ST8SIA3	.	.	.	0.0294032174419994	1	FILTER=FAIL
TTN	.	.	.	0.141507689903903	1	FILTER=FAIL
PKHD1L1	.	.	.	0.112902121423908	1	FILTER=FAIL
CSMD3	.	.	.	0.0224966709026505	1	FILTER=FAIL
MUC16	.	.	.	0.0267241289282483	1	FILTER=FAIL
MYOF	.	.	.	0.00865915173356599	1	FILTER=FAIL
COL14A1	.	.	.	0.110315130754413	1	FILTER=FAIL
LRP1B	.	.	.	0.233362827603687	1	FILTER=FAIL
MUC4	.	.	.	0.0367980415612047	1	FILTER=FAIL
HUWE1	.	.	.	0.121322479748079	1	FILTER=FAIL
PAG1	.	.	.	0.0316221070289405	1	FILTER=FAIL
DTNA	.	.	.	0.0273051445363919	1	FILTER=FAIL
PTPN21	.	.	.	0.0365954795089261	1	FILTER=FAIL
SETX	.	.	.	0.119777951531677	1	FILTER=FAIL
TMEM2	.	.	.	0.0854683000102712	1	FILTER=FAIL
CDH4	.	.	.	0.033530494009603	1	FILTER=FAIL
TBX6	.	.	.	0.013726020293871	1	FILTER=FAIL
SPTA1	.	.	.	0.0197101389429978	1	FILTER=FAIL
PPL	.	.	.	0.0416114178598925	1	FILTER=FAIL
C3	.	.	.	0.0171909088776562	1	FILTER=FAIL
MYBPC2	.	.	.	0.0230463741113301	1	FILTER=FAIL
PPP2R1A	.	.	.	0.04562302969654	1	FILTER=FAIL
AGAP1	.	.	.	0.036741907744399	1	FILTER=FAIL
DNAH17	.	.	.	0.127726113840838	1	FILTER=FAIL
LAMA1	.	.	.	0.0436934241408268	1	FILTER=FAIL
SPEG	.	.	.	0.0181610789908626	1	FILTER=FAIL
E2F7	.	.	.	0.056406335884101	1	FILTER=FAIL
CENPE	.	.	.	0.104297617880175	1	FILTER=FAIL
