gene	transcript	protein_change	score	pvalue	qvalue	info
CTNNB1	.	.	.	1.000000e-16	1.817000e-12	.
TP53	.	.	.	3.330669e-16	3.025913e-12	.
MEN1	.	.	.	4.459347e-10	2.700878e-06	.
C12orf65	.	.	.	6.193390e-06	2.813347e-02	.
AP1S1	.	.	.	3.709909e-04	1	.
TMEM74	.	.	.	7.490948e-04	1	.
RBPJL	.	.	.	7.743264e-04	1	.
PRX	.	.	.	9.068372e-04	1	.
SMC3	.	.	.	9.245493e-04	1	.
SLC4A11	.	.	.	1.204045e-03	1	.
PIN4	.	.	.	1.325154e-03	1	.
SMARCAL1	.	.	.	1.637466e-03	1	.
MTHFD2L	.	.	.	1.999552e-03	1	.
ITIH1	.	.	.	2.024854e-03	1	.
MYEOV2	.	.	.	2.306450e-03	1	.
PRKAR1A	.	.	.	2.444126e-03	1	.
CD248	.	.	.	2.450948e-03	1	.
SLC25A19	.	.	.	3.035386e-03	1	.
DAXX	.	.	.	3.047342e-03	1	.
PLAGL1	.	.	.	3.299300e-03	1	.
TM4SF5	.	.	.	3.414717e-03	1	.
FUT3	.	.	.	3.435976e-03	1	.
CXCL9	.	.	.	3.682793e-03	1	.
IGFL1	.	.	.	3.763834e-03	1	.
SVEP1	.	.	.	4.143466e-03	1	.
FADD	.	.	.	4.152181e-03	1	.
PEAR1	.	.	.	4.154582e-03	1	.
MORN5	.	.	.	4.268250e-03	1	.
CRIM1	.	.	.	4.668575e-03	1	.
MAP1LC3B2	.	.	.	4.791756e-03	1	.
ZNRF3	.	.	.	4.897496e-03	1	.
CAPN6	.	.	.	4.924831e-03	1	.
IRF2	.	.	.	5.279986e-03	1	.
NPTX2	.	.	.	5.361526e-03	1	.
PARP12	.	.	.	5.420558e-03	1	.
LYZL1	.	.	.	5.505722e-03	1	.
SLC5A5	.	.	.	5.639514e-03	1	.
TFDP3	.	.	.	5.763598e-03	1	.
MALL	.	.	.	6.065434e-03	1	.
RPL22	.	.	.	6.378541e-03	1	.
SNX18	.	.	.	6.556364e-03	1	.
NFE2	.	.	.	6.676732e-03	1	.
DLGAP3	.	.	.	6.720449e-03	1	.
CREB3L3	.	.	.	6.801198e-03	1	.
HNRNPA1	.	.	.	6.814433e-03	1	.
CAPZA2	.	.	.	7.260674e-03	1	.
GOLGA4	.	.	.	7.280403e-03	1	.
CEBPB	.	.	.	7.861723e-03	1	.
IGSF6	.	.	.	8.130583e-03	1	.
