gene	transcript	protein_change	score	pvalue	qvalue	info
PIK3CA	.	.	.	1.000000e-16	3.360275e-13	.
TP53	.	.	.	1.000000e-16	3.360275e-13	.
GATA3	.	.	.	1.000000e-16	3.360275e-13	.
AKT1	.	.	.	1.000000e-16	3.360275e-13	.
KMT2C	.	.	.	1.110223e-16	3.360275e-13	.
MAP3K1	.	.	.	1.110223e-16	3.360275e-13	.
MAP2K4	.	.	.	8.881784e-16	2.304189e-12	.
PTEN	.	.	.	4.996004e-15	1.030484e-11	.
CDH1	.	.	.	5.107026e-15	1.030484e-11	.
FOXA1	.	.	.	1.396661e-13	2.536336e-10	.
RB1	.	.	.	1.716516e-12	2.833812e-09	.
CTCF	.	.	.	5.090499e-09	7.703622e-06	.
NCOR1	.	.	.	7.040408e-09	9.834908e-06	.
CASP8	.	.	.	7.806339e-09	1.012594e-05	.
RUNX1	.	.	.	2.276888e-08	2.756553e-05	.
ARID1A	.	.	.	4.161374e-08	4.723160e-05	.
PIK3R1	.	.	.	5.652037e-08	6.037705e-05	.
SF3B1	.	.	.	6.589398e-08	6.647971e-05	.
TBX3	.	.	.	8.395240e-08	8.024082e-05	.
GPS2	.	.	.	2.227833e-07	2.012709e-04	.
KRAS	.	.	.	2.327471e-07	2.012709e-04	.
ERBB2	.	.	.	3.543883e-07	2.925314e-04	.
BRCA1	.	.	.	4.509506e-06	3.560549e-03	.
MEN1	.	.	.	3.880834e-05	2.936498e-02	.
FBXW7	.	.	.	9.418181e-05	6.841366e-02	.
CBFB	.	.	.	9.910479e-05	6.922089e-02	.
WDR44	.	.	.	1.575741e-04	1.059832e-01	.
SLC35B2	.	.	.	1.719156e-04	1.102025e-01	.
PLK2	.	.	.	1.759842e-04	1.102025e-01	.
ATXN3	.	.	.	4.091605e-04	2.476785e-01	.
HIST1H3B	.	.	.	5.794936e-04	3.394711e-01	.
RUFY1	.	.	.	6.404933e-04	3.634800e-01	.
HIST1H2AK	.	.	.	6.636193e-04	3.651917e-01	.
NPEPPS	.	.	.	8.153401e-04	4.354876e-01	.
TUBGCP2	.	.	.	1.054197e-03	5.469775e-01	.
GPATCH4	.	.	.	1.173398e-03	5.919139e-01	.
RAD54B	.	.	.	1.414722e-03	6.943608e-01	.
ANO4	.	.	.	1.504775e-03	7.191240e-01	.
KIAA0319L	.	.	.	1.651561e-03	7.690345e-01	.
GNL3L	.	.	.	1.745122e-03	7.699171e-01	.
HIST1H2BC	.	.	.	1.799899e-03	7.699171e-01	.
MTOR	.	.	.	1.800435e-03	7.699171e-01	.
CCDC23	.	.	.	1.823042e-03	7.699171e-01	.
LUC7L2	.	.	.	2.102599e-03	8.261431e-01	.
RNF41	.	.	.	2.117429e-03	8.261431e-01	.
ERBB3	.	.	.	2.132604e-03	8.261431e-01	.
CHD1L	.	.	.	2.189591e-03	8.261431e-01	.
MATN4	.	.	.	2.192029e-03	8.261431e-01	.
MLLT4	.	.	.	2.229131e-03	8.261431e-01	.
RNF6	.	.	.	2.450863e-03	8.901536e-01	.
NRIP1	.	.	.	2.705607e-03	9.634084e-01	.
EIF4A3	.	.	.	2.841964e-03	9.925012e-01	.
ELN	.	.	.	3.056073e-03	1	.
MS4A4A	.	.	.	3.441625e-03	1	.
DIMT1	.	.	.	3.587898e-03	1	.
DIAPH1	.	.	.	3.767783e-03	1	.
MIS18BP1	.	.	.	3.853394e-03	1	.
PHKA2	.	.	.	3.892590e-03	1	.
TBL1XR1	.	.	.	4.071885e-03	1	.
FCHO1	.	.	.	4.148133e-03	1	.
ATP9A	.	.	.	4.305910e-03	1	.
CLYBL	.	.	.	4.519082e-03	1	.
CYP11B2	.	.	.	4.647276e-03	1	.
SLC8A1	.	.	.	4.703852e-03	1	.
GYG1	.	.	.	4.754796e-03	1	.
HRAS	.	.	.	4.760634e-03	1	.
MLLT10	.	.	.	5.081317e-03	1	.
KRT28	.	.	.	5.095005e-03	1	.
FAM184A	.	.	.	5.118229e-03	1	.
GALNTL6	.	.	.	5.140427e-03	1	.
EEF1A1	.	.	.	5.224736e-03	1	.
TAS2R10	.	.	.	5.457851e-03	1	.
KDM6A	.	.	.	5.517364e-03	1	.
DAB1	.	.	.	5.549250e-03	1	.
H2BFWT	.	.	.	5.558044e-03	1	.
