gene	transcript	protein_change	score	pvalue	qvalue	info
PIK3CA	.	.	.	1.000000e-16	1.803600e-12	.
FBXW7	.	.	.	2.220446e-16	2.002398e-12	.
TP53	.	.	.	1.110223e-14	6.674661e-11	.
KRAS	.	.	.	1.965095e-14	8.860612e-11	.
EP300	.	.	.	8.459899e-14	3.051655e-10	.
NFE2L2	.	.	.	8.928319e-10	2.683853e-06	.
CASP8	.	.	.	1.647283e-08	4.244343e-05	.
KMT2D	.	.	.	1.175097e-05	2.649257e-02	.
RB1	.	.	.	1.555502e-05	3.117226e-02	.
HLA-B	.	.	.	1.898101e-05	3.423415e-02	.
ERBB2	.	.	.	2.819262e-05	4.622564e-02	.
KMT2C	.	.	.	4.613476e-05	6.934054e-02	.
MAPK1	.	.	.	8.638235e-05	1.198455e-01	.
POLQ	.	.	.	1.043240e-04	1.343991e-01	.
NF2	.	.	.	1.295806e-04	1.558077e-01	.
POLRMT	.	.	.	1.795712e-04	2.024216e-01	.
PTEN	.	.	.	2.112181e-04	2.240900e-01	.
MUC4	.	.	.	3.445316e-04	3.452207e-01	.
LATS1	.	.	.	3.839589e-04	3.644781e-01	.
SMAD4	.	.	.	4.199084e-04	3.682028e-01	.
OR2A14	.	.	.	4.287125e-04	3.682028e-01	.
ZNF750	.	.	.	4.541031e-04	3.722820e-01	.
SUPT20H	.	.	.	4.768509e-04	3.739340e-01	.
TP63	.	.	.	8.334740e-04	6.173310e-01	.
MED12	.	.	.	8.769554e-04	6.173310e-01	.
PML	.	.	.	8.899204e-04	6.173310e-01	.
DNAH12	.	.	.	9.763357e-04	6.521923e-01	.
IFNGR1	.	.	.	1.102313e-03	6.877443e-01	.
MST1R	.	.	.	1.105821e-03	6.877443e-01	.
TTK	.	.	.	1.258139e-03	7.563933e-01	.
ACTB	.	.	.	1.385195e-03	8.059151e-01	.
HLA-A	.	.	.	1.448163e-03	8.162209e-01	.
SLC27A5	.	.	.	1.563258e-03	8.543914e-01	.
PPP2R2D	.	.	.	1.621145e-03	8.599698e-01	.
MPO	.	.	.	1.688456e-03	8.700853e-01	.
DOCK11	.	.	.	1.818918e-03	9.112778e-01	.
MMEL1	.	.	.	2.100975e-03	1	.
SPTA1	.	.	.	2.489243e-03	1	.
HIST1H2BG	.	.	.	2.580503e-03	1	.
PHRF1	.	.	.	2.633253e-03	1	.
KIAA0753	.	.	.	2.987866e-03	1	.
FAS	.	.	.	2.992026e-03	1	.
OR10G7	.	.	.	3.096182e-03	1	.
NOTCH1	.	.	.	3.182512e-03	1	.
DNAJC15	.	.	.	3.225083e-03	1	.
TTBK2	.	.	.	3.404017e-03	1	.
PCDHGB6	.	.	.	3.602283e-03	1	.
BAP1	.	.	.	3.869225e-03	1	.
ABCF1	.	.	.	4.085194e-03	1	.
MKI67	.	.	.	4.311059e-03	1	.
AKT1	.	.	.	5.304988e-03	1	.
PCNXL3	.	.	.	5.455841e-03	1	.
DAAM1	.	.	.	5.587075e-03	1	.
C5orf34	.	.	.	5.669209e-03	1	.
OR1A1	.	.	.	5.832586e-03	1	.
H3F3A	.	.	.	6.032415e-03	1	.
ERBB3	.	.	.	6.068020e-03	1	.
MUC17	.	.	.	6.157425e-03	1	.
C12orf43	.	.	.	6.448989e-03	1	.
APOBEC3G	.	.	.	6.458184e-03	1	.
ALPK2	.	.	.	6.623568e-03	1	.
RP11-770J1.5	.	.	.	6.704248e-03	1	.
IFNL2	.	.	.	6.977096e-03	1	.
TIE1	.	.	.	7.108769e-03	1	.
TNFRSF14	.	.	.	7.512779e-03	1	.
PCGF6	.	.	.	7.711589e-03	1	.
RGL2	.	.	.	8.063832e-03	1	.
ALMS1	.	.	.	8.122443e-03	1	.
TRUB2	.	.	.	8.479742e-03	1	.
DHX9	.	.	.	8.733040e-03	1	.
BRCA1	.	.	.	9.356460e-03	1	.
