gene	transcript	protein_change	score	pvalue	qvalue	info
BAP1	.	.	.	2.048377e-10	1.688641e-06	.
IDH1	.	.	.	2.764637e-10	1.688641e-06	.
PBRM1	.	.	.	2.789605e-10	1.688641e-06	.
ARID1A	.	.	.	5.628678e-06	2.157425e-02	.
EPHA2	.	.	.	5.940047e-06	2.157425e-02	.
TP53	.	.	.	2.987710e-05	9.042801e-02	.
MAGEA1	.	.	.	9.179996e-05	2.381553e-01	.
FGFR2	.	.	.	1.280632e-04	2.907034e-01	.
ARAF	.	.	.	2.311263e-04	4.663616e-01	.
TMIGD1	.	.	.	8.418678e-04	1	.
CHD7	.	.	.	8.983187e-04	1	.
SIGLEC10	.	.	.	1.094900e-03	1	.
CREB3L4	.	.	.	1.111942e-03	1	.
RPL36A	.	.	.	1.238691e-03	1	.
YPEL2	.	.	.	1.245011e-03	1	.
C11orf52	.	.	.	1.282600e-03	1	.
HMGCL	.	.	.	1.680105e-03	1	.
SCG5	.	.	.	1.696684e-03	1	.
KEAP1	.	.	.	1.777913e-03	1	.
ISL2	.	.	.	1.804770e-03	1	.
KRAS	.	.	.	1.956031e-03	1	.
ELF3	.	.	.	2.054670e-03	1	.
KRCC1	.	.	.	2.150072e-03	1	.
KMT2C	.	.	.	2.258398e-03	1	.
CDKN2A	.	.	.	2.500650e-03	1	.
NF2	.	.	.	2.615411e-03	1	.
SMIM19	.	.	.	2.736561e-03	1	.
NR2C1	.	.	.	2.751788e-03	1	.
EIF4ENIF1	.	.	.	2.852745e-03	1	.
ART5	.	.	.	3.111824e-03	1	.
RGS20	.	.	.	3.113934e-03	1	.
AL359736.1	.	.	.	3.132289e-03	1	.
IL32	.	.	.	3.144416e-03	1	.
BRD7	.	.	.	3.175622e-03	1	.
INTS12	.	.	.	3.307857e-03	1	.
ADAM30	.	.	.	3.342878e-03	1	.
MTERFD3	.	.	.	3.356250e-03	1	.
NFE2L1	.	.	.	3.567532e-03	1	.
PXMP4	.	.	.	3.610671e-03	1	.
ZYX	.	.	.	3.765465e-03	1	.
PSMA5	.	.	.	3.770148e-03	1	.
PDCL	.	.	.	4.079147e-03	1	.
NONO	.	.	.	4.124110e-03	1	.
VPS52	.	.	.	4.337130e-03	1	.
TRUB1	.	.	.	4.547202e-03	1	.
ZNF683	.	.	.	4.804589e-03	1	.
CA6	.	.	.	4.838775e-03	1	.
IDH2	.	.	.	4.917483e-03	1	.
PPP6C	.	.	.	4.918009e-03	1	.
WDR92	.	.	.	5.065946e-03	1	.
ACBD3	.	.	.	5.067468e-03	1	.
DRAM2	.	.	.	5.266436e-03	1	.
PIGS	.	.	.	5.375082e-03	1	.
MPZL3	.	.	.	5.598653e-03	1	.
CMBL	.	.	.	5.783150e-03	1	.
NAA35	.	.	.	5.849761e-03	1	.
KRT1	.	.	.	5.936185e-03	1	.
EAPP	.	.	.	5.975466e-03	1	.
AP2S1	.	.	.	5.976532e-03	1	.
HTATSF1	.	.	.	5.990982e-03	1	.
MEDAG	.	.	.	6.028844e-03	1	.
TMEM31	.	.	.	6.032050e-03	1	.
CCNB3	.	.	.	6.040366e-03	1	.
GIMAP2	.	.	.	6.202988e-03	1	.
GSDMA	.	.	.	6.274988e-03	1	.
ITPKB	.	.	.	6.298677e-03	1	.
PRMT3	.	.	.	6.620161e-03	1	.
SLC25A33	.	.	.	6.641350e-03	1	.
VPRBP	.	.	.	6.647801e-03	1	.
SLC30A1	.	.	.	6.992328e-03	1	.
ZBTB4	.	.	.	7.120887e-03	1	.
IFRD1	.	.	.	7.310054e-03	1	.
IBSP	.	.	.	7.430616e-03	1	.
GPR85	.	.	.	7.566084e-03	1	.
RSC1A1	.	.	.	7.592139e-03	1	.
ASCC1	.	.	.	7.596473e-03	1	.
CGGBP1	.	.	.	7.846813e-03	1	.
ZNF521	.	.	.	7.956304e-03	1	.
CLIP4	.	.	.	8.120826e-03	1	.
KREMEN2	.	.	.	8.259838e-03	1	.
PHF20L1	.	.	.	8.310385e-03	1	.
KCNG1	.	.	.	8.527908e-03	1	.
KCNV2	.	.	.	8.693781e-03	1	.
WNT10B	.	.	.	8.811929e-03	1	.
IPO5	.	.	.	8.851156e-03	1	.
PAGE2B	.	.	.	8.855913e-03	1	.
GHDC	.	.	.	8.868371e-03	1	.
ZPBP2	.	.	.	8.879512e-03	1	.
