gene	transcript	protein_change	score	pvalue	qvalue	info
MYD88	.	.	.	5.464451e-11	8.497487e-07	.
IGLL5	.	.	.	9.422807e-11	8.497487e-07	.
BTG2	.	.	.	2.941343e-10	1.768335e-06	.
B2M	.	.	.	3.477945e-08	1.568205e-04	.
TMSB4X	.	.	.	6.247962e-08	2.253765e-04	.
KMT2D	.	.	.	8.487924e-08	2.551470e-04	.
HLA-B	.	.	.	1.825636e-07	4.703883e-04	.
TP53	.	.	.	2.999839e-07	6.763136e-04	.
UBE2A	.	.	.	3.885127e-07	7.785795e-04	.
KLHL6	.	.	.	7.243262e-07	1.306395e-03	.
TNFAIP3	.	.	.	8.035666e-07	1.317557e-03	.
FAS	.	.	.	5.149812e-06	7.740167e-03	.
CD79B	.	.	.	8.077800e-06	1.120701e-02	.
PIM1	.	.	.	2.997757e-05	3.861968e-02	.
STAT3	.	.	.	5.629331e-05	6.768708e-02	.
HIST1H1E	.	.	.	6.629119e-05	7.472674e-02	.
CARD11	.	.	.	7.338567e-05	7.785788e-02	.
HIST1H1C	.	.	.	1.119956e-04	1.122196e-01	.
STAT6	.	.	.	1.271188e-04	1.206692e-01	.
PTPN6	.	.	.	1.440663e-04	1.299190e-01	.
SOCS1	.	.	.	2.071355e-04	1.778998e-01	.
TMEM30A	.	.	.	2.632363e-04	2.158059e-01	.
HIST1H2BL	.	.	.	2.958406e-04	2.319905e-01	.
BTG1	.	.	.	3.838273e-04	2.884462e-01	.
CSNK2A1	.	.	.	4.682035e-04	3.377808e-01	.
CTSH	.	.	.	5.435029e-04	3.770238e-01	.
ACTG1	.	.	.	7.268357e-04	4.855262e-01	.
FOXC1	.	.	.	7.692229e-04	4.954895e-01	.
CIITA	.	.	.	9.330357e-04	5.671244e-01	.
CREBBP	.	.	.	9.433207e-04	5.671244e-01	.
NFKBIE	.	.	.	1.149487e-03	6.687792e-01	.
SPEN	.	.	.	1.263353e-03	7.120575e-01	.
BCL10	.	.	.	1.362959e-03	7.449192e-01	.
ALPPL2	.	.	.	1.561415e-03	8.222033e-01	.
ID3	.	.	.	1.595538e-03	8.222033e-01	.
MPP7	.	.	.	1.669515e-03	8.364271e-01	.
IKBKB	.	.	.	1.897255e-03	8.506381e-01	.
ZC3H12A	.	.	.	1.897456e-03	8.506381e-01	.
SRSF1	.	.	.	1.923926e-03	8.506381e-01	.
FBP2	.	.	.	1.925181e-03	8.506381e-01	.
TBL1XR1	.	.	.	1.933697e-03	8.506381e-01	.
CD70	.	.	.	1.997723e-03	8.578794e-01	.
DLGAP3	.	.	.	2.101572e-03	8.814873e-01	.
ACTB	.	.	.	2.309241e-03	9.465789e-01	.
GAST	.	.	.	2.504100e-03	1	.
COL21A1	.	.	.	2.604515e-03	1	.
HLA-A	.	.	.	2.645628e-03	1	.
HIST1H3B	.	.	.	2.876477e-03	1	.
ZFHX4	.	.	.	3.052411e-03	1	.
EXOSC5	.	.	.	3.672978e-03	1	.
GTF2H5	.	.	.	3.736484e-03	1	.
CRIP1	.	.	.	3.784084e-03	1	.
MRPL14	.	.	.	3.788742e-03	1	.
KIRREL3	.	.	.	3.857743e-03	1	.
HMGB1	.	.	.	4.316614e-03	1	.
ALDH5A1	.	.	.	4.755201e-03	1	.
WDR13	.	.	.	4.771435e-03	1	.
DSEL	.	.	.	4.880203e-03	1	.
ADK	.	.	.	5.003660e-03	1	.
BMP2	.	.	.	5.063251e-03	1	.
ETV6	.	.	.	5.380380e-03	1	.
AMOT	.	.	.	5.664556e-03	1	.
DGCR8	.	.	.	5.878814e-03	1	.
LYN	.	.	.	6.209115e-03	1	.
ZNF208	.	.	.	6.319570e-03	1	.
SLC45A1	.	.	.	6.395883e-03	1	.
ZNF454	.	.	.	6.994818e-03	1	.
FLNC	.	.	.	7.165912e-03	1	.
DDX3X	.	.	.	7.260927e-03	1	.
CXCR2	.	.	.	7.392578e-03	1	.
TMEM201	.	.	.	7.494907e-03	1	.
RHOA	.	.	.	7.507540e-03	1	.
PRMT10	.	.	.	7.825625e-03	1	.
CNOT3	.	.	.	7.994928e-03	1	.
CXCR5	.	.	.	8.549166e-03	1	.
MX1	.	.	.	8.558814e-03	1	.
MTMR1	.	.	.	8.762922e-03	1	.
CTSL	.	.	.	8.946931e-03	1	.
ARID1A	.	.	.	9.235940e-03	1	.
LTB	.	.	.	9.279855e-03	1	.
MYO9B	.	.	.	9.393316e-03	1	.
EFHD1	.	.	.	9.422626e-03	1	.
IRAK2	.	.	.	9.645009e-03	1	.
STRA13	.	.	.	9.767100e-03	1	.
CD74	.	.	.	9.802194e-03	1	.
MAP2K3	.	.	.	9.893021e-03	1	.
ZNHIT1	.	.	.	1.018671e-02	1	.
UNC13B	.	.	.	1.029781e-02	1	.
PAX5	.	.	.	1.050459e-02	1	.
PDE3A	.	.	.	1.052696e-02	1	.
