gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	.	.	.	1.000000e-16	6.051333e-13	.
PIK3R1	.	.	.	1.000000e-16	6.051333e-13	.
PIK3CA	.	.	.	1.000000e-16	6.051333e-13	.
PTEN	.	.	.	2.220446e-16	1.007749e-12	.
RB1	.	.	.	4.440892e-16	1.612399e-12	.
IDH1	.	.	.	8.881784e-16	2.687332e-12	.
EGFR	.	.	.	1.110223e-15	2.879284e-12	.
NF1	.	.	.	3.219647e-15	7.306183e-12	.
STAG2	.	.	.	3.980205e-11	8.028516e-08	.
LZTR1	.	.	.	4.644474e-08	8.431578e-05	.
BRAF	.	.	.	2.131886e-06	3.518388e-03	.
CDKN2C	.	.	.	8.182083e-06	1.237813e-02	.
PDGFRA	.	.	.	2.009602e-05	2.806332e-02	.
QKI	.	.	.	4.105415e-05	5.323550e-02	.
AZGP1	.	.	.	1.038388e-04	1.256041e-01	.
TPTE2	.	.	.	1.107010e-04	1.256041e-01	.
AOX1	.	.	.	2.855339e-04	3.049166e-01	.
RPL5	.	.	.	3.469437e-04	3.383263e-01	.
SLC26A3	.	.	.	3.540928e-04	3.383263e-01	.
KRT15	.	.	.	3.989420e-04	3.621197e-01	.
LUM	.	.	.	4.206119e-04	3.636090e-01	.
IL4R	.	.	.	5.153928e-04	4.252928e-01	.
TMPRSS6	.	.	.	5.578132e-04	4.364423e-01	.
HNF4A	.	.	.	5.867643e-04	4.364423e-01	.
SEMG1	.	.	.	6.010277e-04	4.364423e-01	.
ASTL	.	.	.	6.694521e-04	4.674321e-01	.
EXOC2	.	.	.	7.507919e-04	5.048102e-01	.
LRRC55	.	.	.	8.238056e-04	5.341203e-01	.
GABRA6	.	.	.	8.733140e-04	5.466946e-01	.
NEU2	.	.	.	9.645555e-04	5.836847e-01	.
UGT2A3	.	.	.	9.989806e-04	5.850159e-01	.
CARD6	.	.	.	1.071002e-03	6.075929e-01	.
TGFA	.	.	.	1.155068e-03	6.148457e-01	.
JPH1	.	.	.	1.216842e-03	6.148457e-01	.
NRAS	.	.	.	1.244283e-03	6.148457e-01	.
F5	.	.	.	1.247585e-03	6.148457e-01	.
FBN3	.	.	.	1.253128e-03	6.148457e-01	.
ODF4	.	.	.	1.404803e-03	6.711261e-01	.
MMP13	.	.	.	1.495176e-03	6.801206e-01	.
SEMA3C	.	.	.	1.498558e-03	6.801206e-01	.
PIK3CB	.	.	.	1.571662e-03	6.959012e-01	.
ZDHHC4	.	.	.	1.687382e-03	7.293509e-01	.
TCF12	.	.	.	1.762790e-03	7.442254e-01	.
DSG3	.	.	.	1.866038e-03	7.699101e-01	.
SPINT1	.	.	.	2.040216e-03	8.230686e-01	.
PRPF40B	.	.	.	2.199079e-03	8.678713e-01	.
KLK6	.	.	.	2.475124e-03	9.497139e-01	.
DSP	.	.	.	2.542800e-03	9.497139e-01	.
PTPN11	.	.	.	2.641083e-03	9.497139e-01	.
ZNF676	.	.	.	2.662459e-03	9.497139e-01	.
KLF17	.	.	.	2.668030e-03	9.497139e-01	.
C10orf12	.	.	.	3.116587e-03	1	.
EEF1A1	.	.	.	3.341219e-03	1	.
KRAS	.	.	.	3.409265e-03	1	.
AK7	.	.	.	3.438521e-03	1	.
PIGR	.	.	.	3.469287e-03	1	.
PLAT	.	.	.	3.649383e-03	1	.
MLST8	.	.	.	3.783448e-03	1	.
NTN4	.	.	.	3.883988e-03	1	.
ACSM2B	.	.	.	4.091679e-03	1	.
IGF2BP1	.	.	.	4.218079e-03	1	.
ENPP7	.	.	.	4.279606e-03	1	.
GLT8D2	.	.	.	4.302400e-03	1	.
FUCA1	.	.	.	4.389596e-03	1	.
MTERFD3	.	.	.	4.447073e-03	1	.
CIITA	.	.	.	4.622186e-03	1	.
FRMD7	.	.	.	4.780984e-03	1	.
CFHR4	.	.	.	4.847422e-03	1	.
PEG3	.	.	.	4.882387e-03	1	.
GLI1	.	.	.	4.985955e-03	1	.
NUP210L	.	.	.	5.099035e-03	1	.
ABCB1	.	.	.	5.129341e-03	1	.
EPX	.	.	.	5.168461e-03	1	.
WNT2	.	.	.	5.184129e-03	1	.
AFM	.	.	.	5.213830e-03	1	.
NLRP5	.	.	.	5.288432e-03	1	.
KIAA0947	.	.	.	5.522072e-03	1	.
