gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	.	.	.	1.000000e-16	3.006167e-13	.
CDKN2A	.	.	.	1.000000e-16	3.006167e-13	.
PIK3CA	.	.	.	1.000000e-16	3.006167e-13	.
NSD1	.	.	.	1.000000e-16	3.006167e-13	.
CASP8	.	.	.	1.000000e-16	3.006167e-13	.
FBXW7	.	.	.	1.000000e-16	3.006167e-13	.
EP300	.	.	.	8.881784e-16	2.288582e-12	.
KMT2D	.	.	.	1.665335e-15	3.754705e-12	.
FAT1	.	.	.	2.442491e-15	4.895023e-12	.
HLA-B	.	.	.	2.775558e-15	5.006273e-12	.
NOTCH1	.	.	.	5.884182e-15	9.648454e-12	.
TGFBR2	.	.	.	3.530509e-14	5.306650e-11	.
AJUBA	.	.	.	4.130030e-14	5.730257e-11	.
HRAS	.	.	.	8.568923e-11	1.103983e-07	.
ZNF750	.	.	.	2.803987e-10	3.371701e-07	.
RAC1	.	.	.	3.261628e-10	3.676874e-07	.
EPHA2	.	.	.	2.647257e-08	2.808740e-05	.
RASA1	.	.	.	9.764002e-08	9.784072e-05	.
RHOA	.	.	.	1.192923e-05	1.132461e-02	.
NFE2L2	.	.	.	1.292478e-05	1.165621e-02	.
MYH9	.	.	.	1.552896e-05	1.333790e-02	.
HUWE1	.	.	.	2.017725e-05	1.654259e-02	.
MAPK1	.	.	.	3.041944e-05	2.310271e-02	.
CCDC50	.	.	.	3.074042e-05	2.310271e-02	.
PTEN	.	.	.	3.656628e-05	2.638184e-02	.
AK5	.	.	.	4.394782e-05	3.048796e-02	.
FGFR3	.	.	.	5.799029e-05	3.843382e-02	.
CUL3	.	.	.	5.966330e-05	3.843382e-02	.
RB1	.	.	.	6.583951e-05	4.094991e-02	.
KEAP1	.	.	.	1.117290e-04	6.717519e-02	.
SLC35B2	.	.	.	1.308788e-04	7.615038e-02	.
GIGYF2	.	.	.	1.738958e-04	9.801746e-02	.
FOSL2	.	.	.	2.984881e-04	1.631464e-01	.
MYC	.	.	.	3.165993e-04	1.634973e-01	.
LCP1	.	.	.	3.172592e-04	1.634973e-01	.
MYOM1	.	.	.	3.705316e-04	1.856466e-01	.
TTC21B	.	.	.	4.113138e-04	1.974265e-01	.
ZBTB22	.	.	.	4.159343e-04	1.974265e-01	.
RARG	.	.	.	4.455141e-04	2.060446e-01	.
CTCF	.	.	.	4.744277e-04	2.139313e-01	.
FAS	.	.	.	5.361886e-04	2.322649e-01	.
NCOR1	.	.	.	5.408397e-04	2.322649e-01	.
SLC9A6	.	.	.	5.659903e-04	2.374132e-01	.
ITGA8	.	.	.	6.046316e-04	2.478577e-01	.
LTBP1	.	.	.	6.728051e-04	2.696752e-01	.
DOK6	.	.	.	7.146882e-04	2.802354e-01	.
RPL39L	.	.	.	8.023702e-04	3.079224e-01	.
MB21D2	.	.	.	8.243505e-04	3.097669e-01	.
MYO1D	.	.	.	9.813468e-04	3.612358e-01	.
TNFRSF11A	.	.	.	1.106910e-03	3.993068e-01	.
NPM3	.	.	.	1.241766e-03	4.391711e-01	.
FOS	.	.	.	1.698657e-03	5.892052e-01	.
NAA25	.	.	.	1.747234e-03	5.937196e-01	.
TMCC1	.	.	.	1.777505e-03	5.937196e-01	.
CSNK2A1	.	.	.	1.885315e-03	6.056179e-01	.
WTAP	.	.	.	1.907264e-03	6.056179e-01	.
COMTD1	.	.	.	1.913856e-03	6.056179e-01	.
BCLAF1	.	.	.	2.118881e-03	6.533395e-01	.
OR7A5	.	.	.	2.137109e-03	6.533395e-01	.
HIST1H4K	.	.	.	2.327560e-03	6.892347e-01	.
FAT2	.	.	.	2.376187e-03	6.892347e-01	.
ABHD17B	.	.	.	2.415827e-03	6.892347e-01	.
AMPD1	.	.	.	2.420227e-03	6.892347e-01	.
KIAA1551	.	.	.	2.465519e-03	6.892347e-01	.
LYST	.	.	.	2.483797e-03	6.892347e-01	.
CNNM3	.	.	.	2.608655e-03	6.936932e-01	.
CYLD	.	.	.	2.611536e-03	6.936932e-01	.
SMAD4	.	.	.	2.615243e-03	6.936932e-01	.
KRTAP5-5	.	.	.	2.800309e-03	7.226673e-01	.
COL6A3	.	.	.	2.832233e-03	7.226673e-01	.
MTFR2	.	.	.	2.855832e-03	7.226673e-01	.
LIN28B	.	.	.	2.918403e-03	7.226673e-01	.
GADD45GIP1	.	.	.	2.924805e-03	7.226673e-01	.
UBN2	.	.	.	3.094139e-03	7.375119e-01	.
EYA1	.	.	.	3.094923e-03	7.375119e-01	.
CLVS1	.	.	.	3.118003e-03	7.375119e-01	.
SELP	.	.	.	3.148440e-03	7.375119e-01	.
THSD7A	.	.	.	3.251726e-03	7.519408e-01	.
TMEM2	.	.	.	3.445513e-03	7.833142e-01	.
POU2F2	.	.	.	3.492928e-03	7.833142e-01	.
TP63	.	.	.	3.517683e-03	7.833142e-01	.
IRF2	.	.	.	3.844173e-03	8.429257e-01	.
PRSS1	.	.	.	3.878851e-03	8.429257e-01	.
ZNHIT6	.	.	.	3.994372e-03	8.576962e-01	.
KANSL1	.	.	.	4.400189e-03	9.259535e-01	.
PRPF6	.	.	.	4.414925e-03	9.259535e-01	.
TAS1R1	.	.	.	4.496512e-03	9.310687e-01	.
PPP2R2D	.	.	.	4.627628e-03	9.310687e-01	.
SULF1	.	.	.	4.637527e-03	9.310687e-01	.
AQP6	.	.	.	4.645794e-03	9.310687e-01	.
CRYGS	.	.	.	4.703584e-03	9.322917e-01	.
TIGD4	.	.	.	4.795678e-03	9.402136e-01	.
CCPG1	.	.	.	4.994495e-03	9.630371e-01	.
SLC13A3	.	.	.	5.061917e-03	9.630371e-01	.
NUP205	.	.	.	5.072269e-03	9.630371e-01	.
PLA1A	.	.	.	5.217005e-03	9.728703e-01	.
RTKN	.	.	.	5.231936e-03	9.728703e-01	.
DNAJC14	.	.	.	5.301583e-03	9.756474e-01	.
IL17A	.	.	.	5.384846e-03	9.756474e-01	.
SLC30A8	.	.	.	5.409145e-03	9.756474e-01	.
NRF1	.	.	.	5.481561e-03	9.760059e-01	.
VSIG2	.	.	.	5.519355e-03	9.760059e-01	.
ASXL1	.	.	.	5.619205e-03	9.762877e-01	.
GDPD3	.	.	.	5.706529e-03	9.762877e-01	.
TLK1	.	.	.	5.817806e-03	9.762877e-01	.
STRADB	.	.	.	5.820048e-03	9.762877e-01	.
GRK5	.	.	.	5.821269e-03	9.762877e-01	.
ARMC6	.	.	.	5.845710e-03	9.762877e-01	.
PFKM	.	.	.	6.256445e-03	1	.
USP33	.	.	.	6.377310e-03	1	.
OR52N4	.	.	.	6.597874e-03	1	.
ELF4	.	.	.	6.756491e-03	1	.
CMTM1	.	.	.	6.852903e-03	1	.
TUSC5	.	.	.	6.863116e-03	1	.
RSPH9	.	.	.	6.873686e-03	1	.
TEK	.	.	.	6.999819e-03	1	.
OR4D5	.	.	.	7.001722e-03	1	.
PLXNA1	.	.	.	7.065065e-03	1	.
MRPS15	.	.	.	7.080612e-03	1	.
HIST1H3C	.	.	.	7.137181e-03	1	.
AAAS	.	.	.	7.158072e-03	1	.
TCP11	.	.	.	7.161286e-03	1	.
C11orf84	.	.	.	7.213659e-03	1	.
SLC22A12	.	.	.	7.331633e-03	1	.
MAPK13	.	.	.	7.345284e-03	1	.
AHDC1	.	.	.	7.527428e-03	1	.
PROCA1	.	.	.	7.769687e-03	1	.
GOLIM4	.	.	.	7.830268e-03	1	.
FAM73A	.	.	.	7.871799e-03	1	.
CASZ1	.	.	.	7.876098e-03	1	.
CES1	.	.	.	8.004147e-03	1	.
PIK3R1	.	.	.	8.059444e-03	1	.
CDNF	.	.	.	8.084856e-03	1	.
SEMA5A	.	.	.	8.100898e-03	1	.
SLC26A2	.	.	.	8.179244e-03	1	.
SREBF2	.	.	.	8.299708e-03	1	.
PNMA2	.	.	.	8.305787e-03	1	.
APAF1	.	.	.	8.390490e-03	1	.
SPTB	.	.	.	8.490428e-03	1	.
CXCL1	.	.	.	8.583771e-03	1	.
OR5K4	.	.	.	8.622020e-03	1	.
GRIK5	.	.	.	8.739524e-03	1	.
TARDBP	.	.	.	8.819281e-03	1	.
CLCNKA	.	.	.	9.009149e-03	1	.
SPOCD1	.	.	.	9.078234e-03	1	.
SESTD1	.	.	.	9.092022e-03	1	.
MYCBP2	.	.	.	9.326511e-03	1	.
FAM83G	.	.	.	9.333594e-03	1	.
ZNF415	.	.	.	9.357615e-03	1	.
SYK	.	.	.	9.430944e-03	1	.
KIAA0907	.	.	.	9.558808e-03	1	.
EPS15L1	.	.	.	9.725212e-03	1	.
HNRNPD	.	.	.	9.808287e-03	1	.
MYH7	.	.	.	9.823753e-03	1	.
TMEM252	.	.	.	9.961566e-03	1	.
SFMBT2	.	.	.	1.006535e-02	1	.
NAE1	.	.	.	1.012383e-02	1	.
FAM134C	.	.	.	1.038150e-02	1	.
IVD	.	.	.	1.043137e-02	1	.
HAS2	.	.	.	1.049716e-02	1	.
PCDH9	.	.	.	1.078702e-02	1	.
USP26	.	.	.	1.087294e-02	1	.
BRWD3	.	.	.	1.094118e-02	1	.
PCCA	.	.	.	1.095868e-02	1	.
FRY	.	.	.	1.118780e-02	1	.
KMT2C	.	.	.	1.126510e-02	1	.
SBF1	.	.	.	1.130288e-02	1	.
NETO1	.	.	.	1.141625e-02	1	.
FNBP4	.	.	.	1.145545e-02	1	.
CAPN2	.	.	.	1.159189e-02	1	.
FXYD5	.	.	.	1.165390e-02	1	.
SLC39A9	.	.	.	1.179421e-02	1	.
TRMU	.	.	.	1.188381e-02	1	.
TXK	.	.	.	1.190079e-02	1	.
ZBTB49	.	.	.	1.200110e-02	1	.
EXOC2	.	.	.	1.200973e-02	1	.
TFCP2	.	.	.	1.210196e-02	1	.
SOGA2	.	.	.	1.211113e-02	1	.
CREB3L3	.	.	.	1.214523e-02	1	.
ARNT	.	.	.	1.216202e-02	1	.
SRPK2	.	.	.	1.226160e-02	1	.
TSHZ2	.	.	.	1.229690e-02	1	.
PSMD1	.	.	.	1.239866e-02	1	.
SUPT5H	.	.	.	1.243073e-02	1	.
PLXNB2	.	.	.	1.248222e-02	1	.
FUBP1	.	.	.	1.255508e-02	1	.
ADCY4	.	.	.	1.256320e-02	1	.
ST3GAL6	.	.	.	1.270674e-02	1	.
FAM21C	.	.	.	1.274941e-02	1	.
DDR2	.	.	.	1.299134e-02	1	.
SERPINE1	.	.	.	1.307592e-02	1	.
KMT2E	.	.	.	1.329657e-02	1	.
ATG16L1	.	.	.	1.342164e-02	1	.
ANKRD11	.	.	.	1.348916e-02	1	.
ADAMTS14	.	.	.	1.359497e-02	1	.
CD40	.	.	.	1.362404e-02	1	.
PSIP1	.	.	.	1.399048e-02	1	.
TDP1	.	.	.	1.401377e-02	1	.
ZNF285	.	.	.	1.410800e-02	1	.
TAF2	.	.	.	1.417815e-02	1	.
PAX5	.	.	.	1.426833e-02	1	.
TRIM68	.	.	.	1.445725e-02	1	.
HERC1	.	.	.	1.451078e-02	1	.
KIAA1429	.	.	.	1.464695e-02	1	.
DYSF	.	.	.	1.469657e-02	1	.
NPY	.	.	.	1.504662e-02	1	.
DUSP5	.	.	.	1.504688e-02	1	.
ZNF791	.	.	.	1.506310e-02	1	.
RAP1B	.	.	.	1.529429e-02	1	.
WDFY3	.	.	.	1.538435e-02	1	.
DNAJB7	.	.	.	1.541740e-02	1	.
TENM3	.	.	.	1.542394e-02	1	.
CSRNP3	.	.	.	1.566488e-02	1	.
IL12RB2	.	.	.	1.572126e-02	1	.
CREBBP	.	.	.	1.597773e-02	1	.
PPP4R4	.	.	.	1.599793e-02	1	.
PRSS45	.	.	.	1.613867e-02	1	.
SLC52A1	.	.	.	1.626685e-02	1	.
LBP	.	.	.	1.641514e-02	1	.
DIP2A	.	.	.	1.676893e-02	1	.
STYXL1	.	.	.	1.678105e-02	1	.
C2orf88	.	.	.	1.686552e-02	1	.
FCRL4	.	.	.	1.696903e-02	1	.
USP9X	.	.	.	1.710255e-02	1	.
MUC6	.	.	.	1.720425e-02	1	.
