gene	transcript	protein_change	score	pvalue	qvalue	info
MET	.	.	.	3.219647e-15	5.806955e-11	.
KRAS	.	.	.	1.084332e-08	9.778503e-05	.
BAP1	.	.	.	1.029240e-07	6.187794e-04	.
NF2	.	.	.	2.717164e-06	1.225169e-02	.
ATP1B1	.	.	.	1.104285e-05	3.983376e-02	.
CUL3	.	.	.	1.934604e-05	5.815420e-02	.
TXNIP	.	.	.	4.590201e-05	1.182698e-01	.
SAV1	.	.	.	8.997613e-05	2.019648e-01	.
SMARCB1	.	.	.	1.007808e-04	2.019648e-01	.
KDM6A	.	.	.	1.120718e-04	2.021327e-01	.
PCF11	.	.	.	1.344184e-04	2.203973e-01	.
TP53	.	.	.	1.646430e-04	2.474584e-01	.
NFE2L2	.	.	.	2.672144e-04	3.565707e-01	.
DMTF1	.	.	.	2.767792e-04	3.565707e-01	.
SYNPO2	.	.	.	3.535754e-04	4.251391e-01	.
ESRP2	.	.	.	6.019877e-04	6.246483e-01	.
SETD2	.	.	.	6.035794e-04	6.246483e-01	.
PIK3CA	.	.	.	6.234015e-04	6.246483e-01	.
PTEN	.	.	.	6.618964e-04	6.283139e-01	.
MFHAS1	.	.	.	7.069922e-04	6.375655e-01	.
PEBP1	.	.	.	8.433246e-04	7.242953e-01	.
EXOC7	.	.	.	1.281240e-03	1	.
CLUH	.	.	.	1.383114e-03	1	.
PARD6B	.	.	.	1.503533e-03	1	.
TTR	.	.	.	1.732170e-03	1	.
ASPRV1	.	.	.	1.816119e-03	1	.
KCNH3	.	.	.	1.892653e-03	1	.
NUP214	.	.	.	1.938898e-03	1	.
LYAR	.	.	.	2.323219e-03	1	.
EFNA1	.	.	.	2.429746e-03	1	.
NIPBL	.	.	.	3.058269e-03	1	.
USP25	.	.	.	3.104221e-03	1	.
PBRM1	.	.	.	3.250736e-03	1	.
ACAA1	.	.	.	3.353397e-03	1	.
SYNE3	.	.	.	3.848519e-03	1	.
SASS6	.	.	.	4.004905e-03	1	.
SUGP2	.	.	.	4.321716e-03	1	.
ENTPD7	.	.	.	4.420800e-03	1	.
ASIP	.	.	.	4.452430e-03	1	.
SLC5A12	.	.	.	4.509185e-03	1	.
ACSF2	.	.	.	4.574666e-03	1	.
DAZAP1	.	.	.	4.588401e-03	1	.
ERBB2	.	.	.	4.740936e-03	1	.
PPP1R15B	.	.	.	4.862178e-03	1	.
SRGAP1	.	.	.	5.081566e-03	1	.
ARID1A	.	.	.	5.106297e-03	1	.
ECI2	.	.	.	5.673360e-03	1	.
CALCR	.	.	.	5.724331e-03	1	.
RIPK4	.	.	.	5.896507e-03	1	.
URGCP	.	.	.	6.470893e-03	1	.
KATNAL2	.	.	.	6.730970e-03	1	.
PLEKHH2	.	.	.	6.877402e-03	1	.
ACER1	.	.	.	6.879057e-03	1	.
ADAP2	.	.	.	7.163827e-03	1	.
MYEOV2	.	.	.	7.177441e-03	1	.
CAMK1D	.	.	.	7.226475e-03	1	.
PEX12	.	.	.	7.417016e-03	1	.
METTL21C	.	.	.	7.439774e-03	1	.
FAM91A1	.	.	.	7.800483e-03	1	.
ACOX2	.	.	.	7.869330e-03	1	.
FAM65A	.	.	.	7.991009e-03	1	.
ITGB4	.	.	.	8.076656e-03	1	.
KMT2C	.	.	.	8.174605e-03	1	.
CCDC57	.	.	.	8.210365e-03	1	.
KDELR3	.	.	.	8.223471e-03	1	.
CHCHD3	.	.	.	8.370861e-03	1	.
SULT1C4	.	.	.	8.452689e-03	1	.
PHF20L1	.	.	.	8.473205e-03	1	.
FAM160B1	.	.	.	9.091040e-03	1	.
FBXO47	.	.	.	9.272665e-03	1	.
C12orf57	.	.	.	9.367779e-03	1	.
DNMT3A	.	.	.	9.486174e-03	1	.
FNIP2	.	.	.	9.817526e-03	1	.
CNDP2	.	.	.	9.878063e-03	1	.
RUFY3	.	.	.	1.003043e-02	1	.
ATG2B	.	.	.	1.027798e-02	1	.
BHMT	.	.	.	1.052076e-02	1	.
CREG1	.	.	.	1.078777e-02	1	.
AUP1	.	.	.	1.112679e-02	1	.
COMMD8	.	.	.	1.122065e-02	1	.
RSPH3	.	.	.	1.138419e-02	1	.
ELN	.	.	.	1.156444e-02	1	.
RAB26	.	.	.	1.176087e-02	1	.
GAPVD1	.	.	.	1.188091e-02	1	.
CCDC116	.	.	.	1.194386e-02	1	.
F13A1	.	.	.	1.226135e-02	1	.
WWTR1	.	.	.	1.235671e-02	1	.
ING4	.	.	.	1.284403e-02	1	.
TK2	.	.	.	1.311638e-02	1	.
ARID5A	.	.	.	1.329781e-02	1	.
NCSTN	.	.	.	1.351936e-02	1	.
SLC6A13	.	.	.	1.409210e-02	1	.
FLCN	.	.	.	1.450153e-02	1	.
STXBP3	.	.	.	1.465998e-02	1	.
PPIL2	.	.	.	1.467332e-02	1	.
IGSF9B	.	.	.	1.480746e-02	1	.
SGK2	.	.	.	1.499741e-02	1	.
KIN	.	.	.	1.589010e-02	1	.
KLF6	.	.	.	1.607428e-02	1	.
NUBP2	.	.	.	1.642228e-02	1	.
MFN2	.	.	.	1.643586e-02	1	.
BRWD1	.	.	.	1.680972e-02	1	.
DDX5	.	.	.	1.708886e-02	1	.
MYH7	.	.	.	1.711198e-02	1	.
PSMA1	.	.	.	1.711204e-02	1	.
POLR1A	.	.	.	1.740518e-02	1	.
MAP3K19	.	.	.	1.753259e-02	1	.
KHK	.	.	.	1.765979e-02	1	.
KIF1B	.	.	.	1.770736e-02	1	.
ACTR1B	.	.	.	1.774391e-02	1	.
RDH12	.	.	.	1.789877e-02	1	.
DAPP1	.	.	.	1.791732e-02	1	.
MCRS1	.	.	.	1.797319e-02	1	.
PRKDC	.	.	.	1.804701e-02	1	.
TRAF3IP2	.	.	.	1.818397e-02	1	.
KCNE3	.	.	.	1.828260e-02	1	.
MBD4	.	.	.	1.852403e-02	1	.
HRC	.	.	.	1.852543e-02	1	.
PCK1	.	.	.	1.861174e-02	1	.
CYP11B1	.	.	.	1.881162e-02	1	.
RTKN	.	.	.	1.898318e-02	1	.
PTH2	.	.	.	1.898862e-02	1	.
C1orf54	.	.	.	1.922654e-02	1	.
IL1RL2	.	.	.	1.922738e-02	1	.
KLRK1	.	.	.	1.937050e-02	1	.
C16orf86	.	.	.	1.975823e-02	1	.
MTRR	.	.	.	1.981157e-02	1	.
CLK4	.	.	.	1.990188e-02	1	.
BPIFB2	.	.	.	2.004599e-02	1	.
RANBP1	.	.	.	2.034625e-02	1	.
SLC24A3	.	.	.	2.051549e-02	1	.
SLC23A1	.	.	.	2.063739e-02	1	.
DARS	.	.	.	2.066681e-02	1	.
ARVCF	.	.	.	2.073741e-02	1	.
RFX6	.	.	.	2.085712e-02	1	.
MCF2L	.	.	.	2.088278e-02	1	.
GAD2	.	.	.	2.093304e-02	1	.
FAM175B	.	.	.	2.116912e-02	1	.
