gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	.	.	.	1.000000e-16	6.012000e-13	.
CTNNB1	.	.	.	1.000000e-16	6.012000e-13	.
AXIN1	.	.	.	1.000000e-16	6.012000e-13	.
ALB	.	.	.	3.330669e-16	1.501799e-12	.
BAP1	.	.	.	1.110223e-15	4.004796e-12	.
ARID1A	.	.	.	3.227751e-12	9.702621e-09	.
LZTR1	.	.	.	4.645762e-11	1.197014e-07	.
RB1	.	.	.	6.029566e-11	1.359366e-07	.
KEAP1	.	.	.	4.917794e-10	9.855259e-07	.
EEF1A1	.	.	.	2.656615e-08	4.791471e-05	.
RPS6KA3	.	.	.	3.285043e-08	5.386276e-05	.
NFE2L2	.	.	.	4.513444e-08	6.783706e-05	.
PIK3CA	.	.	.	9.754342e-08	1.353302e-04	.
KRAS	.	.	.	2.163285e-06	2.786930e-03	.
IL6ST	.	.	.	2.859618e-06	3.438405e-03	.
TSC2	.	.	.	1.275969e-05	1.438336e-02	.
NRAS	.	.	.	1.541597e-05	1.635544e-02	.
ARID2	.	.	.	2.173031e-05	2.177377e-02	.
IDH1	.	.	.	2.568382e-05	2.438071e-02	.
CNGA3	.	.	.	3.110190e-05	2.804769e-02	.
SMARCA4	.	.	.	4.104579e-05	3.525247e-02	.
LYZL6	.	.	.	6.086383e-05	4.934800e-02	.
CRIP3	.	.	.	6.292992e-05	4.934800e-02	.
CREB3L3	.	.	.	8.331544e-05	6.261155e-02	.
DHX9	.	.	.	9.663167e-05	6.971395e-02	.
CDKN2A	.	.	.	1.123722e-04	7.795173e-02	.
ACVR2A	.	.	.	1.855991e-04	1.239802e-01	.
RPS6KA5	.	.	.	2.036781e-04	1.311978e-01	.
INSIG1	.	.	.	2.426098e-04	1.424972e-01	.
JAK1	.	.	.	2.508844e-04	1.424972e-01	.
IGF2R	.	.	.	2.511337e-04	1.424972e-01	.
PDE10A	.	.	.	2.567282e-04	1.424972e-01	.
APOB	.	.	.	2.607234e-04	1.424972e-01	.
KCTD20	.	.	.	2.883555e-04	1.488485e-01	.
BRD7	.	.	.	2.888500e-04	1.488485e-01	.
CCT3	.	.	.	3.480377e-04	1.743669e-01	.
LY75	.	.	.	3.690323e-04	1.798883e-01	.
ATP6V0A1	.	.	.	3.882502e-04	1.800466e-01	.
LILRB5	.	.	.	3.893223e-04	1.800466e-01	.
SF3B1	.	.	.	4.664472e-04	2.103210e-01	.
AHCTF1	.	.	.	6.109856e-04	2.687741e-01	.
ATP12A	.	.	.	7.390187e-04	3.173557e-01	.
KRTAP3-3	.	.	.	8.580662e-04	3.540248e-01	.
BCLAF1	.	.	.	8.636665e-04	3.540248e-01	.
PLEKHM1	.	.	.	9.321824e-04	3.736187e-01	.
RXRB	.	.	.	9.682594e-04	3.796419e-01	.
STXBP3	.	.	.	1.029670e-03	3.951303e-01	.
PLCG1	.	.	.	1.071815e-03	4.027346e-01	.
SIPA1L2	.	.	.	1.132689e-03	4.169222e-01	.
USP48	.	.	.	1.212786e-03	4.310154e-01	.
NR4A2	.	.	.	1.218773e-03	4.310154e-01	.
DYRK1A	.	.	.	1.273860e-03	4.418333e-01	.
SETD2	.	.	.	1.453675e-03	4.946883e-01	.
TGFB1	.	.	.	1.484538e-03	4.952831e-01	.
ADAT1	.	.	.	1.526023e-03	4.952831e-01	.
SLC39A10	.	.	.	1.537805e-03	4.952831e-01	.
ABCA7	.	.	.	1.578583e-03	4.994968e-01	.
CHRNA1	.	.	.	1.609378e-03	5.004611e-01	.
NF2	.	.	.	1.708540e-03	5.121358e-01	.
NF1	.	.	.	1.725502e-03	5.121358e-01	.
FAM124B	.	.	.	1.732107e-03	5.121358e-01	.
CLTCL1	.	.	.	1.776470e-03	5.127279e-01	.
ENGASE	.	.	.	1.791685e-03	5.127279e-01	.
AMER1	.	.	.	1.820705e-03	5.127279e-01	.
GRIA1	.	.	.	1.875612e-03	5.127279e-01	.
NXF1	.	.	.	1.901162e-03	5.127279e-01	.
EIF5A	.	.	.	1.904678e-03	5.127279e-01	.
COL6A6	.	.	.	1.965864e-03	5.214165e-01	.
FREM2	.	.	.	2.074456e-03	5.422446e-01	.
IWS1	.	.	.	2.146640e-03	5.478825e-01	.
GABRA1	.	.	.	2.156778e-03	5.478825e-01	.
TRAIP	.	.	.	2.269920e-03	5.686151e-01	.
ARHGEF6	.	.	.	2.347202e-03	5.799197e-01	.
FSTL4	.	.	.	2.420928e-03	5.900520e-01	.
STRADA	.	.	.	2.453738e-03	5.900748e-01	.
CCDC53	.	.	.	2.643896e-03	6.194273e-01	.
PGLYRP4	.	.	.	2.644483e-03	6.194273e-01	.
LEO1	.	.	.	2.737737e-03	6.240862e-01	.
DCSTAMP	.	.	.	2.741417e-03	6.240862e-01	.
MCM7	.	.	.	2.768180e-03	6.240862e-01	.
PTEN	.	.	.	2.852113e-03	6.302071e-01	.
GPS2	.	.	.	2.941611e-03	6.302071e-01	.
CNPY2	.	.	.	2.963112e-03	6.302071e-01	.
TAF1D	.	.	.	2.996239e-03	6.302071e-01	.
HNF1A	.	.	.	3.013068e-03	6.302071e-01	.
BRCA2	.	.	.	3.030524e-03	6.302071e-01	.
RFC1	.	.	.	3.039921e-03	6.302071e-01	.
IL21R	.	.	.	3.099291e-03	6.352138e-01	.
PGBD1	.	.	.	3.235408e-03	6.418481e-01	.
FZR1	.	.	.	3.244060e-03	6.418481e-01	.
PKD2L2	.	.	.	3.299003e-03	6.418481e-01	.
REEP5	.	.	.	3.310615e-03	6.418481e-01	.
BAX	.	.	.	3.354896e-03	6.418481e-01	.
TMPO	.	.	.	3.388409e-03	6.418481e-01	.
DENND5A	.	.	.	3.404892e-03	6.418481e-01	.
PHACTR4	.	.	.	3.481034e-03	6.418481e-01	.
DNAJA2	.	.	.	3.558915e-03	6.418481e-01	.
ZBTB9	.	.	.	3.597938e-03	6.418481e-01	.
COL6A3	.	.	.	3.609392e-03	6.418481e-01	.
PLEKHG1	.	.	.	3.634439e-03	6.418481e-01	.
