gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	.	.	.	1.000000e-16	6.012333e-13	.
CDKN2A	.	.	.	1.000000e-16	6.012333e-13	.
NFE2L2	.	.	.	1.000000e-16	6.012333e-13	.
RB1	.	.	.	5.551115e-16	2.503137e-12	.
PTEN	.	.	.	2.997602e-15	1.081355e-11	.
KMT2D	.	.	.	4.618528e-14	1.388406e-10	.
FAT1	.	.	.	2.521405e-11	6.496941e-08	.
KEAP1	.	.	.	1.314011e-08	2.962603e-05	.
CUL3	.	.	.	1.596575e-08	3.199713e-05	.
NF1	.	.	.	2.230723e-08	4.023556e-05	.
PIK3CA	.	.	.	1.940676e-07	3.182179e-04	.
RASA1	.	.	.	4.287175e-07	6.443981e-04	.
GALNT2	.	.	.	9.415454e-07	1.306358e-03	.
CREBBP	.	.	.	1.359222e-06	1.674752e-03	.
KLF5	.	.	.	1.392764e-06	1.674752e-03	.
FBXW7	.	.	.	1.527147e-06	1.721572e-03	.
HRAS	.	.	.	3.756487e-06	3.985633e-03	.
EP300	.	.	.	2.101880e-05	2.106200e-02	.
FN1	.	.	.	2.841786e-05	2.697752e-02	.
CERKL	.	.	.	3.691449e-05	3.329133e-02	.
TNFRSF25	.	.	.	6.266639e-05	5.382446e-02	.
TTPA	.	.	.	8.494361e-05	6.964218e-02	.
KDM6A	.	.	.	1.269781e-04	9.957842e-02	.
IL17F	.	.	.	1.483658e-04	1.072023e-01	.
NRAS	.	.	.	1.485867e-04	1.072023e-01	.
FGFR2	.	.	.	1.763733e-04	1.221833e-01	.
PLXNB2	.	.	.	1.828990e-04	1.221833e-01	.
ATP6V0A2	.	.	.	2.134524e-04	1.324280e-01	.
IL22RA2	.	.	.	2.183297e-04	1.324280e-01	.
CLLU1OS	.	.	.	2.202605e-04	1.324280e-01	.
DROSHA	.	.	.	3.625781e-04	2.109620e-01	.
HIST1H3B	.	.	.	4.351135e-04	2.383167e-01	.
TIA1	.	.	.	4.360177e-04	2.383167e-01	.
HGF	.	.	.	5.998914e-04	3.182424e-01	.
GRID2	.	.	.	6.753835e-04	3.480541e-01	.
SIGLEC1	.	.	.	7.054524e-04	3.534513e-01	.
STAT4	.	.	.	8.503163e-04	4.145177e-01	.
KCNG4	.	.	.	8.881981e-04	4.215903e-01	.
PSENEN	.	.	.	9.228359e-04	4.267998e-01	.
RYR1	.	.	.	1.087014e-03	4.901617e-01	.
TYR	.	.	.	1.231173e-03	5.416260e-01	.
EXOSC5	.	.	.	1.355998e-03	5.760785e-01	.
NSD1	.	.	.	1.377311e-03	5.760785e-01	.
KMT2C	.	.	.	1.405303e-03	5.760785e-01	.
XPNPEP3	.	.	.	1.575776e-03	6.131205e-01	.
PRNT	.	.	.	1.618357e-03	6.131205e-01	.
FAM134A	.	.	.	1.634966e-03	6.131205e-01	.
APLNR	.	.	.	1.746886e-03	6.131205e-01	.
XIAP	.	.	.	1.751803e-03	6.131205e-01	.
CCT8L2	.	.	.	1.759944e-03	6.131205e-01	.
ACTC1	.	.	.	1.763762e-03	6.131205e-01	.
ADAM21	.	.	.	1.789571e-03	6.131205e-01	.
IRF6	.	.	.	1.841988e-03	6.131205e-01	.
LHFPL5	.	.	.	1.926744e-03	6.131205e-01	.
CLSTN2	.	.	.	1.927419e-03	6.131205e-01	.
KRT3	.	.	.	1.955777e-03	6.131205e-01	.
SULT1E1	.	.	.	1.983047e-03	6.131205e-01	.
C9orf153	.	.	.	1.988979e-03	6.131205e-01	.
ACSBG1	.	.	.	2.019069e-03	6.131205e-01	.
CASD1	.	.	.	2.039543e-03	6.131205e-01	.
CST9	.	.	.	2.189443e-03	6.473931e-01	.
MYH7	.	.	.	2.405203e-03	6.997200e-01	.
CACNG3	.	.	.	2.487209e-03	7.120919e-01	.
