gene	transcript	protein_change	score	pvalue	qvalue	info
HRAS	.	.	.	1.000000e-16	1.817900e-12	.
EPAS1	.	.	.	2.602342e-09	2.333861e-05	.
NF1	.	.	.	4.491405e-09	2.333861e-05	.
RET	.	.	.	5.135289e-09	2.333861e-05	.
CSDE1	.	.	.	3.192887e-06	1.160870e-02	.
VHL	.	.	.	6.471852e-05	1.960863e-01	.
FGFR1	.	.	.	2.603765e-04	6.761977e-01	.
BCAR1	.	.	.	5.158416e-04	1	.
PRMT1	.	.	.	5.612205e-04	1	.
PI3	.	.	.	6.263173e-04	1	.
RSRC2	.	.	.	1.341801e-03	1	.
SNRPD2	.	.	.	1.350416e-03	1	.
ATP6V1G3	.	.	.	2.467771e-03	1	.
POLE3	.	.	.	2.659668e-03	1	.
PIGW	.	.	.	3.369650e-03	1	.
FAM167A	.	.	.	3.554378e-03	1	.
VAMP3	.	.	.	3.856101e-03	1	.
BDH1	.	.	.	3.924612e-03	1	.
PSMA7	.	.	.	4.226256e-03	1	.
CSTL1	.	.	.	4.964442e-03	1	.
KIF3C	.	.	.	5.149245e-03	1	.
PIM2	.	.	.	5.197251e-03	1	.
VIT	.	.	.	5.455305e-03	1	.
TPBG	.	.	.	5.940302e-03	1	.
GBA	.	.	.	6.291546e-03	1	.
MDK	.	.	.	6.318009e-03	1	.
FBF1	.	.	.	6.857720e-03	1	.
MRGPRX3	.	.	.	6.952351e-03	1	.
FANCC	.	.	.	7.062596e-03	1	.
REM2	.	.	.	7.649426e-03	1	.
MAP2K1	.	.	.	7.686772e-03	1	.
TAS2R60	.	.	.	7.857978e-03	1	.
MFNG	.	.	.	7.972366e-03	1	.
P2RY1	.	.	.	8.250491e-03	1	.
ZNF574	.	.	.	8.415599e-03	1	.
NFE2L3	.	.	.	8.462900e-03	1	.
ST6GAL1	.	.	.	8.544267e-03	1	.
GTF2A1	.	.	.	8.830353e-03	1	.
BCL2L14	.	.	.	8.831344e-03	1	.
TSPAN13	.	.	.	9.269268e-03	1	.
MGST1	.	.	.	9.812482e-03	1	.
