gene	transcript	protein_change	score	pvalue	qvalue	info
SPOP	.	.	.	1.000000e-16	9.089000e-13	.
TP53	.	.	.	1.000000e-16	9.089000e-13	.
PTEN	.	.	.	4.329870e-15	2.623612e-11	.
FOXA1	.	.	.	1.500577e-12	6.819374e-09	.
CTNNB1	.	.	.	4.433208e-09	1.611737e-05	.
PIK3CA	.	.	.	5.166926e-07	1.565406e-03	.
HRAS	.	.	.	7.521383e-07	1.953196e-03	.
MED12	.	.	.	4.595971e-06	1.044320e-02	.
IDH1	.	.	.	1.709954e-05	3.453727e-02	.
CDK12	.	.	.	5.795357e-05	1.053480e-01	.
ATM	.	.	.	1.964766e-04	3.128515e-01	.
CDKN1B	.	.	.	2.065254e-04	3.128515e-01	.
KMT2D	.	.	.	3.451472e-04	4.826219e-01	.
NKX3-1	.	.	.	4.788458e-04	6.019143e-01	.
APC	.	.	.	4.966836e-04	6.019143e-01	.
STAT3	.	.	.	7.566511e-04	7.198084e-01	.
KMT2C	.	.	.	7.627220e-04	7.198084e-01	.
BRAF	.	.	.	7.872123e-04	7.198084e-01	.
COL11A1	.	.	.	7.909600e-04	7.198084e-01	.
NRXN3	.	.	.	7.919556e-04	7.198084e-01	.
IL21	.	.	.	8.918314e-04	7.719863e-01	.
AKT1	.	.	.	9.458614e-04	7.782511e-01	.
HSPA8	.	.	.	9.846945e-04	7.782511e-01	.
CUL3	.	.	.	1.225315e-03	9.280737e-01	.
KDM6A	.	.	.	1.332991e-03	9.370458e-01	.
SMARCA1	.	.	.	1.340257e-03	9.370458e-01	.
PDYN	.	.	.	1.628137e-03	1	.
NCKAP1L	.	.	.	1.636382e-03	1	.
NUDT12	.	.	.	1.769023e-03	1	.
TAF1D	.	.	.	1.799892e-03	1	.
TNFRSF21	.	.	.	1.874891e-03	1	.
RHOA	.	.	.	2.068998e-03	1	.
ZMYM3	.	.	.	2.457171e-03	1	.
ITIH2	.	.	.	2.503638e-03	1	.
SLC16A6	.	.	.	2.607109e-03	1	.
IL6ST	.	.	.	2.790626e-03	1	.
CHD1	.	.	.	2.842120e-03	1	.
AGA	.	.	.	3.715259e-03	1	.
AURKAIP1	.	.	.	3.769609e-03	1	.
PROKR2	.	.	.	3.848509e-03	1	.
GPS2	.	.	.	4.090437e-03	1	.
MMP19	.	.	.	4.141500e-03	1	.
ACAN	.	.	.	4.632438e-03	1	.
IL9	.	.	.	4.726760e-03	1	.
CTNNAL1	.	.	.	5.216419e-03	1	.
ZDHHC14	.	.	.	5.369602e-03	1	.
GLRA1	.	.	.	5.602624e-03	1	.
PPP2R2B	.	.	.	5.815042e-03	1	.
CD180	.	.	.	5.863845e-03	1	.
MECOM	.	.	.	5.895163e-03	1	.
ETV3	.	.	.	5.912631e-03	1	.
LILRB5	.	.	.	6.056291e-03	1	.
FPR1	.	.	.	6.077810e-03	1	.
SNW1	.	.	.	6.125903e-03	1	.
CEP57	.	.	.	6.337614e-03	1	.
GPR37L1	.	.	.	6.423124e-03	1	.
ACTL7B	.	.	.	6.427457e-03	1	.
CLEC1A	.	.	.	6.558681e-03	1	.
ARFGAP2	.	.	.	6.583030e-03	1	.
RPL11	.	.	.	6.604380e-03	1	.
PCDH17	.	.	.	6.863591e-03	1	.
MMACHC	.	.	.	7.166220e-03	1	.
POSTN	.	.	.	7.224341e-03	1	.
ZNF770	.	.	.	7.275550e-03	1	.
SERPINB5	.	.	.	7.341445e-03	1	.
FAM111A	.	.	.	7.380264e-03	1	.
CDC42BPB	.	.	.	7.534191e-03	1	.
PSRC1	.	.	.	7.571456e-03	1	.
MTF1	.	.	.	7.767308e-03	1	.
HOXB13	.	.	.	7.778983e-03	1	.
PTPRU	.	.	.	7.849018e-03	1	.
SHE	.	.	.	8.302352e-03	1	.
COL12A1	.	.	.	8.431896e-03	1	.
NR1D1	.	.	.	8.495088e-03	1	.
EIF2AK3	.	.	.	8.543378e-03	1	.
SRSF1	.	.	.	8.922883e-03	1	.
TRMT44	.	.	.	9.011612e-03	1	.
CRTC1	.	.	.	9.090364e-03	1	.
TFDP3	.	.	.	9.408738e-03	1	.
TMEM132B	.	.	.	9.461141e-03	1	.
SEPT9	.	.	.	9.462362e-03	1	.
ERF	.	.	.	9.508449e-03	1	.
MYH11	.	.	.	9.716452e-03	1	.
USP48	.	.	.	9.835586e-03	1	.
OR6K2	.	.	.	9.921514e-03	1	.
RBM41	.	.	.	9.981859e-03	1	.
HKDC1	.	.	.	1.008262e-02	1	.
C10orf99	.	.	.	1.028143e-02	1	.
FLT3	.	.	.	1.031326e-02	1	.
PLCB4	.	.	.	1.049696e-02	1	.
RHOC	.	.	.	1.132241e-02	1	.
ZNFX1	.	.	.	1.156303e-02	1	.
CD5L	.	.	.	1.159903e-02	1	.
LRRC15	.	.	.	1.169826e-02	1	.
DPPA5	.	.	.	1.190713e-02	1	.
ALX3	.	.	.	1.211587e-02	1	.
BACH2	.	.	.	1.233581e-02	1	.
SUN2	.	.	.	1.261395e-02	1	.
RAD54B	.	.	.	1.264819e-02	1	.
ASIC4	.	.	.	1.267808e-02	1	.
DEFB129	.	.	.	1.323827e-02	1	.
MRGPRX4	.	.	.	1.326472e-02	1	.
GRIK3	.	.	.	1.344878e-02	1	.
KIDINS220	.	.	.	1.359142e-02	1	.
TBXA2R	.	.	.	1.381377e-02	1	.
SMAD4	.	.	.	1.384240e-02	1	.
CTC-260F20.3	.	.	.	1.384551e-02	1	.
FGB	.	.	.	1.415348e-02	1	.
SEMA3C	.	.	.	1.416723e-02	1	.
UBR4	.	.	.	1.436801e-02	1	.
C1ORF220	.	.	.	1.438318e-02	1	.
CPLX4	.	.	.	1.468281e-02	1	.
KLK6	.	.	.	1.492572e-02	1	.
CEACAM7	.	.	.	1.523677e-02	1	.
VRTN	.	.	.	1.533259e-02	1	.
IFT172	.	.	.	1.545286e-02	1	.
CD8B	.	.	.	1.545793e-02	1	.
KARS	.	.	.	1.564209e-02	1	.
PTMS	.	.	.	1.573935e-02	1	.
ATF7IP2	.	.	.	1.575297e-02	1	.
GOLGA4	.	.	.	1.624915e-02	1	.
LAMB1	.	.	.	1.628599e-02	1	.
GABRB1	.	.	.	1.653276e-02	1	.
SLFN5	.	.	.	1.707304e-02	1	.
KRTAP3-1	.	.	.	1.739612e-02	1	.
DDX50	.	.	.	1.773400e-02	1	.
DAW1	.	.	.	1.832139e-02	1	.
EHHADH	.	.	.	1.837048e-02	1	.
CCDC11	.	.	.	1.842827e-02	1	.
KIAA1549L	.	.	.	1.854613e-02	1	.
PNLIP	.	.	.	1.855038e-02	1	.
IRAK3	.	.	.	1.894635e-02	1	.
SPARCL1	.	.	.	1.907878e-02	1	.
ASTN1	.	.	.	1.908989e-02	1	.
PKD1L1	.	.	.	1.921862e-02	1	.
PNPLA1	.	.	.	1.945643e-02	1	.
IQCA1	.	.	.	1.984482e-02	1	.
LMOD2	.	.	.	2.016104e-02	1	.
A1CF	.	.	.	2.035896e-02	1	.
ADAD2	.	.	.	2.065508e-02	1	.
LRRTM1	.	.	.	2.081700e-02	1	.
RAG1	.	.	.	2.084817e-02	1	.
KYNU	.	.	.	2.088079e-02	1	.
TTBK2	.	.	.	2.089951e-02	1	.
GLOD4	.	.	.	2.102189e-02	1	.
RGS9	.	.	.	2.104383e-02	1	.
RPL27	.	.	.	2.112709e-02	1	.
LMTK2	.	.	.	2.113626e-02	1	.
GAD2	.	.	.	2.127442e-02	1	.
ITPRIP	.	.	.	2.174707e-02	1	.
NR1I2	.	.	.	2.217582e-02	1	.
THTPA	.	.	.	2.235359e-02	1	.
FOXP1	.	.	.	2.245393e-02	1	.
KRT6C	.	.	.	2.326420e-02	1	.
ZNF746	.	.	.	2.327913e-02	1	.
POM121C	.	.	.	2.391934e-02	1	.
ERMARD	.	.	.	2.397145e-02	1	.
PGBD1	.	.	.	2.398706e-02	1	.
CASZ1	.	.	.	2.408370e-02	1	.
CARHSP1	.	.	.	2.465348e-02	1	.
IFNA16	.	.	.	2.465358e-02	1	.
PPT1	.	.	.	2.505355e-02	1	.
ROBO1	.	.	.	2.532764e-02	1	.
CRIP1	.	.	.	2.534888e-02	1	.
ATRX	.	.	.	2.564428e-02	1	.
NDUFA1	.	.	.	2.564608e-02	1	.
SH3TC2	.	.	.	2.578362e-02	1	.
PPP1R32	.	.	.	2.622875e-02	1	.
BBS10	.	.	.	2.638018e-02	1	.
GNPNAT1	.	.	.	2.642653e-02	1	.
OR8K5	.	.	.	2.657716e-02	1	.
ADAM18	.	.	.	2.687605e-02	1	.
ZFAT	.	.	.	2.696427e-02	1	.
ARHGAP21	.	.	.	2.721423e-02	1	.
FES	.	.	.	2.730523e-02	1	.
KRT25	.	.	.	2.738760e-02	1	.
NCSTN	.	.	.	2.767985e-02	1	.
GATC	.	.	.	2.789513e-02	1	.
TIMM22	.	.	.	2.790312e-02	1	.
PRKCZ	.	.	.	2.826230e-02	1	.
CD83	.	.	.	2.843003e-02	1	.
OR7D2	.	.	.	2.863192e-02	1	.
ZCCHC14	.	.	.	2.894747e-02	1	.
KDM3B	.	.	.	2.920153e-02	1	.
AMDHD1	.	.	.	2.949295e-02	1	.
EFHC1	.	.	.	2.953539e-02	1	.
LPPR5	.	.	.	2.959023e-02	1	.
OR10C1	.	.	.	2.976731e-02	1	.
PLIN3	.	.	.	3.020664e-02	1	.
CDC25B	.	.	.	3.023909e-02	1	.
DBH	.	.	.	3.041888e-02	1	.
WNK4	.	.	.	3.045676e-02	1	.
H2AFJ	.	.	.	3.099659e-02	1	.
PPIA	.	.	.	3.173746e-02	1	.
ZFC3H1	.	.	.	3.175291e-02	1	.
ATP10D	.	.	.	3.178692e-02	1	.
SELPLG	.	.	.	3.178706e-02	1	.
MRGPRX1	.	.	.	3.185699e-02	1	.
LHX3	.	.	.	3.187214e-02	1	.
GGT5	.	.	.	3.194570e-02	1	.
GLI1	.	.	.	3.194760e-02	1	.
HIST1H2BG	.	.	.	3.209854e-02	1	.
SUMO2	.	.	.	3.298856e-02	1	.
S100Z	.	.	.	3.350235e-02	1	.
DLX3	.	.	.	3.418976e-02	1	.
ANO4	.	.	.	3.420225e-02	1	.
C19orf53	.	.	.	3.436127e-02	1	.
HOOK2	.	.	.	3.448674e-02	1	.
ZFYVE26	.	.	.	3.453581e-02	1	.
BRPF1	.	.	.	3.470796e-02	1	.
CTTNBP2	.	.	.	3.507093e-02	1	.
PEX12	.	.	.	3.527697e-02	1	.
IQCF3	.	.	.	3.534554e-02	1	.
PARP4	.	.	.	3.562136e-02	1	.
OR4P4	.	.	.	3.562652e-02	1	.
XRCC2	.	.	.	3.564932e-02	1	.
ART4	.	.	.	3.591429e-02	1	.
CWF19L1	.	.	.	3.635471e-02	1	.
FAM217B	.	.	.	3.646465e-02	1	.
DNAH10	.	.	.	3.650543e-02	1	.
CUL2	.	.	.	3.694210e-02	1	.
CAMTA1	.	.	.	3.737344e-02	1	.
FITM2	.	.	.	3.805902e-02	1	.
LCE2D	.	.	.	3.812338e-02	1	.
PIK3R2	.	.	.	3.833803e-02	1	.
SLC5A8	.	.	.	3.833929e-02	1	.
IMPDH2	.	.	.	3.847448e-02	1	.
NOMO1	.	.	.	3.877485e-02	1	.
ERC1	.	.	.	3.888321e-02	1	.
