gene	transcript	protein_change	score	pvalue	qvalue	info
APC	.	.	.	1.000000e-16	4.509000e-13	.
TP53	.	.	.	1.000000e-16	4.509000e-13	.
KRAS	.	.	.	1.000000e-16	4.509000e-13	.
NRAS	.	.	.	1.000000e-16	4.509000e-13	.
FBXW7	.	.	.	2.233547e-12	8.056850e-09	.
SMAD4	.	.	.	1.286653e-09	3.867680e-06	.
TCF7L2	.	.	.	1.450813e-08	3.738124e-05	.
ZFP36L2	.	.	.	3.384708e-08	7.630824e-05	.
PCBP1	.	.	.	6.450201e-08	1.292620e-04	.
PIK3CA	.	.	.	1.762336e-07	3.178550e-04	.
PNLDC1	.	.	.	2.697820e-05	4.423444e-02	.
BICD1	.	.	.	1.329419e-04	1.998117e-01	.
PUM1	.	.	.	2.150790e-04	2.983972e-01	.
AMER1	.	.	.	2.318766e-04	2.987233e-01	.
HHATL	.	.	.	6.315827e-04	7.305499e-01	.
ATM	.	.	.	6.480815e-04	7.305499e-01	.
FBN3	.	.	.	8.195563e-04	8.695010e-01	.
PROM1	.	.	.	9.164841e-04	9.183171e-01	.
RPF2	.	.	.	9.919528e-04	9.416243e-01	.
MYOZ1	.	.	.	1.103989e-03	9.709249e-01	.
DNPEP	.	.	.	1.130485e-03	9.709249e-01	.
EMG1	.	.	.	1.341192e-03	1	.
GPR32	.	.	.	1.354134e-03	1	.
SOX9	.	.	.	1.445129e-03	1	.
PTEN	.	.	.	1.445197e-03	1	.
ATP8B2	.	.	.	2.118542e-03	1	.
ABCC6	.	.	.	2.203462e-03	1	.
ZC3H12A	.	.	.	2.245763e-03	1	.
HECW1	.	.	.	3.525906e-03	1	.
OR2B2	.	.	.	3.648050e-03	1	.
KLHDC2	.	.	.	3.910950e-03	1	.
PCDHGA8	.	.	.	4.479879e-03	1	.
SLC15A2	.	.	.	4.685904e-03	1	.
FGF13	.	.	.	5.042097e-03	1	.
CDK20	.	.	.	5.056228e-03	1	.
PAPOLB	.	.	.	5.123467e-03	1	.
TDRD9	.	.	.	5.954259e-03	1	.
PLA2G4F	.	.	.	6.619679e-03	1	.
ESPNL	.	.	.	6.726645e-03	1	.
SNTG2	.	.	.	7.055636e-03	1	.
KLHL23	.	.	.	7.358090e-03	1	.
OTOP3	.	.	.	7.551981e-03	1	.
SPINK4	.	.	.	7.566584e-03	1	.
SDC2	.	.	.	7.985648e-03	1	.
C16orf92	.	.	.	8.328746e-03	1	.
DZANK1	.	.	.	9.121064e-03	1	.
OXSM	.	.	.	9.208691e-03	1	.
MLK4	.	.	.	9.462746e-03	1	.
GTSF1	.	.	.	9.502121e-03	1	.
LRRC57	.	.	.	9.762043e-03	1	.
TRIM24	.	.	.	9.899454e-03	1	.
CD1E	.	.	.	1.077804e-02	1	.
JDP2	.	.	.	1.078057e-02	1	.
C2CD2	.	.	.	1.080240e-02	1	.
LRRC16B	.	.	.	1.085473e-02	1	.
WDFY3	.	.	.	1.117204e-02	1	.
RNF43	.	.	.	1.175132e-02	1	.
UBE2K	.	.	.	1.204402e-02	1	.
STH	.	.	.	1.204506e-02	1	.
OR1G1	.	.	.	1.206434e-02	1	.
ANKS1A	.	.	.	1.259886e-02	1	.
MDC1	.	.	.	1.269587e-02	1	.
C11orf45	.	.	.	1.328874e-02	1	.
CD207	.	.	.	1.338248e-02	1	.
ERAP1	.	.	.	1.348372e-02	1	.
SYT11	.	.	.	1.373938e-02	1	.
SIGLEC8	.	.	.	1.378001e-02	1	.
SCGB1D2	.	.	.	1.386747e-02	1	.
IFNL2	.	.	.	1.390821e-02	1	.
CC2D1A	.	.	.	1.410563e-02	1	.
POP1	.	.	.	1.429225e-02	1	.
A2M	.	.	.	1.435556e-02	1	.
KIAA0907	.	.	.	1.439964e-02	1	.
ZNF546	.	.	.	1.445782e-02	1	.
IP6K3	.	.	.	1.468951e-02	1	.
C19orf18	.	.	.	1.472386e-02	1	.
YIPF5	.	.	.	1.479696e-02	1	.
PLA2G4C	.	.	.	1.480740e-02	1	.
SYNE1	.	.	.	1.501486e-02	1	.
NOP2	.	.	.	1.513111e-02	1	.
HIST1H1B	.	.	.	1.535132e-02	1	.
RB1CC1	.	.	.	1.539104e-02	1	.
CCDC114	.	.	.	1.545217e-02	1	.
HDHD3	.	.	.	1.602176e-02	1	.
SIGLEC1	.	.	.	1.622732e-02	1	.
