gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	.	.	.	1.000000e-16	4.023892e-13	.
CDH1	.	.	.	1.000000e-16	4.023892e-13	.
KRAS	.	.	.	1.000000e-16	4.023892e-13	.
RHOA	.	.	.	1.000000e-16	4.023892e-13	.
SMAD4	.	.	.	1.110223e-16	4.023892e-13	.
ARID1A	.	.	.	1.110223e-14	3.353244e-11	.
PIK3CA	.	.	.	1.455461e-10	3.767981e-07	.
PTEN	.	.	.	2.756325e-09	6.243765e-06	.
APC	.	.	.	1.842467e-08	3.709910e-05	.
ACVR2A	.	.	.	1.426027e-07	2.584246e-04	.
ERBB3	.	.	.	4.879448e-07	8.038670e-04	.
CDKN2A	.	.	.	9.795447e-07	1.479276e-03	.
CTNNB1	.	.	.	1.467611e-06	2.045849e-03	.
TGFBR2	.	.	.	2.200419e-06	2.684939e-03	.
PIGR	.	.	.	2.222386e-06	2.684939e-03	.
CASP8	.	.	.	3.704899e-06	4.196262e-03	.
ERBB2	.	.	.	9.942309e-06	1.033809e-02	.
RNF43	.	.	.	1.026849e-05	1.033809e-02	.
OR10A4	.	.	.	1.538921e-05	1.467806e-02	.
MUC6	.	.	.	3.521010e-05	3.190387e-02	.
CNBD1	.	.	.	4.799954e-05	4.142132e-02	.
CDH11	.	.	.	5.089146e-05	4.192069e-02	.
BTBD11	.	.	.	6.106296e-05	4.811230e-02	.
COL11A1	.	.	.	7.151222e-05	5.399769e-02	.
C20orf195	.	.	.	8.372882e-05	6.069334e-02	.
XIRP2	.	.	.	9.078570e-05	6.210670e-02	.
STAG1	.	.	.	9.253289e-05	6.210670e-02	.
SPTA1	.	.	.	9.702531e-05	6.279617e-02	.
ESRP1	.	.	.	1.366606e-04	8.539871e-02	.
TTBK2	.	.	.	1.467068e-04	8.862068e-02	.
TTLL5	.	.	.	1.865947e-04	1.090796e-01	.
SACS	.	.	.	2.193088e-04	1.195190e-01	.
HMCN1	.	.	.	2.209239e-04	1.195190e-01	.
PRR5L	.	.	.	2.378281e-04	1.195190e-01	.
ZNF592	.	.	.	2.379288e-04	1.195190e-01	.
SLC35B2	.	.	.	2.432671e-04	1.195190e-01	.
PROKR2	.	.	.	2.497605e-04	1.195190e-01	.
PYHIN1	.	.	.	2.541495e-04	1.195190e-01	.
TMC2	.	.	.	2.572146e-04	1.195190e-01	.
FAM46D	.	.	.	2.663394e-04	1.206651e-01	.
IRF2	.	.	.	2.913001e-04	1.287546e-01	.
TOP2A	.	.	.	4.049925e-04	1.747446e-01	.
OR2J3	.	.	.	4.309778e-04	1.816321e-01	.
ABCB5	.	.	.	4.901143e-04	2.017191e-01	.
OSBPL6	.	.	.	5.009027e-04	2.017191e-01	.
U2AF1	.	.	.	5.277805e-04	2.079226e-01	.
HLA-B	.	.	.	5.553868e-04	2.141430e-01	.
