gene	transcript	protein_change	score	pvalue	qvalue	info
KIT	.	.	.	1.000000e-16	9.088000e-13	.
KRAS	.	.	.	1.000000e-16	9.088000e-13	.
LZTR1	.	.	.	4.171219e-12	2.527203e-08	.
NRAS	.	.	.	5.119616e-11	2.326353e-07	.
SP8	.	.	.	9.079246e-05	3.300488e-01	.
PAIP2	.	.	.	4.098415e-04	1	.
GAS2L2	.	.	.	1.266660e-03	1	.
RPL5	.	.	.	1.357348e-03	1	.
GRB10	.	.	.	1.459371e-03	1	.
ABCF2	.	.	.	1.708883e-03	1	.
CTSV	.	.	.	2.103261e-03	1	.
PHLDA3	.	.	.	2.145140e-03	1	.
ANO7	.	.	.	2.367491e-03	1	.
BROX	.	.	.	2.886309e-03	1	.
CBX1	.	.	.	2.978406e-03	1	.
DNM2	.	.	.	4.475634e-03	1	.
ZNF593	.	.	.	5.452037e-03	1	.
FKBP14	.	.	.	5.756265e-03	1	.
TKTL1	.	.	.	5.783363e-03	1	.
PPP1R14D	.	.	.	6.003871e-03	1	.
KLHDC3	.	.	.	6.608744e-03	1	.
CASD1	.	.	.	6.637476e-03	1	.
BUD31	.	.	.	6.670426e-03	1	.
RPS5	.	.	.	6.856981e-03	1	.
EVA1A	.	.	.	6.973560e-03	1	.
UBN1	.	.	.	7.480058e-03	1	.
KDM2A	.	.	.	7.607250e-03	1	.
TLR7	.	.	.	8.551162e-03	1	.
LDOC1L	.	.	.	9.003331e-03	1	.
ZNF217	.	.	.	9.309165e-03	1	.
ADSS	.	.	.	9.356534e-03	1	.
TREX1	.	.	.	9.531063e-03	1	.
CARD8	.	.	.	9.547100e-03	1	.
GPR68	.	.	.	9.736556e-03	1	.
EGR3	.	.	.	9.942545e-03	1	.
CNBP	.	.	.	9.963132e-03	1	.
UBE2F	.	.	.	1.000793e-02	1	.
STC1	.	.	.	1.009056e-02	1	.
ERCC1	.	.	.	1.019497e-02	1	.
TAS2R40	.	.	.	1.025776e-02	1	.
LAMA5	.	.	.	1.026349e-02	1	.
VPS72	.	.	.	1.039496e-02	1	.
ADCK2	.	.	.	1.042239e-02	1	.
SPINT2	.	.	.	1.055890e-02	1	.
GAL3ST2	.	.	.	1.069271e-02	1	.
RUFY3	.	.	.	1.081110e-02	1	.
ECD	.	.	.	1.085408e-02	1	.
VRK2	.	.	.	1.092498e-02	1	.
PAX8	.	.	.	1.099086e-02	1	.
LHX5	.	.	.	1.108221e-02	1	.
TAAR2	.	.	.	1.119846e-02	1	.
SLC35G6	.	.	.	1.135426e-02	1	.
CXCL6	.	.	.	1.135432e-02	1	.
C1orf56	.	.	.	1.141321e-02	1	.
TATDN1	.	.	.	1.151087e-02	1	.
SRCAP	.	.	.	1.153963e-02	1	.
EDDM3B	.	.	.	1.163227e-02	1	.
SIL1	.	.	.	1.177497e-02	1	.
PPP2R2A	.	.	.	1.186109e-02	1	.
NDRG3	.	.	.	1.201975e-02	1	.
FOLR3	.	.	.	1.206814e-02	1	.
HAUS6	.	.	.	1.247201e-02	1	.
HIST1H2AI	.	.	.	1.251517e-02	1	.
FBXO16	.	.	.	1.257995e-02	1	.
ALPI	.	.	.	1.259415e-02	1	.
RPH3AL	.	.	.	1.287757e-02	1	.
AIDA	.	.	.	1.313203e-02	1	.
BIN2	.	.	.	1.322325e-02	1	.
AZU1	.	.	.	1.324662e-02	1	.
NDST1	.	.	.	1.348063e-02	1	.
RBM48	.	.	.	1.372937e-02	1	.
TET1	.	.	.	1.392715e-02	1	.
HIST1H3H	.	.	.	1.421471e-02	1	.
GJA9	.	.	.	1.467234e-02	1	.
GSX2	.	.	.	1.484153e-02	1	.
HOXC4	.	.	.	1.505723e-02	1	.
UQCC1	.	.	.	1.522971e-02	1	.
RRAGD	.	.	.	1.531604e-02	1	.
EPS8	.	.	.	1.546505e-02	1	.
SHE	.	.	.	1.547756e-02	1	.
ELL3	.	.	.	1.608192e-02	1	.
DDHD1	.	.	.	1.650396e-02	1	.
ZNF277	.	.	.	1.654014e-02	1	.
