gene	transcript	protein_change	score	pvalue	qvalue	info
BRAF	.	.	.	1.000000e-16	6.059667e-13	.
NRAS	.	.	.	1.000000e-16	6.059667e-13	.
HRAS	.	.	.	1.000000e-16	6.059667e-13	.
EIF1AX	.	.	.	6.583623e-14	2.992092e-10	.
TG	.	.	.	1.139704e-09	4.143735e-06	.
PPM1D	.	.	.	7.426794e-06	2.170386e-02	.
AKT1	.	.	.	8.357282e-06	2.170386e-02	.
NUP93	.	.	.	1.687574e-04	3.834800e-01	.
KRAS	.	.	.	2.383564e-04	4.814534e-01	.
DNMT3A	.	.	.	2.775803e-04	5.046131e-01	.
FAM3C	.	.	.	5.018890e-04	8.294400e-01	.
SPTA1	.	.	.	5.921907e-04	8.971195e-01	.
IARS	.	.	.	6.848696e-04	9.577111e-01	.
KDM2A	.	.	.	7.925202e-04	1	.
PRSS53	.	.	.	1.878008e-03	1	.
GPRIN2	.	.	.	1.949931e-03	1	.
TCN2	.	.	.	2.463553e-03	1	.
OR56A1	.	.	.	2.683605e-03	1	.
DNASE2	.	.	.	2.923625e-03	1	.
ITGAL	.	.	.	2.956239e-03	1	.
DNAJC11	.	.	.	3.284112e-03	1	.
TP53	.	.	.	3.368062e-03	1	.
STC2	.	.	.	3.444240e-03	1	.
TECPR2	.	.	.	3.653434e-03	1	.
TBC1D7	.	.	.	4.114238e-03	1	.
MSI1	.	.	.	4.139790e-03	1	.
GIMAP6	.	.	.	4.204238e-03	1	.
RMND1	.	.	.	4.380744e-03	1	.
KDM2B	.	.	.	4.518922e-03	1	.
BACH1	.	.	.	4.663717e-03	1	.
COTL1	.	.	.	5.060328e-03	1	.
HTR3C	.	.	.	5.439425e-03	1	.
ATM	.	.	.	5.509468e-03	1	.
CD38	.	.	.	6.160997e-03	1	.
PPP2R1A	.	.	.	6.592047e-03	1	.
MRS2	.	.	.	6.818135e-03	1	.
KRT85	.	.	.	8.014602e-03	1	.
GLTSCR1L	.	.	.	8.521514e-03	1	.
MUC7	.	.	.	8.775683e-03	1	.
IL7R	.	.	.	8.916969e-03	1	.
SVIL	.	.	.	9.182317e-03	1	.
CST6	.	.	.	9.198940e-03	1	.
CYP11A1	.	.	.	9.282810e-03	1	.
SFI1	.	.	.	9.439798e-03	1	.
HSP90AA1	.	.	.	9.990552e-03	1	.
MEN1	.	.	.	1.018063e-02	1	.
ARID2	.	.	.	1.034053e-02	1	.
KIF4B	.	.	.	1.049487e-02	1	.
TRIP11	.	.	.	1.092502e-02	1	.
HIST2H2AC	.	.	.	1.122492e-02	1	.
MCMBP	.	.	.	1.125249e-02	1	.
NEK10	.	.	.	1.203720e-02	1	.
CTNNAL1	.	.	.	1.259920e-02	1	.
RPL36AL	.	.	.	1.324652e-02	1	.
CHEK2	.	.	.	1.372245e-02	1	.
PEX5	.	.	.	1.379365e-02	1	.
TCF7L1	.	.	.	1.381848e-02	1	.
DMTN	.	.	.	1.436107e-02	1	.
DGCR8	.	.	.	1.460240e-02	1	.
GNG5	.	.	.	1.474351e-02	1	.
RPL35A	.	.	.	1.474999e-02	1	.
EDDM3B	.	.	.	1.497660e-02	1	.
FBXL20	.	.	.	1.542286e-02	1	.
CNN2	.	.	.	1.542462e-02	1	.
H2AFX	.	.	.	1.565295e-02	1	.
CNR2	.	.	.	1.573543e-02	1	.
KRTAP10-12	.	.	.	1.579686e-02	1	.
C14orf182	.	.	.	1.604183e-02	1	.
PIK3CA	.	.	.	1.646685e-02	1	.
COMMD5	.	.	.	1.666270e-02	1	.
COL6A2	.	.	.	1.716746e-02	1	.
FANCG	.	.	.	1.724200e-02	1	.
TMEM145	.	.	.	1.728028e-02	1	.
STAB2	.	.	.	1.775911e-02	1	.
BDH1	.	.	.	1.776657e-02	1	.
ARAP3	.	.	.	1.812803e-02	1	.
KMT2C	.	.	.	1.840206e-02	1	.
ZFAND5	.	.	.	1.850841e-02	1	.
MSLNL	.	.	.	1.855716e-02	1	.
PRSS45	.	.	.	1.870308e-02	1	.
VCP	.	.	.	1.872528e-02	1	.
UGT2A1	.	.	.	1.876092e-02	1	.
