gene	transcript	protein_change	score	pvalue	qvalue	info
PTEN	.	.	.	1.000000e-16	1.202400e-13	.
PIK3CA	.	.	.	1.000000e-16	1.202400e-13	.
TP53	.	.	.	1.000000e-16	1.202400e-13	.
ARID1A	.	.	.	1.000000e-16	1.202400e-13	.
PIK3R1	.	.	.	1.000000e-16	1.202400e-13	.
CTNNB1	.	.	.	1.000000e-16	1.202400e-13	.
KRAS	.	.	.	1.000000e-16	1.202400e-13	.
CTCF	.	.	.	1.000000e-16	1.202400e-13	.
CHD4	.	.	.	1.000000e-16	1.202400e-13	.
FBXW7	.	.	.	1.000000e-16	1.202400e-13	.
PPP2R1A	.	.	.	1.000000e-16	1.202400e-13	.
FGFR2	.	.	.	1.000000e-16	1.202400e-13	.
RPL22	.	.	.	1.000000e-16	1.202400e-13	.
SPOP	.	.	.	1.000000e-16	1.202400e-13	.
CCND1	.	.	.	1.000000e-16	1.202400e-13	.
ARHGAP35	.	.	.	4.440892e-16	5.005996e-13	.
RNF43	.	.	.	1.887379e-15	2.002398e-12	.
ARID5B	.	.	.	2.242651e-14	2.247136e-11	.
INPPL1	.	.	.	6.413758e-13	6.088345e-10	.
FOXA2	.	.	.	7.700507e-13	6.944317e-10	.
CHD3	.	.	.	1.075140e-12	9.233916e-10	.
JAK1	.	.	.	6.007195e-12	4.924807e-09	.
DAZAP1	.	.	.	7.769452e-12	6.092601e-09	.
KMT2D	.	.	.	1.609043e-10	1.209196e-07	.
ACVR2A	.	.	.	1.723325e-10	1.243275e-07	.
LMAN1	.	.	.	2.765191e-10	1.918192e-07	.
KLF3	.	.	.	4.609053e-10	2.974163e-07	.
DYRK1A	.	.	.	4.617241e-10	2.974163e-07	.
BCOR	.	.	.	9.197495e-10	5.720208e-07	.
ZFHX3	.	.	.	1.250455e-09	7.283499e-07	.
KMT2B	.	.	.	1.251877e-09	7.283499e-07	.
AP1S1	.	.	.	2.070872e-09	1.167195e-06	.
TAF1	.	.	.	3.524004e-09	1.926028e-06	.
SCAF4	.	.	.	5.979114e-09	3.171744e-06	.
NRAS	.	.	.	1.017207e-08	5.241814e-06	.
NSD1	.	.	.	2.839603e-08	1.422641e-05	.
SOS1	.	.	.	4.368721e-08	2.129574e-05	.
TCERG1	.	.	.	6.388470e-08	3.032170e-05	.
ATP6V1B1	.	.	.	6.602903e-08	3.053589e-05	.
RB1	.	.	.	8.150558e-08	3.675087e-05	.
KANSL1	.	.	.	9.356488e-08	4.115942e-05	.
BCORL1	.	.	.	1.003395e-07	4.308863e-05	.
ESRP1	.	.	.	1.071996e-07	4.496398e-05	.
PAX6	.	.	.	1.190596e-07	4.880362e-05	.
CDC7	.	.	.	1.399421e-07	5.608878e-05	.
MBD6	.	.	.	1.687416e-07	6.616140e-05	.
PBRM1	.	.	.	2.025881e-07	7.774210e-05	.
NFE2L2	.	.	.	2.481330e-07	9.323598e-05	.
AKT1	.	.	.	3.177502e-07	1.169580e-04	.
SOX17	.	.	.	3.667567e-07	1.322965e-04	.
CAMSAP2	.	.	.	3.860801e-07	1.365361e-04	.
MSH3	.	.	.	1.112761e-06	3.859570e-04	.
CAMTA2	.	.	.	1.548717e-06	5.270312e-04	.
ERBB2	.	.	.	2.069411e-06	6.911832e-04	.
CLCN2	.	.	.	3.362604e-06	1.102690e-03	.
CD93	.	.	.	3.645278e-06	1.174040e-03	.
FHOD3	.	.	.	3.919216e-06	1.240123e-03	.
TEAD2	.	.	.	4.046687e-06	1.258380e-03	.
FAHD2B	.	.	.	4.209881e-06	1.286939e-03	.
PAX2	.	.	.	4.327332e-06	1.300796e-03	.
U2AF1	.	.	.	5.283300e-06	1.562125e-03	.
NIPBL	.	.	.	5.746030e-06	1.671539e-03	.
TTK	.	.	.	6.194126e-06	1.773290e-03	.
DOCK3	.	.	.	6.358728e-06	1.774744e-03	.
ADAM28	.	.	.	6.396004e-06	1.774744e-03	.
RRAS2	.	.	.	6.619297e-06	1.808873e-03	.
MVK	.	.	.	6.994568e-06	1.863673e-03	.
C9orf131	.	.	.	7.026489e-06	1.863673e-03	.
MRI1	.	.	.	7.426370e-06	1.941189e-03	.
ZNF609	.	.	.	7.926683e-06	2.042366e-03	.
BTBD11	.	.	.	8.345450e-06	2.119979e-03	.
SLC3A2	.	.	.	9.119951e-06	2.284548e-03	.
FAHD2A	.	.	.	9.377246e-06	2.316822e-03	.
USP13	.	.	.	9.745483e-06	2.375264e-03	.
TSC1	.	.	.	1.000769e-05	2.378035e-03	.
WDR5	.	.	.	1.002055e-05	2.378035e-03	.
DPAGT1	.	.	.	1.043340e-05	2.425471e-03	.
USP26	.	.	.	1.048939e-05	2.425471e-03	.
DNAH7	.	.	.	1.196715e-05	2.732146e-03	.
ERBB3	.	.	.	1.216831e-05	2.743345e-03	.
SVIL	.	.	.	1.232665e-05	2.744733e-03	.
AKAP7	.	.	.	1.274904e-05	2.804166e-03	.
MFRP	.	.	.	1.303622e-05	2.832787e-03	.
LCP2	.	.	.	1.405804e-05	3.018462e-03	.
HIAT1	.	.	.	1.469324e-05	3.087899e-03	.
POLR2A	.	.	.	1.472385e-05	3.087899e-03	.
ERRFI1	.	.	.	1.502883e-05	3.115632e-03	.
BRD1	.	.	.	1.638156e-05	3.357475e-03	.
CCAR1	.	.	.	1.811915e-05	3.638677e-03	.
ZMYM4	.	.	.	1.823616e-05	3.638677e-03	.
ARID4B	.	.	.	1.854037e-05	3.638677e-03	.
PPP2R5A	.	.	.	1.856056e-05	3.638677e-03	.
GRIK4	.	.	.	2.259904e-05	4.382755e-03	.
PPP1R36	.	.	.	2.392394e-05	4.590343e-03	.
AFG3L2	.	.	.	2.460962e-05	4.672201e-03	.
CDC25C	.	.	.	2.568850e-05	4.826227e-03	.
STAMBPL1	.	.	.	2.610053e-05	4.853084e-03	.
SKIV2L	.	.	.	2.670362e-05	4.914556e-03	.
