gene	transcript	protein_change	score	pvalue	qvalue	info
PTEN	.	.	.	0	0	.
PIK3CA	.	.	.	0	0	.
TP53	.	.	.	0	0	.
ARID1A	.	.	.	1.332268e-15	2.002398e-12	.
PIK3R1	.	.	.	0	0	.
CTNNB1	.	.	.	0	0	.
KRAS	.	.	.	0	0	.
CTCF	.	.	.	4.440892e-15	5.339729e-12	.
CHD4	.	.	.	0	0	.
FBXW7	.	.	.	0	0	.
PPP2R1A	.	.	.	0	0	.
FGFR2	.	.	.	0	0	.
RPL22	.	.	.	NaN	1	.
SPOP	.	.	.	0	0	.
CCND1	.	.	.	4.107825e-15	5.292053e-12	.
ARHGAP35	.	.	.	2.775558e-15	3.850766e-12	.
RNF43	.	.	.	5.033459e-10	4.778077e-07	.
ARID5B	.	.	.	3.232573e-10	3.239038e-07	.
INPPL1	.	.	.	4.146355e-07	2.876294e-04	.
FOXA2	.	.	.	1.164979e-11	1.235974e-08	.
CHD3	.	.	.	7.056620e-07	4.713822e-04	.
JAK1	.	.	.	3.495221e-06	1.969994e-03	.
DAZAP1	.	.	.	4.417301e-06	2.343248e-03	.
KMT2D	.	.	.	4.682855e-06	2.413142e-03	.
ACVR2A	.	.	.	3.809420e-06	2.082021e-03	.
LMAN1	.	.	.	1.146774e-04	4.596269e-02	.
KLF3	.	.	.	NaN	1	.
DYRK1A	.	.	.	1.387342e-08	1.137368e-05	.
BCOR	.	.	.	2.454703e-13	2.767064e-10	.
ZFHX3	.	.	.	3.029351e-05	1.365935e-02	.
KMT2B	.	.	.	1.526159e-08	1.196774e-05	.
AP1S1	.	.	.	NaN	1	.
TAF1	.	.	.	1.016879e-08	8.733535e-06	.
SCAF4	.	.	.	1.622487e-03	4.303407e-01	.
NRAS	.	.	.	3.283329e-05	1.444344e-02	.
NSD1	.	.	.	4.969106e-05	2.036882e-02	.
SOS1	.	.	.	2.538944e-07	1.831696e-04	.
TCERG1	.	.	.	9.716059e-04	2.872768e-01	.
ATP6V1B1	.	.	.	1.744057e-03	4.558813e-01	.
RB1	.	.	.	2.368879e-07	1.780213e-04	.
KANSL1	.	.	.	1.893868e-04	7.267617e-02	.
BCORL1	.	.	.	1.866676e-02	1	.
ESRP1	.	.	.	1.712643e-02	1	.
PAX6	.	.	.	1.319081e-03	3.604689e-01	.
CDC7	.	.	.	4.574442e-03	9.546046e-01	.
MBD6	.	.	.	NaN	1	.
PBRM1	.	.	.	5.305832e-06	2.658222e-03	.
NFE2L2	.	.	.	1.306889e-06	8.127949e-04	.
AKT1	.	.	.	8.485831e-10	7.652522e-07	.
SOX17	.	.	.	2.717874e-05	1.289989e-02	.
CAMSAP2	.	.	.	4.546860e-02	1	.
MSH3	.	.	.	NaN	1	.
CAMTA2	.	.	.	1.416487e-01	1	.
ERBB2	.	.	.	3.917603e-05	1.682331e-02	.
CLCN2	.	.	.	NaN	1	.
CD93	.	.	.	9.829158e-02	1	.
FHOD3	.	.	.	1.191566e-02	1	.
TEAD2	.	.	.	NaN	1	.
FAHD2B	.	.	.	6.359867e-02	1	.
PAX2	.	.	.	NaN	1	.
U2AF1	.	.	.	7.848733e-07	5.055705e-04	.
NIPBL	.	.	.	1.030745e-01	1	.
TTK	.	.	.	3.694087e-01	1	.
DOCK3	.	.	.	3.782923e-01	1	.
ADAM28	.	.	.	NaN	1	.
RRAS2	.	.	.	2.935204e-05	1.357419e-02	.
MVK	.	.	.	NaN	1	.
C9orf131	.	.	.	1.016711e-01	1	.
MRI1	.	.	.	NaN	1	.
ZNF609	.	.	.	NaN	1	.
BTBD11	.	.	.	5.081942e-04	1.666507e-01	.
SLC3A2	.	.	.	NaN	1	.
FAHD2A	.	.	.	NaN	1	.
USP13	.	.	.	1.559557e-02	1	.
TSC1	.	.	.	NaN	1	.
WDR5	.	.	.	NaN	1	.
DPAGT1	.	.	.	NaN	1	.
USP26	.	.	.	2.348999e-01	1	.
DNAH7	.	.	.	3.681627e-01	1	.
ERBB3	.	.	.	3.331802e-03	7.742370e-01	.
SVIL	.	.	.	5.395371e-01	1	.
AKAP7	.	.	.	4.344166e-01	1	.
MFRP	.	.	.	4.226405e-02	1	.
LCP2	.	.	.	NaN	1	.
HIAT1	.	.	.	NaN	1	.
POLR2A	.	.	.	4.765717e-05	1.998941e-02	.
ERRFI1	.	.	.	6.805155e-04	2.116169e-01	.
BRD1	.	.	.	1.195391e-01	1	.
CCAR1	.	.	.	2.110500e-01	1	.
ZMYM4	.	.	.	NaN	1	.
ARID4B	.	.	.	3.802832e-03	8.573484e-01	.
PPP2R5A	.	.	.	5.495467e-02	1	.
GRIK4	.	.	.	3.512197e-01	1	.
PPP1R36	.	.	.	NaN	1	.
AFG3L2	.	.	.	NaN	1	.
CDC25C	.	.	.	4.304804e-02	1	.
STAMBPL1	.	.	.	NaN	1	.
SKIV2L	.	.	.	NaN	1	.
KIDINS220	.	.	.	4.496317e-04	1.559530e-01	.
ELMSAN1	.	.	.	NaN	1	.
PSME4	.	.	.	6.253563e-02	1	.
CR2	.	.	.	1.405620e-02	1	.
RBM27	.	.	.	5.788601e-01	1	.
ZBTB20	.	.	.	NaN	1	.
UTP20	.	.	.	6.021495e-01	1	.
MPRIP	.	.	.	NaN	1	.
RBM39	.	.	.	2.219562e-02	1	.
DICER1	.	.	.	3.369057e-06	1.960139e-03	.
DDX26B	.	.	.	5.024118e-01	1	.
TBCK	.	.	.	NaN	1	.
MKI67	.	.	.	1.584286e-01	1	.
PLXNB2	.	.	.	8.669131e-04	2.650109e-01	.
ZKSCAN1	.	.	.	NaN	1	.
GAS2L2	.	.	.	NaN	1	.
ILK	.	.	.	NaN	1	.
IGSF9	.	.	.	2.015044e-02	1	.
GLI1	.	.	.	NaN	1	.
MYC	.	.	.	3.894158e-04	1.404701e-01	.
ADAMTSL4	.	.	.	7.210414e-02	1	.
ZFP37	.	.	.	5.147819e-01	1	.
KIAA1024	.	.	.	9.524544e-01	1	.
C11orf57	.	.	.	NaN	1	.
CD4	.	.	.	2.368879e-01	1	.
FUBP3	.	.	.	NaN	1	.
ZBTB7B	.	.	.	4.866836e-04	1.635570e-01	.
DOCK8	.	.	.	5.639666e-01	1	.
ATRIP	.	.	.	NaN	1	.
KRT17	.	.	.	NaN	1	.
SMTN	.	.	.	7.260535e-03	1	.
PRRG1	.	.	.	NaN	1	.
WDR47	.	.	.	3.973664e-03	8.740122e-01	.
ZMYM2	.	.	.	1.875413e-02	1	.
TTC3	.	.	.	1.362949e-01	1	.
METTL14	.	.	.	1.744715e-02	1	.
KIF11	.	.	.	1.299139e-01	1	.
RNF6	.	.	.	NaN	1	.
ATF7IP	.	.	.	7.897853e-02	1	.
GRM8	.	.	.	NaN	1	.
KCNB2	.	.	.	7.560293e-02	1	.
C5orf42	.	.	.	7.426190e-01	1	.
IDE	.	.	.	NaN	1	.
DDX17	.	.	.	NaN	1	.
UPF3B	.	.	.	3.232998e-04	1.190007e-01	.
APPL1	.	.	.	NaN	1	.
CNTLN	.	.	.	9.782507e-01	1	.
CLMN	.	.	.	1.261355e-04	4.945610e-02	.
C1orf168	.	.	.	2.411282e-01	1	.
FAT1	.	.	.	6.607641e-04	2.090797e-01	.
