gene	transcript	protein_change	score	pvalue	qvalue	info
GNAQ	.	.	.	1.000000e-16	4.544750e-13	.
GNA11	.	.	.	1.000000e-16	4.544750e-13	.
SF3B1	.	.	.	1.000000e-16	4.544750e-13	.
EIF1AX	.	.	.	1.000000e-16	4.544750e-13	.
BAP1	.	.	.	5.995204e-15	2.179736e-11	.
CYSLTR2	.	.	.	1.467223e-07	4.445441e-04	.
SRSF2	.	.	.	7.194336e-07	1.868369e-03	.
TMEM39A	.	.	.	4.399005e-04	9.502171e-01	.
IL24	.	.	.	4.704304e-04	9.502171e-01	.
SELE	.	.	.	6.291938e-04	1	.
WISP1	.	.	.	6.912221e-04	1	.
GMEB2	.	.	.	8.732287e-04	1	.
P2RX3	.	.	.	1.124631e-03	1	.
RPL11	.	.	.	1.554816e-03	1	.
PPP1R15A	.	.	.	1.666726e-03	1	.
HHEX	.	.	.	1.904439e-03	1	.
PLCB4	.	.	.	1.975225e-03	1	.
MSS51	.	.	.	1.996686e-03	1	.
DSTN	.	.	.	2.025845e-03	1	.
NACA2	.	.	.	2.034037e-03	1	.
GNB1	.	.	.	2.261973e-03	1	.
KRT32	.	.	.	2.412830e-03	1	.
PAGR1	.	.	.	2.921063e-03	1	.
SKA3	.	.	.	2.968748e-03	1	.
SLC13A5	.	.	.	3.013128e-03	1	.
UAP1L1	.	.	.	3.250173e-03	1	.
TPCN1	.	.	.	3.346492e-03	1	.
ALKBH7	.	.	.	3.400101e-03	1	.
C15orf60	.	.	.	3.529121e-03	1	.
CBX5	.	.	.	3.776028e-03	1	.
EIF1B	.	.	.	3.819733e-03	1	.
ARHGDIA	.	.	.	3.904504e-03	1	.
WDR34	.	.	.	3.974760e-03	1	.
CYC1	.	.	.	3.979284e-03	1	.
DNAJB6	.	.	.	4.237394e-03	1	.
EWSR1	.	.	.	4.328584e-03	1	.
DAK	.	.	.	4.744818e-03	1	.
TLDC1	.	.	.	4.841573e-03	1	.
SF3A2	.	.	.	5.061983e-03	1	.
SELRC1	.	.	.	5.109232e-03	1	.
CPVL	.	.	.	5.172790e-03	1	.
RPL36AL	.	.	.	5.217049e-03	1	.
TMEM35	.	.	.	5.251068e-03	1	.
PPARA	.	.	.	5.717964e-03	1	.
COL14A1	.	.	.	5.931121e-03	1	.
PPP2R5D	.	.	.	6.005366e-03	1	.
PLCB2	.	.	.	6.154884e-03	1	.
RPP38	.	.	.	6.394928e-03	1	.
MCRS1	.	.	.	6.609409e-03	1	.
SRSF7	.	.	.	6.794345e-03	1	.
IRAK3	.	.	.	6.858318e-03	1	.
C20orf96	.	.	.	7.077741e-03	1	.
DCPS	.	.	.	7.178622e-03	1	.
SERTM1	.	.	.	7.256461e-03	1	.
TIMM50	.	.	.	7.325745e-03	1	.
NDUFAF6	.	.	.	7.382467e-03	1	.
ZNF473	.	.	.	7.479098e-03	1	.
LSM1	.	.	.	7.499778e-03	1	.
SLC39A7	.	.	.	8.016094e-03	1	.
MGAT4B	.	.	.	8.087317e-03	1	.
HR	.	.	.	8.144085e-03	1	.
PCGF6	.	.	.	8.260957e-03	1	.
ZSWIM1	.	.	.	8.599385e-03	1	.
DIP2A	.	.	.	8.704330e-03	1	.
PAXBP1	.	.	.	8.723958e-03	1	.
NFE2L2	.	.	.	8.743224e-03	1	.
TYRP1	.	.	.	8.942487e-03	1	.
NMRK2	.	.	.	8.993311e-03	1	.
C12orf71	.	.	.	9.088968e-03	1	.
ZNF446	.	.	.	9.149323e-03	1	.
CNPY2	.	.	.	9.409447e-03	1	.
ITGA4	.	.	.	9.446791e-03	1	.
C7orf55	.	.	.	9.670416e-03	1	.
TBX6	.	.	.	9.793229e-03	1	.
RENBP	.	.	.	9.837906e-03	1	.
MRAS	.	.	.	9.971769e-03	1	.
APEH	.	.	.	1.010993e-02	1	.
TCF19	.	.	.	1.034789e-02	1	.
RTDR1	.	.	.	1.064533e-02	1	.
GSTA4	.	.	.	1.079575e-02	1	.
VPREB3	.	.	.	1.089192e-02	1	.
TWF2	.	.	.	1.092060e-02	1	.
CLEC3B	.	.	.	1.124417e-02	1	.
MCEE	.	.	.	1.184292e-02	1	.
RAI14	.	.	.	1.226733e-02	1	.
ZSCAN16	.	.	.	1.234080e-02	1	.
ABHD2	.	.	.	1.241612e-02	1	.
M1AP	.	.	.	1.315506e-02	1	.
RAB38	.	.	.	1.323317e-02	1	.
ABHD8	.	.	.	1.345098e-02	1	.
ACTB	.	.	.	1.355919e-02	1	.
NREP	.	.	.	1.361506e-02	1	.
GAL3ST4	.	.	.	1.363560e-02	1	.
