gene	transcript	protein_change	score	pvalue	qvalue	info
KMT2C	ENST00000262189	.	.	1e-09	2.9433333333333337e-06	SAMPLES=47;SNV=51;INDEL=4;STRATIFIED_FDR=9.066666666666667e-08
KMT2D	ENST00000301067	.	.	1e-09	2.9433333333333337e-06	SAMPLES=36;SNV=54;INDEL=0;STRATIFIED_FDR=9.066666666666667e-08
PIK3CA	ENST00000263967	.	.	1e-09	2.9433333333333337e-06	SAMPLES=73;SNV=85;INDEL=0;STRATIFIED_FDR=9.066666666666667e-08
PTEN	ENST00000371953	.	.	1.4e-08	3.0905e-05	SAMPLES=14;SNV=18;INDEL=1;STRATIFIED_FDR=9.52e-07
EP300	ENST00000263253	.	.	2.2999999999999998e-08	4.0618e-05	SAMPLES=29;SNV=32;INDEL=1;STRATIFIED_FDR=1.2511999999999998e-06
FBXW7	ENST00000281708	.	.	3e-08	4.415e-05	SAMPLES=29;SNV=30;INDEL=0;STRATIFIED_FDR=1.36e-06
ARID1A	ENST00000324856	.	.	1.2e-05	0.013244999999999998	SAMPLES=11;SNV=12;INDEL=1;STRATIFIED_FDR=0.00046628571428571433
RB1	ENST00000267163	.	.	2.9999999999999997e-05	0.029433333333333325	SAMPLES=11;SNV=11;INDEL=2;STRATIFIED_FDR=0.0010199999999999999
TP53	ENST00000269305	.	.	8e-05	0.04709333333333333	SAMPLES=19;SNV=18;INDEL=1;STRATIFIED_FDR=0.002417777777777778
NOTCH1	ENST00000277541	.	.	0.00042	0.18080476190476188	SAMPLES=17;SNV=17;INDEL=3;STRATIFIED_FDR=0.011424
NFE2L2	ENST00000397062	.	.	0.0007599999999999999	0.2581076923076923	SAMPLES=13;SNV=13;INDEL=1;STRATIFIED_FDR=0.01879272727272727
MED12	ENST00000374080	.	.	0.00203	0.42678333333333335	SAMPLES=13;SNV=13;INDEL=0;STRATIFIED_FDR=0.04601333333333333
CIC	ENST00000575354	.	.	0.00569	0.7100791666666666	SAMPLES=8;SNV=9;INDEL=1;STRATIFIED_FDR=0.1190523076923077
CBLC	ENST00000270279	.	.	0.00882	0.8086421052631578	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.170816
BRCA1	ENST00000471181	.	.	0.00942	0.8086421052631578	SAMPLES=10;SNV=9;INDEL=1;STRATIFIED_FDR=0.170816
PMS1	ENST00000441310	.	.	0.0117	0.8304095588235293	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.19890000000000002
KRAS	ENST00000256078	.	.	0.01265	0.8304095588235293	SAMPLES=16;SNV=16;INDEL=0;STRATIFIED_FDR=0.2024
STK11	ENST00000326873	.	.	0.016059999999999998	0.8646939024390244	SAMPLES=12;SNV=15;INDEL=3;STRATIFIED_FDR=0.23206545454545452
RBM15	ENST00000369784	.	.	0.01729	0.86534	SAMPLES=3;SNV=3;INDEL=1;STRATIFIED_FDR=0.23206545454545452
GNAS	ENST00000371100	.	.	0.01815	0.86534	SAMPLES=8;SNV=8;INDEL=0;STRATIFIED_FDR=0.23206545454545452
CCND1	ENST00000227507	.	.	0.018359999999999998	0.86534	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.23206545454545452
MLH1	ENST00000231790	.	.	0.01877	0.86534	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.23206545454545452
PML	ENST00000268058	.	.	0.020669999999999997	0.86534	SAMPLES=7;SNV=7;INDEL=0;STRATIFIED_FDR=0.24444521739130431
GOLGA5	ENST00000163416	.	.	0.02399	0.86534	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.27188666666666667
NF2	ENST00000338641	.	.	0.025639999999999996	0.8747302114803626	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.2789631999999999
FNBP1	ENST00000446176	.	.	0.02961	0.8747302114803626	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.3078457142857143
AKT1	ENST00000554581	.	.	0.031219999999999998	0.8747302114803626	SAMPLES=6;SNV=6;INDEL=0;STRATIFIED_FDR=0.3078457142857143
CASP8	ENST00000358485	.	.	0.031689999999999996	0.8747302114803626	SAMPLES=12;SNV=13;INDEL=1;STRATIFIED_FDR=0.3078457142857143
ERBB2	ENST00000269571	.	.	0.03451	0.8873636627906976	SAMPLES=14;SNV=17;INDEL=0;STRATIFIED_FDR=0.32368
PIK3R1	ENST00000521381	.	.	0.03885	0.913287598944591	SAMPLES=4;SNV=3;INDEL=2;STRATIFIED_FDR=0.35070451612903225
EIF4A2	ENST00000323963	.	.	0.03997	0.9167145454545452	SAMPLES=3;SNV=2;INDEL=1;STRATIFIED_FDR=0.35070451612903225
RPL10	ENST00000424325	.	.	0.04236	0.9309466830466829	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.36006000000000005
MN1	ENST00000302326	.	.	0.04605	0.9310919642857144	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.3795636363636364
MLLT10	ENST00000307729	.	.	0.04898	0.9402030434782608	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.3842755555555556
CDK12	ENST00000447079	.	.	0.050730000000000004	0.9417507874015748	SAMPLES=16;SNV=17;INDEL=0;STRATIFIED_FDR=0.3842755555555556
GMPS	ENST00000496455	.	.	0.05086	0.9417507874015748	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.3842755555555556
ATRX	ENST00000373344	.	.	0.05621	0.941757249070632	SAMPLES=11;SNV=10;INDEL=1;STRATIFIED_FDR=0.41321945945945954
RUNX1	ENST00000300305	.	.	0.060529999999999994	0.9533908289241622	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.43326736842105257
ZNF384	ENST00000396801	.	.	0.06982999999999999	0.9614779755283648	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.4870194871794871
ARID2	ENST00000334344	.	.	0.07455	0.9614779755283648	SAMPLES=5;SNV=6;INDEL=0;STRATIFIED_FDR=0.5069400000000001
ACSL3	ENST00000357430	.	.	0.08048999999999999	0.9614779755283648	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.5339824390243902
MAP2K1	ENST00000307102	.	.	0.08616	0.9614779755283648	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.5420218181818182
ABL1	ENST00000372348	.	.	0.08623	0.9614779755283648	SAMPLES=5;SNV=4;INDEL=1;STRATIFIED_FDR=0.5420218181818182
MSH2	ENST00000233146	.	.	0.08768	0.9614779755283648	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.5420218181818182
HOXC13	ENST00000243056	.	.	0.09729	0.9614779755283648	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.5847408695652173
BRCA2	ENST00000544455	.	.	0.09888999999999999	0.9640958103638371	SAMPLES=10;SNV=11;INDEL=0;STRATIFIED_FDR=0.5847408695652173
BAP1	ENST00000460680	.	.	0.10525999999999999	0.9733298850574712	SAMPLES=9;SNV=9;INDEL=0;STRATIFIED_FDR=0.6039533333333332
FBXO11	ENST00000403359	.	.	0.10658	0.9747734989648033	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6039533333333332
MAF	ENST00000326043	.	.	0.11427000000000001	0.9869939453125	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6172347169811321
SOX2	ENST00000325404	.	.	0.11621	0.9911589768339768	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6172347169811321
CDX2	ENST00000381020	.	.	0.11778	0.9957210689869485	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6172347169811321
NUMA1	ENST00000393695	.	.	0.11922	0.9957210689869485	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.6172347169811321
SLC45A3	ENST00000367145	.	.	0.12027	0.9957210689869485	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.6172347169811321
FOXL2	ENST00000330315	.	.	0.13168	0.9957210689869485	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6574981818181819
MYH9	ENST00000216181	.	.	0.13295	0.9957210689869485	SAMPLES=9;SNV=9;INDEL=3;STRATIFIED_FDR=0.6574981818181819
LRIG3	ENST00000320743	.	.	0.13821	0.9957210689869485	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.660631724137931
KDM5A	ENST00000399788	.	.	0.14065	0.9957210689869485	SAMPLES=7;SNV=7;INDEL=0;STRATIFIED_FDR=0.660631724137931
BCL9	ENST00000234739	.	.	0.14087	0.9957210689869485	SAMPLES=5;SNV=5;INDEL=0;STRATIFIED_FDR=0.660631724137931
SRSF2	ENST00000392485	.	.	0.15486	0.9957210689869485	SAMPLES=2;SNV=3;INDEL=0;STRATIFIED_FDR=0.70872
NONO	ENST00000276079	.	.	0.16526	0.9957210689869485	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.70872
KDR	ENST00000263923	.	.	0.16810999999999998	0.9957210689869485	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.70872
HOXD13	ENST00000392539	.	.	0.17013	0.9957210689869485	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.70872
ATP2B3	ENST00000263519	.	.	0.17032	0.9957210689869485	SAMPLES=9;SNV=9;INDEL=0;STRATIFIED_FDR=0.70872
CAMTA1	ENST00000303635	.	.	0.17062	0.9957210689869485	SAMPLES=9;SNV=9;INDEL=0;STRATIFIED_FDR=0.70872
SMARCB1	ENST00000263121	.	.	0.17079	0.9957210689869485	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.70872
HEY1	ENST00000337919	.	.	0.1741	0.9957210689869485	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.70872
CBFA2T3	ENST00000268679	.	.	0.17608	0.9957210689869485	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.70872
MPL	ENST00000372470	.	.	0.17718	0.9957210689869485	SAMPLES=5;SNV=5;INDEL=0;STRATIFIED_FDR=0.70872
PCM1	ENST00000325083	.	.	0.18134	0.9957210689869485	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.7148475362318841
PRF1	ENST00000441259	.	.	0.18457	0.998506528370958	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7171862857142859
TCF12	ENST00000438423	.	.	0.18855	1.0	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7173244444444444
MKL1	ENST00000355630	.	.	0.18988	1.0	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7173244444444444
BRIP1	ENST00000259008	.	.	0.19268	1.0	SAMPLES=6;SNV=6;INDEL=0;STRATIFIED_FDR=0.7179309589041096
ERCC4	ENST00000311895	.	.	0.19610999999999998	1.0	SAMPLES=5;SNV=5;INDEL=0;STRATIFIED_FDR=0.7208367567567567
SMARCA4	ENST00000429416	.	.	0.20108	1.0	SAMPLES=10;SNV=11;INDEL=0;STRATIFIED_FDR=0.7292501333333333
JAK1	ENST00000342505	.	.	0.21536999999999998	1.0	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7653090909090909
ETV1	ENST00000430479	.	.	0.21665	1.0	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.7653090909090909
ECT2L	ENST00000423192	.	.	0.22033000000000003	1.0	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.7683302564102565
CNOT3	ENST00000406403	.	.	0.23586999999999997	1.0	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.8104579999999999
ELK4	ENST00000357992	.	.	0.23836999999999997	1.0	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.8104579999999999
SUFU	ENST00000369902	.	.	0.2416	1.0	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.8112987654320988
NTRK3	ENST00000360948	.	.	0.26050999999999996	1.0	SAMPLES=7;SNV=7;INDEL=0;STRATIFIED_FDR=0.8214128
ATM	ENST00000278616	.	.	0.26178	1.0	SAMPLES=7;SNV=6;INDEL=1;STRATIFIED_FDR=0.8214128
CTNNB1	ENST00000349496	.	.	0.26466999999999996	1.0	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8214128
SF3B1	ENST00000335508	.	.	0.26627	1.0	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8214128
TRIM33	ENST00000358465	.	.	0.26749	1.0	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8214128
KTN1	ENST00000395314	.	.	0.27471999999999996	1.0	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.8214128
USP6	ENST00000574788	.	.	0.27753	1.0	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.8214128
TSC1	ENST00000298552	.	.	0.27865	1.0	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.8214128
PBRM1	ENST00000394830	.	.	0.28315999999999997	1.0	SAMPLES=9;SNV=10;INDEL=0;STRATIFIED_FDR=0.8214128
TET2	ENST00000540549	.	.	0.28512	1.0	SAMPLES=4;SNV=6;INDEL=0;STRATIFIED_FDR=0.8214128
EXT1	ENST00000378204	.	.	0.28568000000000005	1.0	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8214128
JAK2	ENST00000381652	.	.	0.28911	1.0	SAMPLES=5;SNV=6;INDEL=0;STRATIFIED_FDR=0.8214128
