gene	transcript	protein_change	score	pvalue	qvalue	info
KMT2D	ENST00000301067	.	.	2.6e-07	0.00022906	SAMPLES=13;SNV=11;INDEL=3;STRATIFIED_FDR=1.4560000000000001e-05
NOTCH2	ENST00000256646	.	.	0.0011	0.13844285714285715	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.030800000000000004
PRDM1	ENST00000369096	.	.	0.00584	0.3430026666666667	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.10901333333333334
ARID1A	ENST00000324856	.	.	0.01015	0.4967861111111111	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.12642
TNFAIP3	ENST00000237289	.	.	0.01242	0.5210485714285714	SAMPLES=5;SNV=3;INDEL=3;STRATIFIED_FDR=0.12642
FANCD2	ENST00000287647	.	.	0.013869999999999999	0.5312813043478262	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.12642
BCL10	ENST00000370580	.	.	0.0175	0.5892911111111111	SAMPLES=2;SNV=4;INDEL=0;STRATIFIED_FDR=0.12642
P2RY8	ENST00000381297	.	.	0.01806	0.5892911111111111	SAMPLES=6;SNV=8;INDEL=0;STRATIFIED_FDR=0.12642
CNOT3	ENST00000406403	.	.	0.032560000000000006	0.6591481818181818	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.20031199999999996
XPO1	ENST00000401558	.	.	0.035769999999999996	0.6850732608695653	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.20031199999999996
TP53	ENST00000269305	.	.	0.05038	0.7254371232876712	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.25648
CIITA	ENST00000324288	.	.	0.05934	0.7254371232876712	SAMPLES=4;SNV=3;INDEL=2;STRATIFIED_FDR=0.27692
MSN	ENST00000360270	.	.	0.07038	0.7654911111111111	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.3031753846153846
TET2	ENST00000540549	.	.	0.1053	0.8066895652173913	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.35394239999999993
RAF1	ENST00000251849	.	.	0.10805999999999999	0.81052	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.35394239999999993
CREBBP	ENST00000262367	.	.	0.12207	0.8388013768115943	SAMPLES=5;SNV=4;INDEL=1;STRATIFIED_FDR=0.35394239999999993
IRF4	ENST00000380956	.	.	0.12786	0.8388013768115943	SAMPLES=6;SNV=11;INDEL=0;STRATIFIED_FDR=0.35394239999999993
BCL11A	ENST00000335712	.	.	0.13124	0.8388013768115943	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.35394239999999993
NF1	ENST00000358273	.	.	0.13139	0.8388013768115943	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.35394239999999993
BCOR	ENST00000378444	.	.	0.14461	0.8686992452830189	SAMPLES=3;SNV=2;INDEL=1;STRATIFIED_FDR=0.35394239999999993
MED12	ENST00000374080	.	.	0.14605	0.8686992452830189	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.35394239999999993
KMT2A	ENST00000534358	.	.	0.14811	0.8686992452830189	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.35394239999999993
BCL11B	ENST00000357195	.	.	0.14918	0.8686992452830189	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.35394239999999993
ETV6	ENST00000396373	.	.	0.15496	0.8686992452830189	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.35394239999999993
MYD88	ENST00000417037	.	.	0.15800999999999998	0.8700425625000001	SAMPLES=7;SNV=7;INDEL=0;STRATIFIED_FDR=0.35394239999999993
SOCS1	ENST00000332029	.	.	0.21402	0.9091677522935779	SAMPLES=7;SNV=15;INDEL=2;STRATIFIED_FDR=0.4428
CARD11	ENST00000396946	.	.	0.21793	0.9091677522935779	SAMPLES=8;SNV=9;INDEL=0;STRATIFIED_FDR=0.4428
KRAS	ENST00000256078	.	.	0.2214	0.9091677522935779	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.4428
BRCA1	ENST00000471181	.	.	0.25059000000000003	0.9253697177419355	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.4838979310344828
BCL7A	ENST00000538010	.	.	0.27655	0.9266694852941176	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.5162266666666667
NFKB2	ENST00000369966	.	.	0.32142	0.9308229344729344	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.572334
MYH11	ENST00000396324	.	.	0.34602	0.9308229344729344	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.572334
CD79B	ENST00000392795	.	.	0.35006	0.9308229344729344	SAMPLES=5;SNV=6;INDEL=1;STRATIFIED_FDR=0.572334
HOXC13	ENST00000243056	.	.	0.37438	0.9342084180790959	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.572334
KMT2C	ENST00000262189	.	.	0.37538	0.9342084180790959	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.572334
BTG1	ENST00000256015	.	.	0.39279000000000003	0.9405153804347826	SAMPLES=9;SNV=11;INDEL=1;STRATIFIED_FDR=0.572334
STAT3	ENST00000264657	.	.	0.39421999999999996	0.9412136043360434	SAMPLES=6;SNV=6;INDEL=1;STRATIFIED_FDR=0.572334
KDR	ENST00000263923	.	.	0.40395	0.9439615183246074	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.572334
ROS1	ENST00000368508	.	.	0.4048	0.9439615183246074	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.572334
PHOX2B	ENST00000226382	.	.	0.40881	0.9439615183246074	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.572334
SDHC	ENST00000367975	.	.	0.5828800000000001	0.9515847251114412	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7573618181818181
PDE4DIP	ENST00000369345	.	.	0.59383	0.9515847251114412	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7573618181818181
CD79A	ENST00000221972	.	.	0.59409	0.9515847251114412	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7573618181818181
TNFRSF14	ENST00000355716	.	.	0.59507	0.9515847251114412	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7573618181818181
ERCC5	ENST00000355739	.	.	0.67683	0.9515847251114412	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8167366666666668
KIAA1549	ENST00000422774	.	.	0.68688	0.9515847251114412	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8167366666666668
CDH11	ENST00000268603	.	.	0.69197	0.9515847251114412	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8167366666666668
CCND2	ENST00000261254	.	.	0.70006	0.9515847251114412	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8167366666666668
TPR	ENST00000367478	.	.	0.72136	0.9515847251114412	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8244114285714286
MITF	ENST00000352241	.	.	0.7622399999999999	0.9607059227467812	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8537087999999998
GPHN	ENST00000478722	.	.	0.86301	0.9788599871630296	SAMPLES=2;SNV=3;INDEL=0;STRATIFIED_FDR=0.9476188235294118
BCR	ENST00000305877	.	.	0.91489	0.9867631334149328	SAMPLES=3;SNV=5;INDEL=0;STRATIFIED_FDR=0.9770415094339623
PIM1	ENST00000373509	.	.	0.9247	0.9912052855407048	SAMPLES=10;SNV=61;INDEL=0;STRATIFIED_FDR=0.9770415094339623
MYC	ENST00000377970	.	.	0.94321	0.9945353225806453	SAMPLES=5;SNV=13;INDEL=0;STRATIFIED_FDR=0.9781437037037036
ATM	ENST00000278616	.	.	0.96972	0.9945353225806453	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9873512727272729
U2AF1	ENST00000291552	.	.	0.9929100000000001	0.9979610376282784	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9929100000000001
CD274	ENST00000381577	.	.	0.00057		SAMPLES=1;SNV=2;INDEL=0;STRATIFIED_FDR=nan
PDE4DIP	ENST00000369356	.	.	0.00246		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ETV5	ENST00000306376	.	.	0.00533		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MLLT6	ENST00000325718	.	.	0.017580000000000002		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
HOXC11	ENST00000546378	.	.	0.01877		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
BCL3	ENST00000164227	.	.	0.02018		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ATRX	ENST00000373344	.	.	0.0231		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CBLB	ENST00000264122	.	.	0.02329		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PTEN	ENST00000371953	.	.	0.036989999999999995		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ARID2	ENST00000334344	.	.	0.03708		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
SEPT6	ENST00000343984	.	.	0.0652		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CHEK2	ENST00000382580	.	.	0.06816		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
KTN1	ENST00000395314	.	.	0.08647		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
GPC3	ENST00000394299	.	.	0.0955		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ASXL1	ENST00000375687	.	.	0.09725		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
JAK3	ENST00000458235	.	.	0.10475999999999999		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MET	ENST00000318493	.	.	0.11575		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KLF4	ENST00000374672	.	.	0.13480999999999999		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
HOXA9	ENST00000343483	.	.	0.14404		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
EXT1	ENST00000378204	.	.	0.15622		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PALB2	ENST00000261584	.	.	0.17293		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
SMARCA4	ENST00000429416	.	.	0.17495		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
EP300	ENST00000263253	.	.	0.17645999999999998		SAMPLES=1;SNV=2;INDEL=0;STRATIFIED_FDR=nan
EBF1	ENST00000313708	.	.	0.17704		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
