gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	.	6e-07	8.82e-05	SAMPLES=16;SNV=20;INDEL=1;STRATIFIED_FDR=3.6e-06
TSC1	ENST00000298552	.	.	0.0075	0.26165999999999995	SAMPLES=2;SNV=0;INDEL=2;STRATIFIED_FDR=0.01722
PTEN	ENST00000371953	.	.	0.00861	0.26165999999999995	SAMPLES=4;SNV=3;INDEL=1;STRATIFIED_FDR=0.01722
TSC2	ENST00000219476	.	.	0.06362999999999999	0.536305	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.09544499999999999
ZNF521	ENST00000361524	.	.	0.25096999999999997	0.8185548	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.30116399999999993
KMT2D	ENST00000301067	.	.	0.54059	0.8707992391304347	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.54059
SETD2	ENST00000409792	.	.	0.0025		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
FANCD2	ENST00000287647	.	.	0.05405		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
RBM15	ENST00000369784	.	.	0.08565		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
RB1	ENST00000267163	.	.	0.09137		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
LCK	ENST00000336890	.	.	0.12229000000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KDM5C	ENST00000375401	.	.	0.12555999999999998		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ERCC4	ENST00000311895	.	.	0.15328		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
NUP214	ENST00000359428	.	.	0.19460999999999998		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
WAS	ENST00000376701	.	.	0.20699		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ABL1	ENST00000372348	.	.	0.2461		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CBLB	ENST00000264122	.	.	0.25794		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
NRAS	ENST00000369535	.	.	0.26448		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
SMARCB1	ENST00000263121	.	.	0.27194		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
HOXA9	ENST00000343483	.	.	0.30641999999999997		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PRDM16	ENST00000270722	.	.	0.31495		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ATM	ENST00000278616	.	.	0.32588		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PBRM1	ENST00000394830	.	.	0.33225		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TRRAP	ENST00000359863	.	.	0.35925		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
NOTCH1	ENST00000277541	.	.	0.4079		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
SRSF2	ENST00000392485	.	.	0.40835		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ERG	ENST00000417133	.	.	0.43095		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CYLD	ENST00000427738	.	.	0.48453999999999997		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KDM5A	ENST00000399788	.	.	0.5040899999999999		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
RANBP17	ENST00000523189	.	.	0.54156		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
VHL	ENST00000256474	.	.	0.5503		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
RNF43	ENST00000584437	.	.	0.55915		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TAL1	ENST00000294339	.	.	0.56526		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CLTCL1	ENST00000263200	.	.	0.5677800000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
COL1A1	ENST00000225964	.	.	0.58073		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KIF5B	ENST00000302418	.	.	0.60435		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TRIP11	ENST00000267622	.	.	0.6128		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ECT2L	ENST00000423192	.	.	0.6156		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
GATA1	ENST00000376670	.	.	0.63139		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KMT2C	ENST00000262189	.	.	0.63557		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
DICER1	ENST00000526495	.	.	0.66843		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
NOTCH2	ENST00000256646	.	.	0.68605		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MN1	ENST00000302326	.	.	0.68758		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
IKZF1	ENST00000439701	.	.	0.7077100000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ALK	ENST00000389048	.	.	0.7469899999999999		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
EBF1	ENST00000313708	.	.	0.7642100000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MYH9	ENST00000216181	.	.	0.77061		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CDH11	ENST00000268603	.	.	0.79787		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TPR	ENST00000367478	.	.	0.81272		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
BIRC3	ENST00000263464	.	.	0.85872		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
SFPQ	ENST00000357214	.	.	0.8708100000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
FANCA	ENST00000389301	.	.	0.88277		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
WWTR1	ENST00000465804	.	.	0.9021600000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
SLC45A3	ENST00000367145	.	.	0.9395399999999999		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
NTRK3	ENST00000360948	.	.	0.94935		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
NIN	ENST00000382041	.	.	0.95331		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
NLRP9	ENST00000332836	.	.	0.006840000000000001	0.26165999999999995	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6274500000000001
DNAH5	ENST00000265104	.	.	0.0089	0.26165999999999995	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6274500000000001
KIAA1462	ENST00000375377	.	.	0.01989	0.43420125	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6471899999999999
ADAMTSL1	ENST00000380548	.	.	0.02362	0.43420125	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6471899999999999
GRM3	ENST00000361669	.	.	0.02363	0.43420125	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6471899999999999
KIAA0947	ENST00000296564	.	.	0.02758	0.4504733333333333	SAMPLES=3;SNV=2;INDEL=1;STRATIFIED_FDR=0.6471899999999999
FRAS1	ENST00000264895	.	.	0.03663	0.536305	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6471899999999999
ANKRD17	ENST00000358602	.	.	0.045810000000000003	0.536305	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.6471899999999999
LPIN1	ENST00000449576	.	.	0.05527000000000001	0.536305	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6471899999999999
DST	ENST00000370788	.	.	0.056839999999999995	0.536305	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6471899999999999
SPTA1	ENST00000368147	.	.	0.05814	0.536305	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6471899999999999
DST	ENST00000244364	.	.	0.059379999999999995	0.536305	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6471899999999999
UBR5	ENST00000520539	.	.	0.06155	0.536305	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6471899999999999
ZNF98	ENST00000357774	.	.	0.06567	0.536305	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6471899999999999
RNF103	ENST00000237455	.	.	0.07143	0.539784	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6471899999999999
ROBO2	ENST00000487694	.	.	0.07343999999999999	0.539784	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6471899999999999
MEGF10	ENST00000274473	.	.	0.08576	0.6003200000000001	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7113035294117648
SCRIB	ENST00000356994	.	.	0.1025	0.66107125	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7609064999999999
FAM189B	ENST00000361361	.	.	0.10535	0.66107125	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7609064999999999
ENO1	ENST00000234590	.	.	0.10793	0.66107125	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7609064999999999
SPAG17	ENST00000336338	.	.	0.11592000000000001	0.6803838461538462	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.77109375
ZNF836	ENST00000322146	.	.	0.12034	0.6803838461538462	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.77109375
KCNT1	ENST00000371757	.	.	0.12582000000000002	0.6850199999999999	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.77109375
SWI5	ENST00000320188	.	.	0.13125	0.6890625	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.77109375
KIAA2018	ENST00000316407	.	.	0.15603	0.7369888235294118	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.801162
CHD4	ENST00000357008	.	.	0.15897	0.7369888235294118	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.801162
MYBPHL	ENST00000357155	.	.	0.16447	0.7369888235294118	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.801162
MUC16	ENST00000397910	.	.	0.16804000000000002	0.7369888235294118	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.801162
NLRP7	ENST00000588756	.	.	0.16993	0.7369888235294118	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.801162
CSMD1	ENST00000537824	.	.	0.17046	0.7369888235294118	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.801162
GPR158	ENST00000376351	.	.	0.18408	0.7731359999999999	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8372670967741934
SLC6A19	ENST00000304460	.	.	0.19859000000000002	0.8044078378378379	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8648783333333333
ZNF831	ENST00000371030	.	.	0.20247	0.8044078378378379	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8648783333333333
MTOR	ENST00000361445	.	.	0.21452	0.8115134999999999	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8648783333333333
RYR1	ENST00000359596	.	.	0.2191	0.8115134999999999	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8648783333333333
OR13C2	ENST00000542196	.	.	0.22082	0.8115134999999999	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.8648783333333333
GALNS	ENST00000268695	.	.	0.23151	0.8185548	SAMPLES=2;SNV=2;INDEL=1;STRATIFIED_FDR=0.8723826666666666
HCN1	ENST00000303230	.	.	0.23723000000000002	0.8185548	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.8723826666666666
SYNE1	ENST00000367255	.	.	0.2527	0.8185548	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8723826666666666
TMEM151B	ENST00000451188	.	.	0.25495999999999996	0.8185548	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8723826666666666
CSF2RB	ENST00000403662	.	.	0.25902	0.8185548	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.8723826666666666
NCAPH	ENST00000240423	.	.	0.2674	0.8185548	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8723826666666666
SQRDL	ENST00000260324	.	.	0.27583	0.8185548	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.8723826666666666
SPOCD1	ENST00000360482	.	.	0.27592	0.8185548	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8723826666666666
MARCO	ENST00000327097	.	.	0.27842	0.8185548	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.8723826666666666
CAPN11	ENST00000398776	.	.	0.30804000000000004	0.8659430769230768	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8874887671232877
NDST4	ENST00000264363	.	.	0.31187	0.8659430769230768	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8874887671232877
KIAA1755	ENST00000279024	.	.	0.32566	0.8659430769230768	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8874887671232877
SDHA	ENST00000264932	.	.	0.33447	0.8659430769230768	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8874887671232877
ABCE1	ENST00000296577	.	.	0.35206	0.8659430769230768	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8874887671232877
ATG2A	ENST00000377264	.	.	0.35297	0.8659430769230768	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.8874887671232877
DNAH1	ENST00000420323	.	.	0.36325999999999997	0.8659430769230768	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8874887671232877
MCTP1	ENST00000515393	.	.	0.36627	0.8659430769230768	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8874887671232877
ACAP3	ENST00000354700	.	.	0.37223	0.8659430769230768	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8874887671232877
