gene	transcript	protein_change	score	pvalue	qvalue	info
NPM1	ENST00000296930	.	.	3e-07	0.0001791	SAMPLES=9;SNV=1;INDEL=8;STRATIFIED_FDR=1.47e-05
RUNX1	ENST00000300305	.	.	1.4999999999999999e-05	0.002985	SAMPLES=9;SNV=7;INDEL=3;STRATIFIED_FDR=0.0003675
ASXL1	ENST00000375687	.	.	0.00037	0.0552225	SAMPLES=4;SNV=3;INDEL=1;STRATIFIED_FDR=0.006043333333333334
WT1	ENST00000332351	.	.	0.00155	0.18507	SAMPLES=3;SNV=2;INDEL=1;STRATIFIED_FDR=0.0189875
DNMT3A	ENST00000264709	.	.	0.00412	0.40993999999999997	SAMPLES=10;SNV=9;INDEL=1;STRATIFIED_FDR=0.040376
NF1	ENST00000358273	.	.	0.01084	0.5445492857142857	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.06894299999999999
TP53	ENST00000269305	.	.	0.011470000000000001	0.5445492857142857	SAMPLES=8;SNV=8;INDEL=1;STRATIFIED_FDR=0.06894299999999999
ELF4	ENST00000308167	.	.	0.012029999999999999	0.5445492857142857	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.06894299999999999
FLT3	ENST00000241453	.	.	0.01277	0.5445492857142857	SAMPLES=7;SNV=8;INDEL=0;STRATIFIED_FDR=0.06894299999999999
KIT	ENST00000288135	.	.	0.01407	0.559986	SAMPLES=3;SNV=3;INDEL=1;STRATIFIED_FDR=0.06894299999999999
U2AF1	ENST00000291552	.	.	0.017230000000000002	0.5756336842105263	SAMPLES=5;SNV=5;INDEL=0;STRATIFIED_FDR=0.0767518181818182
PTPN11	ENST00000351677	.	.	0.02245	0.6127778571428573	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.09167083333333334
THRAP3	ENST00000354618	.	.	0.024909999999999998	0.6127778571428573	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.09389153846153844
MYC	ENST00000377970	.	.	0.04438	0.7160772972972973	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.15533000000000002
PHF6	ENST00000332070	.	.	0.1078	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.3315752631578948
ACSL3	ENST00000357430	.	.	0.11585	0.99997	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.3315752631578948
GATA2	ENST00000341105	.	.	0.12205999999999999	0.99997	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.3315752631578948
MYB	ENST00000341911	.	.	0.12746	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.3315752631578948
MED12	ENST00000374080	.	.	0.12857000000000002	0.99997	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.3315752631578948
MYH11	ENST00000396324	.	.	0.14255	0.99997	SAMPLES=3;SNV=4;INDEL=0;STRATIFIED_FDR=0.3441666666666667
KRAS	ENST00000256078	.	.	0.1475	0.99997	SAMPLES=6;SNV=6;INDEL=0;STRATIFIED_FDR=0.3441666666666667
PRDM1	ENST00000369096	.	.	0.16066	0.99997	SAMPLES=4;SNV=3;INDEL=1;STRATIFIED_FDR=0.34943391304347826
ATM	ENST00000278616	.	.	0.16402	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.34943391304347826
GAS7	ENST00000432992	.	.	0.21688000000000002	0.99997	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.41862333333333335
APC	ENST00000457016	.	.	0.21721999999999997	0.99997	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.41862333333333335
USP6	ENST00000574788	.	.	0.22766999999999998	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.41862333333333335
IDH2	ENST00000330062	.	.	0.23067	0.99997	SAMPLES=8;SNV=8;INDEL=0;STRATIFIED_FDR=0.41862333333333335
ATP1A1	ENST00000537345	.	.	0.24625	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.43093750000000003
RAP1GDS1	ENST00000339360	.	.	0.31743000000000005	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.5195684375
PDE4DIP	ENST00000369356	.	.	0.33205	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.5195684375
NRAS	ENST00000369535	.	.	0.3387	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.5195684375
CIC	ENST00000575354	.	.	0.33931	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.5195684375
IDH1	ENST00000415913	.	.	0.3576	0.99997	SAMPLES=5;SNV=5;INDEL=0;STRATIFIED_FDR=0.5309818181818181
PRDM16	ENST00000270722	.	.	0.49249	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6934756410256411
SF3B1	ENST00000335508	.	.	0.50659	0.99997	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.6934756410256411
CREBBP	ENST00000262367	.	.	0.5180100000000001	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6934756410256411
CNOT3	ENST00000406403	.	.	0.53433	0.99997	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.6934756410256411
BRCA2	ENST00000544455	.	.	0.5475899999999999	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6934756410256411
KDM6A	ENST00000377967	.	.	0.55195	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6934756410256411
NTRK3	ENST00000360948	.	.	0.59611	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.73023475
TRIP11	ENST00000267622	.	.	0.6114	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7306975609756098
POU5F1	ENST00000259915	.	.	0.6381600000000001	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7336970454545455
ATP2B3	ENST00000263519	.	.	0.64795	0.99997	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.7336970454545455
SRSF2	ENST00000392485	.	.	0.65883	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7336970454545455
PBRM1	ENST00000394830	.	.	0.74329	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8093602222222223
TCF12	ENST00000438423	.	.	0.8305899999999999	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.8847589130434782
GMPS	ENST00000496455	.	.	0.88445	0.99997	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9090622916666667
KDR	ENST00000263923	.	.	0.89051	0.99997	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.9090622916666667
CAMTA1	ENST00000303635	.	.	0.98554	0.99997	SAMPLES=2;SNV=3;INDEL=0;STRATIFIED_FDR=0.98554
BUB1B	ENST00000287598	.	.	0.017730000000000003		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KMT2C	ENST00000262189	.	.	0.02775		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
DAXX	ENST00000374542	.	.	0.04989		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
FBXO11	ENST00000403359	.	.	0.06475		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
MN1	ENST00000302326	.	.	0.10142999999999999		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
TNFRSF17	ENST00000053243	.	.	0.11965999999999999		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
NUP214	ENST00000359428	.	.	0.12404000000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MYD88	ENST00000417037	.	.	0.12459		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
HEY1	ENST00000337919	.	.	0.12495		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TFEB	ENST00000230323	.	.	0.12891		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CEBPA	ENST00000498907	.	.	0.1375		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
BRD4	ENST00000263377	.	.	0.14114000000000002		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
SH2B3	ENST00000341259	.	.	0.14423		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
BMPR1A	ENST00000372037	.	.	0.14557		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
FGFR2	ENST00000457416	.	.	0.17145		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ARID1A	ENST00000324856	.	.	0.18621		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PMS2	ENST00000265849	.	.	0.19876		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KMT2A	ENST00000534358	.	.	0.20976		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CREB3L2	ENST00000330387	.	.	0.22227		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PDGFRB	ENST00000261799	.	.	0.22828		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PTPRC	ENST00000442510	.	.	0.25229		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
SETD2	ENST00000409792	.	.	0.2757		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ARNT	ENST00000358595	.	.	0.30228		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
SETBP1	ENST00000282030	.	.	0.31011		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
AKAP9	ENST00000356239	.	.	0.32793		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ARHGEF12	ENST00000397843	.	.	0.33205		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MSH6	ENST00000234420	.	.	0.34335		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
NCOA4	ENST00000452682	.	.	0.34643		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
RBM15	ENST00000369784	.	.	0.36395		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TCL1A	ENST00000402399	.	.	0.36573		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CBL	ENST00000264033	.	.	0.37879		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TRRAP	ENST00000359863	.	.	0.38313		SAMPLES=1;SNV=2;INDEL=0;STRATIFIED_FDR=nan
AMER1	ENST00000330258	.	.	0.4081		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TOP1	ENST00000361337	.	.	0.41572		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CSF3R	ENST00000373103	.	.	0.45024		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
FOXP1	ENST00000491238	.	.	0.46066999999999997		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PDE4DIP	ENST00000532801	.	.	0.46561		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MLLT4	ENST00000392108	.	.	0.47003999999999996		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
