gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	.	1e-09	4.2333333333333344e-07	SAMPLES=94;SNV=83;INDEL=11;STRATIFIED_FDR=2.8000000000000003e-08
CDKN2A	ENST00000498124	.	.	1e-09	4.2333333333333344e-07	SAMPLES=32;SNV=22;INDEL=12;STRATIFIED_FDR=2.8000000000000003e-08
ARID1A	ENST00000324856	.	.	1e-07	3.175e-05	SAMPLES=6;SNV=4;INDEL=2;STRATIFIED_FDR=1.8666666666666667e-06
KRAS	ENST00000256078	.	.	2.9999999999999997e-05	0.00762	SAMPLES=114;SNV=118;INDEL=0;STRATIFIED_FDR=0.00041999999999999996
KDM6A	ENST00000377967	.	.	4e-05	0.008466666666666667	SAMPLES=5;SNV=1;INDEL=4;STRATIFIED_FDR=0.00044800000000000005
RNF43	ENST00000584437	.	.	0.00013000000000000002	0.0206375	SAMPLES=7;SNV=6;INDEL=3;STRATIFIED_FDR=0.0012133333333333336
FBXW7	ENST00000281708	.	.	0.009470000000000001	0.6216649999999999	SAMPLES=3;SNV=1;INDEL=2;STRATIFIED_FDR=0.07576000000000001
GNAS	ENST00000371100	.	.	0.0298	0.7780311475409837	SAMPLES=6;SNV=6;INDEL=0;STRATIFIED_FDR=0.19618666666666668
U2AF1	ENST00000291552	.	.	0.03153	0.7780311475409837	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.19618666666666668
GAS7	ENST00000432992	.	.	0.03734	0.7780311475409837	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.20910399999999998
ATM	ENST00000278616	.	.	0.04227	0.8012373134328359	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.21519272727272729
NCOA2	ENST00000452400	.	.	0.05674	0.9121493670886076	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.26478666666666667
DEK	ENST00000397239	.	.	0.06518	0.9854595238095238	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.2694
KMT2C	ENST00000262189	.	.	0.06735	0.9908330275229358	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.2694
BRAF	ENST00000288602	.	.	0.0832	0.9908330275229358	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.31061333333333335
CACNA1D	ENST00000288139	.	.	0.16152	0.9908330275229358	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.56532
LCP1	ENST00000398576	.	.	0.1826	0.9934267741935484	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6015058823529412
BCL6	ENST00000406870	.	.	0.19852	0.9934267741935484	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6176177777777777
CTNNB1	ENST00000349496	.	.	0.21126	0.9934267741935484	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.621572
TERT	ENST00000310581	.	.	0.22199000000000002	0.9934267741935484	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.621572
STAG2	ENST00000218089	.	.	0.23611	0.9934267741935484	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6276666666666666
P2RY8	ENST00000381297	.	.	0.24795999999999999	0.9934267741935484	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6276666666666666
AXIN1	ENST00000262320	.	.	0.26041	0.9934267741935484	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6276666666666666
CLTCL1	ENST00000263200	.	.	0.26899999999999996	0.9934267741935484	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6276666666666666
EP300	ENST00000263253	.	.	0.30561	0.9934267741935484	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.6845663999999999
DICER1	ENST00000526495	.	.	0.33255	0.9934267741935484	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7162615384615385
DNMT3A	ENST00000264709	.	.	0.35601	0.9934267741935484	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.7185572413793103
MAP2K4	ENST00000353533	.	.	0.36038000000000003	0.9934267741935484	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7185572413793103
KMT2A	ENST00000534358	.	.	0.37211	0.9934267741935484	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7185572413793103
SMARCE1	ENST00000348513	.	.	0.40066999999999997	0.9934267741935484	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7440954838709678
NF1	ENST00000358273	.	.	0.41191000000000005	0.9934267741935484	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.7440954838709678
NUP98	ENST00000324932	.	.	0.44004	0.9934267741935484	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7497721212121212
CIC	ENST00000575354	.	.	0.44183	0.9934267741935484	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7497721212121212
CARD11	ENST00000396946	.	.	0.49232	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7967024390243903
PIK3CA	ENST00000263967	.	.	0.5158699999999999	0.9989966115051222	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.7967024390243903
SF3B1	ENST00000335508	.	.	0.52496	0.9989966115051222	SAMPLES=2;SNV=3;INDEL=0;STRATIFIED_FDR=0.7967024390243903
BCOR	ENST00000378444	.	.	0.54051	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7967024390243903
FANCA	ENST00000389301	.	.	0.54599	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7967024390243903
CREBBP	ENST00000262367	.	.	0.5602	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7967024390243903
CDH11	ENST00000268603	.	.	0.57918	0.9989966115051222	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.7967024390243903
FCGR2B	ENST00000358671	.	.	0.5833	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.7967024390243903
ERCC2	ENST00000391945	.	.	0.64778	0.9989966115051222	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.8637066666666667
APC	ENST00000457016	.	.	0.6924600000000001	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9018083720930233
BCL11B	ENST00000357195	.	.	0.7145	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9093636363636364
TRRAP	ENST00000359863	.	.	0.8144399999999999	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9830099999999999
GATA2	ENST00000341105	.	.	0.82906	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9830099999999999
ATRX	ENST00000373344	.	.	0.8376100000000001	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9830099999999999
NOTCH1	ENST00000277541	.	.	0.8425799999999999	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9830099999999999
JAK3	ENST00000458235	.	.	0.8687	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9928
FANCD2	ENST00000287647	.	.	0.91796	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9996
MYH11	ENST00000396324	.	.	0.9336700000000001	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9996
ZNF521	ENST00000361524	.	.	0.93821	0.9989966115051222	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.9996
WHSC1L1	ENST00000317025	.	.	0.9702200000000001	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9996
BCL11A	ENST00000335712	.	.	0.9751299999999999	0.9989966115051222	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9996
KMT2D	ENST00000301067	.	.	0.99246	0.9989966115051222	SAMPLES=5;SNV=4;INDEL=1;STRATIFIED_FDR=0.9996
ATP2B3	ENST00000263519	.	.	0.9996	0.9996	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.9996
CASP8	ENST00000358485	.	.	0.012759999999999999		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
HOXD13	ENST00000392539	.	.	0.02113		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ERCC4	ENST00000311895	.	.	0.0255		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
STK11	ENST00000326873	.	.	0.06828		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
WRN	ENST00000298139	.	.	0.07633		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MLLT4	ENST00000392108	.	.	0.07921		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
ALK	ENST00000389048	.	.	0.10167000000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KLF4	ENST00000374672	.	.	0.10505999999999999		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PER1	ENST00000317276	.	.	0.10705		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
ELF4	ENST00000308167	.	.	0.11305		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
