gene	transcript	protein_change	score	pvalue	qvalue	info
ARID1A	ENST00000324856	.	.	1e-08	3.5690740740740748e-06	SAMPLES=466;SNV=413;INDEL=111;STRATIFIED_FDR=1.1921052631578947e-07
RB1	ENST00000267163	.	.	1e-08	3.5690740740740748e-06	SAMPLES=235;SNV=198;INDEL=60;STRATIFIED_FDR=1.1921052631578947e-07
NFE2L2	ENST00000397062	.	.	1e-08	3.5690740740740748e-06	SAMPLES=218;SNV=221;INDEL=8;STRATIFIED_FDR=1.1921052631578947e-07
NSD1	ENST00000439151	.	.	1e-08	3.5690740740740748e-06	SAMPLES=251;SNV=269;INDEL=15;STRATIFIED_FDR=1.1921052631578947e-07
KDM6A	ENST00000377967	.	.	1e-08	3.5690740740740748e-06	SAMPLES=198;SNV=167;INDEL=47;STRATIFIED_FDR=1.1921052631578947e-07
FOXA1	ENST00000250448	.	.	1e-08	3.5690740740740748e-06	SAMPLES=105;SNV=91;INDEL=20;STRATIFIED_FDR=1.1921052631578947e-07
BCOR	ENST00000378444	.	.	1e-08	3.5690740740740748e-06	SAMPLES=224;SNV=220;INDEL=16;STRATIFIED_FDR=1.1921052631578947e-07
STK11	ENST00000326873	.	.	1e-08	3.5690740740740748e-06	SAMPLES=93;SNV=91;INDEL=14;STRATIFIED_FDR=1.1921052631578947e-07
KMT2D	ENST00000301067	.	.	1e-08	3.5690740740740748e-06	SAMPLES=652;SNV=701;INDEL=77;STRATIFIED_FDR=1.1921052631578947e-07
PBRM1	ENST00000394830	.	.	1e-08	3.5690740740740748e-06	SAMPLES=251;SNV=206;INDEL=52;STRATIFIED_FDR=1.1921052631578947e-07
CIC	ENST00000575354	.	.	1e-08	3.5690740740740748e-06	SAMPLES=214;SNV=213;INDEL=36;STRATIFIED_FDR=1.1921052631578947e-07
ATRX	ENST00000373344	.	.	1e-08	3.5690740740740748e-06	SAMPLES=416;SNV=357;INDEL=92;STRATIFIED_FDR=1.1921052631578947e-07
CTNNB1	ENST00000349496	.	.	1e-08	3.5690740740740748e-06	SAMPLES=307;SNV=316;INDEL=8;STRATIFIED_FDR=1.1921052631578947e-07
CDKN2A	ENST00000498124	.	.	1e-08	3.5690740740740748e-06	SAMPLES=299;SNV=264;INDEL=53;STRATIFIED_FDR=1.1921052631578947e-07
NOTCH1	ENST00000277541	.	.	1e-08	3.5690740740740748e-06	SAMPLES=330;SNV=326;INDEL=42;STRATIFIED_FDR=1.1921052631578947e-07
STAG2	ENST00000218089	.	.	1e-08	3.5690740740740748e-06	SAMPLES=171;SNV=157;INDEL=24;STRATIFIED_FDR=1.1921052631578947e-07
PIK3R1	ENST00000521381	.	.	1e-08	3.5690740740740748e-06	SAMPLES=205;SNV=126;INDEL=99;STRATIFIED_FDR=1.1921052631578947e-07
ATM	ENST00000278616	.	.	1e-08	3.5690740740740748e-06	SAMPLES=325;SNV=335;INDEL=26;STRATIFIED_FDR=1.1921052631578947e-07
FBXW7	ENST00000281708	.	.	1e-08	3.5690740740740748e-06	SAMPLES=291;SNV=286;INDEL=25;STRATIFIED_FDR=1.1921052631578947e-07
SETD2	ENST00000409792	.	.	1e-08	3.5690740740740748e-06	SAMPLES=260;SNV=243;INDEL=34;STRATIFIED_FDR=1.1921052631578947e-07
NF1	ENST00000358273	.	.	1e-08	3.5690740740740748e-06	SAMPLES=381;SNV=363;INDEL=68;STRATIFIED_FDR=1.1921052631578947e-07
EGFR	ENST00000275493	.	.	1e-08	3.5690740740740748e-06	SAMPLES=299;SNV=319;INDEL=26;STRATIFIED_FDR=1.1921052631578947e-07
CASP8	ENST00000358485	.	.	1e-08	3.5690740740740748e-06	SAMPLES=137;SNV=136;INDEL=13;STRATIFIED_FDR=1.1921052631578947e-07
ARID2	ENST00000334344	.	.	1e-08	3.5690740740740748e-06	SAMPLES=244;SNV=240;INDEL=36;STRATIFIED_FDR=1.1921052631578947e-07
TP53	ENST00000269305	.	.	1e-08	3.5690740740740748e-06	SAMPLES=3012;SNV=2950;INDEL=347;STRATIFIED_FDR=1.1921052631578947e-07
KRAS	ENST00000256078	.	.	1e-08	3.5690740740740748e-06	SAMPLES=618;SNV=638;INDEL=2;STRATIFIED_FDR=1.1921052631578947e-07
KMT2C	ENST00000262189	.	.	1e-08	3.5690740740740748e-06	SAMPLES=650;SNV=668;INDEL=53;STRATIFIED_FDR=1.1921052631578947e-07
EP300	ENST00000263253	.	.	1e-08	3.5690740740740748e-06	SAMPLES=254;SNV=275;INDEL=12;STRATIFIED_FDR=1.1921052631578947e-07
CDH1	ENST00000261769	.	.	1e-08	3.5690740740740748e-06	SAMPLES=175;SNV=136;INDEL=44;STRATIFIED_FDR=1.1921052631578947e-07
PIK3CA	ENST00000263967	.	.	1e-08	3.5690740740740748e-06	SAMPLES=1041;SNV=1169;INDEL=11;STRATIFIED_FDR=1.1921052631578947e-07
BRAF	ENST00000288602	.	.	1e-08	3.5690740740740748e-06	SAMPLES=636;SNV=686;INDEL=6;STRATIFIED_FDR=1.1921052631578947e-07
GATA3	ENST00000379328	.	.	1e-08	3.5690740740740748e-06	SAMPLES=145;SNV=105;INDEL=46;STRATIFIED_FDR=1.1921052631578947e-07
NF2	ENST00000338641	.	.	1e-08	3.5690740740740748e-06	SAMPLES=78;SNV=71;INDEL=12;STRATIFIED_FDR=1.1921052631578947e-07
APC	ENST00000457016	.	.	1e-08	3.5690740740740748e-06	SAMPLES=468;SNV=513;INDEL=77;STRATIFIED_FDR=1.1921052631578947e-07
SMARCA4	ENST00000429416	.	.	1e-08	3.5690740740740748e-06	SAMPLES=275;SNV=295;INDEL=3;STRATIFIED_FDR=1.1921052631578947e-07
VHL	ENST00000256474	.	.	1e-08	3.5690740740740748e-06	SAMPLES=160;SNV=126;INDEL=44;STRATIFIED_FDR=1.1921052631578947e-07
PTEN	ENST00000371953	.	.	1e-08	3.5690740740740748e-06	SAMPLES=537;SNV=503;INDEL=144;STRATIFIED_FDR=1.1921052631578947e-07
BAP1	ENST00000460680	.	.	1e-08	3.5690740740740748e-06	SAMPLES=153;SNV=141;INDEL=27;STRATIFIED_FDR=1.1921052631578947e-07
RUNX1	ENST00000300305	.	.	8e-08	2.5697333333333336e-05	SAMPLES=74;SNV=64;INDEL=13;STRATIFIED_FDR=9.292307692307693e-07
CREBBP	ENST00000262367	.	.	1.3e-07	4.041112903225807e-05	SAMPLES=300;SNV=305;INDEL=16;STRATIFIED_FDR=1.47225e-06
PPP2R1A	ENST00000322088	.	.	2.1e-07	6.424333333333334e-05	SAMPLES=150;SNV=155;INDEL=3;STRATIFIED_FDR=2.3202439024390244e-06
RNF43	ENST00000584437	.	.	3e-07	9.03421875e-05	SAMPLES=101;SNV=91;INDEL=13;STRATIFIED_FDR=3.2357142857142853e-06
FUBP1	ENST00000370768	.	.	4e-07	0.00011337058823529411	SAMPLES=85;SNV=72;INDEL=16;STRATIFIED_FDR=4.213953488372093e-06
IDH1	ENST00000415913	.	.	2.2e-06	0.0006057228571428572	SAMPLES=498;SNV=500;INDEL=0;STRATIFIED_FDR=2.265e-05
RAC1	ENST00000356142	.	.	3e-06	0.000792041095890411	SAMPLES=52;SNV=52;INDEL=0;STRATIFIED_FDR=3.0200000000000002e-05
AMER1	ENST00000330258	.	.	4e-06	0.001041783783783784	SAMPLES=196;SNV=196;INDEL=4;STRATIFIED_FDR=3.9391304347826085e-05
TCF12	ENST00000438423	.	.	6e-06	0.00154184	SAMPLES=68;SNV=53;INDEL=16;STRATIFIED_FDR=5.782978723404255e-05
ASXL1	ENST00000375687	.	.	7.000000000000001e-06	0.0017751447368421051	SAMPLES=170;SNV=173;INDEL=8;STRATIFIED_FDR=6.606250000000001e-05
MAP2K4	ENST00000353533	.	.	4e-05	0.008662022471910114	SAMPLES=73;SNV=66;INDEL=9;STRATIFIED_FDR=0.000369795918367347
U2AF1	ENST00000291552	.	.	5.9999999999999995e-05	0.01230191489361702	SAMPLES=61;SNV=60;INDEL=1;STRATIFIED_FDR=0.0005226923076923077
CDK12	ENST00000447079	.	.	5.9999999999999995e-05	0.01230191489361702	SAMPLES=165;SNV=161;INDEL=15;STRATIFIED_FDR=0.0005226923076923077
KMT2A	ENST00000534358	.	.	5.9999999999999995e-05	0.01230191489361702	SAMPLES=294;SNV=308;INDEL=14;STRATIFIED_FDR=0.0005226923076923077
MAP2K1	ENST00000307102	.	.	8e-05	0.015733061224489798	SAMPLES=69;SNV=68;INDEL=4;STRATIFIED_FDR=0.0006837735849056604
ERBB2	ENST00000269571	.	.	0.00011999999999999999	0.023127599999999998	SAMPLES=187;SNV=210;INDEL=2;STRATIFIED_FDR=0.0010066666666666666
AXIN1	ENST00000262320	.	.	0.00025	0.04340765765765766	SAMPLES=99;SNV=99;INDEL=5;STRATIFIED_FDR=0.0020590909090909093
RPL5	ENST00000370321	.	.	0.00031	0.0524090350877193	SAMPLES=39;SNV=33;INDEL=7;STRATIFIED_FDR=0.0025076785714285713
TSC1	ENST00000298552	.	.	0.00032	0.053629217391304364	SAMPLES=104;SNV=99;INDEL=12;STRATIFIED_FDR=0.0025431578947368422
WT1	ENST00000332351	.	.	0.0005	0.07528515625000001	SAMPLES=78;SNV=76;INDEL=2;STRATIFIED_FDR=0.003905172413793104
BRCA1	ENST00000471181	.	.	0.0005099999999999999	0.07619558139534885	SAMPLES=165;SNV=162;INDEL=12;STRATIFIED_FDR=0.0039157627118644065
NRAS	ENST00000369535	.	.	0.0010400000000000001	0.14115436619718308	SAMPLES=236;SNV=243;INDEL=0;STRATIFIED_FDR=0.007852
CCND1	ENST00000227507	.	.	0.0012	0.15316291390728473	SAMPLES=57;SNV=56;INDEL=4;STRATIFIED_FDR=0.008911475409836065
THRAP3	ENST00000354618	.	.	0.00122	0.1546911842105263	SAMPLES=91;SNV=94;INDEL=5;STRATIFIED_FDR=0.008913870967741934
TCF7L2	ENST00000543371	.	.	0.0012699999999999999	0.15791425806451612	SAMPLES=86;SNV=88;INDEL=3;STRATIFIED_FDR=0.009131904761904761
GNAQ	ENST00000286548	.	.	0.00145	0.17357670807453415	SAMPLES=72;SNV=71;INDEL=2;STRATIFIED_FDR=0.010263281249999999
MEN1	ENST00000337652	.	.	0.00148	0.17499411042944785	SAMPLES=61;SNV=56;INDEL=8;STRATIFIED_FDR=0.010314461538461538
CHEK2	ENST00000382580	.	.	0.00182	0.20512783625730996	SAMPLES=71;SNV=71;INDEL=3;STRATIFIED_FDR=0.012491818181818182
KDM5C	ENST00000375401	.	.	0.0019100000000000002	0.21035102857142854	SAMPLES=127;SNV=116;INDEL=14;STRATIFIED_FDR=0.012913880597014926
KIT	ENST00000288135	.	.	0.00268	0.26488020512820515	SAMPLES=169;SNV=173;INDEL=3;STRATIFIED_FDR=0.01785352941176471
SFPQ	ENST00000357214	.	.	0.00288	0.28175756345177666	SAMPLES=41;SNV=39;INDEL=3;STRATIFIED_FDR=0.018907826086956524
HRAS	ENST00000451590	.	.	0.00299	0.2895744278606965	SAMPLES=123;SNV=125;INDEL=2;STRATIFIED_FDR=0.019349571428571428
CDK4	ENST00000257904	.	.	0.0030800000000000003	0.29098450980392154	SAMPLES=33;SNV=34;INDEL=1;STRATIFIED_FDR=0.019651267605633804
MYCN	ENST00000281043	.	.	0.00352	0.3230521904761905	SAMPLES=60;SNV=62;INDEL=0;STRATIFIED_FDR=0.02209150684931507
CBFB	ENST00000412916	.	.	0.0035600000000000002	0.3236409433962264	SAMPLES=30;SNV=28;INDEL=3;STRATIFIED_FDR=0.02209150684931507
FBXO11	ENST00000403359	.	.	0.00364	0.3278211214953271	SAMPLES=64;SNV=59;INDEL=5;STRATIFIED_FDR=0.022282702702702703
SMARCB1	ENST00000263121	.	.	0.00372	0.3317772146118721	SAMPLES=47;SNV=43;INDEL=4;STRATIFIED_FDR=0.0224688
TSC2	ENST00000219476	.	.	0.00392	0.34185592760180994	SAMPLES=178;SNV=175;INDEL=8;STRATIFIED_FDR=0.023365263157894736
DNMT3A	ENST00000264709	.	.	0.00419	0.3541836403508772	SAMPLES=145;SNV=139;INDEL=10;STRATIFIED_FDR=0.02465025974025974
HOXD11	ENST00000249504	.	.	0.00614	0.4482432575757575	SAMPLES=15;SNV=17;INDEL=0;STRATIFIED_FDR=0.03565923076923077
RPL22	ENST00000234875	.	.	0.00655	0.4641108455882353	SAMPLES=15;SNV=13;INDEL=2;STRATIFIED_FDR=0.03755886075949367
MAP2K2	ENST00000262948	.	.	0.00675	0.4747910583941606	SAMPLES=40;SNV=41;INDEL=2;STRATIFIED_FDR=0.03791777777777778
FOXP1	ENST00000491238	.	.	0.00678	0.4751670545454545	SAMPLES=70;SNV=66;INDEL=6;STRATIFIED_FDR=0.03791777777777778
JUN	ENST00000371222	.	.	0.0078	0.5190418275862069	SAMPLES=40;SNV=33;INDEL=7;STRATIFIED_FDR=0.04309024390243902
HIST1H3B	ENST00000244661	.	.	0.00809	0.5285375254237288	SAMPLES=72;SNV=71;INDEL=2;STRATIFIED_FDR=0.04415385542168675
