gene	transcript	protein_change	score	pvalue	qvalue	info
NF1	ENST00000358273	.	.	1e-09	1.9700000000000006e-07	SAMPLES=12;SNV=5;INDEL=8;STRATIFIED_FDR=1.7e-08
ARNT	ENST00000358595	.	.	0.03179	0.6958477777777777	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.270215
RET	ENST00000355710	.	.	0.0539	0.75845	SAMPLES=6;SNV=7;INDEL=0;STRATIFIED_FDR=0.30543333333333333
ATRX	ENST00000373344	.	.	0.08764	0.9465421739130434	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.37246999999999997
KMT2C	ENST00000262189	.	.	0.11051	0.9465421739130434	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.37573399999999996
BCOR	ENST00000378444	.	.	0.19039	0.948319776119403	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.5394383333333334
VHL	ENST00000256474	.	.	0.24297	0.948319776119403	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.57780875
MLLT6	ENST00000325718	.	.	0.27191	0.948319776119403	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.57780875
FGFR1	ENST00000425967	.	.	0.31693000000000005	0.948319776119403	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.5986455555555557
HRAS	ENST00000451590	.	.	0.36556	0.948319776119403	SAMPLES=18;SNV=18;INDEL=0;STRATIFIED_FDR=0.621452
CACNA1D	ENST00000288139	.	.	0.43117	0.948319776119403	SAMPLES=3;SNV=2;INDEL=1;STRATIFIED_FDR=0.6395792307692307
AKAP9	ENST00000356239	.	.	0.48535	0.948319776119403	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.6395792307692307
AMER1	ENST00000330258	.	.	0.48908999999999997	0.948319776119403	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6395792307692307
SETBP1	ENST00000282030	.	.	0.59712	0.948319776119403	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6935546666666668
SETD2	ENST00000409792	.	.	0.6119600000000001	0.948319776119403	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6935546666666668
NFE2L2	ENST00000397062	.	.	0.6907	0.9509829936305731	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.73386875
BCL11B	ENST00000357195	.	.	0.96741	0.9918388601036268	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.96741
JUN	ENST00000371222	.	.	0.020569999999999998		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
STAG2	ENST00000218089	.	.	0.0677		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
CDC73	ENST00000367435	.	.	0.07506		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CDKN2C	ENST00000262662	.	.	0.08552		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
FANCC	ENST00000289081	.	.	0.08703		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
HOXD11	ENST00000249504	.	.	0.11259000000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TRRAP	ENST00000359863	.	.	0.11497		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KMT2D	ENST00000301067	.	.	0.12382		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MLLT1	ENST00000252674	.	.	0.12597		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TP53	ENST00000269305	.	.	0.13383		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
FGFR2	ENST00000457416	.	.	0.13702999999999999		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ATF1	ENST00000262053	.	.	0.1426		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
BRAF	ENST00000288602	.	.	0.14715999999999999		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PML	ENST00000268058	.	.	0.17140999999999998		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CLTCL1	ENST00000263200	.	.	0.17784		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PCSK7	ENST00000320934	.	.	0.20353		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MAP2K1	ENST00000307102	.	.	0.21006		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
TSC2	ENST00000219476	.	.	0.2182		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ALK	ENST00000389048	.	.	0.25683		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
WHSC1	ENST00000382895	.	.	0.26045999999999997		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MSN	ENST00000360270	.	.	0.29648		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
WT1	ENST00000332351	.	.	0.33100999999999997		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ETV6	ENST00000396373	.	.	0.33355999999999997		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MLLT4	ENST00000392108	.	.	0.34998		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MED12	ENST00000374080	.	.	0.3735		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
OMD	ENST00000375550	.	.	0.38714		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
IDH1	ENST00000415913	.	.	0.4222		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KDM5C	ENST00000375401	.	.	0.43873		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MN1	ENST00000302326	.	.	0.44319		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MYH9	ENST00000216181	.	.	0.4539		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ETV1	ENST00000430479	.	.	0.45682		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
APC	ENST00000457016	.	.	0.46763000000000005		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
BCR	ENST00000305877	.	.	0.48236999999999997		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PAX3	ENST00000392069	.	.	0.48868		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
DNMT3A	ENST00000264709	.	.	0.5263800000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ERCC3	ENST00000285398	.	.	0.5331100000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
STAT3	ENST00000264657	.	.	0.5666399999999999		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
ARHGEF12	ENST00000397843	.	.	0.59003		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
NUP98	ENST00000324932	.	.	0.6019		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
