gene	transcript	protein_change	score	pvalue	qvalue	info
ATRX	ENST00000373344	.	.	1e-09	7.27e-07	SAMPLES=29;SNV=18;INDEL=12;STRATIFIED_FDR=2.2333333333333335e-08
RB1	ENST00000267163	.	.	1e-09	7.27e-07	SAMPLES=11;SNV=8;INDEL=3;STRATIFIED_FDR=2.2333333333333335e-08
TP53	ENST00000269305	.	.	1e-09	7.27e-07	SAMPLES=57;SNV=47;INDEL=13;STRATIFIED_FDR=2.2333333333333335e-08
RET	ENST00000355710	.	.	9e-05	0.049072500000000005	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.0015075000000000002
PTEN	ENST00000371953	.	.	0.0052	0.6639933333333333	SAMPLES=4;SNV=2;INDEL=2;STRATIFIED_FDR=0.06968
TSC2	ENST00000219476	.	.	0.019190000000000002	0.9733346511627906	SAMPLES=3;SNV=2;INDEL=1;STRATIFIED_FDR=0.21428833333333336
PTPRC	ENST00000442510	.	.	0.056679999999999994	0.9977674816513762	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.5425085714285713
DNMT3A	ENST00000264709	.	.	0.08088	0.9977674816513762	SAMPLES=3;SNV=1;INDEL=2;STRATIFIED_FDR=0.6240380000000001
AKAP9	ENST00000356239	.	.	0.08484	0.9977674816513762	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.6240380000000001
BCL9	ENST00000234739	.	.	0.09314	0.9977674816513762	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.6240380000000001
ASXL1	ENST00000375687	.	.	0.106	0.9977674816513762	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6307092857142859
APC	ENST00000457016	.	.	0.12663	0.9977674816513762	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.6307092857142859
KIT	ENST00000288135	.	.	0.13129000000000002	0.9977674816513762	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.6307092857142859
MUC1	ENST00000368395	.	.	0.13179000000000002	0.9977674816513762	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6307092857142859
KDM5C	ENST00000375401	.	.	0.16433	0.9977674816513762	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.6544323529411764
DICER1	ENST00000526495	.	.	0.16544	0.9977674816513762	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.6544323529411764
KMT2A	ENST00000534358	.	.	0.16605	0.9977674816513762	SAMPLES=4;SNV=3;INDEL=1;STRATIFIED_FDR=0.6544323529411764
