gene	transcript	protein_change	score	pvalue	qvalue	info
BRAF	ENST00000288602	.	.	1e-09	1.162e-06	SAMPLES=290;SNV=290;INDEL=1;STRATIFIED_FDR=6.600000000000001e-08
DNMT3A	ENST00000264709	.	.	0.00103	0.19947666666666666	SAMPLES=4;SNV=2;INDEL=2;STRATIFIED_FDR=0.03399
USP6	ENST00000574788	.	.	0.00285	0.3334940000000001	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.047354999999999994
BCOR	ENST00000378444	.	.	0.0028699999999999997	0.3334940000000001	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.047354999999999994
DICER1	ENST00000526495	.	.	0.00889	0.5188330000000001	SAMPLES=3;SNV=3;INDEL=2;STRATIFIED_FDR=0.11725999999999999
ARID2	ENST00000334344	.	.	0.01066	0.5278161538461538	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.11725999999999999
KMT2C	ENST00000262189	.	.	0.015719999999999998	0.6298841379310346	SAMPLES=6;SNV=9;INDEL=0;STRATIFIED_FDR=0.14821714285714283
ABL2	ENST00000502732	.	.	0.021269999999999997	0.6450589743589743	SAMPLES=2;SNV=3;INDEL=0;STRATIFIED_FDR=0.17547749999999998
PTEN	ENST00000371953	.	.	0.03182	0.7394968000000001	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.2333466666666667
CHEK2	ENST00000382580	.	.	0.03778	0.8071137704918032	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.24934800000000001
APC	ENST00000457016	.	.	0.07128999999999999	0.9004236956521741	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.42773999999999995
TP53	ENST00000269305	.	.	0.08646000000000001	0.9213603636363636	SAMPLES=3;SNV=2;INDEL=1;STRATIFIED_FDR=0.47553000000000006
BCL9	ENST00000234739	.	.	0.10835999999999998	0.9684983408071748	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.53427
ATM	ENST00000278616	.	.	0.11333	0.9684983408071748	SAMPLES=6;SNV=4;INDEL=2;STRATIFIED_FDR=0.53427
TFE3	ENST00000315869	.	.	0.18989	0.9684983408071748	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.77013
RB1	ENST00000267163	.	.	0.20078	0.9684983408071748	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.77013
IL7R	ENST00000303115	.	.	0.20895	0.9684983408071748	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.77013
CCDC6	ENST00000263102	.	.	0.23695	0.9684983408071748	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.77013
NKX2-1	ENST00000354822	.	.	0.24166999999999997	0.9684983408071748	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.77013
MEN1	ENST00000337652	.	.	0.25531	0.9684983408071748	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.77013
ATRX	ENST00000373344	.	.	0.26053000000000004	0.9684983408071748	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.77013
AKT1	ENST00000554581	.	.	0.26621	0.9684983408071748	SAMPLES=5;SNV=5;INDEL=0;STRATIFIED_FDR=0.77013
PPP2R1A	ENST00000322088	.	.	0.27728	0.9684983408071748	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.77013
SMARCA4	ENST00000429416	.	.	0.31172	0.9684983408071748	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.77013
BRCA2	ENST00000544455	.	.	0.31890999999999997	0.9684983408071748	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.77013
