gene	transcript	protein_change	score	pvalue	qvalue	info
BCOR	ENST00000378444	.	.	0.01491	0.7794582608695653	SAMPLES=3;SNV=2;INDEL=1;STRATIFIED_FDR=0.22365
TP53	ENST00000269305	.	.	0.044430000000000004	0.7794582608695653	SAMPLES=3;SNV=2;INDEL=1;STRATIFIED_FDR=0.23396250000000002
HRAS	ENST00000451590	.	.	0.05467999999999999	0.7794582608695653	SAMPLES=10;SNV=9;INDEL=1;STRATIFIED_FDR=0.23396250000000002
CYLD	ENST00000427738	.	.	0.06239	0.7794582608695653	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.23396250000000002
SMARCA4	ENST00000429416	.	.	0.11732000000000001	0.7848303448275862	SAMPLES=2;SNV=3;INDEL=0;STRATIFIED_FDR=0.35196000000000005
SF3B1	ENST00000335508	.	.	0.22675	0.8957857324840764	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.566875
CBLB	ENST00000264122	.	.	0.35804	0.8957857324840764	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.68135
NRAS	ENST00000369535	.	.	0.38301	0.8957857324840764	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.68135
NDRG1	ENST00000414097	.	.	0.41735	0.8957857324840764	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.68135
VHL	ENST00000256474	.	.	0.5220899999999999	0.8957857324840764	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.68135
PAX7	ENST00000420770	.	.	0.53486	0.8957857324840764	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.68135
EXT1	ENST00000378204	.	.	0.54508	0.8957857324840764	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.68135
BIRC3	ENST00000263464	.	.	0.85262	0.9632266285714286	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9837923076923077
KMT2D	ENST00000301067	.	.	0.9848899999999999	0.99989	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.99113
PBRM1	ENST00000394830	.	.	0.99113	0.99989	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.99113
TSC2	ENST00000219476	.	.	0.00957		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CHEK2	ENST00000382580	.	.	0.011640000000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
FANCG	ENST00000378643	.	.	0.01882		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
STAG2	ENST00000218089	.	.	0.04216		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
NOTCH1	ENST00000277541	.	.	0.04506		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PAX5	ENST00000358127	.	.	0.0591		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
EBF1	ENST00000313708	.	.	0.06719		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
NF2	ENST00000338641	.	.	0.07626000000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TNFAIP3	ENST00000237289	.	.	0.07994		SAMPLES=1;SNV=0;INDEL=1;STRATIFIED_FDR=nan
MLLT4	ENST00000392108	.	.	0.11456		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PLAG1	ENST00000316981	.	.	0.1189		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PTPN11	ENST00000351677	.	.	0.1307		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KIT	ENST00000288135	.	.	0.13815999999999998		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PML	ENST00000268058	.	.	0.14454		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
AKT1	ENST00000554581	.	.	0.15255		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CIITA	ENST00000324288	.	.	0.16078		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MYH9	ENST00000216181	.	.	0.16877		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CLTC	ENST00000269122	.	.	0.17893		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TET2	ENST00000540549	.	.	0.17970999999999998		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KIAA1549	ENST00000422774	.	.	0.20535		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
AMER1	ENST00000330258	.	.	0.21064000000000002		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
SFPQ	ENST00000357214	.	.	0.23031999999999997		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
WIF1	ENST00000286574	.	.	0.24543		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
TSHR	ENST00000541158	.	.	0.25314000000000003		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PDGFB	ENST00000331163	.	.	0.28891999999999995		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KIF5B	ENST00000302418	.	.	0.3159		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
CSF3R	ENST00000373103	.	.	0.33681		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
MAP2K1	ENST00000307102	.	.	0.34538		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
DNM2	ENST00000389253	.	.	0.34612		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PHOX2B	ENST00000226382	.	.	0.39694		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
FAM46C	ENST00000369448	.	.	0.40678000000000003		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
IDH1	ENST00000415913	.	.	0.42589		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KRAS	ENST00000256078	.	.	0.43742		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
PCSK7	ENST00000320934	.	.	0.4594		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
H3F3B	ENST00000254810	.	.	0.47153999999999996		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
HLF	ENST00000226067	.	.	0.48228000000000004		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
FBXO11	ENST00000403359	.	.	0.48578999999999994		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
LIFR	ENST00000263409	.	.	0.52788		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KMT2C	ENST00000262189	.	.	0.55405		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
KCNJ5	ENST00000529694	.	.	0.55575		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
BAP1	ENST00000460680	.	.	0.5666800000000001		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
EPS15	ENST00000371733	.	.	0.58024		SAMPLES=1;SNV=1;INDEL=0;STRATIFIED_FDR=nan
