gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	.	1e-09	3.0722000000000004e-06	SAMPLES=149;SNV=142;INDEL=17;STRATIFIED_FDR=1.0025000000000001e-07
PIK3R1	ENST00000521381	.	.	1e-09	3.0722000000000004e-06	SAMPLES=78;SNV=41;INDEL=50;STRATIFIED_FDR=1.0025000000000001e-07
ARID1A	ENST00000324856	.	.	1e-09	3.0722000000000004e-06	SAMPLES=104;SNV=87;INDEL=36;STRATIFIED_FDR=1.0025000000000001e-07
PTEN	ENST00000371953	.	.	1e-09	3.0722000000000004e-06	SAMPLES=200;SNV=213;INDEL=76;STRATIFIED_FDR=1.0025000000000001e-07
FBXW7	ENST00000281708	.	.	1.6e-05	0.027308444444444444	SAMPLES=52;SNV=53;INDEL=1;STRATIFIED_FDR=0.0012832
MSH6	ENST00000234420	.	.	2.4e-05	0.0368664	SAMPLES=13;SNV=10;INDEL=5;STRATIFIED_FDR=0.0016040000000000002
BCOR	ENST00000378444	.	.	0.00022	0.19627944444444445	SAMPLES=43;SNV=48;INDEL=1;STRATIFIED_FDR=0.012602857142857145
MYCN	ENST00000281043	.	.	0.00098	0.6272408333333332	SAMPLES=12;SNV=13;INDEL=0;STRATIFIED_FDR=0.048565555555555556
CCND1	ENST00000227507	.	.	0.00109	0.6498884615384616	SAMPLES=23;SNV=21;INDEL=4;STRATIFIED_FDR=0.048565555555555556
EP300	ENST00000263253	.	.	0.00275	1.0	SAMPLES=26;SNV=25;INDEL=4;STRATIFIED_FDR=0.11027499999999998
PPP2R1A	ENST00000322088	.	.	0.00525	1.0	SAMPLES=59;SNV=64;INDEL=0;STRATIFIED_FDR=0.1775857142857143
RB1	ENST00000267163	.	.	0.00571	1.0	SAMPLES=19;SNV=17;INDEL=3;STRATIFIED_FDR=0.1775857142857143
NFE2L2	ENST00000397062	.	.	0.00598	1.0	SAMPLES=20;SNV=20;INDEL=1;STRATIFIED_FDR=0.1775857142857143
KMT2C	ENST00000262189	.	.	0.0062	1.0	SAMPLES=43;SNV=49;INDEL=0;STRATIFIED_FDR=0.1775857142857143
ATM	ENST00000278616	.	.	0.00692	1.0	SAMPLES=33;SNV=39;INDEL=2;STRATIFIED_FDR=0.18499466666666667
NSD1	ENST00000439151	.	.	0.02529	1.0	SAMPLES=27;SNV=29;INDEL=0;STRATIFIED_FDR=0.608340588235294
THRAP3	ENST00000354618	.	.	0.025789999999999997	1.0	SAMPLES=14;SNV=15;INDEL=1;STRATIFIED_FDR=0.608340588235294
CTNNB1	ENST00000349496	.	.	0.02895	1.0	SAMPLES=82;SNV=85;INDEL=1;STRATIFIED_FDR=0.6449416666666666
RNF43	ENST00000584437	.	.	0.03487	1.0	SAMPLES=14;SNV=11;INDEL=3;STRATIFIED_FDR=0.7359405263157894
ARID2	ENST00000334344	.	.	0.04002	1.0	SAMPLES=19;SNV=18;INDEL=2;STRATIFIED_FDR=0.8024009999999999
TPM4	ENST00000538887	.	.	0.05068	1.0	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.9677466666666668
KMT2D	ENST00000301067	.	.	0.054439999999999995	1.0	SAMPLES=72;SNV=81;INDEL=9;STRATIFIED_FDR=0.9922927272727272
LPP	ENST00000312675	.	.	0.058539999999999995	1.0	SAMPLES=7;SNV=7;INDEL=0;STRATIFIED_FDR=0.9999899999999999
ABL1	ENST00000372348	.	.	0.06845	1.0	SAMPLES=7;SNV=7;INDEL=0;STRATIFIED_FDR=0.9999899999999999
CYLD	ENST00000427738	.	.	0.0732	1.0	SAMPLES=6;SNV=6;INDEL=0;STRATIFIED_FDR=0.9999899999999999
DICER1	ENST00000526495	.	.	0.07746	1.0	SAMPLES=21;SNV=25;INDEL=0;STRATIFIED_FDR=0.9999899999999999
KIAA1549	ENST00000422774	.	.	0.09609	1.0	SAMPLES=17;SNV=16;INDEL=1;STRATIFIED_FDR=0.9999899999999999
ERBB2	ENST00000269571	.	.	0.09857	1.0	SAMPLES=18;SNV=20;INDEL=0;STRATIFIED_FDR=0.9999899999999999
TLX3	ENST00000296921	.	.	0.09898	1.0	SAMPLES=2;SNV=1;INDEL=1;STRATIFIED_FDR=0.9999899999999999
PAFAH1B2	ENST00000527958	.	.	0.10411	1.0	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.9999899999999999
WAS	ENST00000376701	.	.	0.10899	1.0	SAMPLES=8;SNV=7;INDEL=1;STRATIFIED_FDR=0.9999899999999999
PBRM1	ENST00000394830	.	.	0.11067	1.0	SAMPLES=15;SNV=15;INDEL=0;STRATIFIED_FDR=0.9999899999999999
PDGFB	ENST00000331163	.	.	0.11803	1.0	SAMPLES=7;SNV=7;INDEL=0;STRATIFIED_FDR=0.9999899999999999
CBLC	ENST00000270279	.	.	0.11984000000000002	1.0	SAMPLES=3;SNV=3;INDEL=0;STRATIFIED_FDR=0.9999899999999999
