gene	transcript	protein_change	score	pvalue	qvalue	info
TP53	ENST00000269305	.	.	1e-09	4.41e-07	SAMPLES=45;SNV=45;INDEL=3;STRATIFIED_FDR=2.9e-08
PIK3R1	ENST00000521381	.	.	4e-06	0.0008820000000000001	SAMPLES=5;SNV=1;INDEL=5;STRATIFIED_FDR=5.8e-05
FBXW7	ENST00000281708	.	.	1e-05	0.0014700000000000002	SAMPLES=21;SNV=22;INDEL=0;STRATIFIED_FDR=9.666666666666668e-05
PPP2R1A	ENST00000322088	.	.	0.00037999999999999997	0.041895	SAMPLES=15;SNV=16;INDEL=0;STRATIFIED_FDR=0.0027549999999999996
PTEN	ENST00000371953	.	.	0.00134	0.09849	SAMPLES=8;SNV=9;INDEL=0;STRATIFIED_FDR=0.007771999999999999
ARID1A	ENST00000324856	.	.	0.00372	0.1491381818181818	SAMPLES=5;SNV=4;INDEL=1;STRATIFIED_FDR=0.017980000000000003
NOTCH1	ENST00000277541	.	.	0.01403	0.3256436842105263	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.05812428571428571
RB1	ENST00000267163	.	.	0.02222	0.3653766666666667	SAMPLES=3;SNV=2;INDEL=1;STRATIFIED_FDR=0.08054750000000001
BCOR	ENST00000378444	.	.	0.032060000000000005	0.4712819999999999	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.10330444444444446
AMER1	ENST00000330258	.	.	0.04268	0.537768	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.123772
PDGFRB	ENST00000261799	.	.	0.05247	0.5509350000000001	SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=0.13833
U2AF1	ENST00000291552	.	.	0.06159	0.6316555813953488	SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=0.1488425
KRAS	ENST00000256078	.	.	0.1064	0.8135328813559323	SAMPLES=7;SNV=7;INDEL=0;STRATIFIED_FDR=0.22545428571428572
