gene	transcript	protein_change	score	pvalue	qvalue	info
PDGFC	ENST00000502773	.	.	0.252173913043478	1	PROT_RANGE=250-337
ZNF638	ENST00000409544	.	.	1	1	PROT_RANGE=811-890
ASIC1	ENST00000228468	.	.	0.837979094076655	1	PROT_RANGE=21-502
EVPL	ENST00000301607	.	.	1	1	PROT_RANGE=1687-1717
OCA2	ENST00000354638	.	.	1	1	PROT_RANGE=342-775
AADACL3	ENST00000359318	.	.	1	1	PROT_RANGE=310-380
TSC2	ENST00000219476	.	.	0.0968456004427228	1	PROT_RANGE=1561-1736
INPP5J	ENST00000404390	.	.	0.459247648902821	1	PROT_RANGE=60-353
WDR37	ENST00000358220	.	.	1	1	PROT_RANGE=189-226
ZNF521	ENST00000361524	.	.	1	1	PROT_RANGE=930-954
OGDH	ENST00000222673	.	.	0.316715542521994	1	PROT_RANGE=257-581
UXS1	ENST00000283148	.	.	0.117647058823529	1	PROT_RANGE=375-425
OLFML2A	ENST00000373580	.	.	1	1	PROT_RANGE=400-650
SMCHD1	ENST00000320876	.	.	1	1	PROT_RANGE=1916-2005
PTCHD4	ENST00000339488	.	.	0.788416075650118	1	PROT_RANGE=144-811
SERPINA7	ENST00000327674	.	.	0.881927710843374	1	PROT_RANGE=46-412
TTC19	ENST00000261647	.	.	0.068421052631579	1	PROT_RANGE=85-111
ARSI	ENST00000328668	.	.	1	1	PROT_RANGE=47-359
TAF4	ENST00000252996	.	.	1	1	PROT_RANGE=901-1017
PKD1L1	ENST00000289672	.	.	0.0237256032271827	1	PROT_RANGE=2242-2276
BAZ1B	ENST00000339594	.	.	0.0627107215104518	1	PROT_RANGE=498-591
HP	ENST00000355906	.	.	0.583743842364532	1	PROT_RANGE=162-399
CKMT1B	ENST00000300283	.	.	0.585131894484412	1	PROT_RANGE=155-399
COX4I2	ENST00000376075	.	.	0.766081871345029	1	PROT_RANGE=39-170
PCDHA11	ENST00000398640	.	.	0.0853530031612224	1	PROT_RANGE=30-111
CXorf22	ENST00000297866	.	.	1	1	PROT_RANGE=572-599
RCSD1	ENST00000367854	.	.	0.240384615384615	1	PROT_RANGE=229-329
CNTN3	ENST00000263665	.	.	0.160316583142818	1	PROT_RANGE=805-891
LILRB1	ENST00000324602	.	.	1	1	PROT_RANGE=330-405
RRAGD	ENST00000369415	.	.	0.565	1	PROT_RANGE=64-290
SPEF2	ENST00000356031	.	.	0.0450054884742042	1	PROT_RANGE=1253-1335
SLC47A1	ENST00000270570	.	.	1	1	PROT_RANGE=44-204
CR1L	ENST00000508064	.	.	1	1	PROT_RANGE=413-470
CAPN3	ENST00000397163	.	.	0.172959805115713	1	PROT_RANGE=436-578
NKD1	ENST00000268459	.	.	0.521842462652784	1	PROT_RANGE=189-334
CHRNA7	ENST00000454250	.	.	0.470809792843691	1	PROT_RANGE=266-516
FBXO47	ENST00000378079	.	.	1	1	PROT_RANGE=46-77
PDE8B	ENST00000264917	.	.	0.108474576271186	1	PROT_RANGE=280-376
FERMT1	ENST00000217289	.	.	0.674914744648495	1	PROT_RANGE=279-570
FCGR2B	ENST00000358671	.	.	0.141935483870968	1	PROT_RANGE=266-310
RTN4	ENST00000337526	.	.	0.0796979865771812	1	PROT_RANGE=692-787
TEX14	ENST00000240361	.	.	0.110220440881764	1	PROT_RANGE=957-1122
C5orf49	ENST00000399810	.	.	0.619047619047619	1	PROT_RANGE=42-133
UMOD	ENST00000570689	.	.	0.15015625	1	PROT_RANGE=335-583
CEP350	ENST00000367607	.	.	0.0569141313601125	1	PROT_RANGE=2545-2635
ZNF799	ENST00000430385	.	.	0.669190154045602	1	PROT_RANGE=117-643
FN1	ENST00000354785	.	.	0.109818702387937	1	PROT_RANGE=617-688
APOA4	ENST00000357780	.	.	0.401515151515151	1	PROT_RANGE=200-359
EPHA10	ENST00000373048	.	.	0.173611111111111	1	PROT_RANGE=36-211
LRRC45	ENST00000306688	.	.	1	1	PROT_RANGE=171-193
PKHD1	ENST00000371117	.	.	1	1	PROT_RANGE=1487-1564
SGIP1	ENST00000371037	.	.	1	1	PROT_RANGE=561-826
RERE	ENST00000337907	.	.	0.405328182368302	1	PROT_RANGE=568-1565
FBXO16	ENST00000380254	.	.	0.143835616438356	1	PROT_RANGE=91-133
STK31	ENST00000355870	.	.	0.257595383493794	1	PROT_RANGE=799-940
NLK	ENST00000407008	.	.	0.5426944971537	1	PROT_RANGE=141-427
MTG1	ENST00000317502	.	.	0.296407185628743	1	PROT_RANGE=146-245
BNC1	ENST00000345382	.	.	1	1	PROT_RANGE=267-305
VWA7	ENST00000375688	.	.	1	1	PROT_RANGE=232-262
ARHGAP10	ENST00000336498	.	.	0.0966921119592875	1	PROT_RANGE=579-655
ANK3	ENST00000280772	.	.	0.0267774060817734	1	PROT_RANGE=2194-2253
TEX19	ENST00000333437	.	.	0.963414634146341	1	PROT_RANGE=1-159
WDR33	ENST00000322313	.	.	0.43562874251497	1	PROT_RANGE=754-1336
SOX5	ENST00000451604	.	.	1	1	PROT_RANGE=556-624
KRT4	ENST00000551956	.	.	0.601923076923077	1	PROT_RANGE=136-449
SLC1A3	ENST00000265113	.	.	0.967970888195967	1	PROT_RANGE=51-496
GPI	ENST00000415930	.	.	0.67311072056239	1	PROT_RANGE=174-557
L3MBTL2	ENST00000216237	.	.	0.0879432624113475	1	PROT_RANGE=327-389
IGHV3-48	ENST00000390624	.	.	0.726495726495726	1	PROT_RANGE=31-116
WDR47	ENST00000400794	.	.	1	1	PROT_RANGE=753-790
ENOX1	ENST00000261488	.	.	0.0839813374805599	1	PROT_RANGE=144-198
TNRC18	ENST00000430969	.	.	1	1	PROT_RANGE=2818-2956
KIAA1109	ENST00000264501	.	.	1	1	PROT_RANGE=3561-3640
TFB2M	ENST00000366514	.	.	1	1	PROT_RANGE=39-86
GBX1	ENST00000297537	.	.	0.154269972451791	1	PROT_RANGE=262-318
SCN11A	ENST00000302328	.	.	0.134561697375768	1	PROT_RANGE=578-819
PDZRN3	ENST00000263666	.	.	0.250074934240239	1	PROT_RANGE=424-498
PARP9	ENST00000360356	.	.	1	1	PROT_RANGE=335-446
NEBL	ENST00000377122	.	.	1	1	PROT_RANGE=961-1011
BAALC	ENST00000309982	.	.	1	1	PROT_RANGE=1-48
ITGA6	ENST00000409080	.	.	1	1	PROT_RANGE=1052-1091
OR1A1	ENST00000304094	.	.	0.886731391585761	1	PROT_RANGE=31-305
RBBP8	ENST00000399722	.	.	1	1	PROT_RANGE=394-537
MOB3A	ENST00000357066	.	.	0.792626728110599	1	PROT_RANGE=36-208
PRIM1	ENST00000338193	.	.	1	1	PROT_RANGE=108-335
FAM71A	ENST00000294829	.	.	0.116161616161616	1	PROT_RANGE=115-184
CHMP4C	ENST00000297265	.	.	0.437768240343348	1	PROT_RANGE=131-233
ZMYND12	ENST00000372565	.	.	1	1	PROT_RANGE=17-54
CYP1A1	ENST00000379727	.	.	0.880859375	1	PROT_RANGE=40-491
ZNF831	ENST00000371030	.	.	0.0220632081097197	1	PROT_RANGE=436-473
RTN4RL1	ENST00000331238	.	.	1	1	PROT_RANGE=150-209
APCDD1	ENST00000355285	.	.	0.09077088770258	1	PROT_RANGE=51-282
COL4A4	ENST00000396625	.	.	0.0609467455621302	1	PROT_RANGE=1467-1570
MUC6	ENST00000421673	.	.	0.060270602706027	1	PROT_RANGE=45-192
RPA2	ENST00000373912	.	.	1	1	PROT_RANGE=166-262
ADAM17	ENST00000310823	.	.	0.277912621359223	1	PROT_RANGE=222-451
PLEKHA8	ENST00000449726	.	.	0.152215799614644	1	PROT_RANGE=230-309
HRC	ENST00000252825	.	.	1	1	PROT_RANGE=238-252
ZFP57	ENST00000488757	.	.	0.208955223880597	1	PROT_RANGE=190-302
LPPR4	ENST00000370185	.	.	1	1	PROT_RANGE=626-710
