Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,class
ABL1,25.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,1.0,160.0,16.0,0.0,0.0,99.0,3.0,0.0,17.0,3.0,0.0,299.0,0.0,242,11.07108251809035,0.4516851409462789,18.947370688212413,7.7279204545632,-0.018357472,0.024898643,0.04647865,0.010449998,-0.10911096,0.031004455,0.145104696,0.006650564,9.0,133589268.0,133763060.0,505505.7,211.0,2.426606e-06,0.4654867,0.02867805,8.0,49.08108,91.27027,0.8753249,111.6492,13.1082,53.9179,0.001863735,180.0,1.81,1
ACVR1,0.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,97.0,2.0,0.0,0.0,26.0,3.0,1.0,2.0,4.0,0.0,151.0,0.0,129,9.6619034503992,0.6850498001156977,16.30761814253878,9.870364719583405,0.0110146785,0.013652635,0.0432819,0.009275913,-0.068216845,0.0155671425,0.72269793,0.127048209,2.0,158592958.0,158732374.0,81110.46,935.0,2.42307e-06,0.3908333,0.001722014,5.0,54.83784,98.86486,0.8704573,113.0131,10.03607,43.75677,0.000640911,68.0,3.851851851851852,1
ACVR1B,31.0,10.0,0.0,1.0,8.0,5.0,0.0,0.0,22.0,134.0,25.0,1.0,0.0,28.0,3.0,0.0,12.0,5.0,0.0,251.0,0.0,210,10.184324207565972,0.6517291049446878,18.91200486024989,8.539158811108031,0.018838821,0.017436966,0.05616351,0.0142134,-0.059939437,0.015095993,0.10432967,0.002008902,12.0,52345451.0,52390863.0,493264.5,371.0,2.170649e-06,0.49525,0.02732437,16.0,53.56757,94.05405,0.9026309,126.823,15.07213,50.15462,0.000429588,36.0,5.758620689655173,1
ACVR2A,0.0,72.0,0.0,6.0,103.0,6.0,5.0,1.0,0.0,106.0,23.0,0.0,0.0,22.0,8.0,1.0,121.0,11.0,0.0,221.0,0.0,278,8.210399218410519,0.5540516859486937,16.473460650727006,9.894817763307945,0.005199968,0.013665906,0.039861947,0.006745633,-0.07743694,0.020473268,0.133974738,0.002179769,2.0,148602570.0,148688392.0,90991.54,951.0,2.797524e-06,0.37016,-0.001911835,2.0,45.37838,92.32432,0.9066268,160.6066,23.91475,38.98794,4.89e-05,22.0,6.260869565217392,1
AJUBA,0.0,16.0,0.0,11.0,14.0,9.0,2.0,0.0,11.0,47.0,18.0,0.0,0.0,16.0,3.0,0.0,17.0,10.0,0.0,120.0,0.0,126,6.681498285286242,2.68894983812042,20.243004256695908,7.539158811108031,-0.009950403,0.02693791,0.050426256,0.0147162825,-0.106829524,0.031315953,0.4439186536272007,0.0288399977075919,14.0,23440412.0,23451848.0,1240941.0,185.0,2.08102e-06,0.4738699999999999,0.03786223,14.0,48.51351,77.83784,0.8915257,100.3836,13.557379999999998,53.71187,1.42e-05,22.0,4.529411764705882,1
AKT1,0.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,124.0,2.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,158,11.901389904369957,0.3094737198473657,19.44105808731403,7.954196310386875,-0.01604805,0.031938437,0.052286148,0.017221581,-0.117894985,0.036542855,0.09060703,0.000982732,14.0,105235689.0,105262080.0,711772.2,247.0,2.715661e-06,0.60383,0.03599851,12.0,40.51351,80.45945999999999,0.8555161,71.94426,2.514754,61.99387,0.002771845,253.0,3.5,1
ALB,0.0,8.0,0.0,10.0,21.0,8.0,5.0,0.0,1.0,185.0,8.0,0.0,0.0,70.0,20.0,0.0,41.0,8.0,0.0,287.0,0.0,256,3.323508287689961,17.608948566944488,18.26857306732437,9.26209484537018,-0.015170381,0.02485055,0.043276116,0.015729183,-0.100653,0.025889717,0.4439186536272007,0.0288399977075919,4.0,74269972.0,74287127.0,315781.8,613.0,2.720068e-06,0.38905,0.0075258719999999,4.0,50.45946,97.16216,0.8968562,106.6951,7.393442999999999,38.16156,0.003297184,165.0,3.112676056338028,1
ALK,0.0,19.0,0.0,0.0,12.0,3.0,2.0,0.0,6.0,358.0,25.0,0.0,0.0,176.0,10.0,0.0,14.0,4.0,0.0,593.0,0.0,443,2.7592242437404813,5.601346626835951,17.6254191906772,9.786269627648467,0.02325528,0.014714645,0.052760005,0.012351356,-0.056865532,0.012350625,0.145018186,0.040757847,2.0,29415641.0,30144432.0,202198.4,882.0,2.5622710000000003e-06,0.429635,0.01878041,9.0,51.48649,93.97297,0.8414963,117.6033,13.40984,53.27906,0.000155371,62.0,2.23728813559322,1
AMER1,0.0,94.0,0.0,17.0,23.0,9.0,0.0,0.0,0.0,288.0,69.0,0.0,0.0,92.0,2.0,0.0,28.0,12.0,0.0,554.0,0.0,445,6.681498285286242,2.68894983812042,15.821900511138876,8.594903589110126,0.0046247817,0.0112903189999999,0.021723162,0.006481859,-0.05215794,0.023067374,0.4439186536272007,0.0288399977075919,23.0,63404998.0,63425624.0,57924.08,443.4357224118317,4.866927e-06,0.43448,0.002023752,5.0,29.27027,73.27027,0.9759692,76.81639,5.560656,53.94008,4.1e-06,11.0,3.956989247311828,1
APC,0.0,27.0,0.0,2.0,194.0,98.0,3.0,1.0,1.0,494.0,521.0,0.0,0.0,115.0,26.0,0.0,197.0,105.0,0.0,1180.0,0.0,889,9.402625965443123,0.990658045966602,17.918885360043515,8.643856189774723,-0.021727912,0.028125314,0.043907076,0.0105154,-0.13100749,0.03833304,1.44145598,0.323746914,5.0,112043218.0,112181935.0,247810.8,399.0,2.396328e-06,0.3856199999999999,0.0275499,4.0,49.62162,96.62162,0.9487281,103.9279,6.013115,38.99682,0.001185918,137.0,9.827586206896552,1
APOB,0.0,21.0,0.0,2.0,38.0,21.0,5.0,0.0,5.0,1195.0,82.0,0.0,0.0,474.0,6.0,0.0,45.0,21.0,0.0,1783.0,0.0,1049,2.86190032741188,13.613480126229891,17.761257739640392,9.449148645375436,0.019815855,0.01585127,0.051882047,0.011916155,-0.064621925,0.01637808,0.618693335,0.045142335,2.0,21224302.0,21266945.0,222161.8,698.0,3.734609e-06,0.4470267,-0.01116634,7.0,59.10811,97.72973,0.9607832,163.6066,26.05246,41.98796,0.00035014,42.0,2.745263157894737,1
AR,0.0,21.0,0.0,9.0,4.0,3.0,1.0,0.0,17.0,181.0,15.0,1.0,0.0,105.0,6.0,0.0,13.0,3.0,0.0,347.0,0.0,286,4.592138528843583,8.906497271544673,16.696281594186832,8.594903589110126,0.0053439136,0.0088219919999999,0.02108574,0.0064631132,-0.04656232,0.0130907865,3.032896456,0.4560895820000001,23.0,66763874.0,66944119.0,106188.5,443.4357224118317,4.998554e-06,0.3875099999999999,-0.007090065,1.0,26.7027,65.7027,0.8616898000000001,51.43607,2.04918,50.9402,0.001675864,226.0,1.9339622641509435,1
ARAF,0.0,7.0,0.0,0.0,21.0,1.0,1.0,0.0,0.0,110.0,7.0,0.0,0.0,38.0,3.0,0.0,22.0,1.0,0.0,165.0,0.0,159,10.340668561744726,0.3118963606610297,19.56423733305053,8.594903589110126,0.0029176,0.013779471,0.023430929,0.010637551,-0.063676976,0.018181428,0.28682916,0.035087619,23.0,47420516.0,47431319.0,775214.2,443.4357224118317,2.733144e-06,0.47047,0.03801457,16.0,28.05405,60.0,0.9316594,36.09508,0.4,58.62421,0.000282272,80.0,3.102564102564102,1
ARHGAP35,0.0,24.0,0.0,0.0,59.0,11.0,7.0,0.0,2.0,286.0,98.0,0.0,0.0,94.0,2.0,0.0,68.0,13.0,0.0,502.0,0.0,416,6.681498285286242,2.68894983812042,20.196833820062352,7.700439718141093,-0.007249396,0.025553305,0.0547742959999999,0.0121618975,-0.089874834,0.031443022,0.4439186536272007,0.0288399977075919,19.0,47421933.0,47508323.0,1201856.0,207.0,2.394241e-06,0.4846399999999999,0.02947543,21.0,54.81081,97.56757,0.9523552,122.0689,15.79344,47.07204,3.16e-05,11.0,4.178947368421053,1
ARID1A,0.0,31.0,0.0,0.0,291.0,95.0,4.0,1.0,17.0,314.0,328.0,0.0,0.0,105.0,34.0,0.0,308.0,104.0,0.0,808.0,0.0,899,11.187981590682355,0.4687530204060779,19.89647151135277,7.515699838284043,-0.037243716,0.02853611,0.032519877,0.006167759,-0.13978295,0.04374795,0.11051121,0.004302233,1.0,27022522.0,27108601.0,975965.1,182.0,1.694622e-06,0.4612199999999999,0.02749164,26.0,45.72973,89.48649,0.9422849,132.0852,16.43279,53.77404,0.000107153,52.0,7.283018867924528,1
ARID2,0.0,42.0,11.0,0.0,66.0,10.0,3.0,1.0,8.0,329.0,116.0,0.0,0.0,90.0,25.0,0.0,77.0,13.0,0.0,611.0,0.0,491,9.43075089894,0.4515078587178897,19.64666663543411,9.236014191900084,0.01905469,0.02255286,0.058563497,0.018712476,-0.06463722,0.020379445,0.4439186536272007,0.0288399977075919,12.0,46123620.0,46301819.0,820796.4,602.0,2.490684e-06,0.3695267,0.01035756,5.0,50.72973,94.10811,0.9085058,131.8262,15.28197,40.25991,4.17e-06,20.0,5.285714285714286,1
ARID5B,0.0,54.0,0.0,5.0,35.0,11.0,1.0,0.0,5.0,192.0,27.0,1.0,0.0,81.0,3.0,0.0,46.0,12.0,0.0,357.0,0.0,312,10.146034197432083,1.25982854752949,16.31606935510919,8.603626344986193,-0.029558143,0.032812487,0.041308302,0.013500698,-0.1296569,0.042979572,0.4439186536272007,0.0288399977075919,10.0,63661013.0,63856707.0,81587.0,388.0,2.174095e-06,0.40396,0.0199967,3.0,50.05405,96.75676,0.9209687,143.0689,18.98361,47.84528,1.93e-06,7.0,2.841463414634146,1
ASXL1,0.0,21.0,0.0,1.0,37.0,10.0,0.0,0.0,6.0,235.0,38.0,0.0,0.0,103.0,3.0,0.0,37.0,11.0,0.0,406.0,0.0,341,10.636846426934907,0.29941427809678,19.574553061834926,7.92481250360578,0.078234546,0.036237612,0.11342726,0.042034797,-0.025330603,0.0048090876,0.02737605,0.000180787,20.0,30946147.0,31027121.0,780777.1,242.0,2.341719e-06,0.44678,0.05736297,22.0,58.10811,95.59459,0.9467196,145.9934,20.60656,50.18696,1.36e-05,11.0,2.75,1
ASXL2,0.0,18.0,0.0,14.0,10.0,4.0,4.0,0.0,0.0,243.0,41.0,0.0,0.0,78.0,4.0,2.0,24.0,7.0,0.0,387.0,0.0,324,8.629959961675931,1.7462070024424972,19.201061868092395,8.169925001442312,0.020519463,0.015583256,0.05214123,0.011713437,-0.06352118,0.016149726,0.4439186536272007,0.0288399977075919,2.0,25962253.0,26101312.0,602691.2,287.0,1.904403e-06,0.4231667,0.03117825,7.0,53.21621999999999,95.16216,0.8458472,178.0984,31.90492,47.44795,2.93e-05,11.0,3.6962025316455698,1
ATF7IP,0.0,13.0,0.0,6.0,20.0,16.0,2.0,0.0,11.0,182.0,47.0,0.0,0.0,63.0,10.0,0.0,23.0,16.0,0.0,331.0,0.0,282,9.660381796239156,0.6441469033600334,18.37205775533965,9.786269627648467,0.027438892,0.035786442,0.07802167,0.03145664,-0.081671104,0.027705379,0.30149485,0.007017786,12.0,14518611.0,14651696.0,339265.1,882.0,3.501794e-06,0.38464,0.01227894,2.0,56.40541,98.43243,0.9282649,132.6984,15.92131,40.92154,1.4499999999999998e-05,19.0,3.984375,1
ATM,0.0,13.0,0.0,0.0,75.0,21.0,8.0,0.0,6.0,553.0,107.0,1.0,0.0,118.0,37.0,0.0,86.0,21.0,0.0,832.0,0.0,635,9.812150525662606,0.8085489074570414,18.665663115450307,9.187352073200495,-0.031743772,0.0324447229999999,0.040505476,0.010243551,-0.14058605,0.046182755,0.134311695,0.00162483,11.0,108093559.0,108239826.0,415837.3,582.0,2.489696e-06,0.3894167,0.01619721,10.0,44.86486,94.13514,0.8988393,129.0492,15.40656,35.17429,0.001447922,135.0,6.033613445378151,1
ATR,0.0,8.0,0.0,3.0,25.0,10.0,1.0,0.0,2.0,409.0,44.0,0.0,0.0,113.0,20.0,0.0,26.0,10.0,0.0,599.0,0.0,445,9.313908022245588,0.5187370438832222,19.10727046650045,8.658211482751796,0.04432182,0.034075394,0.0882492659999999,0.0325035,-0.0678253,0.020588236,0.071826827,0.000498668,3.0,142168078.0,142297668.0,564755.9,403.0,2.657821e-06,0.369535,0.0237615,8.0,54.7027,93.0,0.8840769,135.4885,17.00984,36.14391,0.000313304,97.0,4.2368421052631575,1
ATRX,0.0,111.0,0.0,9.0,145.0,41.0,4.0,0.0,1.0,558.0,140.0,0.0,0.0,132.0,29.0,0.0,166.0,47.0,0.0,957.0,0.0,750,10.42428615728199,0.6621005371425517,19.065179701901016,8.594903589110126,0.0016754944,0.008137279,0.018076722,0.0041802214,-0.050307635,0.01712672,0.228018833,0.041696409,23.0,76760359.0,77041719.0,548517.1,443.4357224118317,2.649852e-06,0.388925,0.007779237,2.0,29.75676,74.89189,0.9278556,179.2918,32.74426,35.81116,0.000226882,47.0,5.774436090225564,1
ATXN3,0.0,16.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,44.0,12.0,0.0,0.0,11.0,3.0,1.0,3.0,1.0,0.0,87.0,0.0,79,8.520895452926114,0.3651446388151707,18.44218298504223,8.700439718141093,-0.022367984,0.028479954,0.0449063,0.010630747,-0.123885795,0.038281593,0.04767463,0.000235091,14.0,92524897.0,92572965.0,356163.2,415.0,2.416015e-06,0.40208,0.02689981,12.0,43.13514,89.78378000000001,0.8447333,146.0197,19.63607,38.01007,0.000813865,76.0,5.0,1
AXIN1,0.0,23.0,0.0,5.0,23.0,4.0,1.0,0.0,1.0,137.0,20.0,0.0,0.0,57.0,9.0,0.0,26.0,4.0,0.0,250.0,0.0,241,9.902774492096338,0.3864597135398147,20.46263107319909,7.686500527183218,0.0014500860297898,0.0299711588873905,0.057367087,0.0186526400956217,-0.096697303670753,0.0309440894036777,0.174672081,0.033637112,16.0,337440.0,402464.0,1444992.0,205.0,3.4602510000000003e-06,0.54865,0.04011333,48.0,40.59459,81.81081,0.906621,105.9672,11.58361,59.97119,0.000296035,58.0,2.931034482758621,1
AXIN2,0.0,21.0,0.0,4.0,32.0,10.0,1.0,1.0,18.0,122.0,13.0,0.0,0.0,60.0,2.0,0.0,36.0,11.0,0.0,237.0,0.0,229,7.8418018512714625,4.066616729581239,17.698564280374203,9.59618975614441,0.03074843,0.028871749,0.07738426,0.025806013,-0.0659481,0.021371193,0.106766418,0.001431759,17.0,63524685.0,63557740.0,212714.3,773.0,2.507782e-06,0.47489,-0.02643192,5.0,51.45946,94.18919,0.9143888,102.9246,11.1082,54.31228,5.64e-06,11.0,2.4262295081967213,1
B2M,0.0,2.0,0.0,20.0,61.0,7.0,1.0,0.0,23.0,38.0,22.0,1.0,0.0,8.0,13.0,20.0,69.0,7.0,0.0,140.0,0.0,165,15.400562339735536,1.0733238325746013,19.360510627528207,8.744833837499545,-0.030205177,0.02746644,0.034879148,0.0060112635,-0.12139334,0.043279,0.04622128,0.00025966,15.0,45003685.0,45010356.0,673122.0,428.0,2.356271e-06,0.4221399999999999,0.03622573,10.0,58.32431999999999,95.45946,0.8879617,158.2361,22.54426,42.08208,4e-05,21.0,8.88888888888889,1
BAP1,0.0,6.0,0.0,5.0,42.0,9.0,7.0,0.0,3.0,158.0,44.0,0.0,0.0,52.0,18.0,3.0,53.0,9.0,0.0,285.0,0.0,285,10.806575520808332,0.3134313262265245,20.04047167340235,7.845490050944376,-0.042462483,0.0342301,0.03551405,0.007237195,-0.15686035,0.05182646,0.189799689,0.005599101,3.0,52435027.0,52444009.0,1078407.0,229.0,1.601197e-06,0.54928,0.06225371,31.0,42.78378,88.21621999999999,0.9290489,92.4623,8.97377,56.93854,0.000299516,45.0,4.320754716981132,1
BCL2,0.0,33.0,0.0,32.0,1.0,0.0,1.0,0.0,5.0,29.0,1.0,0.0,0.0,23.0,0.0,0.0,3.0,1.0,0.0,121.0,0.0,96,8.695454601205933,3.0643820452689376,17.660089930924165,9.030667136246944,-0.046909384,0.03790543,0.041297633,0.010950209,-0.14877774,0.049675,4.425341121000001,0.295729212,18.0,60790579.0,60986613.0,207116.5,522.0,2.484001e-06,0.4313832999999999,0.06028997,5.0,37.35135,77.78378000000001,0.7273774000000001,92.85902,5.481967,59.85281,0.000752638,96.0,1.25,1
BCL2L11,0.0,41.0,0.0,1.0,1.0,4.0,0.0,0.0,8.0,51.0,6.0,0.0,0.0,12.0,2.0,0.0,4.0,5.0,0.0,117.0,0.0,100,9.43798009255334,0.6755626783656553,18.70293689136919,8.594903589110126,0.011598742,0.0137736015,0.04210381,0.007462295,-0.06673612,0.021457104,0.4439186536272007,0.0288399977075919,10.318351414958958,73868703.71494174,73933525.0491361,651465.5732789387,443.4357224118317,3.071750140921875e-06,0.4479311960039042,0.0200799657459558,15.394179438608576,47.73935778170025,89.37432302393663,0.8771654310377418,118.01485201911488,14.702477788808851,49.3463895895758,0.000337914,45.0,4.846153846153846,1
BCOR,0.0,29.0,0.0,3.0,35.0,14.0,1.0,0.0,1.0,329.0,47.0,0.0,0.0,148.0,6.0,0.0,36.0,17.0,0.0,560.0,0.0,442,9.79273456787671,0.6434158467379638,18.524913160575245,8.594903589110126,-0.0047843354,0.013462745,0.018835712,0.0054217405,-0.07901173,0.031473555,1.4884852869999998,0.082627467,23.0,39910501.0,40036582.0,377184.1,443.4357224118317,2.329506e-06,0.514745,0.0421931,1.0,31.78378,71.32432,0.9223142,69.27541,4.016393,51.88701,2.87e-05,34.0,2.6577181208053693,1
BRAF,0.0,9.0,0.0,0.0,7.0,1.0,7.0,0.0,0.0,837.0,17.0,0.0,0.0,44.0,7.0,0.0,15.0,2.0,0.0,912.0,0.0,797,7.1511509568107865,0.6456797975221066,18.219356201577583,9.269126679149418,0.055483073,0.03476184,0.09798444,0.031567186,-0.07273199,0.02251437,0.332247826,0.005149957,7.0,140433815.0,140624564.0,305190.7,616.0,3.162551e-06,0.40297,0.02459647,10.0,48.67568,93.32432,0.8873112,134.6033,15.04262,38.43735,4.78e-05,42.0,19.155555555555555,1
BRCA1,5.0,1.0,0.0,1.0,19.0,8.0,2.0,0.0,2.0,244.0,39.0,0.0,0.0,62.0,9.0,1.0,21.0,9.0,0.0,363.0,0.0,314,8.200344679975881,1.5622601154133748,20.48367999873901,7.658211482751795,-0.0024378137,0.02484179,0.053351436,0.011905657,-0.09858228,0.03253014,2.628634602,0.106627125,17.0,41196313.0,41277500.0,1466229.0,201.0,2.172463e-06,0.46607,0.02652095,38.0,58.97297,98.67568,0.9199338,169.882,30.209840000000003,39.3769,0.011628643,560.0,4.761904761904762,1
