gene	transcript	protein_change	score	pvalue	qvalue	info
ZNF628	ENST00000598519	.	.	0.118989978430308	1	PROT_RANGE=35-100
PARP1	ENST00000366794	.	.	0.207100591715976	1	PROT_RANGE=797-1007
ACY3	ENST00000255082	.	.	0.905956112852665	1	PROT_RANGE=11-300
PTPRC	ENST00000442510	.	.	0.667271096702747	1	PROT_RANGE=968-1226
MUC17	ENST00000306151	.	.	0.233570907570041	1	PROT_RANGE=94-148
DDAH1	ENST00000284031	.	.	0.859649122807018	1	PROT_RANGE=31-276
OR10H3	ENST00000305892	.	.	0.870253164556962	1	PROT_RANGE=34-309
NARFL	ENST00000251588	.	.	0.069327731092437	1	PROT_RANGE=431-464
CTC-432M15.3	ENST00000514667	.	.	1	1	PROT_RANGE=241-319
BBX	ENST00000325805	.	.	0.175599044769363	1	PROT_RANGE=1-186
UCHL5	ENST00000367455	.	.	0.610942249240122	1	PROT_RANGE=8-209
PPP2R5A	ENST00000261461	.	.	0.831275720164609	1	PROT_RANGE=56-460
CNN3	ENST00000370206	.	.	0.291128130745282	1	PROT_RANGE=277-329
NELL1	ENST00000357134	.	.	0.183374710468656	1	PROT_RANGE=434-474
MCM10	ENST00000484800	.	.	0.584361867568513	1	PROT_RANGE=1-223
ZFP69B	ENST00000411995	.	.	0.213104635859218	1	PROT_RANGE=73-114
CCDC41	ENST00000397809	.	.	0.32717882136992	1	PROT_RANGE=109-235
TRAM1	ENST00000262213	.	.	0.529411764705882	1	PROT_RANGE=118-316
RNF19B	ENST00000373456	.	.	1	1	PROT_RANGE=583-696
SHPRH	ENST00000367505	.	.	0.0659590497362153	1	PROT_RANGE=307-987
DPRX	ENST00000376650	.	.	0.225130890052356	1	PROT_RANGE=1-44
KIAA0195	ENST00000314256	.	.	0.218537312611108	1	PROT_RANGE=457-564
ZNF254	ENST00000357002	.	.	0.35660091047041	1	PROT_RANGE=424-659
FAM104B	ENST00000425133	.	.	0.856123662306778	1	PROT_RANGE=1-73
RBPJL	ENST00000343694	.	.	0.459405945720653	1	PROT_RANGE=207-359
FAM126B	ENST00000418596	.	.	1	1	PROT_RANGE=359-409
SELENBP1	ENST00000368868	.	.	0.985169491525424	1	PROT_RANGE=7-472
PABPN1	ENST00000216727	.	.	0.261437908496732	1	PROT_RANGE=226-306
CYP21A2	ENST00000418967	.	.	0.868686868686869	1	PROT_RANGE=49-479
DPYSL2	ENST00000311151	.	.	0.897644750354541	1	PROT_RANGE=64-453
OR6S1	ENST00000320704	.	.	0.926345022490334	1	PROT_RANGE=33-309
CPNE2	ENST00000535318	.	.	1	1	PROT_RANGE=326-542
TLK2	ENST00000346027	.	.	0.170686222222222	1	PROT_RANGE=455-522
TPO	ENST00000345913	.	.	0.00589689620402184	1	PROT_RANGE=796-838
LGALS3BP	ENST00000262776	.	.	0.0733632856376665	1	PROT_RANGE=261-358
C16orf72	ENST00000327827	.	.	0.515422581517656	1	PROT_RANGE=1-60
FAM19A2	ENST00000416284	.	.	0.892255696055009	1	PROT_RANGE=41-129
ATXN2	ENST00000377617	.	.	0.405553133765506	1	PROT_RANGE=739-948
SLC8A1	ENST00000403092	.	.	0.08402213827214	1	PROT_RANGE=527-626
PTPN5	ENST00000358540	.	.	0.357104774630483	1	PROT_RANGE=324-552
MMGT1	ENST00000305963	.	.	1	1	PROT_RANGE=12-90
MGAT4A	ENST00000264968	.	.	1	1	PROT_RANGE=98-380
GJB4	ENST00000339480	.	.	0.950802758776641	1	PROT_RANGE=2-209
GIMAP8	ENST00000307271	.	.	0.323308270676692	1	PROT_RANGE=439-654
SFXN4	ENST00000355697	.	.	0.698431570888041	1	PROT_RANGE=37-336
C17orf47	ENST00000321691	.	.	0.933333333333333	1	PROT_RANGE=2-534
ZNF57	ENST00000306908	.	.	0.0777079782485188	1	PROT_RANGE=336-358
AIFM3	ENST00000399167	.	.	0.300710941367528	1	PROT_RANGE=1-69
TSHR	ENST00000541158	.	.	0.136125654450262	1	PROT_RANGE=294-398
CLEC12B	ENST00000338896	.	.	0.373188405797101	1	PROT_RANGE=162-265
LRMP	ENST00000354454	.	.	0.0459797350211445	1	PROT_RANGE=315-422
BPIFB4	ENST00000375483	.	.	1	1	PROT_RANGE=419-614
ALDOC	ENST00000226253	.	.	0.958791208791209	1	PROT_RANGE=15-364
BACH1	ENST00000399921	.	.	1	1	PROT_RANGE=531-607
MYO9A	ENST00000356056	.	.	0.0440770388019139	1	PROT_RANGE=1807-1845
PRPF40B	ENST00000548825	.	.	1	1	PROT_RANGE=618-664
SPRY2	ENST00000377102	.	.	0.374603174603175	1	PROT_RANGE=1-119
OLFML1	ENST00000329293	.	.	0.619402985074627	1	PROT_RANGE=145-394
TC2N	ENST00000435962	.	.	0.210204081632653	1	PROT_RANGE=367-470
TRAV21	ENST00000390449	.	.	0.5625	1	PROT_RANGE=27-111
MAP3K10	ENST00000253055	.	.	0.116352201257862	1	PROT_RANGE=375-486
GPAT2	ENST00000434632	.	.	1	1	PROT_RANGE=643-666
FHOD3	ENST00000257209	.	.	0.209232673529257	1	PROT_RANGE=1258-1324
SEMA3D	ENST00000284136	.	.	0.918411932559009	1	PROT_RANGE=72-512
AGPAT9	ENST00000395226	.	.	1	1	PROT_RANGE=210-331
MTA2	ENST00000278823	.	.	0.11187704953319	1	PROT_RANGE=4-143
ZNHIT1	ENST00000305105	.	.	0.181818181818182	1	PROT_RANGE=113-141
OSBPL6	ENST00000392505	.	.	0.362877997914494	1	PROT_RANGE=595-943
KLHL38	ENST00000325995	.	.	0.432577135379588	1	PROT_RANGE=136-236
SUB1	ENST00000265073	.	.	0.992125984251969	1	PROT_RANGE=1-127
INTS10	ENST00000397977	.	.	1	1	PROT_RANGE=358-402
COL5A3	ENST00000264828	.	.	0.226180926619273	1	PROT_RANGE=793-924
NRXN2	ENST00000265459	.	.	0.267165903259043	1	PROT_RANGE=946-1074
CREB5	ENST00000357727	.	.	1	1	PROT_RANGE=245-410
GLRA2	ENST00000218075	.	.	0.190265486725664	1	PROT_RANGE=261-347
RP11-385D13.1	ENST00000455584	.	.	0.0700807853698873	1	PROT_RANGE=875-909
CCNE1	ENST00000262643	.	.	0.49970255800119	1	PROT_RANGE=245-365
SEC31B	ENST00000370345	.	.	1	1	PROT_RANGE=826-857
SNX14	ENST00000314673	.	.	0.250476022330587	1	PROT_RANGE=337-464
RGAG1	ENST00000465301	.	.	1	1	PROT_RANGE=1314-1388
PNLIPRP1	ENST00000528052	.	.	0.717344753747323	1	PROT_RANGE=18-353
HSD3B2	ENST00000543831	.	.	1	1	PROT_RANGE=6-287
ASB13	ENST00000357700	.	.	0.254696961854976	1	PROT_RANGE=239-277
RNF38	ENST00000259605	.	.	1	1	PROT_RANGE=51-169
THAP4	ENST00000407315	.	.	0.00489948900737566	1	PROT_RANGE=60-158
PAPOLA	ENST00000216277	.	.	0.459060402684564	1	PROT_RANGE=21-363
PPP1R3A	ENST00000284601	.	.	0.377829797532257	1	PROT_RANGE=1-53
ZSWIM3	ENST00000255152	.	.	1	1	PROT_RANGE=533-569
KANK4	ENST00000371153	.	.	0.122613065326633	1	PROT_RANGE=350-472
PARP10	ENST00000313028	.	.	1	1	PROT_RANGE=232-258
RFXANK	ENST00000303088	.	.	0.303846153846154	1	PROT_RANGE=162-241
LRIG3	ENST00000320743	.	.	0.0777479892761394	1	PROT_RANGE=498-585
FMO4	ENST00000367749	.	.	0.852048702209296	1	PROT_RANGE=2-531
KCNK5	ENST00000359534	.	.	0.106212424849699	1	PROT_RANGE=247-300
CSN2	ENST00000353151	.	.	0.358407079646018	1	PROT_RANGE=129-210
DDX59	ENST00000331314	.	.	0.464431400899361	1	PROT_RANGE=227-393
MLTK	ENST00000375213	.	.	0.162775	1	PROT_RANGE=339-407
NRXN3	ENST00000554719	.	.	0.11505063240198	1	PROT_RANGE=340-469
AURKC	ENST00000302804	.	.	0.654580492453996	1	PROT_RANGE=43-293
ACVR2A	ENST00000241416	.	.	0.530214424951267	1	PROT_RANGE=200-472
GOLGA6A	ENST00000290438	.	.	0.207792207792208	1	PROT_RANGE=217-361
MTMR9	ENST00000221086	.	.	1	1	PROT_RANGE=186-284
AGER	ENST00000375076	.	.	0.384318939319674	1	PROT_RANGE=23-110
TMEM181	ENST00000367090	.	.	1	1	PROT_RANGE=28-99
HAP1	ENST00000347901	.	.	0.196557621633417	1	PROT_RANGE=389-565
TAS2R1	ENST00000382492	.	.	0.91003017620513	1	PROT_RANGE=1-296
LEPR	ENST00000349533	.	.	1	1	PROT_RANGE=333-420
HS3ST1	ENST00000002596	.	.	0.606064785833272	1	PROT_RANGE=55-294
FUS	ENST00000254108	.	.	0.574144486692015	1	PROT_RANGE=1-303
DDX54	ENST00000314045	.	.	0.231892832718877	1	PROT_RANGE=324-433
ROR2	ENST00000375708	.	.	0.0831982942910254	1	PROT_RANGE=474-746
PRKACG	ENST00000377276	.	.	0.92362886664881	1	PROT_RANGE=44-298
SH3RF2	ENST00000511217	.	.	0.247757268201683	1	PROT_RANGE=622-688
STX12	ENST00000373943	.	.	1	1	PROT_RANGE=215-265
SMTN	ENST00000358743	.	.	0.0936170212765957	1	PROT_RANGE=801-889
MIA2	ENST00000280082	.	.	0.338289893293681	1	PROT_RANGE=235-357
PITHD1	ENST00000246151	.	.	1	1	PROT_RANGE=91-142
GRIK3	ENST00000373091	.	.	0.0765280234590207	1	PROT_RANGE=435-548
PDLIM7	ENST00000355841	.	.	0.222361610541587	1	PROT_RANGE=400-454
TRAF4	ENST00000262395	.	.	1	1	PROT_RANGE=210-269
PLCG2	ENST00000359376	.	.	0.247063786530798	1	PROT_RANGE=930-1043
MAP3K6	ENST00000493901	.	.	0.189260312640552	1	PROT_RANGE=893-980
C2orf80	ENST00000341287	.	.	1	1	PROT_RANGE=152-193
MYO5A	ENST00000399231	.	.	0.303864747408935	1	PROT_RANGE=72-751
TBX6	ENST00000395224	.	.	0.124316135005471	1	PROT_RANGE=155-183
SLC7A13	ENST00000297524	.	.	0.829787234042553	1	PROT_RANGE=16-406
OR14A16	ENST00000357627	.	.	0.870550161812298	1	PROT_RANGE=29-298
FUK	ENST00000288078	.	.	0.59951185305211	1	PROT_RANGE=97-495
TTC6	ENST00000553443	.	.	1	1	PROT_RANGE=1749-1781
MCMDC2	ENST00000422365	.	.	1	1	PROT_RANGE=532-622
ING5	ENST00000313552	.	.	0.4375	1	PROT_RANGE=70-175
OSBPL11	ENST00000296220	.	.	0.297592959983187	1	PROT_RANGE=372-738
TNPO2	ENST00000425528	.	.	1	1	PROT_RANGE=324-377
SYCP1	ENST00000369522	.	.	0.384950467322619	1	PROT_RANGE=394-707
CAPS2	ENST00000409445	.	.	1	1	PROT_RANGE=111-207
KRT78	ENST00000304620	.	.	0.196908284023669	1	PROT_RANGE=166-220
CTTNBP2	ENST00000160373	.	.	0.121037028458978	1	PROT_RANGE=1593-1663
ABCA12	ENST00000272895	.	.	0.621163268352106	1	PROT_RANGE=934-1270
LIX1	ENST00000274382	.	.	0.875886524822695	1	PROT_RANGE=11-258
B3GNT1	ENST00000311181	.	.	0.759036144578313	1	PROT_RANGE=94-409
PRX	ENST00000324001	.	.	0.441066874872551	1	PROT_RANGE=1298-1433
PRSS21	ENST00000005995	.	.	0.579343989614183	1	PROT_RANGE=42-281
GABBR2	ENST00000259455	.	.	0.350313330367497	1	PROT_RANGE=759-885
SOAT2	ENST00000301466	.	.	0.283707522410118	1	PROT_RANGE=151-494
NUP133	ENST00000261396	.	.	0.724716602570872	1	PROT_RANGE=598-1002
FKBP7	ENST00000424785	.	.	0.0688811331221455	1	PROT_RANGE=153-215
SLCO1B3	ENST00000381545	.	.	0.875887171031534	1	PROT_RANGE=29-618
GHR	ENST00000230882	.	.	0.199003056180658	1	PROT_RANGE=170-237
ORC2	ENST00000234296	.	.	0.533795493934142	1	PROT_RANGE=255-563
WNT7B	ENST00000339464	.	.	0.299972906626382	1	PROT_RANGE=144-201
OR9K2	ENST00000305377	.	.	0.82089552238806	1	PROT_RANGE=56-331
CD70	ENST00000245903	.	.	1	1	PROT_RANGE=82-188
STRADA	ENST00000336174	.	.	0.719257540603248	1	PROT_RANGE=69-379
PQLC2	ENST00000375153	.	.	1	1	PROT_RANGE=183-240
EPHX1	ENST00000366837	.	.	0.806630393785948	1	PROT_RANGE=48-157
SERPINA3	ENST00000467132	.	.	0.658449320607602	1	PROT_RANGE=52-420
ERAP1	ENST00000296754	.	.	0.409282700421941	1	PROT_RANGE=53-441
SNX33	ENST00000308527	.	.	1	1	PROT_RANGE=319-331
NAMPT	ENST00000222553	.	.	0.810038949564669	1	PROT_RANGE=188-465
TOR3A	ENST00000367627	.	.	1	1	PROT_RANGE=106-234
COPS8	ENST00000354371	.	.	0.626794258373206	1	PROT_RANGE=34-165
PDHX	ENST00000227868	.	.	0.263349548408173	1	PROT_RANGE=59-130
ZNF142	ENST00000411696	.	.	0.198261476344069	1	PROT_RANGE=916-977
CDC40	ENST00000368932	.	.	1	1	PROT_RANGE=546-579
BORA	ENST00000390667	.	.	0.323101777059774	1	PROT_RANGE=67-267
SYCP2	ENST00000357552	.	.	0.480834977679853	1	PROT_RANGE=902-1090
BRI3BP	ENST00000341446	.	.	0.561006968143363	1	PROT_RANGE=50-238
INADL	ENST00000371158	.	.	0.0421987784564131	1	PROT_RANGE=1241-1317
TAF5	ENST00000369839	.	.	0.087975	1	PROT_RANGE=576-612
SERPINB3	ENST00000283752	.	.	0.982051282051282	1	PROT_RANGE=7-390
MPZ	ENST00000533357	.	.	0.233870967741935	1	PROT_RANGE=190-248
USP47	ENST00000339865	.	.	0.28982128982129	1	PROT_RANGE=100-473
EMR3	ENST00000253673	.	.	0.316052197554683	1	PROT_RANGE=304-344
