gene	transcript	protein_change	score	pvalue	qvalue	info
MTF1	ENST00000373036	.	.	3.7248562837e-06	5.75659607481e-06	PROT_RANGE=308-308;CLUSTER_MUT_COUNT=2
ATM	ENST00000278616	.	.	0.143141146481	0.148983642256	PROT_RANGE=2875-2875;CLUSTER_MUT_COUNT=2
ABCA1	ENST00000374736	.	.	3.7248562837e-06	5.75659607481e-06	PROT_RANGE=2160-2160;CLUSTER_MUT_COUNT=2
HERC1	ENST00000443617	.	.	8.082942700460001e-10	2.29016709846e-09	PROT_RANGE=517-517;CLUSTER_MUT_COUNT=2
BRAF	ENST00000288602	.	.	5.690734722489998e-07	1.3820355754600001e-06	PROT_RANGE=468-469;CLUSTER_MUT_COUNT=3
GGT5	ENST00000398292	.	.	8.082942700460001e-10	2.29016709846e-09	PROT_RANGE=490-490;CLUSTER_MUT_COUNT=2
FOXA1	ENST00000250448	.	.	1.10083233391e-06	2.55192950133e-06	PROT_RANGE=226-226,247-254,261-266;CLUSTER_MUT_COUNT=2,5,5
MED12	ENST00000374080	.	.	1.2352472258699998e-11	1.57494021298e-10	PROT_RANGE=1223-1224;CLUSTER_MUT_COUNT=5
FAM120B	ENST00000476287	.	.	3.7248562837e-06	5.75659607481e-06	PROT_RANGE=662-662;CLUSTER_MUT_COUNT=2
AKT1	ENST00000554581	.	.	8.082942700460001e-10	2.29016709846e-09	PROT_RANGE=17-17;CLUSTER_MUT_COUNT=2
PIK3CA	ENST00000263967	.	.	3.12430139764e-08	7.96696856398e-08	PROT_RANGE=542-542,1047-1047;CLUSTER_MUT_COUNT=4,2
CUL3	ENST00000264414	.	.	0.000193129759798	0.000252554301275	PROT_RANGE=299-299;CLUSTER_MUT_COUNT=2
NTNG1	ENST00000370068	.	.	8.082942700460001e-10	2.29016709846e-09	PROT_RANGE=491-491;CLUSTER_MUT_COUNT=2
TRAF2	ENST00000247668	.	.	8.082942700460001e-10	2.29016709846e-09	PROT_RANGE=43-43;CLUSTER_MUT_COUNT=2
IDH1	ENST00000415913	.	.	3.23979637179e-20	8.261480748059998e-19	PROT_RANGE=132-132;CLUSTER_MUT_COUNT=4
TP53	ENST00000269305	.	.	2.9092924853500004e-08	7.80915351332e-08	PROT_RANGE=135-135,141-141,157-163,175-181,193-193,237-239,245-249,279-285;CLUSTER_MUT_COUNT=3,2,5,5,2,3,11,4
MECOM	ENST00000494292	.	.	3.7248562837e-06	5.75659607481e-06	PROT_RANGE=792-792;CLUSTER_MUT_COUNT=2
HRAS	ENST00000451590	.	.	4.94080678109e-12	8.399371527850002e-11	PROT_RANGE=61-61;CLUSTER_MUT_COUNT=3
NCKAP1L	ENST00000293373	.	.	0.000193129759798	0.000252554301275	PROT_RANGE=223-223;CLUSTER_MUT_COUNT=2
SUSD1	ENST00000374270	.	.	8.082942700460001e-10	2.29016709846e-09	PROT_RANGE=557-557;CLUSTER_MUT_COUNT=2
CTNNB1	ENST00000349496	.	.	1.91589906549e-06	4.24829792783e-06	PROT_RANGE=32-41;CLUSTER_MUT_COUNT=7
PCDH17	ENST00000377918	.	.	0.000193129759798	0.000252554301275	PROT_RANGE=1109-1109;CLUSTER_MUT_COUNT=2
NRXN3	ENST00000554719	.	.	0.00170272557574	0.00211802449665	PROT_RANGE=654-654;CLUSTER_MUT_COUNT=2
