gene	transcript	protein_change	score	pvalue	qvalue	info
IFT172	ENST00000260570	.	.	1	1	PROT_RANGE=1255-1294
OR5F1	ENST00000278409	.	.	0.778216154813583	1	PROT_RANGE=31-308
LRRIQ4	ENST00000340806	.	.	0.101785714285714	1	PROT_RANGE=120-177
SERPINE2	ENST00000447280	.	.	1	1	PROT_RANGE=46-409
CHRNB4	ENST00000261751	.	.	0.411646586345382	1	PROT_RANGE=27-232
EHF	ENST00000531794	.	.	0.204968944099379	1	PROT_RANGE=256-322
FEZF1	ENST00000442488	.	.	0.322105263157895	1	PROT_RANGE=288-441
AGRN	ENST00000379370	.	.	0.0416116594233655	1	PROT_RANGE=346-389
BTD	ENST00000303498	.	.	0.342541436464088	1	PROT_RANGE=88-274
HAPLN1	ENST00000274341	.	.	0.265536723163842	1	PROT_RANGE=49-143
BAP1	ENST00000460680	.	.	0.00675577273104494	1	PROT_RANGE=5-214
TAC1	ENST00000319273	.	.	0.224806201550388	1	PROT_RANGE=31-60
ADD2	ENST00000264436	.	.	0.31129476584022	1	PROT_RANGE=500-726
SOS1	ENST00000426016	.	.	0.0667666916729182	1	PROT_RANGE=455-544
ANKRD35	ENST00000355594	.	.	0.028971028971029	1	PROT_RANGE=187-216
NR4A1	ENST00000360284	.	.	1	1	PROT_RANGE=279-347
CDC42BPG	ENST00000342711	.	.	0.180528691166989	1	PROT_RANGE=416-696
NRG2	ENST00000361474	.	.	1	1	PROT_RANGE=686-768
FBF1	ENST00000319129	.	.	0.0998168498168498	1	PROT_RANGE=572-681
OR1J1	ENST00000259357	.	.	0.847826086956522	1	PROT_RANGE=33-306
HIST1H1E	ENST00000304218	.	.	1	1	PROT_RANGE=38-108
ARC	ENST00000356613	.	.	0.118686868686869	1	PROT_RANGE=349-396
EMR1	ENST00000312053	.	.	0.0372460496613995	1	PROT_RANGE=172-205
FREM2	ENST00000280481	.	.	1	1	PROT_RANGE=2244-2341
GPR125	ENST00000334304	.	.	0.100681302043906	1	PROT_RANGE=1146-1279
TEX15	ENST00000256246	.	.	1	1	PROT_RANGE=2277-2393
PCDHA7	ENST00000525929	.	.	0.0864461045891142	1	PROT_RANGE=588-669
CHAC2	ENST00000295304	.	.	0.934782608695652	1	PROT_RANGE=1-173
SET	ENST00000372692	.	.	0.248275862068965	1	PROT_RANGE=1-73
SP100	ENST00000340126	.	.	1	1	PROT_RANGE=310-679
ARAP1	ENST00000393609	.	.	0.0779310344827586	1	PROT_RANGE=537-650
PHF20	ENST00000374012	.	.	0.232213438735178	1	PROT_RANGE=127-362
BLNK	ENST00000224337	.	.	0.333333333333333	1	PROT_RANGE=1-153
