gene	transcript	protein_change	score	pvalue	qvalue	info
ZBTB46	ENST00000245663	.	.	1	1	PROT_RANGE=512-589
LOXHD1	ENST00000300591	.	.	0.195806432897447	1	PROT_RANGE=518-633
TPH2	ENST00000333850	.	.	0.450816326530612	1	PROT_RANGE=152-481
STAB2	ENST00000388887	.	.	0.09709031023875	1	PROT_RANGE=527-654
LILRB1	ENST00000324602	.	.	0.193251533742331	1	PROT_RANGE=498-624
SETX	ENST00000224140	.	.	0.20025497015278	1	PROT_RANGE=1136-1419
DNAJC25	ENST00000313525	.	.	0.127777777777778	1	PROT_RANGE=181-227
ACSS2	ENST00000253382	.	.	0.0994397759103641	1	PROT_RANGE=1-72
AMOT	ENST00000371959	.	.	1	1	PROT_RANGE=322-425
GBP2	ENST00000370466	.	.	0.193540444513157	1	PROT_RANGE=19-279
FCGR2B	ENST00000358671	.	.	0.241935483870968	1	PROT_RANGE=53-128
TFDP1	ENST00000375370	.	.	0.559881023200476	1	PROT_RANGE=200-338
LHPP	ENST00000368842	.	.	1	1	PROT_RANGE=14-112
TAGAP	ENST00000367066	.	.	1	1	PROT_RANGE=473-555
CHRNA7	ENST00000454250	.	.	0.470809792843691	1	PROT_RANGE=266-516
ZNF799	ENST00000430385	.	.	0.818040435458787	1	PROT_RANGE=117-643
NFIB	ENST00000380953	.	.	0.574898785425101	1	PROT_RANGE=209-493
UMOD	ENST00000570689	.	.	1	1	PROT_RANGE=335-583
CEP350	ENST00000367607	.	.	0.0195700994546038	1	PROT_RANGE=68-129
TEX14	ENST00000240361	.	.	1	1	PROT_RANGE=629-719
NAGPA	ENST00000312251	.	.	0.374757281553398	1	PROT_RANGE=132-325
INPP5D	ENST00000359570	.	.	0.111721828739083	1	PROT_RANGE=844-890
ZBTB16	ENST00000335953	.	.	0.147102526002972	1	PROT_RANGE=25-124
PPFIA1	ENST00000253925	.	.	0.0460463841462233	1	PROT_RANGE=575-603
SAP130	ENST00000357702	.	.	0.608075444479401	1	PROT_RANGE=661-1066
PKHD1	ENST00000371117	.	.	0.0634932104391375	1	PROT_RANGE=3604-3642
CRYAA	ENST00000291554	.	.	0.260115606936416	1	PROT_RANGE=78-123
SV2B	ENST00000394232	.	.	0.0951683748169839	1	PROT_RANGE=456-521
FMO5	ENST00000254090	.	.	0.99249530956848	1	PROT_RANGE=3-532
DDX51	ENST00000397333	.	.	0.163663663663664	1	PROT_RANGE=491-600
AADACL3	ENST00000359318	.	.	0.319410319410319	1	PROT_RANGE=115-245
CHRNE	ENST00000293780	.	.	0.434077079107505	1	PROT_RANGE=26-240
FOXRED2	ENST00000397224	.	.	1	1	PROT_RANGE=35-284
NCOR2	ENST00000405201	.	.	0.302901207494198	1	PROT_RANGE=629-1044
PPP1R35	ENST00000292330	.	.	0.565217391304348	1	PROT_RANGE=104-247
ZNF521	ENST00000361524	.	.	1	1	PROT_RANGE=930-954
DAB1	ENST00000371236	.	.	0.357123440460182	1	PROT_RANGE=165-241
SMCHD1	ENST00000320876	.	.	1	1	PROT_RANGE=1916-2005
TAF4	ENST00000252996	.	.	1	1	PROT_RANGE=901-1017
RPL9	ENST00000449470	.	.	0.411458333333333	1	PROT_RANGE=99-178
PPRC1	ENST00000278070	.	.	1	1	PROT_RANGE=431-544
BAZ1B	ENST00000339594	.	.	0.142953472690492	1	PROT_RANGE=282-494
KLF13	ENST00000307145	.	.	0.677083333333333	1	PROT_RANGE=93-288
DNM1	ENST00000372923	.	.	0.329861111111111	1	PROT_RANGE=216-501
IKBKAP	ENST00000374647	.	.	0.715465465465465	1	PROT_RANGE=1-954
UNC45B	ENST00000268876	.	.	1	1	PROT_RANGE=299-489
OR1A1	ENST00000304094	.	.	0.886731391585761	1	PROT_RANGE=31-305
MYOC	ENST00000037502	.	.	1	1	PROT_RANGE=249-500
ITGA6	ENST00000409080	.	.	0.0540788267644363	1	PROT_RANGE=520-579
MARS2	ENST00000282276	.	.	1	1	PROT_RANGE=46-410
TESK1	ENST00000336395	.	.	0.402555910543131	1	PROT_RANGE=59-311
CYP2A13	ENST00000330436	.	.	0.923076923076923	1	PROT_RANGE=34-490
RBBP8	ENST00000399722	.	.	0.232998885172798	1	PROT_RANGE=688-897
PRSS16	ENST00000230582	.	.	0.58548531914727	1	PROT_RANGE=64-494
ZNF831	ENST00000371030	.	.	0.00688271388958134	1	PROT_RANGE=436-473
ZMYND12	ENST00000372565	.	.	1	1	PROT_RANGE=17-54
AMBRA1	ENST00000314845	.	.	1	1	PROT_RANGE=1018-1058
FAM71A	ENST00000294829	.	.	0.116161616161616	1	PROT_RANGE=115-184
ITLN1	ENST00000326245	.	.	1	1	PROT_RANGE=90-159
MUC6	ENST00000421673	.	.	0.0684849617067768	1	PROT_RANGE=664-721
COL4A4	ENST00000396625	.	.	0.066318056090473	1	PROT_RANGE=62-119
SLC16A5	ENST00000450736	.	.	1	1	PROT_RANGE=32-297
KMT2C	ENST00000262189	.	.	0.0621949566004469	1	PROT_RANGE=4782-4886
TMLHE	ENST00000334398	.	.	0.570071258907363	1	PROT_RANGE=164-404
IFNL2	ENST00000331982	.	.	0.79	1	PROT_RANGE=38-196
CLDN6	ENST00000396925	.	.	0.958161157024793	1	PROT_RANGE=5-180
RERE	ENST00000337907	.	.	0.125798212005109	1	PROT_RANGE=549-746
POTEH	ENST00000343518	.	.	0.165137614678899	1	PROT_RANGE=142-232
BNC1	ENST00000345382	.	.	0.140716896099868	1	PROT_RANGE=945-994
FBXO9	ENST00000244426	.	.	1	1	PROT_RANGE=59-112
ERGIC1	ENST00000393784	.	.	0.568965517241379	1	PROT_RANGE=106-271
PSMB9	ENST00000374859	.	.	0.82648401826484	1	PROT_RANGE=17-198
ARHGAP10	ENST00000336498	.	.	0.190839694656489	1	PROT_RANGE=398-548
TICRR	ENST00000268138	.	.	0.416753926701571	1	PROT_RANGE=208-1004
HAS1	ENST00000222115	.	.	1	1	PROT_RANGE=345-384
H2AFX	ENST00000530167	.	.	0.230769230769231	1	PROT_RANGE=1-34
PIK3R3	ENST00000262741	.	.	1	1	PROT_RANGE=65-140
KIAA1109	ENST00000264501	.	.	0.0419565853003864	1	PROT_RANGE=1926-1997
WDR47	ENST00000400794	.	.	1	1	PROT_RANGE=753-790
L3MBTL2	ENST00000216237	.	.	0.107801418439716	1	PROT_RANGE=1-77
PKN1	ENST00000342216	.	.	0.0654008438818565	1	PROT_RANGE=220-282
ZNF503	ENST00000372524	.	.	1	1	PROT_RANGE=355-415
DENND2A	ENST00000275884	.	.	0.33954174569607	1	PROT_RANGE=188-377
SMARCAD1	ENST00000359052	.	.	0.267509727626459	1	PROT_RANGE=513-788
GGN	ENST00000334928	.	.	0.0414110429447853	1	PROT_RANGE=579-606
FPR1	ENST00000595042	.	.	1	1	PROT_RANGE=43-301
KLF17	ENST00000372299	.	.	1	1	PROT_RANGE=343-365
CSF2RB	ENST00000403662	.	.	1	1	PROT_RANGE=335-413
ARID1B	ENST00000346085	.	.	1	1	PROT_RANGE=508-680
JAG1	ENST00000254958	.	.	1	1	PROT_RANGE=671-701
SLC44A1	ENST00000374720	.	.	0.471841704718417	1	PROT_RANGE=295-605
TRAPPC3L	ENST00000368602	.	.	0.806629834254144	1	PROT_RANGE=19-165
ZNF879	ENST00000444149	.	.	0.172291296625222	1	PROT_RANGE=265-362
DLX1	ENST00000361725	.	.	1	1	PROT_RANGE=104-151
PHKA2	ENST00000379942	.	.	0.737651821862348	1	PROT_RANGE=8-919
VSTM2B	ENST00000335523	.	.	0.368421052631579	1	PROT_RANGE=33-138
KRTAP10-4	ENST00000400374	.	.	0.102244389027431	1	PROT_RANGE=89-130
FSTL5	ENST00000306100	.	.	0.0909090909090909	1	PROT_RANGE=340-417
OR51I2	ENST00000341449	.	.	0.788225262984878	1	PROT_RANGE=31-308
CIB4	ENST00000288861	.	.	1	1	PROT_RANGE=124-185
MTMR4	ENST00000323456	.	.	0.0535564853556485	1	PROT_RANGE=1110-1174
KIF1B	ENST00000263934	.	.	0.57037287212512	1	PROT_RANGE=11-348
MYO5C	ENST00000261839	.	.	1	1	PROT_RANGE=831-851
OR5J2	ENST00000312298	.	.	0.887820512820513	1	PROT_RANGE=31-308
RAB2A	ENST00000262646	.	.	0.754716981132076	1	PROT_RANGE=8-168
DUSP13	ENST00000372700	.	.	0.536290322580645	1	PROT_RANGE=103-236
RFPL1	ENST00000354373	.	.	0.324921135646688	1	PROT_RANGE=179-282
DTX4	ENST00000227451	.	.	0.0969305331179322	1	PROT_RANGE=360-420
ARHGAP30	ENST00000368013	.	.	0.20720556110266	1	PROT_RANGE=259-341
ACVR2B	ENST00000352511	.	.	0.533203125	1	PROT_RANGE=198-471
KIAA0922	ENST00000409959	.	.	1	1	PROT_RANGE=1090-1245
GPCPD1	ENST00000379019	.	.	1	1	PROT_RANGE=5-70
PLXNA1	ENST00000393409	.	.	0.232067510548523	1	PROT_RANGE=53-493
MYH6	ENST00000405093	.	.	0.138731304796287	1	PROT_RANGE=1670-1939
RYR1	ENST00000359596	.	.	0.0104575479579029	1	PROT_RANGE=2746-2884
STT3A	ENST00000392708	.	.	0.438788793320255	1	PROT_RANGE=17-484
G6PC2	ENST00000375363	.	.	1	1	PROT_RANGE=56-190
IGKV1-27	ENST00000498435	.	.	1	1	PROT_RANGE=28-112
ITPRIPL2	ENST00000381440	.	.	0.371906716743821	1	PROT_RANGE=342-453
PROZ	ENST00000342783	.	.	0.492890995260663	1	PROT_RANGE=208-416
OR5AP2	ENST00000302981	.	.	0.659078028056605	1	PROT_RANGE=37-312
CHD6	ENST00000373233	.	.	1	1	PROT_RANGE=1992-2076
RNF150	ENST00000515673	.	.	0.205479452054795	1	PROT_RANGE=88-178
LRP5L	ENST00000402859	.	.	0.146825396825397	1	PROT_RANGE=92-129
CDK11B	ENST00000407249	.	.	0.519496855345912	1	PROT_RANGE=1-414
CD209	ENST00000315599	.	.	1	1	PROT_RANGE=274-379
CNOT1	ENST00000317147	.	.	1	1	PROT_RANGE=1998-2357
PPP2R2C	ENST00000335585	.	.	1	1	PROT_RANGE=44-92
ZPBP	ENST00000046087	.	.	0.754985754985755	1	PROT_RANGE=86-351
HID1	ENST00000425042	.	.	0.0621827411167513	1	PROT_RANGE=557-606
MORC1	ENST00000232603	.	.	1	1	PROT_RANGE=850-908
STX16	ENST00000371141	.	.	0.563076923076923	1	PROT_RANGE=82-265
XKR7	ENST00000562532	.	.	1	1	PROT_RANGE=58-442
PKD2	ENST00000237596	.	.	0.105371900826446	1	PROT_RANGE=736-838
CYP4A11	ENST00000310638	.	.	0.751779210798891	1	PROT_RANGE=52-502
TRIM11	ENST00000284551	.	.	0.217948717948718	1	PROT_RANGE=341-443
CPAMD8	ENST00000443236	.	.	0.029795393267578	1	PROT_RANGE=1180-1209
KRT20	ENST00000167588	.	.	1	1	PROT_RANGE=69-379
SEL1L	ENST00000336735	.	.	1	1	PROT_RANGE=221-253
LRP12	ENST00000276654	.	.	0.0465657741559953	1	PROT_RANGE=214-254
REPS1	ENST00000258062	.	.	1	1	PROT_RANGE=282-370
TAF1	ENST00000276072	.	.	0.0634095811046843	1	PROT_RANGE=25-86
GPR126	ENST00000367609	.	.	1	1	PROT_RANGE=159-341
SYT2	ENST00000367267	.	.	0.250596658711217	1	PROT_RANGE=155-260
TLN2	ENST00000561311	.	.	1	1	PROT_RANGE=494-655
OR6C76	ENST00000328314	.	.	0.982731344510191	1	PROT_RANGE=31-302
TMEM87A	ENST00000389834	.	.	1	1	PROT_RANGE=474-555
LRCH4	ENST00000310300	.	.	1	1	PROT_RANGE=138-194
COPS4	ENST00000264389	.	.	0.0536047950690383	1	PROT_RANGE=268-362
FASN	ENST00000306749	.	.	0.172371914205319	1	PROT_RANGE=243-359
HUNK	ENST00000270112	.	.	0.584932012020495	1	PROT_RANGE=66-320
CROCC	ENST00000375541	.	.	0.138609867686391	1	PROT_RANGE=538-683
MAP2K4	ENST00000353533	.	.	0.659147869674185	1	PROT_RANGE=104-367
CCDC33	ENST00000398814	.	.	1	1	PROT_RANGE=387-468
TMEM71	ENST00000356838	.	.	0.213768115942029	1	PROT_RANGE=113-172
SPRY1	ENST00000394339	.	.	1	1	PROT_RANGE=40-98
CCDC60	ENST00000327554	.	.	0.597352066115703	1	PROT_RANGE=181-382
SFMBT2	ENST00000361972	.	.	0.176008268068069	1	PROT_RANGE=654-830
PDLIM2	ENST00000308354	.	.	1	1	PROT_RANGE=96-152
TGFBR3	ENST00000212355	.	.	1	1	PROT_RANGE=456-723
ZNF106	ENST00000263805	.	.	0.0217737652681891	1	PROT_RANGE=1561-1602
KHDRBS1	ENST00000327300	.	.	1	1	PROT_RANGE=366-415
TOPBP1	ENST00000260810	.	.	0.140666710681141	1	PROT_RANGE=902-977
NOP9	ENST00000267425	.	.	1	1	PROT_RANGE=150-189
PCDH12	ENST00000231484	.	.	0.0768581081081081	1	PROT_RANGE=252-343
TLR4	ENST00000355622	.	.	1	1	PROT_RANGE=57-114
JAKMIP3	ENST00000298622	.	.	0.287004649597703	1	PROT_RANGE=1-91
DCLK3	ENST00000416516	.	.	0.58179012345679	1	PROT_RANGE=1-378
PNMA5	ENST00000439251	.	.	0.716517857142857	1	PROT_RANGE=1-322
MOXD1	ENST00000367963	.	.	0.205546492659054	1	PROT_RANGE=187-313
CALCB	ENST00000533448	.	.	0.960629921259842	1	PROT_RANGE=1-123
OBSCN	ENST00000570156	.	.	0.000853586549769158	1	PROT_RANGE=1725-1793
LPIN2	ENST00000261596	.	.	0.204241071428571	1	PROT_RANGE=123-306
GRHL2	ENST00000251808	.	.	1	1	PROT_RANGE=292-342
CXCL5	ENST00000296027	.	.	1	1	PROT_RANGE=48-105
PRRT1	ENST00000211413	.	.	1	1	PROT_RANGE=219-285
PLD4	ENST00000392593	.	.	1	1	PROT_RANGE=211-236
STXBP2	ENST00000221283	.	.	0.927487352445194	1	PROT_RANGE=29-579
PRICKLE2	ENST00000295902	.	.	0.0699052132701422	1	PROT_RANGE=130-189
SLC8B1	ENST00000552014	.	.	1	1	PROT_RANGE=106-245
GAPT	ENST00000396776	.	.	0.713375796178344	1	PROT_RANGE=45-157
ATP13A4	ENST00000342695	.	.	0.391443468193868	1	PROT_RANGE=481-744
SPIRE2	ENST00000378247	.	.	1	1	PROT_RANGE=112-170
KIF26A	ENST00000423312	.	.	0.0677022131241479	1	PROT_RANGE=424-723
TINAG	ENST00000259782	.	.	0.123949579831933	1	PROT_RANGE=376-435
GPR161	ENST00000537209	.	.	0.510018214936248	1	PROT_RANGE=64-344
RHCG	ENST00000268122	.	.	0.77035490605428	1	PROT_RANGE=49-418
BSN	ENST00000296452	.	.	0.0483068193053922	1	PROT_RANGE=2556-2652
ZSCAN5B	ENST00000586855	.	.	0.307070707070707	1	PROT_RANGE=186-338
AGAP3	ENST00000397238	.	.	1	1	PROT_RANGE=544-617
REV1	ENST00000258428	.	.	1	1	PROT_RANGE=681-710
HSF2	ENST00000368455	.	.	0.524253731343284	1	PROT_RANGE=230-511
WNK2	ENST00000297954	.	.	0.156743114054354	1	PROT_RANGE=539-616
CDH12	ENST00000382254	.	.	0.32362840954514	1	PROT_RANGE=653-794
DBT	ENST00000370132	.	.	0.473029045643154	1	PROT_RANGE=250-478
CD300LB	ENST00000392621	.	.	1	1	PROT_RANGE=41-104
ARHGAP31	ENST00000264245	.	.	0.293189508981668	1	PROT_RANGE=794-1024
FRMD1	ENST00000283309	.	.	0.297945262291764	1	PROT_RANGE=400-489
MAPK6	ENST00000261845	.	.	0.271844660194175	1	PROT_RANGE=318-514
VDAC1	ENST00000265333	.	.	1	1	PROT_RANGE=4-276
TSPYL5	ENST00000322128	.	.	1	1	PROT_RANGE=141-253
ARHGEF17	ENST00000263674	.	.	0.0741885103016493	1	PROT_RANGE=405-483
C9orf96	ENST00000371957	.	.	1	1	PROT_RANGE=35-296
GRIN2A	ENST00000396573	.	.	0.118852459016393	1	PROT_RANGE=106-280
PTPN4	ENST00000263708	.	.	0.171231614645774	1	PROT_RANGE=518-601
TDRD7	ENST00000355295	.	.	0.213111436259335	1	PROT_RANGE=650-774
RGMB	ENST00000308234	.	.	0.364016736401674	1	PROT_RANGE=267-441
NAIF1	ENST00000373078	.	.	1	1	PROT_RANGE=8-85
MTFR1	ENST00000262146	.	.	0.684684684684685	1	PROT_RANGE=23-251
SHBG	ENST00000380450	.	.	1	1	PROT_RANGE=75-204
PARP14	ENST00000474629	.	.	0.102420731452915	1	PROT_RANGE=1442-1490
CARS	ENST00000380525	.	.	1	1	PROT_RANGE=73-122
IFT122	ENST00000296266	.	.	1	1	PROT_RANGE=44-80
WDR7	ENST00000254442	.	.	1	1	PROT_RANGE=19-47
