gene	transcript	protein_change	score	pvalue	qvalue	info
SH3BP4	ENST00000409212	.	.	0.044390323872	0.0709329917541	PROT_RANGE=308-308;CLUSTER_MUT_COUNT=2
ZNF836	ENST00000322146	.	.	0.00334210926194	0.00977409312454	PROT_RANGE=504-504;CLUSTER_MUT_COUNT=2
ELF4	ENST00000308167	.	.	0.0008299438339680001	0.00357336928514	PROT_RANGE=415-415;CLUSTER_MUT_COUNT=2
MYLK	ENST00000360304	.	.	6.21597934569e-06	8.75887998711e-05	PROT_RANGE=1300-1301;CLUSTER_MUT_COUNT=3
FNBP4	ENST00000263773	.	.	0.017602554245599998	0.0354337130919	PROT_RANGE=992-992;CLUSTER_MUT_COUNT=2
MYH9	ENST00000216181	.	.	1.48140813445e-06	2.41703432464e-05	PROT_RANGE=457-457,530-530,1131-1131;CLUSTER_MUT_COUNT=2,3,2
KRI1	ENST00000312962	.	.	0.0008299438339680001	0.00357336928514	PROT_RANGE=70-70;CLUSTER_MUT_COUNT=2
SIPA1L2	ENST00000366630	.	.	0.00876476382773	0.0204291487714	PROT_RANGE=565-565;CLUSTER_MUT_COUNT=2
NOTCH1	ENST00000277541	.	.	0.0017138286031199998	0.00681137008934	PROT_RANGE=352-353,422-429,440-440,449-456,461-468,478-484,1080-1089;CLUSTER_MUT_COUNT=4,4,2,6,4,4,4
GPR110	ENST00000371253	.	.	0.0787979284581	0.114682431089	PROT_RANGE=635-635;CLUSTER_MUT_COUNT=2
RHOA	ENST00000418115	.	.	1.4625318502700001e-08	2.8336554598899997e-07	PROT_RANGE=37-40;CLUSTER_MUT_COUNT=5
MAPK1	ENST00000215832	.	.	6.73828626855e-26	2.08886874325e-23	PROT_RANGE=322-322;CLUSTER_MUT_COUNT=8
NCOR1	ENST00000268712	.	.	5.00181620506e-06	7.38363344557e-05	PROT_RANGE=1081-1081,1561-1561,2306-2310;CLUSTER_MUT_COUNT=2,2,3
