gene	transcript	protein_change	score	pvalue	qvalue	info
CLEC17A	ENST00000417570	.	.	1	1	PROT_RANGE=272-374
RCN2	ENST00000394885	.	.	0.132492113564669	1	PROT_RANGE=35-77
LPHN1	ENST00000340736	.	.	0.244911804613297	1	PROT_RANGE=1113-1474
SVIL	ENST00000375398	.	.	1	1	PROT_RANGE=2147-2182
LRP10	ENST00000359591	.	.	0.154277699859748	1	PROT_RANGE=192-302
LARP1B	ENST00000326639	.	.	0.0897155361050328	1	PROT_RANGE=832-914
TYR	ENST00000263321	.	.	0.434782608695652	1	PROT_RANGE=172-402
TRAPPC11	ENST00000334690	.	.	1	1	PROT_RANGE=263-521
HLF	ENST00000226067	.	.	1	1	PROT_RANGE=196-295
PRKCG	ENST00000263431	.	.	1	1	PROT_RANGE=36-87
FAM171B	ENST00000304698	.	.	0.617433414043584	1	PROT_RANGE=84-594
SCGB1D2	ENST00000244926	.	.	1	1	PROT_RANGE=24-88
MUC17	ENST00000306151	.	.	1	1	PROT_RANGE=94-148
CTC-432M15.3	ENST00000514667	.	.	1	1	PROT_RANGE=241-319
PRKAR1A	ENST00000589228	.	.	0.223097112860892	1	PROT_RANGE=274-359
THEMIS2	ENST00000373921	.	.	0.382581648522551	1	PROT_RANGE=269-515
DHX8	ENST00000262415	.	.	1	1	PROT_RANGE=331-459
CHDC2	ENST00000313548	.	.	1	1	PROT_RANGE=1-45
MYF6	ENST00000228641	.	.	0.210743801652893	1	PROT_RANGE=94-145
OR4N5	ENST00000333629	.	.	0.87987012987013	1	PROT_RANGE=33-304
VNN2	ENST00000326499	.	.	1	1	PROT_RANGE=56-217
AP5M1	ENST00000261558	.	.	1	1	PROT_RANGE=197-475
SLC20A2	ENST00000342228	.	.	1	1	PROT_RANGE=340-375
SHPRH	ENST00000367505	.	.	1	1	PROT_RANGE=440-510
CHD2	ENST00000394196	.	.	0.099562363238512	1	PROT_RANGE=959-1141
PHRF1	ENST00000416188	.	.	0.0254854368932039	1	PROT_RANGE=107-149
ALAS2	ENST00000330807	.	.	0.589437819420784	1	PROT_RANGE=190-536
KIAA0195	ENST00000314256	.	.	1	1	PROT_RANGE=1117-1329
PCDHGA11	ENST00000398587	.	.	0.093048128342246	1	PROT_RANGE=356-443
ZNF254	ENST00000357002	.	.	0.305007587253414	1	PROT_RANGE=75-276
UST	ENST00000367463	.	.	0.620689655172414	1	PROT_RANGE=104-356
MYT1L	ENST00000428368	.	.	0.174112034331629	1	PROT_RANGE=595-703
SLC14A2	ENST00000255226	.	.	0.102121928166352	1	PROT_RANGE=581-875
RNF214	ENST00000531452	.	.	1	1	PROT_RANGE=162-364
ZFPM2	ENST00000407775	.	.	1	1	PROT_RANGE=379-476
PHOX2A	ENST00000298231	.	.	1	1	PROT_RANGE=121-174
ZNF585A	ENST00000292841	.	.	0.05851755526658	1	PROT_RANGE=88-133
SNRPA	ENST00000243563	.	.	0.191489361702128	1	PROT_RANGE=82-136
SLC11A1	ENST00000233202	.	.	0.698181818181818	1	PROT_RANGE=78-462
AGMO	ENST00000342526	.	.	1	1	PROT_RANGE=120-249
DDX56	ENST00000258772	.	.	1	1	PROT_RANGE=31-206
CASP4	ENST00000444739	.	.	0.0557029177718833	1	PROT_RANGE=94-115
FLG	ENST00000368799	.	.	0.0273892579191705	1	PROT_RANGE=899-955
KLKB1	ENST00000264690	.	.	0.360501567398119	1	PROT_RANGE=391-621
TRMT61B	ENST00000306108	.	.	0.524109014675052	1	PROT_RANGE=217-467
DNAH1	ENST00000420323	.	.	1	1	PROT_RANGE=1858-2002
ABCC8	ENST00000389817	.	.	0.17583807716635	1	PROT_RANGE=1014-1292
OR4C3	ENST00000319856	.	.	0.82370820668693	1	PROT_RANGE=56-327
COLGALT2	ENST00000361927	.	.	0.188498402555911	1	PROT_RANGE=62-180
AKAP4	ENST00000358526	.	.	1	1	PROT_RANGE=215-232
ATXN2	ENST00000377617	.	.	0.229246001523229	1	PROT_RANGE=352-653
CABS1	ENST00000273936	.	.	0.99746835443038	1	PROT_RANGE=1-395
FGFR3	ENST00000340107	.	.	1	1	PROT_RANGE=166-245
SERPINB10	ENST00000238508	.	.	0.982367758186398	1	PROT_RANGE=7-397
TROVE2	ENST00000367446	.	.	0.654275092936803	1	PROT_RANGE=17-369
ATP8B2	ENST00000368489	.	.	0.155344317052086	1	PROT_RANGE=506-605
EGFLAM	ENST00000354891	.	.	0.0501474926253687	1	PROT_RANGE=233-284
ERBB3	ENST00000267101	.	.	0.0568344011726852	1	PROT_RANGE=56-166
ANKRD12	ENST00000262126	.	.	1	1	PROT_RANGE=179-247
PPL	ENST00000345988	.	.	1	1	PROT_RANGE=1180-1269
ELAVL2	ENST00000397312	.	.	0.3474600600554	1	PROT_RANGE=278-347
MGAT4A	ENST00000264968	.	.	1	1	PROT_RANGE=98-380
HHIP	ENST00000296575	.	.	0.187426530612245	1	PROT_RANGE=1-70
GSPT2	ENST00000340438	.	.	1	1	PROT_RANGE=201-400
CDH2	ENST00000269141	.	.	0.109271523178808	1	PROT_RANGE=274-373
VPS72	ENST00000354473	.	.	0.557333333333333	1	PROT_RANGE=7-216
USP10	ENST00000219473	.	.	0.721671032217134	1	PROT_RANGE=415-792
CHRM2	ENST00000445907	.	.	0.858369098712446	1	PROT_RANGE=40-440
TRPC6	ENST00000344327	.	.	1	1	PROT_RANGE=245-273
ESX1	ENST00000372588	.	.	0.019024970273484	1	PROT_RANGE=140-196
CDK5RAP3	ENST00000338399	.	.	0.116600790513834	1	PROT_RANGE=238-297
SPTBN1	ENST00000356805	.	.	0.0431472081218274	1	PROT_RANGE=423-525
NPEPPS	ENST00000322157	.	.	0.340587595212187	1	PROT_RANGE=578-891
GRM4	ENST00000538487	.	.	0.463508002462296	1	PROT_RANGE=600-844
NAPG	ENST00000322897	.	.	0.78525641025641	1	PROT_RANGE=10-255
DLST	ENST00000334220	.	.	1	1	PROT_RANGE=72-143
CYP2U1	ENST00000332884	.	.	0.801470588235294	1	PROT_RANGE=104-540
ADAMTS13	ENST00000371929	.	.	1	1	PROT_RANGE=388-438
ZFP82	ENST00000392161	.	.	0.291353383458647	1	PROT_RANGE=59-214
ABCA13	ENST00000435803	.	.	1	1	PROT_RANGE=3859-4004
DST	ENST00000244364	.	.	0.0394407978895138	1	PROT_RANGE=4185-4288
BCHE	ENST00000264381	.	.	0.862126245847176	1	PROT_RANGE=31-550
NPAP1	ENST00000329468	.	.	0.0519031141868512	1	PROT_RANGE=1-61
GRM3	ENST00000361669	.	.	0.46188850967008	1	PROT_RANGE=67-473
TET3	ENST00000409262	.	.	0.0373259052924791	1	PROT_RANGE=1592-1659
PLXNB3	ENST00000538966	.	.	1	1	PROT_RANGE=79-474
PCDHGB1	ENST00000523390	.	.	0.0852211434735706	1	PROT_RANGE=578-657
APOB	ENST00000233242	.	.	0.066841989918913	1	PROT_RANGE=632-937
RNF32	ENST00000405335	.	.	1	1	PROT_RANGE=261-270
EYS	ENST00000503581	.	.	0.00858778625954198	1	PROT_RANGE=183-210
ADCK4	ENST00000324464	.	.	1	1	PROT_RANGE=34-93
C2orf54	ENST00000388934	.	.	0.476510067114094	1	PROT_RANGE=137-350
OR4D9	ENST00000329328	.	.	0.85031847133758	1	PROT_RANGE=33-300
FHOD3	ENST00000257209	.	.	0.128561501042391	1	PROT_RANGE=553-738
LGI4	ENST00000310123	.	.	1	1	PROT_RANGE=396-438
IPO8	ENST00000256079	.	.	1	1	PROT_RANGE=201-441
HELZ	ENST00000358691	.	.	0.107621009268795	1	PROT_RANGE=841-1050
SGK494	ENST00000301037	.	.	0.6	1	PROT_RANGE=113-359
LMOD2	ENST00000458573	.	.	0.389396709323583	1	PROT_RANGE=334-547
PABPC1	ENST00000318607	.	.	0.106918238993711	1	PROT_RANGE=193-261
TRGV2	ENST00000426402	.	.	0.745762711864407	1	PROT_RANGE=27-115
CPSF3L	ENST00000540437	.	.	0.188216841486129	1	PROT_RANGE=384-444
VSIG4	ENST00000374737	.	.	1	1	PROT_RANGE=329-353
VWA5A	ENST00000456829	.	.	1	1	PROT_RANGE=17-129
VPS13B	ENST00000358544	.	.	1	1	PROT_RANGE=3592-3732
TMEM132E	ENST00000321639	.	.	0.0447154471544715	1	PROT_RANGE=717-761
MPO	ENST00000225275	.	.	0.72751677852349	1	PROT_RANGE=173-715
HEPHL1	ENST00000315765	.	.	1	1	PROT_RANGE=723-792
NPC1L1	ENST00000289547	.	.	1	1	PROT_RANGE=1101-1292
CREB5	ENST00000357727	.	.	1	1	PROT_RANGE=245-410
OR5I1	ENST00000301532	.	.	0.882165605095541	1	PROT_RANGE=33-310
CARD11	ENST00000396946	.	.	0.141888360581385	1	PROT_RANGE=23-108
KDM6A	ENST00000377967	.	.	1	1	PROT_RANGE=1001-1098
EIF4H	ENST00000265753	.	.	1	1	PROT_RANGE=109-248
HM13	ENST00000398174	.	.	0.145539906103286	1	PROT_RANGE=364-426
NRXN2	ENST00000265459	.	.	0.0227803738317757	1	PROT_RANGE=1673-1712
HELB	ENST00000247815	.	.	0.0459981600735971	1	PROT_RANGE=918-968
PNLIPRP1	ENST00000528052	.	.	0.717344753747323	1	PROT_RANGE=18-353
PPP1R3A	ENST00000284601	.	.	1	1	PROT_RANGE=1017-1054
ZBTB11	ENST00000312938	.	.	0.208187343356701	1	PROT_RANGE=1-117
ASB13	ENST00000357700	.	.	0.316546762589928	1	PROT_RANGE=24-112
