gene	transcript	protein_change	score	pvalue	qvalue	info
C11orf70	ENST00000434758	.	.	0.963601441792442	1	PROT_RANGE=14-259
SRXN1	ENST00000381962	.	.	0.394054025254409	1	PROT_RANGE=44-130
PTGDR2	ENST00000332539	.	.	0.643037974683544	1	PROT_RANGE=50-304
HSPH1	ENST00000320027	.	.	0.0922440390526914	1	PROT_RANGE=614-706
MUC4	ENST00000463781	.	.	0.139196548891009	1	PROT_RANGE=4683-4854
LAMB3	ENST00000391911	.	.	0.268407345153266	1	PROT_RANGE=534-574
KLHL24	ENST00000454652	.	.	0.106975	1	PROT_RANGE=536-569
HELQ	ENST00000295488	.	.	0.464136303907361	1	PROT_RANGE=346-505
ZSCAN31	ENST00000414429	.	.	0.0417641562110338	1	PROT_RANGE=356-406
UNC45A	ENST00000418476	.	.	0.179499687408731	1	PROT_RANGE=317-505
AXIN1	ENST00000262320	.	.	0.133048432565293	1	PROT_RANGE=10-80
GALNTL5	ENST00000392800	.	.	0.802463234072409	1	PROT_RANGE=137-322
ST8SIA1	ENST00000396037	.	.	0.913008142911249	1	PROT_RANGE=92-343
ZNF223	ENST00000434772	.	.	0.358584923716135	1	PROT_RANGE=287-482
FAM122B	ENST00000343004	.	.	0.213483146067416	1	PROT_RANGE=136-193
LGR5	ENST00000266674	.	.	1	1	PROT_RANGE=33-64
IGHA2	ENST00000390539	.	.	0.061038062283737	1	PROT_RANGE=120-204
CDC42EP3	ENST00000295324	.	.	0.204724409448819	1	PROT_RANGE=30-82
FDXR	ENST00000442102	.	.	0.181760312623106	1	PROT_RANGE=321-342
ACTR3C	ENST00000539352	.	.	0.518518518518518	1	PROT_RANGE=1-99
ABCC1	ENST00000399410	.	.	0.40916724729535	1	PROT_RANGE=326-596
RBM48	ENST00000265732	.	.	0.171662125340599	1	PROT_RANGE=113-176
SKOR1	ENST00000341418	.	.	0.0154499583756788	1	PROT_RANGE=366-452
PRG2	ENST00000311862	.	.	1	1	PROT_RANGE=27-83
FMN1	ENST00000334528	.	.	0.27105820143945	1	PROT_RANGE=750-1140
EDIL3	ENST00000296591	.	.	0.283814509621412	1	PROT_RANGE=26-57
HEPH	ENST00000519389	.	.	1	1	PROT_RANGE=152-258
PECR	ENST00000265322	.	.	0.885003904109001	1	PROT_RANGE=25-264
ATXN2L	ENST00000395547	.	.	0.148511203177408	1	PROT_RANGE=520-648
DTWD1	ENST00000251250	.	.	0.723684210526316	1	PROT_RANGE=67-287
ZNF302	ENST00000505242	.	.	0.107235507314653	1	PROT_RANGE=285-307
TSPAN4	ENST00000397404	.	.	0.789836448667455	1	PROT_RANGE=9-229
BCAS1	ENST00000395961	.	.	1	1	PROT_RANGE=279-370
AP1M1	ENST00000444449	.	.	0.459921117780833	1	PROT_RANGE=5-133
SORL1	ENST00000260197	.	.	0.0105450112155675	1	PROT_RANGE=1461-1549
CCBL1	ENST00000302586	.	.	0.900473933649289	1	PROT_RANGE=29-409
SEC14L4	ENST00000255858	.	.	1	1	PROT_RANGE=86-244
ZNF528	ENST00000360465	.	.	0.213375796178344	1	PROT_RANGE=213-347
LEPRE1	ENST00000236040	.	.	0.215761986089453	1	PROT_RANGE=584-676
ASIC4	ENST00000347842	.	.	0.382218251399277	1	PROT_RANGE=172-572
TRGV9	ENST00000444775	.	.	0.721311475409836	1	PROT_RANGE=30-118
YBX3	ENST00000228251	.	.	0.483577783592631	1	PROT_RANGE=147-372
ZKSCAN1	ENST00000324306	.	.	0.282172704586253	1	PROT_RANGE=52-138
NUP88	ENST00000573584	.	.	0.979757085020243	1	PROT_RANGE=14-740
FAM86A	ENST00000427587	.	.	0.848296296296296	1	PROT_RANGE=134-288
KCNN2	ENST00000512097	.	.	0.188812721909739	1	PROT_RANGE=120-232
FAM20B	ENST00000263733	.	.	0.505501123835537	1	PROT_RANGE=192-398
CLIC4	ENST00000374379	.	.	1	1	PROT_RANGE=136-221
OTOL1	ENST00000327928	.	.	0.113574491893507	1	PROT_RANGE=124-355
FBLL1	ENST00000338333	.	.	0.676646706586826	1	PROT_RANGE=100-326
CLCF1	ENST00000312438	.	.	1	1	PROT_RANGE=54-211
CHTF8	ENST00000448552	.	.	0.520661157024793	1	PROT_RANGE=50-113
SI	ENST00000264382	.	.	0.216194908455545	1	PROT_RANGE=125-234
CLK1	ENST00000434813	.	.	0.0640245043332585	1	PROT_RANGE=1-194
EPYC	ENST00000261172	.	.	0.229813664596273	1	PROT_RANGE=37-111
MXRA8	ENST00000309212	.	.	1	1	PROT_RANGE=39-157
ZNF132	ENST00000254166	.	.	0.152445892419318	1	PROT_RANGE=563-706
TOX2	ENST00000341197	.	.	0.368891397257728	1	PROT_RANGE=34-89
DUOXA1	ENST00000267803	.	.	1	1	PROT_RANGE=10-286
TNFSF8	ENST00000223795	.	.	1	1	PROT_RANGE=113-229
SENP2	ENST00000296257	.	.	0.397151406160438	1	PROT_RANGE=325-395
HIRA	ENST00000263208	.	.	0.211815383219053	1	PROT_RANGE=10-44
VCX3A	ENST00000381089	.	.	0.225806451612903	1	PROT_RANGE=140-182
