gene	transcript	protein_change	score	pvalue	qvalue	info
ASTN1	ENST00000361833	.	.	1	1	PROT_RANGE=302-371
TBX3	ENST00000257566	.	.	1	1	PROT_RANGE=323-405
CHRM1	ENST00000306960	.	.	0.817391304347826	1	PROT_RANGE=42-418
ARHGAP5	ENST00000345122	.	.	0.218375499334221	1	PROT_RANGE=936-1264
SH3YL1	ENST00000356150	.	.	0.292397660818713	1	PROT_RANGE=186-286
SLIT3	ENST00000519560	.	.	1	1	PROT_RANGE=959-992
SLC23A1	ENST00000353963	.	.	0.720930232558139	1	PROT_RANGE=45-479
LRRC24	ENST00000529415	.	.	0.113060428849903	1	PROT_RANGE=146-204
GALR1	ENST00000299727	.	.	0.724928366762178	1	PROT_RANGE=50-303
ANO7	ENST00000274979	.	.	0.590568060021436	1	PROT_RANGE=335-886
SHC4	ENST00000332408	.	.	1	1	PROT_RANGE=192-347
PROX1	ENST00000366958	.	.	1	1	PROT_RANGE=163-356
VWA5B1	ENST00000375079	.	.	1	1	PROT_RANGE=361-513
ABCA7	ENST00000263094	.	.	1	1	PROT_RANGE=1466-1749
GNPDA2	ENST00000295448	.	.	0.800724637681159	1	PROT_RANGE=14-235
MIIP	ENST00000235332	.	.	0.868556701030928	1	PROT_RANGE=40-377
NUP188	ENST00000372577	.	.	1	1	PROT_RANGE=160-191
POLE3	ENST00000374171	.	.	0.517006802721088	1	PROT_RANGE=71-147
RUNX2	ENST00000371438	.	.	0.172744721689059	1	PROT_RANGE=431-521
NF1	ENST00000358273	.	.	1	1	PROT_RANGE=1329-1451
GYS1	ENST00000323798	.	.	0.856173677069199	1	PROT_RANGE=31-662
BCORL1	ENST00000540052	.	.	1	1	PROT_RANGE=1090-1215
ZFYVE28	ENST00000290974	.	.	1	1	PROT_RANGE=370-422
DIAPH3	ENST00000400324	.	.	0.310980720871752	1	PROT_RANGE=637-1008
FZR1	ENST00000395095	.	.	0.0786290322580645	1	PROT_RANGE=347-386
RHBDL1	ENST00000219551	.	.	1	1	PROT_RANGE=240-394
SCARB1	ENST00000261693	.	.	0.8762278978389	1	PROT_RANGE=16-462
MSH4	ENST00000263187	.	.	0.332264957264957	1	PROT_RANGE=316-627
KIF13B	ENST00000524189	.	.	0.0870755750273823	1	PROT_RANGE=521-680
ADAMTSL4	ENST00000271643	.	.	0.241154562383613	1	PROT_RANGE=72-331
SARS2	ENST00000600042	.	.	0.338461538461538	1	PROT_RANGE=294-470
HELZ2	ENST00000467148	.	.	0.0773876934692337	1	PROT_RANGE=2406-2611
SKA1	ENST00000285116	.	.	0.164705882352941	1	PROT_RANGE=165-207
CLEC9A	ENST00000355819	.	.	1	1	PROT_RANGE=134-234
OR10A7	ENST00000326258	.	.	0.876582278481013	1	PROT_RANGE=31-308
DNHD1	ENST00000254579	.	.	0.161582158636651	1	PROT_RANGE=3980-4748
SCNN1D	ENST00000379116	.	.	0.605985037406484	1	PROT_RANGE=227-713
TSSK1B	ENST00000390666	.	.	0.694822888283379	1	PROT_RANGE=17-272
NRAS	ENST00000369535	.	.	0.595396065539678	1	PROT_RANGE=5-164
DNAH10	ENST00000409039	.	.	1	1	PROT_RANGE=39-143
ATG13	ENST00000528494	.	.	0.192727272727273	1	PROT_RANGE=89-195
TLR9	ENST00000494383	.	.	0.0505902192242833	1	PROT_RANGE=856-916
SERPINE3	ENST00000521255	.	.	0.867924528301887	1	PROT_RANGE=31-399
ST5	ENST00000534127	.	.	0.159190853122252	1	PROT_RANGE=792-973
SCN4A	ENST00000435607	.	.	0.17755991285403	1	PROT_RANGE=130-456
FADS1	ENST00000350997	.	.	1	1	PROT_RANGE=213-474
ANO10	ENST00000292246	.	.	1	1	PROT_RANGE=200-626
VWA3A	ENST00000389398	.	.	0.0726351351351351	1	PROT_RANGE=722-808
TMPRSS13	ENST00000524993	.	.	0.402116402116402	1	PROT_RANGE=326-554
NPLOC4	ENST00000331134	.	.	0.128289473684211	1	PROT_RANGE=1-79
RIOK2	ENST00000283109	.	.	0.36231884057971	1	PROT_RANGE=268-468
RNF213	ENST00000582970	.	.	1	1	PROT_RANGE=1223-1286
TMCO3	ENST00000434316	.	.	1	1	PROT_RANGE=274-660
ABCC2	ENST00000370449	.	.	1	1	PROT_RANGE=1318-1465
TRPC5	ENST00000262839	.	.	0.266187050359712	1	PROT_RANGE=376-635
RNF112	ENST00000461366	.	.	0.264659270998415	1	PROT_RANGE=163-330
