gene	transcript	protein_change	score	pvalue	qvalue	info
MAN2B1	ENST00000456935	.	.	0.0637148418664	0.0941871575417	PROT_RANGE=963-963;CLUSTER_MUT_COUNT=2
SMCHD1	ENST00000320876	.	.	0.0977667919842	0.120147141957	PROT_RANGE=702-702;CLUSTER_MUT_COUNT=2
PCNXL3	ENST00000355703	.	.	0.0335580348488	0.0552083799125	PROT_RANGE=16-16;CLUSTER_MUT_COUNT=2
ARID1A	ENST00000324856	.	.	0.132308751412	0.156924333071	PROT_RANGE=566-566;CLUSTER_MUT_COUNT=2
SEMA4B	ENST00000411539	.	.	0.0977667919842	0.120147141957	PROT_RANGE=785-785;CLUSTER_MUT_COUNT=2
NOTCH1	ENST00000277541	.	.	0.344507768876	0.358569310463	PROT_RANGE=1408-1408;CLUSTER_MUT_COUNT=2
MAPK1	ENST00000215832	.	.	4.01844513285e-08	2.04940701775e-06	PROT_RANGE=321-322;CLUSTER_MUT_COUNT=10
MST1R	ENST00000296474	.	.	0.19616055629	0.217482355887	PROT_RANGE=38-38;CLUSTER_MUT_COUNT=2
CASP8	ENST00000358485	.	.	0.0213827989945	0.045438447863300015	PROT_RANGE=168-168,292-292;CLUSTER_MUT_COUNT=2,2
ZFHX3	ENST00000268489	.	.	0.0977667919842	0.120147141957	PROT_RANGE=2595-2595;CLUSTER_MUT_COUNT=2
ACTB	ENST00000331789	.	.	0.0335580348488	0.0552083799125	PROT_RANGE=334-334;CLUSTER_MUT_COUNT=2
SMAD4	ENST00000342988	.	.	0.0977667919842	0.120147141957	PROT_RANGE=361-361;CLUSTER_MUT_COUNT=2
CLMN	ENST00000298912	.	.	0.08558233833750001	0.120147141957	PROT_RANGE=689-694;CLUSTER_MUT_COUNT=4
CEP350	ENST00000367607	.	.	0.165407585001	0.189568243484	PROT_RANGE=1583-1583;CLUSTER_MUT_COUNT=2
EP300	ENST00000263253	.	.	0.140563279854	0.164798328104	PROT_RANGE=1399-1399,1436-1437;CLUSTER_MUT_COUNT=4,3
GANAB	ENST00000346178	.	.	0.0977667919842	0.120147141957	PROT_RANGE=131-131;CLUSTER_MUT_COUNT=2
KRAS	ENST00000256078	.	.	2.23204044793e-07	5.69170314222e-06	PROT_RANGE=12-14,146-146;CLUSTER_MUT_COUNT=13,2
CAMTA1	ENST00000303635	.	.	0.0335580348488	0.0552083799125	PROT_RANGE=1641-1641;CLUSTER_MUT_COUNT=2
NOS3	ENST00000297494	.	.	0.0119072943423	0.0276032732481	PROT_RANGE=742-742;CLUSTER_MUT_COUNT=2
CUL1	ENST00000325222	.	.	0.0335580348488	0.0552083799125	PROT_RANGE=485-485;CLUSTER_MUT_COUNT=2
BAP1	ENST00000460680	.	.	0.07540825002189999	0.108332978905	PROT_RANGE=460-465;CLUSTER_MUT_COUNT=3
ERBB2	ENST00000269571	.	.	0.00016298705684999998	0.0018471866443	PROT_RANGE=310-310,767-769;CLUSTER_MUT_COUNT=6,3
APOBEC3G	ENST00000407997	.	.	0.0119072943423	0.0276032732481	PROT_RANGE=136-136;CLUSTER_MUT_COUNT=2
TRUB2	ENST00000372890	.	.	0.0119072943423	0.0276032732481	PROT_RANGE=289-289;CLUSTER_MUT_COUNT=2
SRRM2	ENST00000301740	.	.	0.0637148418664	0.0941871575417	PROT_RANGE=762-762;CLUSTER_MUT_COUNT=2
MARK2	ENST00000402010	.	.	0.0119072943423	0.0276032732481	PROT_RANGE=296-296;CLUSTER_MUT_COUNT=2
POLRMT	ENST00000588649	.	.	0.00184258558781	0.0117464831223	PROT_RANGE=98-98;CLUSTER_MUT_COUNT=3
ACTN4	ENST00000252699	.	.	0.0119072943423	0.0276032732481	PROT_RANGE=830-830;CLUSTER_MUT_COUNT=2
ABCF1	ENST00000326195	.	.	9.790547722869999e-08	3.3287862257799997e-06	PROT_RANGE=9-9,20-20;CLUSTER_MUT_COUNT=3,3
NFE2L2	ENST00000397062	.	.	0.00121736577892	0.00955163918849	PROT_RANGE=29-34,77-82;CLUSTER_MUT_COUNT=3,7
IFNGR1	ENST00000367739	.	.	0.0335580348488	0.0552083799125	PROT_RANGE=306-306;CLUSTER_MUT_COUNT=2
KIF7	ENST00000394412	.	.	0.0615924251279	0.0941871575417	PROT_RANGE=1325-1330;CLUSTER_MUT_COUNT=4
ZNF236	ENST00000253159	.	.	0.132308751412	0.156924333071	PROT_RANGE=1632-1632;CLUSTER_MUT_COUNT=2
TMEM131	ENST00000186436	.	.	0.0119072943423	0.0276032732481	PROT_RANGE=1319-1319;CLUSTER_MUT_COUNT=2
FMNL1	ENST00000331495	.	.	0.0977667919842	0.120147141957	PROT_RANGE=927-927;CLUSTER_MUT_COUNT=2
ERBB3	ENST00000267101	.	.	0.0213827989945	0.045438447863300015	PROT_RANGE=104-104;CLUSTER_MUT_COUNT=4
MED12	ENST00000374080	.	.	0.22426513701	0.240789936579	PROT_RANGE=23-23;CLUSTER_MUT_COUNT=2
VCAN	ENST00000265077	.	.	0.0977667919842	0.120147141957	PROT_RANGE=1308-1308;CLUSTER_MUT_COUNT=2
COL1A1	ENST00000225964	.	.	0.0119072943423	0.0276032732481	PROT_RANGE=1401-1401;CLUSTER_MUT_COUNT=2
ZNF780A	ENST00000455521	.	.	0.0119072943423	0.0276032732481	PROT_RANGE=458-458;CLUSTER_MUT_COUNT=2
DOCK2	ENST00000256935	.	.	0.0119072943423	0.0276032732481	PROT_RANGE=260-260;CLUSTER_MUT_COUNT=2
ERBB2IP	ENST00000506030	.	.	0.165407585001	0.189568243484	PROT_RANGE=60-60;CLUSTER_MUT_COUNT=2
ZSCAN5A	ENST00000587340	.	.	0.0179017037488	0.0396950822255	PROT_RANGE=416-416;CLUSTER_MUT_COUNT=3
AKT1	ENST00000554581	.	.	0.00029037502540099993	0.0029618252590900003	PROT_RANGE=15-17;CLUSTER_MUT_COUNT=4
MEGF8	ENST00000334370	.	.	0.0977667919842	0.120147141957	PROT_RANGE=1895-1895;CLUSTER_MUT_COUNT=2
ECE2	ENST00000402825	.	.	0.0335580348488	0.0552083799125	PROT_RANGE=254-254;CLUSTER_MUT_COUNT=2
ZNF91	ENST00000300619	.	.	0.053015781562400006	0.08583507491049999	PROT_RANGE=1074-1074;CLUSTER_MUT_COUNT=3
PIK3CA	ENST00000263967	.	.	1.17714336172e-05	0.000171526604137	PROT_RANGE=106-106,417-420,453-453,542-546,726-726,1047-1047;CLUSTER_MUT_COUNT=2,4,4,56,6,3
FBXW7	ENST00000281708	.	.	0.000585688063866	0.00497834854286	PROT_RANGE=224-224,465-465,479-479,497-508,600-600;CLUSTER_MUT_COUNT=2,5,2,8,2
ACTG1	ENST00000575842	.	.	0.0119072943423	0.0276032732481	PROT_RANGE=253-253;CLUSTER_MUT_COUNT=2
GNAS	ENST00000371100	.	.	0.0977667919842	0.120147141957	PROT_RANGE=844-844;CLUSTER_MUT_COUNT=2
MUC16	ENST00000397910	.	.	0.555185091082	0.555185091082	PROT_RANGE=5473-5473;CLUSTER_MUT_COUNT=2
DAAM1	ENST00000395125	.	.	0.00331010947156	0.0198606568294	PROT_RANGE=348-351;CLUSTER_MUT_COUNT=3
TRMT2A	ENST00000252136	.	.	0.0119072943423	0.0276032732481	PROT_RANGE=167-167;CLUSTER_MUT_COUNT=2
TP63	ENST00000264731	.	.	0.0637148418664	0.0941871575417	PROT_RANGE=188-188;CLUSTER_MUT_COUNT=2
TRAF3	ENST00000560371	.	.	0.0335580348488	0.0552083799125	PROT_RANGE=310-310;CLUSTER_MUT_COUNT=2
TP53	ENST00000269305	.	.	0.310286020902	0.328297820566	PROT_RANGE=278-285;CLUSTER_MUT_COUNT=4
PTEN	ENST00000371953	.	.	0.0711203229032	0.103632470516	PROT_RANGE=129-130;CLUSTER_MUT_COUNT=5
KLF5	ENST00000377687	.	.	9.19746517875e-06	0.00015635690803900002	PROT_RANGE=419-419;CLUSTER_MUT_COUNT=5
VPS13B	ENST00000358544	.	.	0.132308751412	0.156924333071	PROT_RANGE=2140-2140;CLUSTER_MUT_COUNT=2
NSD1	ENST00000439151	.	.	0.371207787381	0.382456508211	PROT_RANGE=1679-1679;CLUSTER_MUT_COUNT=2
TAF1	ENST00000276072	.	.	0.178015692243	0.201751117876	PROT_RANGE=1017-1019;CLUSTER_MUT_COUNT=3
RNF123	ENST00000327697	.	.	0.0119072943423	0.0276032732481	PROT_RANGE=47-47;CLUSTER_MUT_COUNT=2
STK11	ENST00000326873	.	.	0.22426513701	0.240789936579	PROT_RANGE=317-317;CLUSTER_MUT_COUNT=2
MUC4	ENST00000463781	.	.	0.438046156149	0.442383246804	PROT_RANGE=1912-1912,2379-2379,2546-2546;CLUSTER_MUT_COUNT=2,2,2
DOCK11	ENST00000276202	.	.	0.0335580348488	0.0552083799125	PROT_RANGE=885-885,1855-1855;CLUSTER_MUT_COUNT=2,2
CDK12	ENST00000447079	.	.	0.312204790146	0.328297820566	PROT_RANGE=1323-1323;CLUSTER_MUT_COUNT=2
AP3B1	ENST00000255194	.	.	0.00184258558781	0.0117464831223	PROT_RANGE=31-31;CLUSTER_MUT_COUNT=3
