gene	transcript	protein_change	score	pvalue	qvalue	info
ZBTB47	ENST00000232974	.	.	0.008200269919379999	0.0239359230079	PROT_RANGE=17-17;CLUSTER_MUT_COUNT=2
MED13	ENST00000397786	.	.	0.014789868205600003	0.0328213513603	PROT_RANGE=2111-2111;CLUSTER_MUT_COUNT=2
WDFY4	ENST00000325239	.	.	0.292845845431	0.314178986489	PROT_RANGE=1783-1783;CLUSTER_MUT_COUNT=2
CTCF	ENST00000264010	.	.	1.2663654399599998e-09	1.4148358708500001e-08	PROT_RANGE=354-358,377-378,448-448;CLUSTER_MUT_COUNT=3,7,4
PTPN14	ENST00000366956	.	.	0.0236559738947	0.0448218452741	PROT_RANGE=11-11;CLUSTER_MUT_COUNT=2
ATM	ENST00000278616	.	.	0.151911425489	0.183654111412	PROT_RANGE=337-337;CLUSTER_MUT_COUNT=3
ANK3	ENST00000280772	.	.	0.0161519169507	0.0356001434832	PROT_RANGE=3977-3978,4146-4146;CLUSTER_MUT_COUNT=3,2
PIK3R1	ENST00000521381	.	.	2.97519680292e-17	5.35535424526e-16	PROT_RANGE=375-376,386-386,557-568,573-577,639-642;CLUSTER_MUT_COUNT=5,3,11,4,3
MYLK	ENST00000360304	.	.	0.0924110247054	0.123214699607	PROT_RANGE=57-57;CLUSTER_MUT_COUNT=2
NGEF	ENST00000264051	.	.	0.014789868205600003	0.0328213513603	PROT_RANGE=259-259;CLUSTER_MUT_COUNT=2
PCNXL3	ENST00000355703	.	.	0.008200269919379999	0.0239359230079	PROT_RANGE=403-403;CLUSTER_MUT_COUNT=2
ARID1A	ENST00000324856	.	.	6.237337730580001e-12	7.4848052767e-11	PROT_RANGE=693-693,750-750,1085-1085,1276-1276,1331-1335,1528-1528,1721-1722,1989-1989,2156-2159,2235-2239,2269-2269;CLUSTER_MUT_COUNT=2,2,2,5,5,3,6,4,4,4,2
UNC13B	ENST00000378495	.	.	0.014789868205600003	0.0328213513603	PROT_RANGE=792-792;CLUSTER_MUT_COUNT=2
LZTR1	ENST00000215739	.	.	1.38961202235e-06	1.04705650056e-05	PROT_RANGE=281-284,412-412;CLUSTER_MUT_COUNT=3,3
LRRC37A3	ENST00000584306	.	.	0.0236559738947	0.0448218452741	PROT_RANGE=200-200;CLUSTER_MUT_COUNT=2
TLN2	ENST00000561311	.	.	0.014789868205600003	0.0328213513603	PROT_RANGE=1158-1158;CLUSTER_MUT_COUNT=2
MYH14	ENST00000601313	.	.	0.172956975666	0.203774764057	PROT_RANGE=783-783;CLUSTER_MUT_COUNT=2
BRD1	ENST00000216267	.	.	0.0370275595553	0.06381345370159999	PROT_RANGE=944-946;CLUSTER_MUT_COUNT=3
CNNM4	ENST00000377075	.	.	0.006002566531699999	0.0226143204218	PROT_RANGE=519-523;CLUSTER_MUT_COUNT=3
TUT1	ENST00000308436	.	.	0.014789868205600003	0.0328213513603	PROT_RANGE=681-681;CLUSTER_MUT_COUNT=2
ADAMTS14	ENST00000373208	.	.	0.0236559738947	0.0448218452741	PROT_RANGE=145-145;CLUSTER_MUT_COUNT=2
MTOR	ENST00000361445	.	.	0.172956975666	0.203774764057	PROT_RANGE=2215-2215;CLUSTER_MUT_COUNT=2
NOTCH1	ENST00000277541	.	.	0.0828600112235	0.116219236521	PROT_RANGE=1918-1920;CLUSTER_MUT_COUNT=3
KALRN	ENST00000240874	.	.	0.257498138056	0.280907059697	PROT_RANGE=109-109;CLUSTER_MUT_COUNT=2
OBSL1	ENST00000404537	.	.	9.83364010123e-08	9.10314112228e-07	PROT_RANGE=371-371,499-503;CLUSTER_MUT_COUNT=2,3
CHD4	ENST00000357008	.	.	1.79182600449e-15	2.7645315497799998e-14	PROT_RANGE=792-792,873-877,973-975,1068-1068,1105-1105,1136-1141,1155-1162;CLUSTER_MUT_COUNT=2,3,7,3,10,4,8
MUC6	ENST00000421673	.	.	0.0924110247054	0.123214699607	PROT_RANGE=1411-1411;CLUSTER_MUT_COUNT=2
PLXNB2	ENST00000449103	.	.	1.81009673848e-05	0.000112782950628	PROT_RANGE=140-144,766-766,1246-1250,1345-1345;CLUSTER_MUT_COUNT=3,2,3,2
MYO1D	ENST00000318217	.	.	0.0346128020177	0.059970844137699986	PROT_RANGE=190-190;CLUSTER_MUT_COUNT=2
SMARCA4	ENST00000429416	.	.	0.124920642507	0.155670339124	PROT_RANGE=1520-1520;CLUSTER_MUT_COUNT=2
ZFHX3	ENST00000268489	.	.	0.000529209780332	0.00259793892163	PROT_RANGE=846-851,1210-1210,1439-1439,3001-3002;CLUSTER_MUT_COUNT=3,2,2,3
FHOD1	ENST00000258201	.	.	0.008200269919379999	0.0239359230079	PROT_RANGE=413-413;CLUSTER_MUT_COUNT=2
TUBGCP6	ENST00000248846	.	.	0.124920642507	0.155670339124	PROT_RANGE=1797-1797;CLUSTER_MUT_COUNT=2
DCTN1	ENST00000361874	.	.	0.0236559738947	0.0448218452741	PROT_RANGE=1006-1006;CLUSTER_MUT_COUNT=2
CLMN	ENST00000298912	.	.	0.0346128020177	0.059970844137699986	PROT_RANGE=778-778;CLUSTER_MUT_COUNT=2
CEP350	ENST00000367607	.	.	0.141180797144	0.17132051788199998	PROT_RANGE=1759-1759;CLUSTER_MUT_COUNT=2
BDP1	ENST00000358731	.	.	0.014789868205600003	0.0328213513603	PROT_RANGE=400-400;CLUSTER_MUT_COUNT=2
