gene	transcript	protein_change	score	pvalue	qvalue	info
TOR1AIP1	ENST00000606911	.	.	0.554030874785592	1	PROT_RANGE=1-324
RPS6KB1	ENST00000225577	.	.	1	1	PROT_RANGE=91-352
BCL9	ENST00000234739	.	.	0.076437587657784	1	PROT_RANGE=314-423
HCN1	ENST00000303230	.	.	0.175780835753061	1	PROT_RANGE=494-576
CRYGA	ENST00000304502	.	.	0.32183908045977	1	PROT_RANGE=33-89
ZNF362	ENST00000539719	.	.	1	1	PROT_RANGE=256-360
ITPRIP	ENST00000278071	.	.	0.0603290676416819	1	PROT_RANGE=37-70
C2orf43	ENST00000237822	.	.	1	1	PROT_RANGE=44-303
SIGLEC11	ENST00000447370	.	.	1	1	PROT_RANGE=275-351
KIR2DL3	ENST00000342376	.	.	0.225806451612903	1	PROT_RANGE=133-210
RAB3IL1	ENST00000394836	.	.	1	1	PROT_RANGE=93-161
GNAS	ENST00000371100	.	.	0.0983606557377049	1	PROT_RANGE=1-103
GZF1	ENST00000338121	.	.	0.625683206038918	1	PROT_RANGE=176-452
FCN1	ENST00000371806	.	.	1	1	PROT_RANGE=115-325
C11orf65	ENST00000393084	.	.	1	1	PROT_RANGE=89-198
CSNK1A1L	ENST00000379800	.	.	0.1513353115727	1	PROT_RANGE=141-192
GPNMB	ENST00000381990	.	.	1	1	PROT_RANGE=116-176
COL13A1	ENST00000398978	.	.	0.0808926080892608	1	PROT_RANGE=506-564
KLK15	ENST00000598239	.	.	0.87890625	1	PROT_RANGE=24-249
CLCN2	ENST00000265593	.	.	0.447661469933185	1	PROT_RANGE=144-546
CBS	ENST00000398165	.	.	0.533575317604356	1	PROT_RANGE=82-376
SHC3	ENST00000375835	.	.	0.260942760942761	1	PROT_RANGE=155-310
TTC23	ENST00000394132	.	.	1	1	PROT_RANGE=386-402
MTPAP	ENST00000263063	.	.	0.109965635738832	1	PROT_RANGE=518-582
SPG11	ENST00000261866	.	.	1	1	PROT_RANGE=2096-2387
SLC10A6	ENST00000273905	.	.	0.458885941644562	1	PROT_RANGE=39-212
PLCB1	ENST00000338037	.	.	0.0946853088209834	1	PROT_RANGE=815-874
ADCY8	ENST00000286355	.	.	0.157474020783373	1	PROT_RANGE=974-1171
