gene	transcript	protein_change	score	pvalue	qvalue	info
PNMA2	ENST00000522362	.	.	0.651306595404498	1	PROT_RANGE=1-328
DLX2	ENST00000234198	.	.	0.170731707317073	1	PROT_RANGE=153-209
SLC26A4	ENST00000265715	.	.	0.123162368843667	1	PROT_RANGE=84-485
EMILIN3	ENST00000332312	.	.	1	1	PROT_RANGE=58-126
KIAA0368	ENST00000259335	.	.	0.117256844749028	1	PROT_RANGE=1854-1879
APOC2	ENST00000590360	.	.	0.752475247524752	1	PROT_RANGE=24-100
RP11-1220K2.2	ENST00000477922	.	.	0.0395242856973467	1	PROT_RANGE=1171-1671
CYP4F22	ENST00000269703	.	.	0.563187805220499	1	PROT_RANGE=60-520
ARAP2	ENST00000303965	.	.	0.215731209393698	1	PROT_RANGE=1129-1278
ASTN2	ENST00000361209	.	.	0.00972021076337962	1	PROT_RANGE=271-369
LPO	ENST00000262290	.	.	0.128862403878752	1	PROT_RANGE=528-560
GPD1L	ENST00000282541	.	.	0.375118962825231	1	PROT_RANGE=195-341
ACYP2	ENST00000394666	.	.	0.868686868686869	1	PROT_RANGE=11-97
GP6	ENST00000310373	.	.	0.605345563302185	1	PROT_RANGE=113-202
KATNBL1	ENST00000256544	.	.	0.460526315789474	1	PROT_RANGE=1-141
FAM188A	ENST00000277632	.	.	0.701787742589171	1	PROT_RANGE=28-300
ZNF862	ENST00000223210	.	.	1	1	PROT_RANGE=68-132
DOT1L	ENST00000398665	.	.	0.333483680507584	1	PROT_RANGE=1150-1226
TGFB1	ENST00000221930	.	.	0.123076923076923	1	PROT_RANGE=74-122
SETD2	ENST00000409792	.	.	0.00663402239175194	1	PROT_RANGE=1561-1666
UBE3C	ENST00000348165	.	.	0.396706853587054	1	PROT_RANGE=780-1083
ZNF382	ENST00000292928	.	.	0.0865775509194241	1	PROT_RANGE=336-550
UPF2	ENST00000356352	.	.	0.0626695709253238	1	PROT_RANGE=1004-1114
PTGIS	ENST00000244043	.	.	0.8281	1	PROT_RANGE=36-491
EYA2	ENST00000327619	.	.	0.469874718759884	1	PROT_RANGE=209-263
TM4SF20	ENST00000304568	.	.	0.960698689956332	1	PROT_RANGE=2-222
HOGA1	ENST00000370646	.	.	0.865443425076453	1	PROT_RANGE=35-318
OR7C2	ENST00000248072	.	.	0.344920620208313	1	PROT_RANGE=31-305
ZNF296	ENST00000303809	.	.	0.37092503980172	1	PROT_RANGE=231-299
SRSF7	ENST00000313117	.	.	0.465503848598263	1	PROT_RANGE=13-77
APOF	ENST00000398189	.	.	0.227460730215827	1	PROT_RANGE=62-261
FAM177B	ENST00000445590	.	.	0.411392405063291	1	PROT_RANGE=1-66
DUSP12	ENST00000367943	.	.	1	1	PROT_RANGE=34-166
FHOD1	ENST00000258201	.	.	0.164072262527398	1	PROT_RANGE=979-1030
C6orf120	ENST00000332290	.	.	0.958115183246073	1	PROT_RANGE=8-191
GPR124	ENST00000412232	.	.	0.100662122542578	1	PROT_RANGE=88-144
CDH9	ENST00000231021	.	.	0.0228704992177315	1	PROT_RANGE=68-148
OR10H5	ENST00000308940	.	.	0.665374909517011	1	PROT_RANGE=31-306
OMD	ENST00000375550	.	.	0.163709299766984	1	PROT_RANGE=162-198
BRINP3	ENST00000367462	.	.	0.351640047715306	1	PROT_RANGE=54-100
LRRC57	ENST00000323443	.	.	0.407293289683304	1	PROT_RANGE=131-186
ARHGAP22	ENST00000417912	.	.	0.583589460101319	1	PROT_RANGE=1-98
ABCC10	ENST00000372530	.	.	0.741206110305936	1	PROT_RANGE=288-550
ROBO3	ENST00000397801	.	.	0.373101184078542	1	PROT_RANGE=1224-1288
