gene	transcript	protein_change	score	pvalue	qvalue	info
SGOL1	ENST00000263753	.	.	0.286669124788815	1	PROT_RANGE=252-512
TCERG1	ENST00000296702	.	.	0.529688853056227	1	PROT_RANGE=691-1036
MGARP	ENST00000398955	.	.	0.125434027777778	1	PROT_RANGE=155-240
KIAA0319L	ENST00000325722	.	.	1	1	PROT_RANGE=598-631
DERA	ENST00000428559	.	.	0.474279102883588	1	PROT_RANGE=52-271
SLC12A7	ENST00000264930	.	.	0.0571596110378805	1	PROT_RANGE=829-1083
COQ6	ENST00000334571	.	.	1	1	PROT_RANGE=194-303
MC4R	ENST00000299766	.	.	1	1	PROT_RANGE=61-302
SCN10A	ENST00000449082	.	.	0.0574052178891779	1	PROT_RANGE=1151-1427
SERPINE3	ENST00000521255	.	.	0.867924528301887	1	PROT_RANGE=31-399
GNB1	ENST00000378609	.	.	0.049474048667401	1	PROT_RANGE=307-340
ADC	ENST00000294517	.	.	0.772835024716675	1	PROT_RANGE=288-406
VKORC1L1	ENST00000360768	.	.	1	1	PROT_RANGE=20-156
TSSK1B	ENST00000390666	.	.	0.335445792237129	1	PROT_RANGE=17-272
NRAS	ENST00000369535	.	.	0.298227193136299	1	PROT_RANGE=5-164
C11orf53	ENST00000280325	.	.	0.0460068745348524	1	PROT_RANGE=7-76
RPL22L1	ENST00000295830	.	.	0.455791453910239	1	PROT_RANGE=1-33
FAM69A	ENST00000370310	.	.	1	1	PROT_RANGE=19-175
COX16	ENST00000389912	.	.	0.547169811320755	1	PROT_RANGE=48-106
LRRC4C	ENST00000278198	.	.	0.434466854116655	1	PROT_RANGE=244-302
FAXDC2	ENST00000326080	.	.	1	1	PROT_RANGE=176-299
CAPN7	ENST00000253693	.	.	0.0578105781057811	1	PROT_RANGE=469-516
ZNF644	ENST00000370440	.	.	0.342038133966787	1	PROT_RANGE=1129-1262
NPAS2	ENST00000335681	.	.	0.413818359375	1	PROT_RANGE=249-352
TEX11	ENST00000395889	.	.	1	1	PROT_RANGE=190-444
TCP11	ENST00000311875	.	.	0.823643410852713	1	PROT_RANGE=75-500
PPFIBP1	ENST00000318304	.	.	0.0953032349489172	1	PROT_RANGE=71-96
ZDHHC5	ENST00000287169	.	.	0.0750480386648414	1	PROT_RANGE=102-222
RNF103-CHMP3	ENST00000604011	.	.	0.673306772908366	1	PROT_RANGE=47-216
ADAMTSL4	ENST00000271643	.	.	0.176837818590961	1	PROT_RANGE=790-841
CCDC140	ENST00000295226	.	.	0.771011328992435	1	PROT_RANGE=1-86
COL1A2	ENST00000297268	.	.	0.0532032738977891	1	PROT_RANGE=91-149
SLC2A3	ENST00000075120	.	.	0.565157105682346	1	PROT_RANGE=14-465
FAM102B	ENST00000370035	.	.	0.164475308641975	1	PROT_RANGE=3-149
USP29	ENST00000254181	.	.	0.118777552803309	1	PROT_RANGE=583-645
OR8J3	ENST00000301529	.	.	0.822039781231711	1	PROT_RANGE=31-305
FZR1	ENST00000395095	.	.	0.241415192507804	1	PROT_RANGE=109-173
NFX1	ENST00000379540	.	.	0.0926362369355096	1	PROT_RANGE=721-739
RNF126	ENST00000292363	.	.	0.115994986873605	1	PROT_RANGE=77-143
COG8	ENST00000306875	.	.	0.116817373245885	1	PROT_RANGE=38-84
DPP6	ENST00000377770	.	.	0.555794957507334	1	PROT_RANGE=643-848
RHBDL1	ENST00000219551	.	.	1	1	PROT_RANGE=240-394
PPEF2	ENST00000286719	.	.	0.257444706905892	1	PROT_RANGE=396-450
RPL35A	ENST00000464167	.	.	0.9	1	PROT_RANGE=5-104
PIGO	ENST00000378617	.	.	1	1	PROT_RANGE=211-284
NCOA1	ENST00000406961	.	.	0.130259802843593	1	PROT_RANGE=115-172
