gene	transcript	protein_change	score	pvalue	qvalue	info
CXorf65	ENST00000374251	.	.	0.298605512257756	1	PROT_RANGE=2-102
CD300LD	ENST00000375352	.	.	0.402168136890211	1	PROT_RANGE=56-100
ZNF391	ENST00000244576	.	.	0.11912861646016	1	PROT_RANGE=137-159
GPN3	ENST00000543199	.	.	0.259228019055105	1	PROT_RANGE=278-323
CAPN1	ENST00000527323	.	.	0.100956068701991	1	PROT_RANGE=514-551
GLTPD2	ENST00000331264	.	.	1	1	PROT_RANGE=101-252
ZNF518B	ENST00000326756	.	.	0.532407935701983	1	PROT_RANGE=108-169
PDIA5	ENST00000316218	.	.	0.351338909493208	1	PROT_RANGE=156-257
UBA6	ENST00000322244	.	.	0.129904997149565	1	PROT_RANGE=225-292
ABR	ENST00000302538	.	.	0.277349893475624	1	PROT_RANGE=1-68
TRERF1	ENST00000372922	.	.	0.0441714537549287	1	PROT_RANGE=1073-1125
LRFN4	ENST00000309602	.	.	1	1	PROT_RANGE=553-598
ZNF311	ENST00000377179	.	.	0.373873873873874	1	PROT_RANGE=387-636
TRAV26-1	ENST00000390455	.	.	0.757477769917957	1	PROT_RANGE=23-106
SBF1	ENST00000380817	.	.	0.184315522916587	1	PROT_RANGE=1018-1112
DTD1	ENST00000377452	.	.	0.699430264809166	1	PROT_RANGE=140-209
RPGRIP1L	ENST00000379925	.	.	0.431133465751591	1	PROT_RANGE=969-1087
USP5	ENST00000229268	.	.	0.0407925407925408	1	PROT_RANGE=656-691
PSD	ENST00000020673	.	.	0.147375476546586	1	PROT_RANGE=751-804
NPBWR1	ENST00000331251	.	.	0.353986508333646	1	PROT_RANGE=54-307
DDX23	ENST00000308025	.	.	0.430159131469363	1	PROT_RANGE=415-616
GBGT1	ENST00000372040	.	.	0.726901152922042	1	PROT_RANGE=35-347
OFD1	ENST00000340096	.	.	0.086276723316588	1	PROT_RANGE=849-1012
BEND6	ENST00000370746	.	.	0.230678841928697	1	PROT_RANGE=142-210
EBI3	ENST00000221847	.	.	1	1	PROT_RANGE=130-207
EBF1	ENST00000313708	.	.	0.661569095249199	1	PROT_RANGE=17-247
OGT	ENST00000373719	.	.	0.0588724449089297	1	PROT_RANGE=556-1024
FOXN1	ENST00000226247	.	.	1	1	PROT_RANGE=271-356
PGM5	ENST00000396396	.	.	0.644704806359429	1	PROT_RANGE=200-306
PIBF1	ENST00000326291	.	.	0.105603534776258	1	PROT_RANGE=312-558
MMAB	ENST00000545712	.	.	0.892416	1	PROT_RANGE=58-226
HLX	ENST00000366903	.	.	0.0338716775960503	1	PROT_RANGE=249-401
RANBP9	ENST00000011619	.	.	1	1	PROT_RANGE=523-631
NAALADL1	ENST00000358658	.	.	1	1	PROT_RANGE=348-556
OR8B2	ENST00000375013	.	.	0.879940701268768	1	PROT_RANGE=31-305
ITGA11	ENST00000315757	.	.	1	1	PROT_RANGE=480-518
N4BP2	ENST00000261435	.	.	0.0936910164954315	1	PROT_RANGE=602-645
ZNF300	ENST00000446148	.	.	0.0579421412534378	1	PROT_RANGE=191-264
OR2T27	ENST00000344889	.	.	0.941499813590781	1	PROT_RANGE=33-305
CISH	ENST00000443053	.	.	0.294545454545455	1	PROT_RANGE=99-180
NEDD9	ENST00000379446	.	.	0.184652278177458	1	PROT_RANGE=404-558
RBM44	ENST00000316997	.	.	0.344104559947185	1	PROT_RANGE=1-219
MYL1	ENST00000352451	.	.	0.149484536082474	1	PROT_RANGE=54-83
MUL1	ENST00000264198	.	.	0.417613636363636	1	PROT_RANGE=104-251
OR11H6	ENST00000315519	.	.	0.749464716437068	1	PROT_RANGE=51-323
CP	ENST00000264613	.	.	0.418460264004081	1	PROT_RANGE=807-899
COL6A6	ENST00000358511	.	.	0.019943832993864	1	PROT_RANGE=229-396
MROH8	ENST00000343811	.	.	1	1	PROT_RANGE=26-115
GSDMC	ENST00000276708	.	.	0.983083868331541	1	PROT_RANGE=4-484
MKNK1	ENST00000371946	.	.	0.300254508881007	1	PROT_RANGE=205-374
LGALSL	ENST00000238875	.	.	0.943178745267712	1	PROT_RANGE=39-170
GRP	ENST00000256857	.	.	0.716216216216216	1	PROT_RANGE=42-148
SERPINA11	ENST00000334708	.	.	0.484063200004908	1	PROT_RANGE=54-419
ALKBH2	ENST00000429722	.	.	0.453193582008485	1	PROT_RANGE=1-69
TGM3	ENST00000381458	.	.	0.0219877457781308	1	PROT_RANGE=595-692
SLCO3A1	ENST00000318445	.	.	0.539521143524507	1	PROT_RANGE=41-619
DDA1	ENST00000359866	.	.	0.607843137254902	1	PROT_RANGE=3-65
MAZ	ENST00000219782	.	.	1	1	PROT_RANGE=307-329
RUNX1	ENST00000300305	.	.	0.399375	1	PROT_RANGE=178-286
PIGL	ENST00000225609	.	.	1	1	PROT_RANGE=44-166
DDX49	ENST00000247003	.	.	0.349896480331263	1	PROT_RANGE=26-195
EPHX4	ENST00000370383	.	.	0.323204419889503	1	PROT_RANGE=94-211
CHFR	ENST00000432561	.	.	0.1534223196397	1	PROT_RANGE=362-441
SLC27A2	ENST00000267842	.	.	0.474321019771072	1	PROT_RANGE=60-487
CCDC57	ENST00000389641	.	.	0.122270742358079	1	PROT_RANGE=729-841
CYBA	ENST00000261623	.	.	0.979487179487179	1	PROT_RANGE=2-193
PADI4	ENST00000375448	.	.	0.350528568365125	1	PROT_RANGE=284-660
CSH2	ENST00000392886	.	.	0.949308755760369	1	PROT_RANGE=9-215
LBX1	ENST00000370193	.	.	0.358860703385215	1	PROT_RANGE=126-182
CD226	ENST00000280200	.	.	0.21396692320548	1	PROT_RANGE=31-124
CFHR2	ENST00000367415	.	.	0.542957232129249	1	PROT_RANGE=92-140
RPGRIP1	ENST00000400017	.	.	0.176339367729565	1	PROT_RANGE=76-186
MEPCE	ENST00000310512	.	.	0.0879611392797032	1	PROT_RANGE=601-632
TSPAN18	ENST00000340160	.	.	0.897909079084287	1	PROT_RANGE=10-245
FAM216B	ENST00000537894	.	.	0.626261580663527	1	PROT_RANGE=1-111
IRF4	ENST00000380956	.	.	0.148992713584287	1	PROT_RANGE=249-417
NELFA	ENST00000382882	.	.	1	1	PROT_RANGE=172-250
KATNAL1	ENST00000380615	.	.	0.398583923365264	1	PROT_RANGE=91-201
OR6K6	ENST00000368144	.	.	0.823032348272012	1	PROT_RANGE=61-333
CCSER1	ENST00000509176	.	.	0.325910425827033	1	PROT_RANGE=572-597
C4orf22	ENST00000508675	.	.	0.392	1	PROT_RANGE=13-111
