gene	transcript	protein_change	score	pvalue	qvalue	info
GLP2R	ENST00000262441	.	.	0.773971143742615	1	PROT_RANGE=176-432
ITFG2	ENST00000228799	.	.	0.405659536688298	1	PROT_RANGE=49-386
RP5-850E9.3	ENST00000488788	.	.	0.446808510638298	1	PROT_RANGE=52-94
RP1-139D8.6	ENST00000372963	.	.	0.354330708661417	1	PROT_RANGE=82-127
GREB1	ENST00000381486	.	.	0.0591233871738793	0.785608483243106	PROT_RANGE=1075-1204
ETNK1	ENST00000266517	.	.	0.00500084796860454	0.312268180170514	PROT_RANGE=163-364
TGOLN2	ENST00000409232	.	.	0.552666424505757	1	PROT_RANGE=38-369
SLC30A1	ENST00000367001	.	.	0.93565767703965	1	PROT_RANGE=153-234
PRPF40A	ENST00000410080	.	.	0.178868985326386	1	PROT_RANGE=690-739
GAB2	ENST00000361507	.	.	0.0145934897731557	0.481412686307296	PROT_RANGE=489-551
SAP30BP	ENST00000584667	.	.	0.506167048578385	1	PROT_RANGE=1-242
C11orf68	ENST00000438576	.	.	0.260984012423433	1	PROT_RANGE=156-254
CLDN10	ENST00000376873	.	.	0.229403870966757	1	PROT_RANGE=9-177
RBM38	ENST00000356208	.	.	0.977948973126922	1	PROT_RANGE=36-93
OR2A4	ENST00000315453	.	.	0.507362065988042	1	PROT_RANGE=30-304
ANP32D	ENST00000266594	.	.	0.745642073703173	1	PROT_RANGE=51-131
MEA1	ENST00000244711	.	.	0.420792704748875	1	PROT_RANGE=14-185
PXDNL	ENST00000356297	.	.	4.3445051324099e-05	0.0171738027734155	PROT_RANGE=727-1272
ZXDA	ENST00000358697	.	.	0.0522833666454151	0.753147983012909	PROT_RANGE=300-324
KPNA1	ENST00000344337	.	.	0.0816180059254418	0.855375878896339	PROT_RANGE=1-82
WDR44	ENST00000254029	.	.	0.00834631374509447	0.381860317834191	PROT_RANGE=220-289
FAM160B1	ENST00000369248	.	.	0.511808640046113	1	PROT_RANGE=498-581
TERF2IP	ENST00000300086	.	.	0.0633100211320458	0.79997436792527	PROT_RANGE=322-397
AMT	ENST00000273588	.	.	0.115548156602879	0.930810609303272	PROT_RANGE=301-392
GALR2	ENST00000329003	.	.	0.126888849836487	0.951931882364603	PROT_RANGE=42-292
ACMSD	ENST00000356140	.	.	0.917304790021961	1	PROT_RANGE=3-330
HHEX	ENST00000282728	.	.	0.0593856300720599	0.786153725945624	PROT_RANGE=112-270
