gene	transcript	protein_change	score	pvalue	qvalue	info
CHD7	ENST00000423902	.	.	9.07034015633e-06	1.87771954114e-05	PROT_RANGE=1536-1536;CLUSTER_MUT_COUNT=2
ARHGAP28	ENST00000419673	.	.	2.8584363432e-05	5.81543945686e-05	PROT_RANGE=277-280;CLUSTER_MUT_COUNT=3
CABIN1	ENST00000398319	.	.	9.07034015633e-06	1.87771954114e-05	PROT_RANGE=1125-1125;CLUSTER_MUT_COUNT=2
YY1AP1	ENST00000368339	.	.	1.5981220725200001e-06	5.38795441591e-06	PROT_RANGE=170-171;CLUSTER_MUT_COUNT=3
GRAMD1C	ENST00000358160	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=204-204;CLUSTER_MUT_COUNT=2
SMARCA4	ENST00000429416	.	.	0.054963306667800006	0.0606137400635	PROT_RANGE=910-910;CLUSTER_MUT_COUNT=2
SKAP2	ENST00000345317	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=126-126;CLUSTER_MUT_COUNT=2
SMAD4	ENST00000342988	.	.	0.000666528540044	0.00113986040181	PROT_RANGE=356-361,445-445;CLUSTER_MUT_COUNT=3,2
RAD54L2	ENST00000409535	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=46-46;CLUSTER_MUT_COUNT=2
C10orf76	ENST00000370033	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=267-267;CLUSTER_MUT_COUNT=2
FAT2	ENST00000261800	.	.	0.054963306667800006	0.0606137400635	PROT_RANGE=2559-2559;CLUSTER_MUT_COUNT=2
NCKAP5	ENST00000409261	.	.	0.00897730969897	0.0116409070822	PROT_RANGE=1366-1366;CLUSTER_MUT_COUNT=2
FLT1	ENST00000282397	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=960-960;CLUSTER_MUT_COUNT=2
PCLO	ENST00000333891	.	.	0.319112027958	0.327436689557	PROT_RANGE=3216-3216;CLUSTER_MUT_COUNT=2
MPP5	ENST00000261681	.	.	9.07034015633e-06	1.87771954114e-05	PROT_RANGE=641-641;CLUSTER_MUT_COUNT=2
STYK1	ENST00000075503	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=89-89;CLUSTER_MUT_COUNT=2
ERBB2	ENST00000269571	.	.	0.00897730969897	0.0116409070822	PROT_RANGE=310-310;CLUSTER_MUT_COUNT=2
ZNF43	ENST00000354959	.	.	0.00260918207721	0.00380103068038	PROT_RANGE=725-725;CLUSTER_MUT_COUNT=2
ZNF672	ENST00000306562	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=274-274;CLUSTER_MUT_COUNT=2
SEMA6D	ENST00000316364	.	.	0.0203516189122	0.0252788529646	PROT_RANGE=981-981;CLUSTER_MUT_COUNT=2
RABGAP1L	ENST00000251507	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=596-596;CLUSTER_MUT_COUNT=2
NFE2L2	ENST00000397062	.	.	2.2540879678600002e-07	7.823011182590001e-07	PROT_RANGE=24-34,79-82;CLUSTER_MUT_COUNT=6,8
NTM	ENST00000425719	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=96-96;CLUSTER_MUT_COUNT=2
FAM83G	ENST00000388995	.	.	0.00034870905688200003	0.0006141443091360001	PROT_RANGE=88-88;CLUSTER_MUT_COUNT=2
NRG1	ENST00000523534	.	.	0.0099942980026	0.012818773525100002	PROT_RANGE=96-100;CLUSTER_MUT_COUNT=3
FMN1	ENST00000334528	.	.	9.07034015633e-06	1.87771954114e-05	PROT_RANGE=1090-1090;CLUSTER_MUT_COUNT=2
AHNAK	ENST00000378024	.	.	0.0361168900409	0.0417822845572	PROT_RANGE=1505-1505;CLUSTER_MUT_COUNT=2
ATF7	ENST00000420353	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=322-322;CLUSTER_MUT_COUNT=2
DCLRE1C	ENST00000378278	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=511-511;CLUSTER_MUT_COUNT=2
LRP12	ENST00000276654	.	.	0.00260918207721	0.00380103068038	PROT_RANGE=11-11;CLUSTER_MUT_COUNT=2
CDKN2A	ENST00000498124	.	.	0.0024076895786	0.00380103068038	PROT_RANGE=80-83;CLUSTER_MUT_COUNT=3
RBM15	ENST00000369784	.	.	9.07034015633e-06	1.87771954114e-05	PROT_RANGE=234-234;CLUSTER_MUT_COUNT=2
FKBP10	ENST00000321562	.	.	9.07034015633e-06	1.87771954114e-05	PROT_RANGE=359-359;CLUSTER_MUT_COUNT=2
NOD2	ENST00000300589	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=330-330;CLUSTER_MUT_COUNT=2
PIK3CA	ENST00000263967	.	.	1.6128256027300002e-11	4.75783552804e-10	PROT_RANGE=545-546,726-726,1043-1047;CLUSTER_MUT_COUNT=7,2,5
FAM189B	ENST00000361361	.	.	9.07034015633e-06	1.87771954114e-05	PROT_RANGE=287-287;CLUSTER_MUT_COUNT=2
FBXW7	ENST00000281708	.	.	0.00897730969897	0.0116409070822	PROT_RANGE=505-505;CLUSTER_MUT_COUNT=2
VPS13C	ENST00000261517	.	.	0.00260918207721	0.00380103068038	PROT_RANGE=1105-1105;CLUSTER_MUT_COUNT=2
GNAS	ENST00000371100	.	.	0.0361168900409	0.0417822845572	PROT_RANGE=844-844;CLUSTER_MUT_COUNT=2
ZNF254	ENST00000357002	.	.	9.07034015633e-06	1.87771954114e-05	PROT_RANGE=92-92;CLUSTER_MUT_COUNT=2
A2M	ENST00000318602	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=495-495;CLUSTER_MUT_COUNT=2
SETD1A	ENST00000262519	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=1053-1053;CLUSTER_MUT_COUNT=2
OLA1	ENST00000284719	.	.	9.07034015633e-06	1.87771954114e-05	PROT_RANGE=109-109;CLUSTER_MUT_COUNT=2
TP53	ENST00000269305	.	.	1.7438828145599999e-09	1.42157361823e-08	PROT_RANGE=91-94,106-113,124-135,143-151,157-163,167-179,193-198,205-216,220-224,237-248,272-285,294-294,306-306,342-343;CLUSTER_MUT_COUNT=3,5,9,4,4,23,8,7,5,22,26,2,3,4
DTL	ENST00000366991	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=246-246;CLUSTER_MUT_COUNT=2
TTN	ENST00000589042	.	.	0.371298613594	0.374472106017	PROT_RANGE=999-999,3160-3160,22904-22904;CLUSTER_MUT_COUNT=2,2,2
SNX13	ENST00000428135	.	.	9.07034015633e-06	1.87771954114e-05	PROT_RANGE=145-145;CLUSTER_MUT_COUNT=2
NAV2	ENST00000396087	.	.	0.00897730969897	0.0116409070822	PROT_RANGE=1670-1670;CLUSTER_MUT_COUNT=2
ARAP2	ENST00000303965	.	.	9.07034015633e-06	1.87771954114e-05	PROT_RANGE=42-42;CLUSTER_MUT_COUNT=2
SIN3A	ENST00000394947	.	.	3.73464255636e-09	1.42157361823e-08	PROT_RANGE=591-591;CLUSTER_MUT_COUNT=2
