gene	transcript	protein_change	score	pvalue	qvalue	info
COL15A1	ENST00000375001	.	.	0.123656713314	0.178271761695	PROT_RANGE=1061-1061;CLUSTER_MUT_COUNT=2
ATP8B4	ENST00000284509	.	.	0.06018510202580001	0.111957232801	PROT_RANGE=359-359;CLUSTER_MUT_COUNT=2
PCDH7	ENST00000543491	.	.	0.0459625604495	0.0973655872378	PROT_RANGE=863-863;CLUSTER_MUT_COUNT=2
PHACTR3	ENST00000371015	.	.	0.00980073838552	0.0497598680834	PROT_RANGE=373-380;CLUSTER_MUT_COUNT=4
CHD7	ENST00000423902	.	.	0.139757483979	0.19446148575	PROT_RANGE=2437-2437;CLUSTER_MUT_COUNT=2
COL21A1	ENST00000244728	.	.	0.00047883250333	0.00477911671592	PROT_RANGE=16-17,925-925;CLUSTER_MUT_COUNT=3,2
SETBP1	ENST00000282030	.	.	0.0529235450158	0.108566481673	PROT_RANGE=531-531,729-729;CLUSTER_MUT_COUNT=2,2
ATM	ENST00000278616	.	.	0.0529235450158	0.108566481673	PROT_RANGE=2695-2695,2959-2959;CLUSTER_MUT_COUNT=2,2
VCAM1	ENST00000294728	.	.	0.0459625604495	0.0973655872378	PROT_RANGE=659-659;CLUSTER_MUT_COUNT=2
ZEB1	ENST00000361642	.	.	0.200498544168	0.252569768017	PROT_RANGE=965-965;CLUSTER_MUT_COUNT=2
CYP26B1	ENST00000001146	.	.	0.0331559986938	0.08148955948139999	PROT_RANGE=278-278;CLUSTER_MUT_COUNT=2
FRY	ENST00000380250	.	.	0.123656713314	0.178271761695	PROT_RANGE=2992-2992;CLUSTER_MUT_COUNT=2
ELTD1	ENST00000370742	.	.	0.00047883250333	0.00477911671592	PROT_RANGE=32-33,391-391;CLUSTER_MUT_COUNT=3,2
ADAMTS14	ENST00000373208	.	.	0.0487067008546	0.101930555417	PROT_RANGE=43-45;CLUSTER_MUT_COUNT=3
SIPA1L2	ENST00000366630	.	.	0.027417172812	0.0777568999421	PROT_RANGE=629-629,778-778;CLUSTER_MUT_COUNT=2,2
SYNE2	ENST00000358025	.	.	0.131733550372	0.189389785715	PROT_RANGE=1969-1969,3341-3341;CLUSTER_MUT_COUNT=2,2
CARD11	ENST00000396946	.	.	0.0429540637574	0.0973655872378	PROT_RANGE=162-163;CLUSTER_MUT_COUNT=3
VGLL3	ENST00000398399	.	.	0.004182042313059999	0.0274744298795	PROT_RANGE=227-228;CLUSTER_MUT_COUNT=3
GPRASP1	ENST00000537097	.	.	0.0912589042561	0.145286415058	PROT_RANGE=440-440;CLUSTER_MUT_COUNT=2
CHL1	ENST00000256509	.	.	0.0393554001433	0.09242286278	PROT_RANGE=918-918,1169-1169;CLUSTER_MUT_COUNT=2,2
SMARCA4	ENST00000429416	.	.	0.0393554001433	0.09242286278	PROT_RANGE=885-885,1232-1232;CLUSTER_MUT_COUNT=2,2
TLR4	ENST00000355622	.	.	0.021561827742	0.0639762214018	PROT_RANGE=113-113,373-374,804-808;CLUSTER_MUT_COUNT=2,3,3
ZEB2	ENST00000558170	.	.	0.0825930974196	0.13917473234000002	PROT_RANGE=815-820;CLUSTER_MUT_COUNT=3
LRP4	ENST00000378623	.	.	0.000204017160425	0.00225287034597	PROT_RANGE=163-163,1659-1659;CLUSTER_MUT_COUNT=2,2
DCTN1	ENST00000361874	.	.	0.0197473216256	0.0639762214018	PROT_RANGE=1151-1154;CLUSTER_MUT_COUNT=3
CENPE	ENST00000265148	.	.	0.0331559986938	0.08148955948139999	PROT_RANGE=1134-1134;CLUSTER_MUT_COUNT=2
SMAD4	ENST00000342988	.	.	0.0331559986938	0.08148955948139999	PROT_RANGE=493-493;CLUSTER_MUT_COUNT=2
SETD2	ENST00000409792	.	.	0.0869530508519	0.145108145955	PROT_RANGE=1624-1625;CLUSTER_MUT_COUNT=3
LILRB4	ENST00000391736	.	.	0.0134227004464	0.0497598680834	PROT_RANGE=436-436;CLUSTER_MUT_COUNT=2
MYOF	ENST00000359263	.	.	0.0459625604495	0.0973655872378	PROT_RANGE=202-202;CLUSTER_MUT_COUNT=2
HYDIN	ENST00000393567	.	.	0.186013008112	0.240151122413	PROT_RANGE=1714-1714;CLUSTER_MUT_COUNT=3
ADAMTS12	ENST00000504830	.	.	0.0879689708757	0.145286415058	PROT_RANGE=196-196,1011-1016,1263-1266;CLUSTER_MUT_COUNT=2,4,3
NBEA	ENST00000400445	.	.	0.264848040028	0.306821724944	PROT_RANGE=2168-2168;CLUSTER_MUT_COUNT=2
COL12A1	ENST00000322507	.	.	0.325516763125	0.349778882115	PROT_RANGE=2452-2452;CLUSTER_MUT_COUNT=2
PKD1	ENST00000262304	.	.	0.123656713314	0.178271761695	PROT_RANGE=1929-1929;CLUSTER_MUT_COUNT=2
KRAS	ENST00000256078	.	.	5.48223817944e-50	2.84528161513e-47	PROT_RANGE=12-13,19-19;CLUSTER_MUT_COUNT=134,3
HIVEP2	ENST00000367603	.	.	0.0459625604495	0.0973655872378	PROT_RANGE=1396-1396;CLUSTER_MUT_COUNT=2
DYNC1H1	ENST00000360184	.	.	0.107425622211	0.162075284673	PROT_RANGE=702-702;CLUSTER_MUT_COUNT=2
TACC2	ENST00000369005	.	.	0.139757483979	0.19446148575	PROT_RANGE=2025-2025;CLUSTER_MUT_COUNT=2
BRAF	ENST00000288602	.	.	6.634922982409998e-29	8.608812569679998e-27	PROT_RANGE=464-469,581-581,594-596,600-604;CLUSTER_MUT_COUNT=12,2,4,10
RBM19	ENST00000545145	.	.	0.022188284879200004	0.0639762214018	PROT_RANGE=402-402;CLUSTER_MUT_COUNT=2
CEP192	ENST00000506447	.	.	0.06018510202580001	0.111957232801	PROT_RANGE=1868-1868;CLUSTER_MUT_COUNT=2
EXPH5	ENST00000265843	.	.	0.123656713314	0.178271761695	PROT_RANGE=1972-1972;CLUSTER_MUT_COUNT=2
ACACB	ENST00000338432	.	.	7.26268188626e-05	0.00101873835107	PROT_RANGE=1157-1157,1646-1646;CLUSTER_MUT_COUNT=2,2
PRUNE2	ENST00000376718	.	.	0.397097571714	0.40729968324	PROT_RANGE=866-866;CLUSTER_MUT_COUNT=2
