gene	transcript	protein_change	score	pvalue	qvalue	info
LIPE	ENST00000244289	.	.	0.285315985130112	1	PROT_RANGE=308-615
GRM4	ENST00000538487	.	.	1	1	PROT_RANGE=516-566
TCEB3B	ENST00000332567	.	.	0.52324037184595	1	PROT_RANGE=56-450
TCTN1	ENST00000397659	.	.	1	1	PROT_RANGE=78-387
SELO	ENST00000380903	.	.	0.805680119581465	1	PROT_RANGE=82-621
ABCA13	ENST00000435803	.	.	1	1	PROT_RANGE=3859-4004
DST	ENST00000244364	.	.	0.0394407978895138	1	PROT_RANGE=3858-3961
RAN	ENST00000543796	.	.	0.722222222222222	1	PROT_RANGE=12-168
LIN54	ENST00000340417	.	.	1	1	PROT_RANGE=556-618
LUC7L3	ENST00000505658	.	.	0.560185185185185	1	PROT_RANGE=4-246
MYCN	ENST00000281043	.	.	0.112068965517241	1	PROT_RANGE=382-434
GAD1	ENST00000358196	.	.	1	1	PROT_RANGE=151-517
RAB11FIP1	ENST00000330843	.	.	0.0849571317225254	1	PROT_RANGE=19-128
RRBP1	ENST00000377807	.	.	1	1	PROT_RANGE=815-841
ARRDC5	ENST00000381781	.	.	0.388888888888889	1	PROT_RANGE=185-318
SCAMP2	ENST00000268099	.	.	0.534954407294833	1	PROT_RANGE=117-293
HPR	ENST00000540303	.	.	0.681034482758621	1	PROT_RANGE=104-341
SLC1A7	ENST00000371494	.	.	0.810714285714286	1	PROT_RANGE=21-475
PGR	ENST00000325455	.	.	1	1	PROT_RANGE=566-633
PDLIM1	ENST00000329399	.	.	0.151975683890578	1	PROT_RANGE=260-310
PRRG1	ENST00000542554	.	.	1	1	PROT_RANGE=25-65
VSIG4	ENST00000374737	.	.	0.275689223057644	1	PROT_RANGE=25-135
VPS13B	ENST00000358544	.	.	0.0229450606826203	1	PROT_RANGE=1438-1469
NPC1L1	ENST00000289547	.	.	0.140544518027962	1	PROT_RANGE=1101-1292
CREB5	ENST00000357727	.	.	1	1	PROT_RANGE=245-410
QRICH1	ENST00000395443	.	.	1	1	PROT_RANGE=408-490
LPAR5	ENST00000329858	.	.	0.690860215053763	1	PROT_RANGE=40-297
ARHGAP19	ENST00000358531	.	.	0.313765182186235	1	PROT_RANGE=125-280
GPR52	ENST00000367685	.	.	0.720221606648199	1	PROT_RANGE=57-317
ANK2	ENST00000357077	.	.	0.0136467020470053	1	PROT_RANGE=1440-1494
COL5A3	ENST00000264828	.	.	0.0750716332378224	1	PROT_RANGE=793-924
FAM150A	ENST00000358543	.	.	1	1	PROT_RANGE=38-57
APOB	ENST00000233242	.	.	1	1	PROT_RANGE=46-597
SLC37A1	ENST00000352133	.	.	0.660412757973734	1	PROT_RANGE=98-450
EYS	ENST00000503581	.	.	1	1	PROT_RANGE=2460-2582
C2CD4C	ENST00000332235	.	.	1	1	PROT_RANGE=252-303
MTA2	ENST00000278823	.	.	0.208083832335329	1	PROT_RANGE=4-143
HELZ	ENST00000358691	.	.	1	1	PROT_RANGE=1507-1650
GALNT1	ENST00000269195	.	.	0.329159212880143	1	PROT_RANGE=119-303
CHMP2B	ENST00000263780	.	.	0.366197183098592	1	PROT_RANGE=1-79
LMNB1	ENST00000261366	.	.	0.188155948234691	1	PROT_RANGE=528-586
VPS37B	ENST00000267202	.	.	1	1	PROT_RANGE=13-155
POLA1	ENST00000379059	.	.	0.409982670891027	1	PROT_RANGE=371-710
RBP1	ENST00000232219	.	.	0.639593908629442	1	PROT_RANGE=69-195
CCSER2	ENST00000224756	.	.	1	1	PROT_RANGE=1-97
TMEM209	ENST00000397622	.	.	1	1	PROT_RANGE=10-559
ASRGL1	ENST00000415229	.	.	0.938311688311688	1	PROT_RANGE=4-293
ITGAX	ENST00000268296	.	.	0.15219260533104	1	PROT_RANGE=151-328
CHDC2	ENST00000313548	.	.	1	1	PROT_RANGE=1-45
GPC6	ENST00000377047	.	.	0.922522522522523	1	PROT_RANGE=22-534
C12orf40	ENST00000324616	.	.	0.0567484662576687	1	PROT_RANGE=245-282
RBM39	ENST00000253363	.	.	0.190566037735849	1	PROT_RANGE=341-442
BRWD3	ENST00000373275	.	.	0.103218645948946	1	PROT_RANGE=740-926
