gene	transcript	protein_change	score	pvalue	qvalue	info
RPL32	ENST00000429711	.	.	0.792592592592593	1	PROT_RANGE=17-124
PRKG1	ENST00000373980	.	.	0.244588622863694	1	PROT_RANGE=376-634
SNTB1	ENST00000395601	.	.	1	1	PROT_RANGE=325-432
MEGF11	ENST00000409699	.	.	0.0445105422214952	1	PROT_RANGE=667-703
IFIT1B	ENST00000371809	.	.	0.491711835535973	1	PROT_RANGE=357-417
PCED1A	ENST00000360652	.	.	0.00872473567331175	1	PROT_RANGE=393-454
DST	ENST00000370788	.	.	1	1	PROT_RANGE=1208-1349
OR8A1	ENST00000284287	.	.	0.340061138448007	1	PROT_RANGE=50-322
HYAL2	ENST00000447092	.	.	0.492667468231655	1	PROT_RANGE=29-361
PTPN12	ENST00000248594	.	.	0.0290049899775918	1	PROT_RANGE=387-444
ANKRD53	ENST00000360589	.	.	1	1	PROT_RANGE=251-420
ZBTB43	ENST00000373464	.	.	0.456969422037129	1	PROT_RANGE=381-467
MS4A1	ENST00000534668	.	.	0.229764887318595	1	PROT_RANGE=51-216
GDPD4	ENST00000315938	.	.	0.783324296630859	1	PROT_RANGE=203-320
KCND3	ENST00000315987	.	.	0.00426588285648935	0.921134047747152	PROT_RANGE=116-166
EIF2B1	ENST00000424014	.	.	0.908196721311475	1	PROT_RANGE=16-293
DYNC2LI1	ENST00000260605	.	.	1	1	PROT_RANGE=30-163
B4GALNT2	ENST00000300404	.	.	0.322993177834575	1	PROT_RANGE=325-432
ARPC1A	ENST00000262942	.	.	1	1	PROT_RANGE=46-80
PGM1	ENST00000371083	.	.	0.0599405469678954	1	PROT_RANGE=33-175
WNT9B	ENST00000290015	.	.	0.275814841965267	1	PROT_RANGE=59-356
PCNA	ENST00000379160	.	.	0.0229885057471264	1	PROT_RANGE=104-110
CLLU1OS	ENST00000378487	.	.	0.435643564356436	1	PROT_RANGE=57-101
ABCF2	ENST00000222388	.	.	0.165975877956791	1	PROT_RANGE=152-207
ADAMTS6	ENST00000381055	.	.	0.00575744547854719	1	PROT_RANGE=906-959
AKAP8L	ENST00000397410	.	.	0.255205316456462	1	PROT_RANGE=246-405
CD1B	ENST00000368168	.	.	0.663476893310293	1	PROT_RANGE=221-286
OR5AU1	ENST00000304418	.	.	0.740609891693247	1	PROT_RANGE=84-356
OXTR	ENST00000316793	.	.	0.917654002137571	1	PROT_RANGE=56-329
