gene	transcript	protein_change	score	pvalue	qvalue	info
TAF1C	ENST00000567759	.	.	0.182968929804373	1	PROT_RANGE=710-869
CUEDC1	ENST00000577830	.	.	0.152849740932642	1	PROT_RANGE=198-257
ASPM	ENST00000367409	.	.	0.0264595916019557	1	PROT_RANGE=571-663
KIAA0196	ENST00000318410	.	.	0.93183779119931	1	PROT_RANGE=23-1103
NECAP1	ENST00000339754	.	.	1	1	PROT_RANGE=7-163
C11orf57	ENST00000393047	.	.	0.25938566552901	1	PROT_RANGE=88-164
EHD3	ENST00000322054	.	.	0.0429906542056075	1	PROT_RANGE=331-354
PKP3	ENST00000331563	.	.	0.0840652446675031	1	PROT_RANGE=42-109
CHRM1	ENST00000306960	.	.	0.817391304347826	1	PROT_RANGE=42-418
MRPL4	ENST00000253099	.	.	0.610932475884244	1	PROT_RANGE=81-271
KATNB1	ENST00000379661	.	.	0.241221374045801	1	PROT_RANGE=493-651
SULF2	ENST00000359930	.	.	0.126436781609195	1	PROT_RANGE=492-602
ZNF281	ENST00000294740	.	.	1	1	PROT_RANGE=372-429
ELMO2	ENST00000290246	.	.	0.388562885802469	1	PROT_RANGE=115-272
TYRO3	ENST00000263798	.	.	0.298876404494382	1	PROT_RANGE=519-785
FCGRT	ENST00000221466	.	.	1	1	PROT_RANGE=28-197
GGA2	ENST00000309859	.	.	0.190864600326264	1	PROT_RANGE=488-605
GMEB2	ENST00000266068	.	.	1	1	PROT_RANGE=90-162
OR2D3	ENST00000317834	.	.	0.833333333333333	1	PROT_RANGE=47-322
TMOD2	ENST00000249700	.	.	0.319088319088319	1	PROT_RANGE=1-113
SCARB1	ENST00000261693	.	.	0.8762278978389	1	PROT_RANGE=16-462
NFX1	ENST00000379540	.	.	1	1	PROT_RANGE=567-585
C3	ENST00000245907	.	.	0.171166584525644	1	PROT_RANGE=456-605
FBXL17	ENST00000542267	.	.	1	1	PROT_RANGE=1-51
AKAP13	ENST00000361243	.	.	1	1	PROT_RANGE=676-739
MEST	ENST00000223215	.	.	0.713432835820896	1	PROT_RANGE=71-310
ST8SIA3	ENST00000324000	.	.	0.684210526315789	1	PROT_RANGE=114-374
TRAF3IP1	ENST00000373327	.	.	0.92040520984081	1	PROT_RANGE=49-685
USP49	ENST00000373006	.	.	0.578125	1	PROT_RANGE=253-623
PRRC2A	ENST00000376033	.	.	0.160871580899397	1	PROT_RANGE=160-507
NPAS2	ENST00000335681	.	.	0.0509708737864078	1	PROT_RANGE=1-43
CMYA5	ENST00000446378	.	.	1	1	PROT_RANGE=3356-3513
COL4A1	ENST00000375820	.	.	0.0293588975434392	1	PROT_RANGE=172-221
PGAM4	ENST00000458128	.	.	0.244094488188976	1	PROT_RANGE=96-158
ANAPC1	ENST00000341068	.	.	1	1	PROT_RANGE=150-206
HUWE1	ENST00000342160	.	.	0.0244627343392776	1	PROT_RANGE=1960-2067
ATP1A2	ENST00000361216	.	.	1	1	PROT_RANGE=1-67
ABHD2	ENST00000352732	.	.	1	1	PROT_RANGE=128-382
E2F7	ENST00000322886	.	.	1	1	PROT_RANGE=30-100
CYP27B1	ENST00000228606	.	.	0.875984251968504	1	PROT_RANGE=59-504
USP15	ENST00000280377	.	.	0.653414882772681	1	PROT_RANGE=289-930
KIF13B	ENST00000524189	.	.	0.0399780941949617	1	PROT_RANGE=351-424
ZNF764	ENST00000252797	.	.	0.053921568627451	1	PROT_RANGE=287-309
KRT83	ENST00000293670	.	.	0.630831643002028	1	PROT_RANGE=110-421
IVD	ENST00000487418	.	.	0.267605633802817	1	PROT_RANGE=46-160
KAL1	ENST00000262648	.	.	1	1	PROT_RANGE=643-680
SLC12A7	ENST00000264930	.	.	0.0840258541089566	1	PROT_RANGE=923-1014
BAP1	ENST00000460680	.	.	0.199451735759902	1	PROT_RANGE=5-214
ANO10	ENST00000292246	.	.	0.645454545454546	1	PROT_RANGE=200-626
SUN5	ENST00000356173	.	.	0.343007915567282	1	PROT_RANGE=232-362
AGRN	ENST00000379370	.	.	0.0322738386308068	1	PROT_RANGE=385-451
WISP1	ENST00000250160	.	.	0.263302868088708	1	PROT_RANGE=49-101
